   śrīḥ //	SrIH //
   nyāyakusumāñjalau tṛtīyastabakaḥ //	nyAya-kusuma-aQjalO tRtIya-stabakaH //
   nanvetadapi katham,	nanu-etat-api kaTam,
   tatra bādhaka(154)sadbhāvāt /	tatra bADaka-(154)sadBAvAt /
   tathā hi- yadi syāt, upalabhyeta /	taTA hi yadi syAt, upalaByeta /
   ayogyatvāt sannapi nopalabhyata iti cet- evaṃ tarhi	ayogya-tvAt san=-api na-upalaByate iti cet evam tarhi
   śaśaśṛṅgamapyayogyatvānnopalabhyata iti syāt /	SaSa-SRFgam-api-ayogya-tvAt-na-upalaByate iti syAt /
   naitadevam, śṛṅgasya yogyatayaiva vyāptatvāditi cet- (155)cetanasyāpi	na-etat-evam, SRFgasya yogya-tayA-eva vyApta-tvAt-iti cet (155)cetanasya-api
   yogyopādhimattayaiva vyāptatvāt tadbādhe so 'pi bādhita eveti tulyam /	yogyA-upADimat-tayA-eva vyApta-tvAt tad-bADe saH api bADitaH eva-iti tulyam /
   vyāpakasvārthādyanupalambhenāpyanumīyate, nīstīti /	vyApaka-sva-arTa-Adi-anupalamBena-api-anumIyate, nIsti-iti /
   ko hi prayojanamantareṇa kiñcitkuryāditi /	kaH hi prayojanam-antareNa kiQcid-kuryAt-iti /
   [ku.3.302] ucyate- yogyādṛṣṭiḥ kuto 'yogye pratibandiḥ (156)kutastarām /	[ku.3.302] ucyate yogyA-dRzwiH kutas ayogye pratibandiH (156)kutastarAm /
   kvāyogyaṃ bādhyate śṛṅgaṃ kvānumānamanāśrayam //	kva-ayogyam bADyate SRFgam kva-anumAnam-anASrayam //
   [ku.3.303] svātmaiva tāvat yogyānupalabdhyā pratiṣiddhuṃ na śakyate;	[ku.3.303] sva-AtmA-eva tAvat yogyA-anupalabDyA pratizidDum na Sakyate;
   kutastvayogyaḥ parātmā(paramātmā)? tathāhi-	kutas-tu-ayogyaH para-AtmA(-paramAtmA)? taTA-hi-
   suṣuptyavasthāyāmātmānamanupalabhamānaḥ, nāstītyavadhārayet /	suzupti-avasTAyAm-AtmAnam-anupalaBamAnaH, na-asti-iti-avaDArayet /
   kasyāparādhenapunaḥ yogyo 'pyātmā tadānīṃ nopalabhyate? sāmagrīvaiguṇyāt /	kasya-aparADenapunar yogyaH api-AtmA tadAnIm na-upalaByate? sAmagrI-vEguNyAt /
   jñānādikṣaṇikaguṇopadhāne hyātmā gṛhyata iti asya svabhāvaḥ /	jQAna-Adi-kzaNika-guNa-upaDAne hi-AtmA gRhyate iti asya svaBAvaH /
   jñānameva kuto na jāyata iti cintyate paścādvā kathamutpatsyata iti cet-	jQAnam-eva kutas na jAyate iti cintyate paScAt-vA kaTam-utpatsyate iti ced--
   manaso 'nindriyapratyāsannatayājananāt; tatpratyāsattau ca paścājjananāt /	manasaH anindriya-pratyAsanna-tayA-jananAt; tad-pratyAsattO ca paScAt-jananAt /
   [ku.3.304] manovaibhavavādināmidamasaṃmatam /	[ku.3.304] manaH-vEBava-vAdinAm-idam-asaMmatam /
   tathā hi /	taTA hi /
   mano vibhu sarvadā sparśarahitadravyatvāt, (157)(sarvadā)	manaH viBu sarvadA sparSa-rahita-dravya-tva-at, (157)(sarva-dA)
   viśeṣaguṇaśūnyadravyatvāt nityatve satyanārambhakadravyatvāt	viSeza-guNa-SUnya-dravya-tvAt nitya-tve sati-anAramBaka-dravya-tvAt
   jñānāsamavāyikāraṇasaṃyogādhāratvādityāde(158)riti cet-[ku.3.305] na	jQAna-asamavAyi-kAraNa-saMyoga-ADAra-tvAt-ityAde(158)riti cet-[ku.3.305] na
