   yuktidīpikā //	yukti dIpikA //
        vītāvītaviṣāṇasya pakṣatāvanasevinaḥ /	vIta AvIta vizANasya pakza tAvana sevinaH /
        pravādāḥ sāṃkhyakariṇaḥ sallakīṣaṃḍabhaṅgurāḥ // 1 //	pravAdAH sAMKya kariNaH sallakIzaMxa BaFgurAH // 1 //
        ṛṣaye paramāyārkamarīcisamatejase /	Rzaye paramAya arka marIci sama tejase /
        saṃsāragahanamadhvāntasūryāya gurave namaḥ // 2 //	saMsAra gahanamaDva anta sUryAya gurave namaH // 2 //
        tattvaṃ jijñāsamānāya viprāyāsuraye muniḥ /	tattvam jijQAsamAnAya viprAya asuraye muniH /
        taduvāca mahattantraṃ duḥkhatrayanivṛttaye // 3 //	tat uvAca mahat tantram duHKa traya nivRttaye // 3 //
        na tasyādhigamaḥ śakyaḥ kartuṃ varṣaśatairapi /	na tasya aDigamaH SakyaH kartum varza SatEH api /
        bhūyastvāditi saṃcintya munibhiḥ sūkṣmabuddhibhiḥ // 4 //	BUyas tvAt iti saMcintya muniBiH sUkzma budDiBiH // 4 //
        granthenālpena saṃkṣipya tadārṣamanuśāsanam /	granTena alpena saMkzipya tadA Arzam anuSAsanam /
        nibaddhamamalaprajñaiḥ śiṣyāṇāṃ hitakāmyayā // 5 //	nibadDam amala prajQEH SizyANAm hita kAmyayA // 5 //
        pratipakṣāḥ punastasya puruṣeśāṇuvādinaḥ /	pratipakzAH punar tasya puruza ISa aNu vAdinaH /
        vaināśikāḥ prākṛtikā vikārapuruṣāstathā // 6 //	vEnASikAH prAkRtikAH vikAra puruzAH taTA // 6 //
        teṣāmicchāvighātārthamācāryaiḥ sūkṣmabuddhibhiḥ /	tezAm icCA viGAta arTam AcAryEH sUkzma budDiBiH /
        racitāḥ sveṣu tantreṣu viṣamāstarkagahvarāḥ // 7 //	racitAH svezu tantrezu vizamAH tarka gahvarAH // 7 //
        śiṣyairduravagāhāste tattvārthabhrāntabuddhibhiḥ /	SizyEH duravagAhAH te tattva arTa BrAnta budDiBiH /
        tasmādīśvarakṛṣṇena saṃkṣiptārthamidaṃ kṛtam // 8 //	tasmAt ISvara kRzNena saMkzipta arTam idam kRtam // 8 //
        saptatyākhyaṃ prakaraṇaṃ sakalaṃ śāstrameva vā /	saptati AKyam prakaraNam sakalam SAstram eva vA /
        yasmāt sarvapadārthānāmiha vyākhyā kariṣyate // 9 //	yasmAt sarva padArTAnAm iha vyAKyA karizyate // 9 //
        pradhānāstitvamekatvamarthavattvamathānyatā /	praDAna astitvam eka tvam arTavat tvam aTa anya tA /
        pārārthyañca tathānaikyaṃ viyogo yoga eva ca // 10 //	pArArTyaQca taTA anEkyam viyogaH yogaH eva ca // 10 //
        śeṣavṛttirakartṛtvaṃ cūlikārthāḥ smṛtā daśa /	Seza vRttiH akartR tvam cUlikA arTAH smRtAH daSa /
        viparyayaḥ pañcavidhastathoktā nava tuṣṭayaḥ // 11 //	viparyayaH paQcaviDaH taTA uktAH nava tuzwayaH // 11 //
        karaṇānāmasāmarthyamaṣṭāviṃśatidhā matam /	karaNAnAm asAmarTyam azwAviMSatiDA matam /
        iti ṣaṣṭiḥ padārthānāmaṣṭābhiḥ saha siddhibhiḥ // 12 //	iti zazwiH padArTAnAm azwABiH saha sidDiBiH // 12 //
        yathākramaṃ lakṣaṇataḥ kārtsnyenehābhidhāsyate /	yaTAkramam lakzaNataH kArtsnyena iha aBiDAsyate /
        tasmādataḥ śāstramidamalaṃ nānātvasiddhaye // 13 //	tasmAt atas SAstram idam alam nAnAtva sidDaye // 13 //
        alpagranthamanalpārthaṃ sarvaistantraguṇairyutam /	alpa granTam analpa arTam sarvEH tantra guNEH yutam /
        pāramarṣasya tantrasya bimbamādarśagaṃ yathā // 14 //	pAramarzasya tantrasya bimbam AdarSa gam yaTA // 14 //
        tasya vyākhyāṃ kariṣyāmi yathānyāyopapattaye /	tasya vyAKyAm karizyAmi yaTAnyAya upapattaye /
        kāruṇyādapyayuktāṃ tāṃ pratigṛhṇantu sūrayaḥ // 15 //	kAruNyAt api ayuktAm tAm pratigRhNantu sUrayaH // 15 //
        āha, kariṣyati bhavān vyākhyām / idaṃ tvādāvupanyastaṃ	Aha, karizyati BavAn vyAKyAm / idam tu AdO= upanyastam
   sarvaistantraguṇairyutamidaṃ tantramiti / ke tantraguṇāḥ, kiyanto veti ?	sarvEH tantra guNEH yutam idam tantram iti / ke tantra guNAH, kiyantaH vA iti ?
        ucyate  	ucyate  
        sūtrapramāṇāvayavopapattiranyūnatā saṃśayanirṇayoktiḥ /	sUtra pramANa avayava upapattiH anyUna tA saMSaya nirNaya uktiH /
        uddeśanirdeśamanukramaśca saṃjñopadeśāviha tantrasampat //	uddeSa nirdeSam anukramaH ca saMjQA upadeSO= iha tantra sampad //
        sūtrāṇi ca pramāṇāni ca avayavāśca, sūtrapramāṇāvayavāḥ / teṣām	sUtrANi ca pramANAni ca avayavAH ca, sUtra pramANa avayavAH / tezAm
   upapattiḥ sūtrapramāṇāvayavopapattiḥ / upapattiḥ sambhava ityanarthāntaram	upapattiH sUtra pramANa avayava upapattiH / upapattiH samBavaH iti anarTAntaram
   / ananyo 'rtho 'narthāntaram / upapattiśabdaḥ pratyekaṃ parisamāpyate	/ ananyaH arTaH anarTa antaram / upapatti SabdaH pratyekam parisamApyate
   sūtropapattirityādi /	sUtra upapattiH ityAdi /
        āha, lakṣaṇopetasūtropapattiriti vaktavyam /	Aha, lakzaNa upeta sUtra upapattiH iti vaktavyam /
        itarathā hi alakṣaṇopetasyāpi sūtrasya tantrāṅgabhāvaḥ syāditi /	itaraTAH hi alakzaNa upetasya api sUtrasya tantra aFga BAvaH syAt iti /
        ucyate na, nāntarīyakatvāt / na hyantareṇa lakṣaṇopetatvaṃ sūtratvam	ucyate na, na antarIyaka tvAt / na hi antareNa lakzaNa upeta tvam sUtra tvam
   / ato na vaktavyametaditi /	/ atas na vaktavyam etat iti /
        āha, atha sūtramiti kasmāt ?	Aha, aTa sUtram iti kasmAt ?
        ucyate  sūcanāt sūtram / sūcayati tāṃstānarthaviśeṣāniti sūtram /	ucyate sUcanAt sUtram / sUcayati tAn= tAn arTa viSezAn iti sUtram /
   tadyathā  kāraṇamastyavyaktam (ISk 16), bhedānāṃ parimāṇāditi (ISk 15) /	tat yaTA kAraNam asti avyaktam (ISj 16), BedAnAm parimANAt iti (ISj 15) /
   atra pratijñāhetū kaṇṭhoktau / tayorupayogi dṛṣṭāntaṃ sādhyasiddhaye	atra pratijQA hetU kaNWa uktO / tayoH upayogi dRzwAntam sADya sidDaye
   samarthamiti kṛtvā mūlaśakalādayo 'trāntaranabhihitā apyetasmādavasīyante	samarTam iti kRtvA mUla Sakala AdayaH atra antaranaBihitAH api etasmAt avasIyante
   / athavā bhikṣorupasaṃhṛtabahiṣkaraṇāntaḥkaraṇasya teṣu teṣvatīndriyeṣu	/ aTavA BikzoH upasaMhRta bahizkaraNa antaHkaraNasya tezu tezu atIndriyezu
