   atulaṃ bhaktivatsale RahPps_4d	atulam Bakti-vatsale RahPpH-_4d
   anuyātāsi sarvadā RahPps_8d	anuyAtA-asi sarvadA RahPpH-_8d
   apaśyann api badhyate RahPps_15b	apaSyan api baDyate RahPpH-_15b
   apaśyann api mucyate RahPps_15d	apaSyan api mucyate RahPpH-_15d
   avaśyāyodabindavaḥ RahPps_10b	avaSyAya-uda-bindavaH RahPpH-_10b
   aho vismayanīyāsi RahPps_16a	aho vismayanIyA-asi RahPpH-_16a
   ākāśam iva nirlepāṃ RahPps_2a	AkASam iva nirlepAm RahPpH-_2a
   āśvāsajananī cāsi RahPps_11c	ASvAsa-jananI ca-asi RahPpH-_11c
   ucyase ca na cocyase RahPps_18d	ucyase ca na ca-ucyase RahPpH-_18d
   kṛpayā lokanāthais tvam RahPps_18c	kRpayA lokanATEH tvam RahPpH-_18c
   kṛpātmakāḥ prapadya tvāṃ RahPps_4a	kRpA-AtmakAH prapadya tvAm RahPpH-_4a
   gambhīrāsi yaśasvini RahPps_16b	gamBIrA-asi yaSasvini RahPpH-_16b
   candracandrikayor iva RahPps_3d	candra-candrikayoH iva RahPpH-_3d
   candralekheva tārābhir RahPps_8c	candra-leKA-iva tArABiH RahPpH-_8c
   tatra tatra tathāgataiḥ RahPps_9b	tatra tatra taTAgatEH RahPpH-_9b
   tad idaṃ mahad adbhutam RahPps_14d	tat idam mahat adButam RahPpH-_14d
   tava cārye guṇāḍhyāyā RahPps_3a	tava ca-Arye guNa-AXyAyAH RahPpH-_3a
   tasyāmba katham anyatra RahPps_12c	tasya-amba kaTam anyatra RahPpH-_12c
   tuṣṭūṣantaḥ sunirvṛtāḥ RahPps_20d	tuzwUzantaH su-nirvRtAH RahPpH-_20d
   tena tvam api kalyāṇi RahPps_7c	tena tvam api kalyANi RahPpH-_7c
   tenāpi niyataṃ siddhiḥ RahPps_5c	tena-api niyatam sidDiH RahPpH-_5c
   tenāstv āśu jagat kṛtsnaṃ RahPps_21c	tena-astu ASu jagat kRtsnam RahPpH-_21c
   tvannāthasya na vidyate RahPps_12b	tvad-nATasya na vidyate RahPpH-_12b
   tvam eva trāsajananī RahPps_11a	tvam eva trAsa-jananI RahPpH-_11a
   tvām astutyām api satīṃ RahPps_20c	tvAm astutyAm api satIm RahPpH-_20c
   tvām eva badhyate paśyann RahPps_15a	tvAm eva baDyate paSyan RahPpH-_15a
   tvām eva mucyate paśyann RahPps_15c	tvAm eva mucyate paSyan RahPpH-_15c
   tvāṃ prāpya pralayaṃ yānti RahPps_10c	tvAm prApya pralayam yAnti RahPpH-_10c
   dṛśyase na ca dṛśyase RahPps_16d	dRSyase na ca dRSyase RahPpH-_16d
   doṣā vādāś ca vādinām RahPps_10d	dozAH vAdAH ca vAdinAm RahPpH-_10d
   na ca kva cana gacchasi RahPps_13b	na ca kva cana gacCasi RahPpH-_13b
