   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   gorakṣa-śatakam	gorakza-Satakam
   oṃ haṭha-yoga-gorakṣa-śataka-prārambhaḥ	om haWa--yoga--goH-akza-Sataka-prAramBaH
   śrī-guruṃ paramānandaṃ $ vande svānanda-vigraham &	SrI---gurum parama-Anandam $ vande sva-Ananda-vigraham &
   yasya saṃnidhya-mātreṇa % cidānandāyate tanuḥ // GorS(2)_1 //	yasya saMniDya--mAtreNa % cidAnandAyate tanuH // GorS(2)_1 //
   antar-niścalitātma-dīpa-kalikā-svādhāra-bandhādibhiḥ $ yo yogī	antar-niScalita-Atma--dIpa-kalikA--su-ADAra-banDa-AdiBiH $ yaH yogI
   yuga-kalpa-kāla-kalanāt tvaṃ jajegīyate &	yuga-kalpa--kAla--kalanAt tvam jajegIyate &
   jñānāmoda-mahodadhiḥ samabhavad yatrādināthaḥ svayaṃ %	jQAna-Amoda--mahA-udaDiH samaBavat yatra-Adi-nATaH svayam %
   vyaktāvyakta-guṇādhikaṃ tam aniśaṃ śrī-mīnanāthaṃ bhaje // GorS(2)_2 //	vyakta-avyakta--guNa-aDikam tam aniSam SrI--mIna-nATam Baje // GorS(2)_2 //
   namaskṛtya guruṃ bhaktyā $ gorakṣo jñānam uttamam &	namaskRtya gurum BaktyA $ gorakzaH jQAnam uttamam &
   abhīṣṭaṃ yogināṃ brūte % paramānanda-kārakam // GorS(2)_3 //	aBIzwam yoginAm brUte % parama-Ananda-kArakam // GorS(2)_3 //
   gorakṣaḥ śatakaṃ vakti $ yogināṃ hita-kāmyayā &	gorakzaH Satakam vakti $ yoginAm hita--kAmyayA &
   dhruvaṃ yasyāvabodhena % jāyate paramaṃ padam // GorS(2)_4 //	Druvam yasya-avaboDena % jAyate paramam padam // GorS(2)_4 //
   etad vimukti-sopānam $ etat kālasya vañcanam &	etat vimukti--sopAnam $ etat kAlasya vaQcanam &
   yad vyāvṛttaṃ mano mohād % āsaktaṃ paramātmani // GorS(2)_5 (=1|2) //	yat vyAvRttam manaH mohAt % Asaktam paramAtmani // GorS(2)_5 (=1|2) //
   dvija-sevita-śākhasya $ śruti-kalpa-taroḥ phalam &	dvija--sevita--SAKasya $ Sruti-kalpa--taroH Palam &
   śamanaṃ bhava-tāpasya % yogaṃ bhajati sajjanaḥ // GorS(2)_6 (=1|3) //	Samanam Bava-tApasya % yogam Bajati sat-janaH // GorS(2)_6 (=1|3) //
   āsanaṃ prāṇa-saṃyāmaḥ $ pratyāhāro'tha dhāraṇā &	Asanam prANa-saMyAmaH $ pratyAhAraH-aTa DAraNA &
   dhyānaṃ samādhir etāni % yogāṅgāni bhavanti ṣaṭ // GorS(2)_7 (=1|4) //	DyAnam samADiH etAni % yoga-aFgAni Bavanti zaw // GorS(2)_7 (=1|4) //
   āsanāni tu tāvanti $ yāvatyo jīva-jātayaḥ &	AsanAni tu tAvanti $ yAvatyaH jIva--jAtayaH &
   eteṣām akhilān bhedān % vijānāti maheśvaraḥ // GorS(2)_8 (=1|5) //	etezAm aKilAn BedAn % vijAnAti maheSvaraH // GorS(2)_8 (=1|5) //
   caturāśīti-lakṣāṇāṃ $ ekam ekam udāhṛtam &	catura-aSIti-lakzANAm $ ekam ekam udAhRtam &
   tataḥ śivena pīṭhānāṃ % ṣoḍeśānaṃ śataṃ kṛtam // GorS(2)_9 (=1|6) //	tatas Sivena pIWAnAm % zoxeSAnam Satam kRtam // GorS(2)_9 (=1|6) //
   āsanebhyaḥ samastebhyo $ dvayam eva viśiṣyate &	AsaneByaH samasteByaH $ dvayam eva viSizyate &
   ekaṃ siddhāsanaṃ proktaṃ % dvitīyaṃ kamalāsanam // GorS(2)_10 (=1|7) //	ekam sidDAsanam proktam % dvitIyam kamalAsanam // GorS(2)_10 (=1|7) //
   yoni-sthānakam aṅghri-mūla-ghaṭitaṃ kṛtvā dṛḍhaṃ vinyasen $ meḍhre pādam	yoni-sTAnakam aFGri--mUla--Gawitam kRtvA dRXam vinyaset $ meXre pAdam
   athaikam eva niyataṃ kṛtvā samaṃ vigraham &	aTa-ekam eva niyatam kRtvA samam vigraham &
   sthāṇuḥ saṃyamitendriyo'cala-dṛśā paśyan bhruvor antaram % etan	sTANuH saMyamita-indriyaH-acala-dRSA paSyan BruvoH antaram % etat-
   mokṣa-kavāṭa-bheda-janakaṃ siddhāsanaṃ procyate // GorS(2)_11 (=1|8) //	mokza--kavAwa-Beda--janakam sidDAsanam procyate // GorS(2)_11 (=1|8) //
   vāmorūpari dakṣiṇaṃ hi caraṇaṃ saṃsthāpya vāmaṃ tathā $ dakṣorūpari	vAma-Uru-upari dakziNam hi caraNam saMsTApya vAmam taTA $ dakza-Uru-upari
   paścimena vidhinā dhṛtvā karābhyāṃ dṛḍham &	paScimena viDinA DRtvA karAByAm dRXam &
   aṅguṣṭhau hṛdaye nidhāya cibukaṃ nāsāgram ālokayed %	aFguzWO hRdaye niDAya cibukam nAsA-agram Alokayet %
   etad-vyādhi-vikāra-hāri yamināṃ padmāsanaṃ procyate // GorS(2)_12 (=1|9)	etat--vyADi--vikAra--hAri yaminAm padmAsanam procyate // GorS(2)_12 (=1|9)
   ṣaṭ-cakraṃ ṣoḍaśādhāraṃ $ trilakṣaṃ vyoma-pañcakam &	zaw-cakram zoxaSa-ADAram $ tri-lakzam vyoma-paQcakam &
   sva-dehe ye na jānanti % kathaṃ sidhyanti yoginaḥ // GorS(2)_13 //	sva-dehe ye na jAnanti % kaTam siDyanti yoginaH // GorS(2)_13 //
   eka-stambhaṃ nava-dvāraṃ $ gṛhaṃ pañcādhidaivatam &	eka-stamBam nava-dvAram $ gRham paQca-aDidEvatam &
   sva-dehaṃ ye na jānanti % kathaṃ sidhyanti yoginaḥ // GorS(2)_14 //	sva--deham ye na jAnanti % kaTam siDyanti yoginaH // GorS(2)_14 //
   caturdalaṃ syād ādhāraḥ $ svādhiṣṭhānaṃ ca ṣaṭ-dalam &	catur-dalam syAt ADAraH $ svADizWAnam ca zaw-dalam &
   nābhau daśa-dalaṃ padmaṃ % sūrya-saṅkhya-dalaṃ hṛdi // GorS(2)_15 //	nABO daSa-dalam padmam % sUrya--saFKya-dalam hRdi // GorS(2)_15 //
   kaṇṭhe syāt ṣoḍaśa-dalaṃ $ bhrū-madhye dvidalaṃ tathā &	kaNWe syAt zoxaSa--dalam $ BrU--maDye dvi-dalam taTA &
   sahasra-dalam ākhyātaṃ % brahma-randhre mahā-pathe // GorS(2)_16 //	sahasra-dalam AKyAtam % brahma-ranDre mahA--paTe // GorS(2)_16 //
   ādhāraḥ prathamaṃ cakraṃ $ svādhiṣṭhānaṃ dvitīyakam &	ADAraH praTamam cakram $ svADizWAnam dvitIyakam &
   yoni-sthānaṃ dvayor madhye % kāma-rūpaṃ nigadyate // GorS(2)_17 (=1|10) //	yoni-sTAnam dvayoH maDye % kAma-rUpam nigadyate // GorS(2)_17 (=1|10) //
   ādhārākhyaṃ guda-sthānaṃ $ paṅkajaṃ ca catur-dalam &	ADAra-AKyam guda--sTAnam $ paFkajam ca catur-dalam &
   tan-madhye procyate yoniḥ % kāmākṣā siddha-vanditā // GorS(2)_18 (=1|11)	tan--maDye procyate yoniH % kAma-akzA sidDa-vanditAH // GorS(2)_18 (=1|11)
   yoni-madhye mahā-liṅgaṃ $ paścimābhimukhaṃ sthitam &	yoni--maDye mahA-liFgam $ paScima-aBimuKam sTitam &
   mastake maṇivad bimbaṃ % yo jānāti sa yogavit // GorS(2)_19 (=1|12) //	mastake maNi-vat bimbam % yaH jAnAti sa yoga-vid // GorS(2)_19 (=1|12) //
   tapta-cāmīkarābhāsaṃ $ taḍil-lekheva visphurat &	tapta--cAmIkara-ABAsam $ taxil--leKA-iva visPurat &
