   1. daivapuruṣākārādhyāye 21 verses	1. dEva-puruza-AkAra-aDyAye 21 verseH-
   2. ācārādhyāye 36 verses	2. AcAra-aDyAye 36 verseH-
   3. abhiyogādhyāye 23 verses	3. aBiyoga-aDyAye 23 verseH-
   4. yogādhyāye 57 verses	4. yoga-aDyAye 57 verseH-
   5. miśrakādhyāye 40 verses	5. miSraka-aDyAye 40 verseH-
   6. balyupahārādhyāye 29 verses	6. bali-upahAra-aDyAye 29 verseH-
   7. nakṣatravijayasnānaprāśan 22 verses	7. nakzatra-vijaya-snAna-prASan 22 verseH-
   8. agninimitādhyāye 19 verses	8. agni-nimita-aDyAye 19 verseH-
   9. nakṣatrakendubhādhyāye 18 verses	9. nakzatrakendu-Ba-aDyAye 18 verseH-
   10. hastilakṣaṇādhyāye 81 verses	10. hasti-lakzaNa-aDyAye 81 verseH-
   11. aśveṅgitādhyāye 15 verses	11. aSva-iFgita-aDyAye 15 verseH-
   12. khaḍgalakṣaṇādyāye 26 verses	12. Kaxga-lakzaNa-AdyAye 26 verseH-
   13. prasthānikādhyāye 16 verses	13. prasTAnika-aDyAye 16 verseH-
   14. śakunādhyāye 32 verses	14. Sakuna-aDyAye 32 verseH-
   15. protsāhanādhyāye 32 verses	15. protsAhana-aDyAye 32 verseH-
   16. upasaṃhārādhyāye 18 verses	16. upasaMhAra-aDyAye 18 verseH-
   YY_1.1a/.yaś cakṣur jagataḥ sahasrakarabad dhāmnāṃ ca dhāmā 'rkavan	YY_1.1a/.yaH cakzuH jagataH sahasrakara-bat DAmnAm ca DAmAH arkavan
   YY_1.1b/.mokṣadvāram apāvṛttaṃ ca ravivad dhvāntāntakṛt sūryavat/	YY_1.1b/.mokza-dvAram apAvRttam ca ravi-vat DvAnta-anta-kRt sUryavat/
   YY_1.1c/.ātmā sarvaśarīriṇāṃ savitṛvat timāṃśuvat kālakṛt	YY_1.1c/.AtmA sarva-SarIriNAm sa-vitR-vat timA-aMSu-vat kAla-kRt-
   YY_1.1d/.sādhvīṃ naḥ sa giraṃ karotu savitā yo 'anyair atulyopamaḥ//	YY_1.1d/.-sADvIm naH sa giram karotu savitA yaH aanyEH atulya-upamaH//
   YY_1.2a/.vakṣyāmi bhūpam adhikṛtya guṇopapannaṃ	YY_1.2a/.vakzyAmi BUpam aDikRtya guNa-upapannam
   YY_1.2b/.vijñātajanmasamayaṃ pravibhktabhāgyam/	YY_1.2b/.-vijQAta-janma-samayam praviBkta-BAgyam/
   YY_1.2c/.ajñātasūtim athavā 'viditaiṣya bhāgyaṃ	YY_1.2c/.ajQAta-sUtim aTavA avidita-ezya BAgyam
   YY_1.2d/.sāmudrayātrikanimittaśataiḥ pṛthūktaiḥ//	YY_1.2d/.-sAmudra-yAtrika-nimitta-SatEH pRTu-uktEH//
   YY_1.3a/.karma 'nyajanmajanitaṃ[K.nyajanmani kṛtaṃ] sad asac ca daivaṃ	YY_1.3a/.karma anya-janma-janita-M[K.nya-janmani kRtaM] sat asat ca dEvam
   YY_1.3b/.tat kevalaṃ bhavati janmani satkulādye/	YY_1.3b/.tat kevalam Bavati janmani satkula-Adye/
   YY_1.3c/.bālyāt paraṃ vinayasauṣṭhavapātratā ca[K.'pi]	YY_1.3c/.bAlyAt param vinaya-sOzWava-pAtra-tA ca[K.-api]
   YY_1.3d/.puṃdaivajā kṛṣivad ity upapādyam etat[K.ata udyameta]//	YY_1.3d/.-puMdEva-jA kRzi-vat iti upapAdyam etat[K.ataH udyameta]//
   YY_1.4a/.sāmantakālayasu[K.vasu]dhodyamamantrabhṛtyair	YY_1.4a/.-sAmantaka-Alaya-su[K.vasu]-Da-udyama-mantra-BRtyEH-
   YY_1.4b/.daivena ceti kṛṣivan nṛpateḥ phalāptiḥ/	YY_1.4b/.dEvena ca-iti kRzi-vat nRpateH Pala-AptiH/
   YY_1.4c/.syāc chidram ekam api cet tata eva sarvaṃ	YY_1.4c/.syAt Cidram ekam api ced tatas eva sarvam
   YY_1.4d/.nāśaṃ prayāti hi dṛteḥ sravaṇād[K.dṛteś caraṇād] iva 'mbhaḥ//	YY_1.4d/.-nASam prayAti hi dRteH sravaNAt-[K.dRteH caraNAd] iva amBaH//
   YY_1.5a/.graharkṣatithyudgamarāśihorā	YY_1.5a/.graha-RkzatiTi-udgama-rASi-horA
   YY_1.5b/.dreṣkāṇabhāgādyanukūlamātram/	YY_1.5b/.dra-IzkANa-BAga-Adi-anukUla-mAtram/
   YY_1.5c/.bhaved yiyāsor yadi siddhihetuḥ	YY_1.5c/.-Bavet yiyAsoH yadi sidDi-hetuH
   YY_1.5d/.svayaṃ bhaved daivavid eva rājā//	YY_1.5d/.-svayam Bavet dEva-vid eva rAjA//
   YY_1.6a/.mantrābhiṣekamaṇibandhanaśāntikarma	YY_1.6a/.mantra-aBizeka-maNi-banDana-SAnti-karma
