   Abhinanda: Kādambarīkathāsāra	ABinanda: KAt-ambarI-kaTA-sAra
   śriyaṃ diśantu vaḥ śaurer dvaye tulyaśramāḥ kramāḥ /	Sriyam diSantu vaH SOreH dvaye tulya-SramAH kramAH /
   ye cādau goṣpadaṃ paścāt trailokyaṃ krāmyataś ca ye // AKad_1.1 //	ye ca-AdO gozpadam paScAt trElokyam krAmyataH ca ye // AKat-_1.1 //
   sarasāḥ sadalaṅkārāḥ prasādamadhurā giraḥ /	sarasAH sat-alaFkArAH prasAda-maDurAH giraH /
   kāntās tātajayantasya jayanti jagatīguroḥ // AKad_1.2 //	kAntAH tAta-jayantasya jayanti jagatI-guroH // AKat-_1.2 //
   guṇoddyotanadīpānāṃ satāṃ na param ujjvalam /	guNa-uddyotana-dIpAnAm satAm na param ujjvalam /
   yāvan malinam apy eṣāṃ karma dṛṣṭeḥ prasādhanam // AKad_1.3 //	yAvat malinam api ezAm karma dRzweH prasADanam // AKat-_1.3 //
   guṇaḥ kṛśo 'pi prathate pṛthur apy apacīyate /	guNaH kRSaH api praTate pRTuH api apacIyate /
   prāpya sādhukhalau candraḥ pakṣāv iva sitāsitau // AKad_1.4 //	prApya sADu-KalO candraH pakzO iva sita-asitO // AKat-_1.4 //
   śaktināmābhavad gauḍo bhāradvājakule dvijaḥ /	Sakti-nAmA-Bavat gOxaH BAradvAja-kule dvijaH /
   dārvābhisāram āsādya kṛtadāraparigrahaḥ // AKad_1.5 //	dArva-aBisAram AsAdya kRta-dAra-parigrahaH // AKat-_1.5 //
   tasya mitrābhidhāno 'bhūd ātmajas tejasāṃ nidhiḥ /	tasya mitra-aBiDAnaH aBUt AtmajaH tejasAm niDiH /
   janena doṣoparamaprabuddhenārcitodayaḥ // AKad_1.6 //	janena doza-uparama-prabudDena-arcita-udayaH // AKat-_1.6 //
   sa śaktisvāminaṃ putram avāpa śrutaśālinam /	sa Sakti-svAminam putram avApa Sruta-SAlinam /
   rājñaḥ karkoṭavaṃśasya muktāpīḍasya mantriṇam // AKad_1.7 //	rAjQaH karkowavaMSasya muktA-pIxasya mantriNam // AKat-_1.7 //
   kalyāṇasvāmināmāsya yājñavalkya ivābhavat /	kalyANa-svAminAm-A-asya yAjQavalkyaH iva-aBavat /
   tanayaḥ śuddhayogarddhinirdhūtabhavakalmaṣaḥ // AKad_1.8 //	tanayaH SudDa-yoga-RdDi-nirDUta-Bava-kalmazaH // AKat-_1.8 //
   agādhahṛdayāt tasmāt parameśvaramaṇḍanam /	agADa-hRdayAt tasmAt parameSvara-maNxanam /
   ajāyata sutaḥ kāntaś candro dugdhodadher iva // AKad_1.9 //	ajAyata sutaH kAntaH candraH dugDa-udaDeH iva // AKat-_1.9 //
   putraṃ kṛtajanānandaṃ sa jayantam ajījanat /	putram kRtajana-Anandam sa jayantam ajIjanat /
   āsīt kavitvavaktṛtvaphalā yasya sarasvatī // AKad_1.10 //	AsIt kavi-tva-vaktR-tva-PalA yasya sarasvatI // AKat-_1.10 //
   vṛttikāra iti vyaktaṃ dvitīyaṃ nāma bibhrataḥ /	vRtti-kAraH iti vyaktam dvitIyam nAma biBrataH /
   vedavedāṅgaviduṣaḥ sarvaśāstrārthavādinaḥ // AKad_1.11 //	veda-vedAFga-viduzaH sarva-SAstra-arTa-vAdinaH // AKat-_1.11 //
   jayantanāmnaḥ sudhiyaḥ sādhusāhityatattvavit /	jayanta-nAmnaH suDiyaH sADu-sAhitya-tattva-vid /
   sūnuḥ samudabhūt tasmād abhinanda iti śrutaḥ // AKad_1.12 //	sUnuH samudaBUt tasmAt aBinandaH iti SrutaH // AKat-_1.12 //
   yugmam	yugmam
   kāvyavistarasaṃdhānakhedālasadhiyaḥ prati /	kAvya-vistara-saMDAna-Keda-alasa-DiyaH prati /
   tena kādambarīsindhoḥ kathāmātraṃ samuddhṛtam // AKad_1.13 //	tena kAdambarI-sinDoH kaTA-mAtram samudDRtam // AKat-_1.13 //
   puruhūtapuraspardhivibhavā bhūṣaṇaṃ bhuvaḥ /	puruhUta-pura-sparDi-viBavAH BUzaNam BuvaH /
   babhūva vidiśā nāma purī vetravatītaṭe // AKad_1.14 //	baBUva vidiSA nAma purI vetravatI-tawe // AKat-_1.14 //
   yā puṇyakarmiṇāṃ tejaḥśālināṃ dyaur ivāspadam /	yA puNya-karmiNAm tejaH-SAlinAm dyOH iva-Aspadam /
   reje ratnagṛhajyotir jālair indrāyudhaprabhaiḥ // AKad_1.15 //	reje ratna-gRha-jyotiH jAlEH indrAyuDa-praBEH // AKat-_1.15 //
   *yugmam*	*yugmam*
   tasyāṃ nijabhujodyogavijitārātimaṇḍalaḥ /	tasyAm nija-Buja-udyoga-vijita-arAti-maNxalaH /
   ākhaṇḍala iva śrīmān rājā śūdraka ity abhūt // AKad_1.16 //	AKaNxalaH iva SrImAn rAjA SUdrakaH iti aBUt // AKat-_1.16 //
   aṣṭānāṃ lokapālānāṃ rūpaṃ bibhrad api prajāḥ /	azwAnAm lokapAlAnAm rUpam biBrat api prajAH /
   śaśvad ānandayaṃs tābhiś candramā ity avedi yaḥ // AKad_1.17 //	SaSvat Anandayan tABiH candramAH iti avedi yaH // AKat-_1.17 //
   *yugmam*	*yugmam*
   sa medinīṃ vinirjitya caturambhodhimekhalām /	sa medinIm vinirjitya catur-amBoDi-meKalAm /
   sacivārpitatadbhāras tasyām āsta yathāsukham // AKad_1.18 //	saciva-arpita-tad-BAraH tasyAm Asta yaTAsuKam // AKat-_1.18 //
   tenānudvejitajanair arthadharmāvirodhibhiḥ /	tena-anudvejita-janEH arTa-Darma-aviroDiBiH /
   vinodair atyanīyanta nave vayasi vāsarāḥ // AKad_1.19 //	vinodEH atyanIyanta nave vayasi vAsarAH // AKat-_1.19 //
   tasya cānanyalabhyānāṃ sukhānāṃ pāradṛśvanaḥ /	tasya ca-Ananya-laByAnAm suKAnAm pAradRSvanaH /
   yūno 'pi suratakrīḍāparāṅ mukham abhūn manaḥ // AKad_1.20 //	yUnaH api surata-krIxA-parAk muKam aBUt manaH // AKat-_1.20 //
   prayatnenāpi nāvāpi sā yoṣid viṣameṣuṇā /	prayatnena-api na-avA-api sA yozit vizama-izuNA /
   hartuṃ śaśāka yā tasya hṛdayaṃ cakṣur eva vā // AKad_1.21 //	hartum SaSAka yA tasya hRdayam cakzuH eva vA // AKat-_1.21 //
   atha bāhyāṅgaṇasthānavartinaṃ taṃ kadācana /	aTa bAhya-aFgaNa-sTAna-vartinam tam kadAcana /
   prasṛtya praṇayaprahvā pratīhārī vyajijñapat // AKad_1.22 //	prasRtya praNaya-prahvA pratIhArI vyajijQapat // AKat-_1.22 //
   dūrād upāyanīkṛtya śukam āścaryaceṣṭitam /	dUrAt upAya-nIkRtya Sukam AScarya-cezwitam /
   caṇḍāladārikā kācid āgatā darśanārthinī // AKad_1.23 //	caNxAladArikA kAcid AgatA darSana-arTinI // AKat-_1.23 //
   śrutvā kṣaṇaṃ parāmṛśya mukham ālokya mantriṇām /	SrutvA kzaNam parAmRSya muKam Alokya mantriNAm /
   samādideśa tāṃ rājā ko doṣaḥ praviśatv iti // AKad_1.24 //	samAdideSa tAm rAjA kaH dozaH praviSatu iti // AKat-_1.24 //
   nijena lakṣmaṇā lokasparśaṃ pariharanty atha /	nijena lakzmaNA loka-sparSam pariharanti aTa /
   mātaṅgakanyakāvikṣad anujñātā nṛpāṅgaṇam // AKad_1.25 //	mAtaFga-kanyakA-vikzat anujQAtAH nRpa-aFgaNam // AKat-_1.25 //
   tayā ca saha hastasthasaśukasvarṇapañjaraḥ /	tayA ca saha hasta-sTa-sa-Suka-svarNa-paQjaraH /
