   oṃ tatsadbrahmaṇai namaḥ	om tad-sat-brahmaNE namaH
   śrīmādhavapraṇīto jaiminīyanyāyamālāvistaraḥ /	SrI-mADava-praNItaH jEminIya-nyAya-mAlA-vistaraH /
   vāgīśādyāḥ sumanasaḥ sarvārthānāmupakrame /	vAgISa-AdyAH sumanasaH sarva-arTAnAm-upakrame /
   yaṃ natvā kṛtakṛtyāḥ syustaṃ namāmi gajānanam // MJaiNy_1.0.1 //	yam natvA kRtakRtyAH syuH-tam namAmi gajAnanam // MJENI-_1.0.1 //
   yuktiṃ mānavatīṃ vidansthiradhṛtirbhede viśeṣārthabhāg āptohaḥ	yuktim mAnavatIm vidan-sTira-DRtiH-Bede viSeza-arTa-BAj AptohaH
   kramakṛtprayuktinipuṇaḥ ślādhyātideśonnatiḥ /	krama-kRt-prayukti-nipuNaH SlADya-atideSa-unnatiH /
   nityasphūrtyadhikāravāngatasadābādhaḥ svatantreśvaro jāgarti	nitya-sPUrti-aDikAravAn-gata-sadAbADaH svatantreSvaraH jAgarti
   śrutimatprasaṅgacaritaḥ śrī bukkaṇakṣmāpatiḥ // MJaiNy_1.0.2 //	Srutimat-prasaFga-caritaH SrI buk-kaNa-kzmApatiH // MJENi-_1.0.2 //
   yadbrahma pratipādyate praguṇayattatpañcamūrtiprathāṃ tatrāyaṃ	yat-brahma pratipAdyate praguNayat-tat-paQcamUrti-praTAm tatra-ayam
   sthitimūrtimākalayati śrī bukkaṇakṣmāpatiḥ /	sTiti-mUrtim-Akalayati SrI buk-kaNa-kzmApatiH /
   vidyātīrthamunistadātmani lasanmūrtistvanugrāhikā tenāsya	vidyA-tIrTa-muniH-tad-Atmani lasat-mUrtiH-tu-anugrAhikA tena-asya
   svaguṇairakhaṇḍitaradaṃ sārvajñamuddyotate // MJaiNy_1.0.3 //	sva-guNEH-aKaNxita-radam sArvajQam-uddyotate // MJENi-_1.0.3 //
   indrasyā'ṅgiraso nalasya sumatiḥ śaibyasya medhātithir dhaumyo	indrasyA-aFgirasaH nalasya sumatiH SEbyasya meDAtiTiH DOmyaH-
   dharmasutasya vainyanṛpateḥ svaujā nimergautamiḥ /	Darmasutasya vEnya-nRpateH sva-ojAH nimeH-gOtamiH /
   pratyagdṛṣṭirarundhatīsahacaro rāmasya puṇyātmano yadvattasya	pratyak-dRzwiH-arunDatI-sahacaraH rAmasya puNya-AtmanaH yadvat-tasya
   vibhorabhūtkulagururmantrī tathā mādhavaḥ // MJaiNy_1.0.4 //	viBoH-aBUt-kula-guruH-mantrI taTA mADavaH // MJENi-_1.0.4 //
   sa khalu prājñajīvātuḥ sarvaśāstraviśāradaḥ /	sa Kalu prAjQa-jIvAtuH sarva-SAstra-viSAradaH /
   akarojjaiminimate nyāyamālāṃ garīyasīm // MJaiNy_1.0.5 //	akarot-jEmi-nimate nyAya-mAlAm garIyasIm // MJENi-_1.0.5 //
   tāṃ praśasya sabhāmadhye vīraśrībukkabhūpatiḥ /	tAm praSasya saBA-maDye vIra-SrI-bukka-BUpatiH /
   kuru vistarayasyāstvamiti mādhavamādiśat // MJaiNy_1.0.6 //	kuru vistarayasyAH-tvam-iti mADavam-AdiSat // MJENi-_1.0.6 //
   sa bhavyādbhāratītīrthayatīndracaturānanāt /	sa BavyAt-BAratI-tIrTayati-indra-caturAnanAt /
   kṛpāmavyāhatāṃ labdhvā parārdhyapratimo 'bhavat // MJaiNy_1.0.7 //	kRpAm-avyAhatAm labDvA parArDya-pratimaH aBavat // MJENi-_1.0.7 //
   nirmāya mādhavācāryo vidvadānandadāyinīm /	nirmAya mADava-AcAryaH vidvat-Ananda-dAyinIm /
   jaiminīyanyāyamālāṃ vyācaṣṭe bālabuddhaye // MJaiNy_1.0.8 //	jEminIya-nyAya-mAlAm vyAcazwe bAla-budDaye // MJENi-_1.0.8 //
   nyāyamālāyā ādau svakīyagranthatvadyotanāya svamudrārūpamanekārthagarbhe	nyAya-mAlAyAH AdO svakIya-granTa-tvadyotanAya sva-mudrA-rUpam-aneka-arTa-garBe
   devatānamaskārapratipādakaṃ ślokaṃ paṭhati -	devatA-namaskAra-pratipAdakam Slokam paWati -
   START MJaiNy 1,1.1	START MJENi 1,1.1
   vāgīśādyāḥ sumanasaḥ sarvārthānāmupakrame /	vAgISa-AdyAH sumanasaH sarva-arTAnAm-upakrame /
   yaṃ natvā kṛtakṛtyāḥ syustaṃ namāmi gajānanam // MJaiNy_1,1.1 //	yam natvA kRtakRtyAH syuH-tam namAmi gajAnanam // MJENI-_1,1.1 //
   START MJaiNy 1,1.2	START MJENi 1,1.2
   iṣṭadevatāṃ namaskṛtya cikīrṣitārthaparipālanāya pālake svāmini vidyamānaṃ	izwadevatAm namaskRtya cikIrzita-arTa-paripAlanAya pAlake svAmini vidyamAnam
   mahimānamanusmarati --	mahimAnam-anusmarati --
   yuktiṃ mānavatīṃ vidansthiradhṛtirbhede viśeṣārthabhāg āptohaḥ	yuktim mAnavatIm vidan-sTira-DRtiH-Bede viSeza-arTa-BAj AptohaH
   kramakṛtprayuktinipuṇaḥ ślādhyātideśonnatiḥ /	krama-kRt-prayukti-nipuNaH SlADya-atideSa-unnatiH /
   nityasphūrtyadhikāravāngatasadābādhaḥ svatantreśvaro jāgarti	nitya-sPUrti-aDikAravAn-gata-sadAbADaH svatantreSvaraH jAgarti
   śrutimatprasaṅgacaritaḥ śrībukkaṇakṣmāpatiḥ // MJaiNy_1,1.2 //	Srutimat-prasaFga-caritaH SrI-bukkaNa-kzmApatiH // MJENI-_1,1.2 //
   atra cikīrṣite dharmaśāstre vartamānānāṃ dvādaśānāmadhyāyānāṃ ye	atra cikIrzite Darma-SAstre vartamAnAnAm dvAdaSAnAm-aDyAyAnAm ye
