   prathamaḥ samādhi-pādaḥ |	praTamaH samADi-pAdaH |
   atha yogānuśāsanam ||1.1||	aTa yoga-anuSAsanam ||1.1||
   yogaś citta-vṛtti-nirodhaḥ ||1.2||	yogaH citta-vRtti-niroDaH ||1.2||
   tadā draṣṭuḥ sva-rūpe '-vasthānam ||1.3||	tadA drazwuH sva--rUpe a-vasTAnam ||1.3||
   vṛtti-sārūpyam itaratra ||1.4||	vRtti-sArUpyam itaratra ||1.4||
   vṛttayaḥ pañcatayyaḥ kliṣṭā akliṣṭāḥ [ ] ||1.5||	vRttayaH paQcatayyaH klizwAH aklizwAH [ ] ||1.5||
   pramāṇa-viparyaya-vikalpa-nidrā-smṛtayaḥ ||1.6||	pramANa--viparyaya--vikalpa--nidrA--smRtayaH ||1.6||
   pratyakṣānumānāgamāḥ pramāṇāni ||1.7||	pratyakza-anumAna-AgamAH pramANAni ||1.7||
   viparyayo mithyā-jñānam atad-rūpa-pratiṣṭham ||1.8||	viparyayaH miTyA-jQAnam atad-rUpa--pratizWam ||1.8||
   śabda-jñānānupātī vastu-śūnyo vikalpāḥ ||1.9||	Sabda--jQAna-anupAtI vastu--SUnyaH vikalpAH ||1.9||
   abhāva-pratyayālambanā vṛttir nidrā ||1.10||	aBAva--pratyaya-AlambanA vRttiH nidrA ||1.10||
   anubhūta-viṣayāsaṃpramoṣaḥ smṛtiḥ ||1.11||	anuBUta-vizaya-asaMpramozaH smRtiH ||1.11||
   abhyāsa-vairāgyābhyāṃ tan-nirodhaḥ ||1.12||	aByAsa--vErAgyAByAm tan--niroDaH ||1.12||
   tatra sthitau yatno '-bhyāsaḥ ||1.13|| sa [?] tu [?] [ ]	tatra sTitO yatnaH a-ByAsaH ||1.13|| sa [?] tu [?] [ ]
   dīrgha-kāla-nairantarya-satkārāsevito [ ]dṛḍha-bhūmiḥ ||1.14||	dIrGa--kAla--nErantarya--satkAra-AsevitaH [ ]dRXa--BUmiH ||1.14||
   dṛṣṭānuśravika-viṣaya-vitṛṣṇasya vaśīkāra-saṃjñā vairāgyam||15||	dRzwa-AnuSravika--vizaya-vitRzNasya vaSIkAra--saMjQA vErAgyam-||15||
   tat-paraṃ puruṣa-khyāter guṇa-vaitṛṣṇyam ||1.16||	tat--param puruza--KyAteH guNa--vEtRzNyam ||1.16||
   vitarka-vicārānandāsmitā-rūpānugamāt saṃprajñātaḥ ||1.17||	vitarka--vicAra-Ananda-asmitA--rUpa-anugamAt saMprajQAtaH ||1.17||
   virāma-pratyayābhyāsa-pūrvaḥ saṃskāra-śeṣo '-nyaḥ ||1.18||	virAma--pratyaya-aByAsa--pUrvaH saMskAra--SezaH a-nyaH ||1.18||
   bhava-pratyayo videha-prakṛti-layānām ||1.19||	Bava--pratyayaH videha--prakRti--layAnAm ||1.19||
   śraddhā-vīrya-smṛti-samādhi-prajñā-pūrvaka itareṣām ||1.20||	SradDA--vIrya--smRti--samADi--prajQA--pUrvakaH itarezAm ||1.20||
   tīvra-saṃvegānām āsannaḥ ||1.21||	tIvra--saMvegAnAm AsannaH ||1.21||
   mṛdu-madhyādhimātratvāt tato '-pi viśeṣaḥ ||1.22||	mRdu-maDya-aDimAtra-tvAt tatas a-pi viSezaH ||1.22||
