   REFERENCE SYSTEM (added):	RA-eFA-eRENCE SYSTEm (added):
   Sukhs_ = Sukhāvatīvyūha: saṃkṣiptamātṛkā_section	SuKs_  SuKAvatI-vyUha: saMkzipta-mAtRkA_sectiA-Un
   Vaidya n = pagination of P.L. Vaidya's edition (added by Klaus Wille)	VEdya n  pagi-nation of P.L. VEdya-as edition (addet bi KlOH Wille)
   NOTE: Where a page break occurs within a word, the pagination mark has	NOTE: Where a page break occuH-H wiTin a woH-d, Te pagination marj has
   been	beet-
   shifted to the end of the word in order not to interfere with word search.	shiftet taH Te end of Te wa-Urt id ordeH na-ut taH inteH-fere wiT word searC.
   (# Vaidya 254.#)	(# VEdyaH 254.#)
   # Sukhāvatīvyūhaḥ |.# (saṃkṣiptamātṛkā |)	# SuKAvatI-vyUhaH |.# (saMkzipta-mAtRkAH |)
   || namaḥ sarvajñāya ||	|| namaH sarvajQAya ||
   evaṃ mayā śrutam | ekasmin samaye bhagavān śrāvastyāṃ viharati sma	evam mayA Srutam | ekasmin samaye BagavAn SrAvastyAm viharati sma
   jetavane 'nāthapiṇḍadasyārāme mahatā bhikṣusaṃghena	jetavane anATapiNxadasya-ArAme mahatA Bikzu-saMGena
   sārdhamardhatrayodaśabhirbhikṣuśatairabhijñātābhijñātaiḥ	sArDam-arDa-trayodaSaBiH-Bikzu-SatEH-aBijQAta-aBijQAtEH
   sthavirairmahāśrāvakaiḥ sarvairarhadbhiḥ | tadyathā - sthavireṇa ca	sTavirEH-mahA-SrAvakEH sarvEH-arhadBiH | tat-yaTA  sTavireNa ca
   śāriputreṇa, mahāmaudgalyāyanena ca mahākāśyapena ca mahākapphiṇena ca	SAriputreNa, mahAmOdgalyAyanena ca mahAkASyapena ca mahA-kapPiNena ca
   mahākātyāyanena ca mahākauṣṭhilena ca revatena ca śuddhipanthakena ca	mahAkAtyAyanena ca mahA-kOzWilena ca revatena ca SudDi-panTakena ca
   nandena ca ānandena ca rāhulena ca gavāṃpatinā ca bharadvājena ca	nandena ca Anandena ca rAhulena ca gavAMpatinA ca BaradvAjena ca
   kālodayinā ca vakkulena ca aniruddhena ca | etaiścānyaiśca	kAla-udayinA ca vakkulena ca anirudDena ca | etEH-ca-anyEH-ca
   saṃbahulairmahāśrāvakaiḥ | saṃbahulaiśca bodhisattvairmahāsattvaiḥ |	saMbahulEH-mahA-SrAvakEH | saMbahulEH-ca boDisattvEH-mahAsattvEH |
   tadyathā mañjuśriyā ca kumārabhūtena, ajitena ca bodhisattvena,	tat-yaTA maQju-SriyA ca kumAra-BUtena, ajitena ca boDisattvena,
   gandhahastinā ca bodhisattvena, nityodyuktena ca bodhisattvena,	ganDa-hastinA ca boDisattvena, nitya-udyuktena ca boDisattvena,
   anikṣiptadhureṇa ca bodhisattvena | etaiścānyaiśca	anikzipta-DureNa ca boDisattvena | etEH-ca-anyEH-ca
   saṃbahulairbodhisattvairmahāsattvaiḥ | śakreṇa ca devānāmindreṇa, brahmaṇā	saMbahulEH-boDisattvEH-mahAsattvEH | SakreNa ca devAnAm-indreNa, brahmaNA
   ca sahāṃpatinā | etaiśvānyaiśca saṃbahulairdevaputranayutaśatasahasraiḥ ||	ca sahAMpatinA | etESva-anyEH-ca saMbahulEH-deva-putra-nayuta-Sata-sahasrEH ||
   Sukhs_1 ||	SuKH-_1 ||
