   Cīvaravastu	SIva-ravaH-tu
   (MSV II 3 )(239v8 = GBM 6.791.8) cīvaravastuni piṇḍoddānam* /	(MSV II 3 )(239v8  GBm 6.791.8) cIvara-vastuni piNxa-uddAnam* /
   jīvako bhāṅgakaś caiva tathā dīrghadaśāni ca /	jIvakaH BAFgakaH ca-eva taTA dIrGa-daSAni ca /
   varṣāchinnaś ca vijñeyaḥ	varzA-CinnaH ca vijQeyaH
   kālakriyā upanando glāno bhavati paścimaḥ //	kAla-kriyA upanandaH glAnaH Bavati paScimaH //
   piṇḍoddānam* /	piNxa-uddAnam* /
   jīvakaś chinnakās trīṇi varṣāśāṭī niṣīdanam* /	jIvakaH CinnakAH trINi varzA-SAwI nizIdanam* /
   kaṇḍusugatakauśeyā ūrṇāśāṇakakṣaumakāḥ //	kaNxu-sugata-kOSeyAH UrNA-SANaka-kzOmakAH //
   uddānam* /	uddAnam* /
   khaṇḍo gopaś ca siṃhaś ca vaiśālīgamanaṃ tathā /	KaNxaH gopaH ca siMhaH ca vESAlI-gamanam taTA /
   celā ṛṣikopaś ca āmrapālyabhayena ca //	celAH Rzi-kopaH ca Amra-pAlI-a-Bayena ca //
   śreṣṭhībhāryā jīvakotpattiḥ vaidyakasya ca āgamaḥ /	SrezWI-BAryA jIvaka-utpattiH vEdyakasya ca AgamaH /
   takṣaśilā bhadraṅkara udumbaraḥ kārṣamāpakaḥ //	takzaSilA BadraFkaraH udumbaraH kArzamApakaH //
   rohitakaḥ rājodyānaṃ mathurā mallastriyāhi ca /	rohitakaH rAja-udyAnam maTurA malla-striyAhi ca /
   yamunā śivapathikā vaiśālyām akṣi śatapadī sapta /	yamunA Siva-paTikA vESAlyAm akzi SatapadI sapta /
   rājagṛhe paṃcavastūni jīvakavargaḥ samudditaḥ //	rAja-gRhe paMcavastUni jIvaka-vargaH samudditaH //
   videheṣu videharājo (240r1 = GBM 6.792) rājyaṃ kārayati ṛddhaṃ ca sphītaṃ	videhezu videha-rAjaH (240r1  GBm 6.792) rAjyam kArayati RdDam ca sPItam
   ca kṣemaṃ ca subhikṣaṃ cākīrṇabahujanamanuṣyaṃ ca / tasya khaṇḍapramukhāni	ca kzemam ca suBikzam ca-AkIrNa-bahu-jana-manuzyam ca / tasya KaNxa-pramuKAni
   paṃcāmātyaśatāni / khaṇḍo 'grāmātyo dharmeṇa rājyaṃ kārayati nyāyataś ca	paMca-amAtyaSatAni / KaNxaH agra-amAtyaH DarmeNa rAjyam kArayati nyAyataH ca
   vyavahārān paśyati yataḥ sarva eva janakāyas tanmukho 'vasthitaḥ / tena	vyavahArAn paSyati yatas sarve eva jana-kAyaH tad-muKaH avasTitaH / tena
   sadṛśāt kulāt kalatram ānītam* / sa tayā sārdhaṃ krīḍati (MSV II 4) ramate	sadRSAt kulAt kalatram AnItam* / sa tayA sArDam krIxati (MSV II 4) ramate
   paricārayati / tasya krīḍato ramamāṇasya paricārayataḥ putro jātaḥ / tasya	paricArayati / tasya krIxataH ramamANasya paricArayataH putraH jAtaH / tasya
   trīṇi saptakāny ekaviṃśati divasān pūrvavad yāvad gopa iti nāmadheyaṃ	trINi saptakAni ekaviMSati divasAn pUrvavat yAvat gopaH iti nAmaDeyam
   vyavasthāpitam* / bhūyo 'py asya krīḍato ramamāṇasya paricārayataḥ putro	vyavasTApitam* / BUyas api asya krIxataH ramamANasya paricArayataH putraH-
   jātaḥ / tasyāpi pūrvavad vistareṇa siṃha iti nāmadheyaṃ vyavasthāpitam* /	jAtaH / tasya-api pUrvavat vistareNa siMhaH iti nAmaDeyam vyavasTApitam* /
   gopaḥ siṃhaś ca kramaśas taruṇau saṃvṛttau / khaṇḍo 'grāmātyaḥ pūrvam eva	gopaH siMhaH ca kramaSas taruNO saMvRttO / KaNxaH agra-amAtyaH pUrvam eva
   śūro vikrāntaḥ pañcasu sthāneṣu kṛtāvi yenāmātyānām agraḥ / yadā putrabalī	SUraH vikrAntaH paQcasu sTAnezu kRta-avi yena-amAtyAnAm agraH / yadA putra-balI
   jātas tadā bhūyasyā mātrayā sarvāmātyān abhibhūyāvasthitaḥ / tatas te	jAtaH tadA BUyasyA mAtrayA sarva-amAtyAn aBiBUya-avasTitaH / tatas te
   'mātyā upahatatejasaḥ parasparaṃ saṃjalpaṃ kṛtvā saṃjātāmarṣā rājñaḥ	amAtyAH upahata-tejasaH parasparam saMjalpam kRtvA saMjAta-AmarzAH rAjQaH
   sakāśaṃ gatāḥ / tato 'vasaraṃ jñātvā rājānam ūcuḥ / deva ko rājā / rājā	sakASam gatAH / tatas avasaram jQAtvA rAjAnam UcuH / deva kaH rAjA / rAjA
   kathayati / kuto bhavatāṃ vimarṣo 'haṃ rājā ko 'nya iti / te kathayanti /	kaTayati / kutas BavatAm vimarzaH aham rAjA kaH anyaH iti / te kaTayanti /
   deva khaṇḍo rājā na devaḥ / yadi tasyābhirucitaṃ syād devaṃ rājyāc	deva KaNxaH rAjA na devaH / yadi tasya-aBirucitam syAt devam rAjyAc
   cyāvayitvā svayam eva paṭṭaṃ baddhā rājyaiśvaryādhipatyaṃ kārayed iti /	cyAvayitvA svayam eva pawwam badDA rAjya-ESvarya-ADipatyam kArayet iti /
   rājā saṃlakṣayati / sarva ete tenābhibhūtās tena bhedaṃ kurvantīti / yāvad	rAjA saMlakzayati / sarve ete tena-aBiBUtAH tena Bedam kurvanti-iti / yAvat-
   apareṇa samayena rājā amātyagaṇaparivṛtas tiṣṭhati / khaṇḍaś cāgrāmātyo	apareNa samayena rAjA amAtya-gaNa-parivRtaH tizWati / KaNxaH ca-agra-amAtyaH-
   'rthipratyarthiśatasahasraparivṛto rājakulaṃ praviṣṭaḥ / pūrṇaṃ tad	arTi-pratyarTi-Sata-sahasra-parivRtaH rAja-kulam pravizwaH / pUrNam tat-
   rājakulam avasthitam* / yadā tu rājakṛtiṃ kṛtvā niṣkrāntas tadā tad	rAja-kulam avasTitam* / yadA tu rAja-kRtim kRtvA nizkrAntaH tadA tat-
   rājakulaṃ śūnyam avasthitam* / rājā kathayati / bhavantaḥ sarva evāyaṃ	rAja-kulam SUnyam avasTitam* / rAjA kaTayati / BavantaH sarve eva-ayam
   janakāyo niṣkrāmati / amātyair avatāro labdhaḥ / te kathayanti /	jana-kAyaH nizkrAmati / amAtyEH avatAraH labDaH / te kaTayanti /
   sākṣātkṛtaṃ devena yato vijñāpayāmaḥ / yadi (MSV II 5) khaṇḍasyābhirucitaṃ	sAkzAtkRtam devena yatas vijQApayAmaH / yadi (MSV II 5) KaNxasya-aBirucitam
   syād eva rājyāc cyāvayitvā svayam eva paṭṭaṃ baddhā rājyaiśvaryādhipatyaṃ	syAt eva rAjyAt cyAvayitvA svayam eva pawwam badDA rAjya-ESvarya-ADipatyam
   kārayed iti / kākaśaṅkino hi rājānaḥ / sa saṃlakṣayati / yathaite	kArayet iti / kAka-SaFkinaH hi rAjAnaH / sa saMlakzayati / yaTA-ete
   kathayanti nūnam evam iti / sa tasyāvatāraprekṣī saṃvṛttaḥ /	kaTayanti nUnam evam iti / sa tasya-avatAra-prekzI saMvRttaH /
   mitrāmitramadhyamā lokāḥ / yāvad aparaiḥ khaṇḍasyārocitam* / rājā	mitra-amitra-maDyamAH lokAH / yAvat aparEH KaNxasya-Arocitam* / rAjA
   tavāvatāraprekṣy avatiṣṭhate / kṣamaṃ manyasveti / tasya śaṃkā samutpannā	tava-avatAra-prekzI avatizWate / kzamam manyasva-iti / tasya SaMkA samutpannA
   / sa vicārayituṃ pravṛttaḥ / kva gacchāmīti / yadi śrāvastīṃ gāmiṣyāmi	/ sa vicArayitum pravRttaH / kva gacCAmi-iti / yadi SrAvastIm gAmizyAmi
   rājādhīnā śrāvastī tatrāpy eṣa evādīnavaḥ / evaṃ vārāṇasyāṃ rājagṛhe	rAja-aDInA SrAvastI tatra-api ezaH eva-AdInavaH / evam vArANasyAm rAjagRhe
   caṇpāyām ekādhīnatvād eṣa evādīnavaḥ / vaiśālī gaṇādhīnā / yadṛśānām	caNpAyAm eka-aDIna-tvAt ezaH eva-AdInavaH / vESAlI gaNa-aDInA / yadRSAnAm
