   atha karatoyāmāhātmyam ||	aTa karatoyAmAhAtmyam ||
   §śrīpārvaty uvāca |	§SrIpArvatI uvAca |
   aparaṃ kathyatāṃ deva nadīnāṃ ca viśeṣataḥ /	aparam kaTyatAm deva nadInAm ca viSezataH /
   pauṇḍrakṣetrasya māhātmyaṃ na śrutaṃ vistarāt prabho // KtoM_01 //	pONxra-kzetrasya mAhAtmyam na Srutam vistarAt praBo // Ktom_01 //
   kadotpattiḥ kathaṃ tasyāḥ kasmāc caiva viśeṣaṭaḥ /	kadA-utpattiH kaTam tasyAH kasmAt ca-eva viSezawaH /
   śrotum icchāmi bhūteśa yadi syān mayy anugrahaḥ // KtoM_02 //	Srotum icCAmi BUteSa yadi syAt mayi anugrahaH // Ktom_02 //
   kena prākāśitā sā ca nadī karajalā bhuvi /	kena prAkASitA sA ca nadI kara-jalAH Buvi /
   kathaṃ vā plāvitaṃ kṣetraṃ śubhaṃ pauṇḍram anuttamam // KtoM_03 //	kaTam vA plAvitam kzetram SuBam pONxram anuttamam // Ktom_03 //
   §īśvara uvāca |	§ISvaraH uvAca |
   pāṇigrahaṇakāle te devi himavatā jalam /	pANigrahaNa-kAle te devi himavatA jalam /
   saṃpradattaṃ matkarāc ca nirgataṃ karajā bhuvi // KtoM_04 //	saMpradattam mad-karAt ca nirgatam karajAH Buvi // Ktom_04 //
   puraiva kathitaṃ sarvaṃ pauṇḍrasya ca sureśvari /	purA-eva kaTitam sarvam pONxrasya ca sureSvari /
   tatraiva kathitaṃ tubhyaṃ karatoyāphalaṃ yathā // KtoM_05 //	tatra-eva kaTitam tuByam karatoyA-Palam yaTA // Ktom_05 //
   adhunāpi yathā tāsāṃ nadīnāṃ ca viśeṣataḥ /	aDunA-api yaTA tAsAm nadInAm ca viSezataH /
   kalipāpaharā puṇyā bhārgavena prakāśitā // KtoM_06 //	kali-pApa-harA puNyA BArgavena prakASitA // Ktom_06 //
   matputro 'pi guhas tatra tiṣṭhaty eva hi sarvadā /	mad-putraH api guhaH tatra tizWati eva hi sarvadA /
   yatrāste bhagavān viṣṇur garuḍāsana īśvaraḥ // KtoM_07 //	yatra-Aste BagavAn vizNuH garuxa-AsanaH ISvaraH // Ktom_07 //
   sarvadā sarvabhāvena pauṇḍre nārāyaṇo hariḥ /	sarvadA sarva-BAvena pONxre nArAyaNaH hariH /
   puṣkaraṃ na tyajet brahmā nāhaṃ vārāṇasīṃ tyaje // KtoM_08 //	puzkaram na tyajet brahmA na-aham vArANasIm tyaje // Ktom_08 //
   śrīpauṇḍravardhanaṃ kṣetraṃ naiva muñcati keśavaḥ /	SrI-pONxravarDanam kzetram na-eva muQcati keSavaH /
   dharitryā nābhikamalaṃ pūtaṃ karajalair mama // KtoM_09 //	DaritryA na-aBi-kamalam pUtam kara-jalEH mama // Ktom_09 //
   §sūta uvāca |	§sUtaH uvAca |
   śṛṇudhvaṃ munayaḥ sarve yad uktaṃ bhārgavena vai /	SRNuDvam munayaH sarve yat uktam BArgavena vE /
   śrutvā śaṅkarato vākyaṃ saṃvādam ubhayor api // KtoM_10 //	SrutvA SaFkarataH vAkyam saMvAdam uBayoH api // Ktom_10 //
   putravātsalyabhāvena bhārgavāya prakāśitam /	putra-vAtsalya-BAvena BArgavAya prakASitam /
   sa eva bhārgavaḥ śrīmān ṛṣibhyo 'py aprakāśayat // KtoM_11 //	saH eva BArgavaH SrImAn RziByaH api aprakASayat // Ktom_11 //
   namas tasmai munīndrāya dānavendraniṣūdane /	namaH tasmE muni-indrAya dAnava-indra-nizUdane /
   śrīcakrapāṇaye tubhyaṃ brahmaviṣṇuśivātmane // KtoM_12 //	SrI-cakra-pANaye tuByam brahma-vizNu-Siva-Atmane // Ktom_12 //
   ekaḥ paraśumātreṇa nihatya kṣatriyān yudhi /	ekaH paraSu-mAtreNa nihatya kzatriyAn yuDi /
   cakre niḥkṣatriyāṃ pṛthvīm ekaviṃśativārataḥ // KtoM_13 //	cakre niHkzatriyAm pRTvIm ekaviMSati-vArataH // Ktom_13 //
   tataḥ paraśurāmeti pṛthivyāṃ khyātavikramaḥ /	tatas paraSurAma-iti pRTivyAm KyAta-vikramaH /
   jāmadagnyo mahāvīryas tretādye yasya saṃsthitiḥ // KtoM_14 //	jAmadagnyaH mahA-vIryaH tretA-Adye yasya saMsTitiH // Ktom_14 //
   sarvajñaḥ suvrataḥ śuddhaḥ sarvācāravidhāyakaḥ /	sarvajQaH suvrataH SudDaH sarva-AcAra-viDAyakaH /
   kautukākṛṣtahṛdayaḥ pṛthivyāṃ paramo hariḥ // KtoM_15 //	kOtuka-AkRzta-hRdayaH pRTivyAm paramaH hariH // Ktom_15 //
   pauṇḍre koṭiśilādvīpe mahāpuṇye suviśrute /	pONxre kowi-SilA-dvIpe mahA-puNye su-viSrute /
   karatoyāsarinnīraṃ śarīrādyantapāvanam /	karatoyAsarit-nIram SarIra-Adi-anta-pAvanam /
   bhaktimuktiphalārthāya yenākāri dvijārpaṇam // KtoM_16 //	Bakti-mukti-Pala-arTAya yena-akAri dvija-arpaNam // Ktom_16 //
   adbhutā kāritā sṛṣṭiḥ kanakasya dinatrayam /	adButA kAritA sRzwiH kanakasya dina-trayam /
   skandagovindayor madhye bhūmiḥ saṃskṛtavedikā // KtoM_17 //	skanda-govindayoH maDye BUmiH saMskRta-vedikA // Ktom_17 //
   vedīmadhyottare pārśve devī kālañjarī sthitā /	vedI-maDya-uttare pArSve devI kAlaQjarI sTitA /
   taddakṣiṇe 'rpitā devī koṭīśvarīti viśrutā // KtoM_18 //	tad-dakziNe arpitA devI kowISvarI-iti viSrutA // Ktom_18 //
   nairṛte liṅgakoṭyaś ca vasanti bhṛguṇārpitāḥ /	nErRte liFgakowyaH ca vasanti BRguNA-arpitAH /
   vāraṇe vijayā caṇḍī uttare bhūtikeśvaraḥ // KtoM_19 //	vAraNe vijayA caNxI uttare BUtikeSvaraH // Ktom_19 //
   tatkuṇḍe sutithau snātvā naraḥ pāpāt pramucyate /	tad-kuNxe su-tiTO snAtvA naraH pApAt pramucyate /
   bhūtikeśvaradevasya dakṣiṇe sūryamaṇḍapam // KtoM_20 //	BUtikeSvara-devasya dakziNe sUrya-maNxapam // Ktom_20 //
   vedīmadhye 'rpito yūpaḥ saṃśleṣād vardhate nṛṇām /	vedI-maDye arpitaH yUpaH saMSlezAt varDate nRNAm /
   govindamaṇḍapāt pūrvaṃ kuṇḍaṃ viṣṇuvinirmitam // KtoM_21 //	govinda-maNxapAt pUrvam kuNxam vizNu-vinirmitam // Ktom_21 //
   skandamaṇḍapavāyavye sabhā rāmasya cādbhutā /	skanda-maNxapa-vAyavye saBA rAmasya ca-adButA /
   sapādalakṣaṃ viprāṇāṃ yatrāste 'dbhutakarmaṇām // KtoM_22 //	sa-pAda-lakzam viprANAm yatra-Aste adButa-karmaNAm // Ktom_22 //
   prabhāvāt tapaso devi munīndrasya mahātmanaḥ /	praBAvAt tapasaH devi muni-indrasya mahAtmanaH /
   tatsabhā vāyukoṇe ca gartam īśvaranirmitam // KtoM_23 //	tad-saBA vAyu-koNe ca gartam ISvara-nirmitam // Ktom_23 //
   ādyaṃ bhuvo bhavanaṃ lakṣasapādavipraiḥ	Adyam BuvaH Bavanam lakza-sapAda-viprEH
   skandādiviṣṇubalabhadraśivādidevaiḥ /	skanda-Adi-vizNu-bala-Badra-Siva-Adi-devEH /
