   //mausalaṃ parva//	//mOsalam parva//
   nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam /	nArAyaNam namaskRtya naram ca-eva narottamam /
   devīṃ sarasvatīṃ vyāsaṃ tato jayamudīrayet // Bhmj_16.1 //	devIm sarasvatIm vyAsam tatas jayam-udIrayet // Bhmd-_16.1 //
   mahīṃ mahībhṛtāṃ dhurye dharmarāje praśāsati /	mahIm mahIBRtAm Durye DarmarAje praSAsati /
   ṣaḍviṃśe 'bde mahābhāgā dvārakāṃ munayo yayuḥ // Bhmj_16.2 //	zaxviMSe abde mahABAgAH dvArakAm munayaH yayuH // Bhmd-_16.2 //
   tāndṛṣṭvā kauśikamukhānpraharṣanmadaviplutāḥ /	tAn-dRzwvA kOSika-muKAn-praharzan-mada-viplutAH /
   sāmbaṃ kṛtvā vadhūveśaṃ papracchurvṛṣṇipuṃgavāḥ // Bhmj_16.3 //	sAmbam kRtvA vaDU-veSam papracCuH-vRzNi-puMgavAH // Bhmd-_16.3 //
   api putraḥ sutā vāsyā bhaviṣyati munīśvarāḥ /	api putraH sutAH vA-asyAH Bavizyati muni-ISvarAH /
   tacchrutvā te 'vadannasyāḥ kulamṛtyurbhaviṣyati // Bhmj_16.4 //	tat-SrutvA te avadan=-asyAH kula-mRtyuH-Bavizyati // Bhmd-_16.4 //
   musalaṃ brahmadaṇḍākhyamityuktvādarśanaṃ yayuḥ /	musalam brahmadaNxa-AKyam-iti-uktvA-adarSanam yayuH /
   lauhaṃ sāmbastato 'sūta musalaṃ vajrasaṃhatam // Bhmj_16.5 //	lOham sAmbaH-tatas asUta musalam vajra-saMhatam // Bhmd-_16.5 //
   tadāhvako bhayātpiṣṭvā tūrṇaṃ tatyāja sāgare /	tat-AhvakaH BayAt-pizwvA tUrNam tatyAja sAgare /
   sarvajño jñātavṛttānto vṛṣṇikṣayamupasthitam // Bhmj_16.6 //	sarvajQaH jQAta-vRttAntaH vRzNi-kzayam-upasTitam // Bhmd-_16.6 //
   vijñāya kaiṭabhārātistīrthayātrārasādyayau /	vijQAya kEwaBArAtiH-tIrTa-yAtrA-rasAt-yayO /
