   oṃ	om
   mano hi dvividhaṃ proktaṃ śuddhaṃ cāśuddham eva ca /	manaH hi dviviDam proktam SudDam ca-aSudDam eva ca /
   aśuddhaṃ kāmasaṃkalpaṃ śuddhaṃ kāmavivarjitam // BrbUp_1 //	aSudDam kAma-saMkalpam SudDam kAma-vivarjitam // BrbUS-_1 //
   mana eva manuṣyāṇāṃ kāraṇaṃ bandhamokṣayoḥ /	manaH eva manuzyANAm kAraNam banDa-mokzayoH /
   bandhāya viṣayāsaktaṃ muktyai nirviṣayaṃ smṛtam // BrbUp_2 //	banDAya vizaya-Asaktam muktyE nirvizayam smRtam // BrbUS-_2 //
   yato nirviṣayasyāsya manaso muktir iṣyate /	yatas nirvizayasya-asya manasaH muktiH izyate /
   tasmān nirviṣayaṃ nityaṃ manaḥ kāryaṃ mumukṣuṇā // BrbUp_3 //	tasmAt nirvizayam nityam manaH kAryam mumukzuNA // BrbUS-_3 //
   nirastaviṣayāsaṅgaṃ saṃniruddhaṃ mano hṛdi /	nirasta-vizaya-AsaFgam saMnirudDam manaH hRdi /
   yadā yāty unmanībhāvaṃ tadā tat paramamadam // BrbUp_4 //	yadA yAti unmanIBAvam tadA tat parama-madam // BrbUS-_4 //
   tāvad eva niroddhavyaṃ yāvaddhṛdi gataṃ kṣayam /	tAvat eva nirodDavyam yAvat-hRdi gatam kzayam /
   etaj jñānaṃ ca mokṣaṃ ca ato 'nyo granthavistaraḥ // BrbUp_5 //	etat jQAnam ca mokzam ca atas anyaH granTa-vistaraH // BrbUS-_5 //
   naiva cintyaṃ na cācintyam acintyaṃ cintyam eva ca /	na-eva cintyam na ca-acintyam acintyam cintyam eva ca /
   pakṣapātavinirmuktaṃ brahma sampadyate tadā // BrbUp_6 //	pakzapAta-vinirmuktam brahma sampadyate tadA // BrbUS-_6 //
   svareṇa saṃdhayed yogam asvaraṃ bhāvayet param /	svareNa saMDayet yogam asvaram BAvayet param /
   asvareṇa hi bhāvena bhāvo nābhāva iṣyate // BrbUp_7 //	asvareNa hi BAvena BAvaH na-aBAvaH izyate // BrbUS-_7 //
   tad eva niṣkalaṃ brahma nirvikalpaṃ nirañjanam /	tat eva nizkalam brahma nirvikalpam niraQjanam /
   tad brahmāham iti jñātvā brahma sampadyate dhruvam // BrbUp_8 //	tat brahmA-aham iti jQAtvA brahma sampadyate Druvam // BrbUS-_8 //
   nirvikalpam anantaṃ ca hetudṛṣṭāntavarjitam /	nirvikalpam anantam ca hetu-dRzwAnta-varjitam /
   aprameyam anādyaṃ ca jñātvā ca paramaṃ śivam // BrbUp_9 //	aprameyam anAdyam ca jQAtvA ca paramam Sivam // BrbUS-_9 //
   na nirodho na cotpattir na vandyo na ca śāsanam /	na niroDaH na ca-utpattiH na vandyaH na ca SAsanam /
   na mumukṣā na muktiś ca ity eṣā paramārthatā // BrbUp_10 //	na mumukzA na muktiH ca iti ezA paramArTa-tA // BrbUB-_10 //
   eka evātmā mantavyo jāgratsvapnasuṣuptiṣu /	ekaH eva-AtmA mantavyaH jAgrat-svapna-suzuptizu /
   sthānatrayād vyatītasya punarjanma na vidyate // BrbUp_11 //	sTAna-trayAt vyatItasya punarjanma na vidyate // BrbUB-_11 //
   eka eva hi bhūtātmā bhūte bhūte vyavasthitaḥ /	ekaH eva hi BUtAtmA BUte BUte vyavasTitaH /
   ekadhā bahudhā caiva dṛśyate jalacandravat // BrbUp_12 //	ekaDA bahuDA ca-eva dRSyate jala-candra-vat // BrbUB-_12 //
   ghaṭasaṃbhṛtam ākāśaṃ līyamāne ghaṭe yathā /	Gawa-saMBRtam AkASam lIyamAne Gawe yaTA /
   ghaṭo līyeta nākāśaṃ tadvaj jīvo ghaṭopamaḥ // BrbUp_13 //	GawaH lIyeta na-AkASam tadvat jIvaH Gawa-upamaH // BrbUB-_13 //
   ghaṭavad vividhākāraṃ bhidyamānaṃ punaḥ punaḥ /	Gawa-vat viviDa-AkAram BidyamAnam punar punar /
   tadbhagnaṃ na ca jānāti sa jānāti ca nityaśaḥ // BrbUp_14 //	tad-Bagnam na ca jAnAti sa jAnAti ca nityaSas // BrbUB-_14 //
   śabdamāyāvṛto yāvat tāvat tiṣṭhati puṣkare /	Sabda-mAyA-AvRtaH yAvat tAvat tizWati puzkare /
   bhinne tamasi caikatvam ekam evānupaśyati // BrbUp_15 //	Binne tamasi ca-eka-tvam ekam eva-anupaSyati // BrbUB-_15 //
   śabdākṣaraṃ paraṃ brahma yasmin kṣīṇe yad akṣaram /	Sabda-akzaram param brahma yasmin kzINe yat akzaram /
   tad vidvān akṣaraṃ dhyāyed yadīcchecchāntim ātmanaḥ // BrbUp_16 //	tat vidvAn akzaram DyAyet yadi-icCet-SAntim AtmanaH // BrbUB-_16 //
   dve vidye veditavye tu śabdabrahma paraṃ ca yat /	dve vidye veditavye tu Sabdabrahma param ca yat /
   śabdabrahmaṇi niṣṇātaḥ paraṃ brahmādhigacchati // BrbUp_17 //	SabdabrahmaNi nizNAtaH param brahma-aDigacCati // BrbUB-_17 //
   grantham abhyasya medhāvī jñānavijñānatattvataḥ /	granTam aByasya meDAvI jQAna-vijQAna-tattvataH /
   palālam iva dhānyārthī tyajed grantham aśeṣataḥ // BrbUp_18 //	palAlam iva DAnya-arTI tyajet granTam aSezatas // BrbUB-_18 //
   gavām anekavarṇānāṃ kṣīrasyāpy ekavarṇatā /	gavAm aneka-varNAnAm kzIrasya-api eka-varNa-tA /
   kṣīravat paśyate jñānaṃ liṅginas tu gavāṃ yathā // BrbUp_19 //	kzIra-vat paSyate jQAnam liFginaH tu gavAm yaTA // BrbUB-_19 //
   ghṛtam iva payasi nigūḍhaṃ bhūte bhūte ca vasati vijñānam /	GRtam iva payasi nigUXam BUte BUte ca vasati vijQAnam /
   satataṃ manthayitavyaṃ manasā manthānabhūtena // BrbUp_20 //	satatam manTayitavyam manasA manTAna-BUtena // BrbUB-_20 //
   jñānanetraṃ samādāya cared vahnim ataḥ param /	jQAna-netram samAdAya caret vahnim atas param /
   niṣkalaṃ nirmalaṃ śāntaṃ tad brahmāham iti smṛtam // BrbUp_21 //	nizkalam nirmalam SAntam tat brahmA-aham iti smRtam // BrbUB-_21 //
   sarvabhūtādhivāsaṃ ca yad bhūteṣu vasaty adhi /	sarva-BUta-aDivAsam ca yat BUtezu vasati aDi /
   sarvānugrāhakatvena tad asmy ahaṃ vāsudeva // BrbUp_22 //	sarva-anugrAhaka-tvena tat asmi aham vAsudeva // BrbUB-_22 //
