   Guṇakāraṇḍavyūha sūtra	GuNa kAraNxavyUha sUtra
   1. śrītriratna bhajanānuśaṃsāvadānam	1. SrI tri ratna Bajana anuSaMsa avadAnam
   om namaḥ śrīratnatrayāyaḥ namaḥ sarvabuddhabodhisattvebhyaḥ //	om namaH SrI ratnatrayAyaH namaH sarva budDa boDisattveByaH //
   yaṃ śrīghano mahābuddhaḥ sarvalokādhipo jinaḥ /	yam SrIGanaH mahAbudDaH sarva loka aDipaH jinaH /
   taṃ nāthaṃ śaraṇaṃ gatvā vakṣye lokeśasatkathām //	tam nATam SaraNam gatvA vakzye lokeSa sat kaTAm //
   yā śrī bhagavatī devī sarvadharmādhipeśvarī /	yA SrI BagavatI devI sarva Darma aDipa ISvarI /
   tasyā bhaktiprasādena vakṣyāmi bodhisādhanam //	tasyAH Bakti prasAdena vakzyAmi boDi sADanam //
   yena saṃpālitaṃ sarvaṃ traidhātukamidaṃ jagat /	yena saMpAlitam sarvam trEDAtukam idam jagat /
   tasya lokeśvarasyāhaṃ vakṣye sarvārthasādhanam /	tasya lokeSvarasya aham vakzye sarva arTa sADanam /
   tadyathābhūnmahāsattvo jinaśrīrāja ātmavit /	tat yaTA aBUt mahAsattvaH jina SrI rAjaH Atma vid /
   triratnaśaraṇaṃ gatvā yatirarhan jinātmajaḥ //	tri ratna SaraNam gatvA yatiH arhan jina AtmajaH //
   ekasmin samaye so 'rhad bodhimaṇḍe jināśrame /	ekasmin samaye saH arhat boDimaNxe jina ASrame /
   bodhicaryāvratam dhṛtvā jagaddhitve samāśrayat //	boDi caryA vratam DRtvA jagat hitve samASrayat //
   tadā tatra mahābhijño jayaśrīryatirātmavit /	tadA tatra mahA aBijQaH jaya SrIH yatiH Atma vid /
   saddharmaṃ samupādeṣṭuṃ sabhāsane samāśrayat //	sadDarmam samupAdezwum saBA Asane samASrayat //
   taṃ dṛṣṭvā śrāvakāḥ sarve bhikṣavo brahmacāriṇaḥ /	tam dRzwvA SrAvakAH sarve BikzavaH brahmacAriNaH /
   tatsaddharmāmṛtaṃ pātumupetya samupāśrayan //	tad sadDarma amRtam pAtum upetya samupASrayan //
   tathānye bodhisattvāśca saṃbodhivratasādhinaḥ /	taTA anye boDisattvAH ca saMboDi vrata sADinaH /
   subhāṣitāmṛtaṃ pātuṃ tatsabhāṃ samupāśrayan //	su BAzita amRtam pAtum tad saBAm samupASrayan //
   bhikṣuṇyaścelakāścaivamupāsakā upāsikāḥ /	BikzuNyaH celakAH ca evam upAsakAH upAsikAH /
   vratino 'pi mahāsattvāḥ sambuddhabhakticārikāḥ //	vratinaH api mahAsattvAH sambudDa Bakti cArikAH //
   (Gkv 2)	(Gku 2)
   brāhmaṇāḥ kṣatriyāścāpi rājāno mantriṇo janāḥ /	brAhmaNAH kzatriyAH ca api rAjAnaH mantriNaH janAH /
   amātyāḥ śreṣṭhinaḥ paurāḥ sārthavāhā mahājanāḥ //	amAtyAH SrezWinaH pOrAH sArTavAhAH mahA janAH //
   tathā jānapadā grāmyāḥ pārvatikāśca nairgamāḥ /	taTA jAnapadAH grAmyAH pArvatikAH ca nErgamAH /
   tathānye daiśikā lokāḥ saddharmaguṇavāṃchinaḥ //	taTA anye dESikAH lokAH sat Darma guNavAMCinaH //
   sarve te samupāgatya tamarhantaṃ jayaśriyam /	sarve te samupAgatya tam arhantam jaya Sriyam /
   yathākramaṃ samabhyarcya praṇatvā samupāśritāḥ //	yaTAkramam samaByarcya praNatvA samupASritAH //
   tatsaddharmāmṛtaṃ pātuṃ kṛtāṃjalipuṭā mudā /	tad sadDarma amRtam pAtum kRta aMjali puwAH mudA /
   śāstāraṃ taṃ samālokya parivṛtya niṣedire //	SAstAram tam samAlokya parivRtya nizedire //
   tadā so 'rhanmahāsattvo bodhisattvo jinātmajaḥ /	tadA saH arhan mahAsattvaH boDisattvaH jina AtmajaH /
   jinaśrīrājannālokya sarvāṃllokān sabhāśrītān //	jina SrI rAjan= Alokya sarvAn= lokAn saBA SrItAn //
   triratnaguṇamāhātmyaṃ śrotuṃ samabhilāṣiṇaḥ /	tri ratna guNa mAhAtmyam Srotum samaBilAziNaH /
   samutthāyāsanāttasya jayaśriyaḥ puro 'grataḥ //	samutTAya AsanAt tasya jaya SriyaH puras agratas //
   udvahannuttarāsaṃgaṃ jānubhūmitalāśritaḥ /	udvahan= uttarAsaMgam jAnu BUmi tala ASritaH /
   pādābjaṃ sāṃjalirnatvā prārthayadevamādarāt //	pAda abjam sAMjaliH natvA prArTayat evam AdarAt //
   bhadanta śrotumichāmi triratnotpattisatkathām /	Badanta Srotum iCAmi tri ratna utpatti sat kaTAm /
   tadbhagavān samupādiśya sambodhayatu māṃ guro //	tad BagavAn samupAdiSya samboDayatu mAm guro //
   iti saṃprārthite tena jinaśrīguṇasaṃbhṛtā /	iti saMprArTite tena jina SrI guNa saMBRtA /
   jayaśrīḥ sumatiḥ śāstā sabhā vīkṣyaivamādiśat //	jaya SrIH sumatiH SAstA saBA vIkzya evam AdiSat //
   sādhu śṛṇu samādhāya jinaśrīrāja sanmate /	sADu SRNu samADAya jina SrI rAja sanmate /
   triratnasya samutpattisatkathāguṇavistaram //	tri ratnasya samutpatti sat kaTA guNa vistaram //
   yathā me guruṇādiṣṭaṃ jinakalpena yoginā /	yaTA me guruNA Adizwam jina kalpena yoginA /
   upaguptena lokānāṃ hitārthe vakṣyate mayā //	upaguptena lokAnAm hita arTe vakzyate mayA //
   tadyathābhūnmahārājaścakravartīṃ narādhipaḥ /	tat yaTA aBUt mahA rAjaH cakravartIm narADipaH /
   aśoko nāma rājendraḥ sarvalokahitārthabhṛt //	aSokaH nAma rAja indraH sarva loka hita arTa BRt //
   ekadā sa mahārājaḥ saddharmaguṇalālasaḥ /	ekadA sa mahA rAjaH sat Darma guNa lAlasaH /
   triratnaguṇamāhātmyaṃ śrotumaicchajjagaddhite //	tri ratna guNa mAhAtmyam Srotum EcCat jagat hite //
   tataḥ sa bhūpatī rājā samantrijanapaurikaḥ /	tatas sa BUpatiH rAjA sa mantri jana pOrikaH /
   pūjopahāramādāya sa saṃvādya mahotsavaiḥ //	pUjA upahAram AdAya sa saMvAdya mahA utsavEH //
   (Gkv 3)	(Gku 3)
   vihāre kukkuṭārāme prayayau saṃpramoditaḥ /	vihAre kukkuwa ArAme prayayO saMpramoditaH /
   tataḥ prāptaḥ sa rājendra praviśya saṃprasāditaḥ //	tatas prAptaH sa rAja indra praviSya saMprasAditaH //
   upaguptaṃ mahābhijñaṃ saṃdadarśa sasāṃghikam /	upaguptam mahA aBijQam saMdadarSa sa sAMGikam /
   tamarhantaṃ samālokya natvā sa sāṃjalirmudā //	tam arhantam samAlokya natvA sa sAMjaliH mudA //
   sahasā samupāgatya yathāvidhi samarcayet /	sahasA samupAgatya yaTAviDi samarcayet /
   tataḥ pradakṣiṇīkṛtvā pravatvā caraṇāmbuje //	tatas pradakziNIkRtvA pravatvA caraNa ambuje //
   sāṃjalistasya saddharma śrotuṃ puraḥ samāśrayat /	sAMjaliH tasya sadDarma Srotum puras samASrayat /
