   yogācārabhūmau	yoga AcAra BUmO
   Bodhisattvabhūmiḥ	BoDisattva BUmiH
   ādhārayogasthānam (Book 1)	ADAra yoga sTAnam (Book 1)
   gotra paṭalam (Chapter 1.1)	gotra  pawalam (ChapteH 1.1)
   om namo buddhāya // daśeme dharmāḥ saphalasya bodhisattvamārgasya	om namaH budDAya // daSa ime DarmAH saPalasya boDisattva mArgasya
   mahāyānasya saṃgrahāya saṃvartante / katame daśa / ādhāro liṅgaṃ pakṣo	mahAyAnasya saMgrahAya saMvartante / katame daSa / ADAraH liFgam pakzaH 
   'dhyāśayo vihāra upapattiḥ parigraho bhūmiścaryā pratiṣṭhā ca /	aDyASayaH vihAraH upapattiH parigrahaH BUmiH caryA pratizWA ca /
   uddānam /	uddAnam /
   ādhāro liṅga pakṣādhyāśaya vihārā upapattiḥ /	ADAraH liFga  pakzADyASaya  vihArAH upapattiH /
   parigraho bhūmiścaryā pratiṣṭhā paścimā bhavet //	parigrahaH BUmiH caryA pratizWA paScimA Bavet //
   tatrādhāraḥ katamaḥ / iha bodhisattvasya svagotraṃ prathamaścittotpādaḥ	tatra ADAraH katamaH / iha boDisattvasya sva gotram praTamaH citta utpAdaH
   sarve ca bodhipakṣyā dharmā ādhāra ityucyate / tatkasya hetoḥ / iha	sarve ca boDi pakzyAH DarmAH ADAraH iti ucyate / tat kasya hetoH / iha
   bodhisattvo gotraṃ niśritya pratiṣṭhāpayitavyo bhavati / pratibalo	boDisattvaH gotram niSritya pratizWApayitavyaH Bavati / pratibalaH 
   'nuttarāṃ samyaksaṃbodhimabhisaṃboddhum / tasmāt sabhāgatayā gotramādhāra	anuttarAm samyaksaMboDim aBisaMbodDum / tasmAt saBAgatayA gotram ADAra
   ityucyate / iha bodhisattvaḥ prathamacittotpādaṃ niśritya pratiṣṭhāya dāne	iti ucyate / iha boDisattvaH praTama citta utpAdam niSritya pratizWAya dAne
   'pi prayujyate śīle kṣāntau vīryeṃ dhyāne prajñāyāmapi prayujyate iti /	api prayujyate SIle kzAntO vIryem DyAne prajQAyAm api prayujyate iti /
   yadvā pāramitāsu puṇyasaṃbhāre jñānasaṃbhāre sarveṣu ca bodhipakṣyeṣu	yat vA pAramitAsu puNya saMBAre jQAna saMBAre sarvezu ca boDi pakzyezu
   dharmeṣu prayujyate / tasmātprathamacittotpādasya bodhisattvasya	Darmezu prayujyate / tasmAt praTama citta utpAdasya boDisattvasya
   caryāprayogasyādhāra ityucyate / iha bodhisattvastameva	caryA prayogasya ADAraH iti ucyate / iha boDisattvaH tam eva
   bodhisattvacaryāprayogaṃ niśritya pratiṣṭhāyānuttarāṃ samyaksaṃbodhiṃ	boDisattva caryA prayogam niSritya pratizWAya anuttarAm samyaksaMboDim
   paripūrayati / tasmātsa bodhisattvacaryāprayogastasya	paripUrayati / tasmAt sa boDisattva caryA prayogaH tasya
   mahābodhiparipūrerādhāra ityucyate / agotrastha pudgalo gotre 'sati	mahAboDi paripUreH ADAraH iti ucyate / agotra sTa pudgalaH gotre asati
   cittotpāde 'pi yatnasamāśraye satyabhavyaścānuttarāyāḥ samyaksaṃbodheḥ	citta utpAde api yatna samASraye satyaBavyaH ca anuttarAyAH samyaksaMboDeH
   paripūraye / tadanena paryāyeṇa veditavyamanutpāditacittasyāpi	paripUraye / tat anena paryAyeNa veditavyam anutpAdita cittasya api
   bodhisattvasya akṛte 'pi bodhisattvacaryāprayoge gotramādhāra iti / sa cet	boDisattvasya akRte api boDisattva caryA prayoge gotram ADAraH iti / sa ced 
   punargotrasthaścittaṃ notpādayati bodhicaryāsu na prayujyate na kṣipraṃ	punar gotra sTaH cittam na utpAdayati boDi caryAsu na prayujyate na kzipram
   bodhimārāgayati tāsvapi (Dutt 2) viparyayāt kṣipramārāgayatīti veditavyam	boDim ArAgayati tAsu api (Dutt 2) viparyayAt kzipram ArAgayati iti veditavyam
   / tatpunaretadgotramādhāra ityucyate / upastambho heturniśraya	/ tat punar etat gotram ADAraH iti ucyate / upastamBaH hetuH niSraya
   upaniṣatpūrvaṅgamo nilaya ityapyucyate / yathāgotramevaṃ	upanizad pUru aFgamaH nilayaH iti api ucyate / yaTAgotram evam
   prathamaścittotpādaḥ sarvā ca bodhisattvacaryā /	praTamaH citta utpAdaH sarvA ca boDisattva caryA /
   tatra gotraṃ katamat / samāsato gotraṃ dvividham / prakṛtisthaṃ	tatra gotram katamat / samAsatas gotram dviviDam / prakRti sTam
   samudānītañca / tatra prakṛtisthaṃ gotraṃ yadbodhisattvānāṃ	samudAnI taQca / tatra prakRti sTam gotram yat boDisattvAnAm
   ṣaḍāyatanaviśeṣaḥ / sa tādṛśaḥ paraṃparāgato 'nādikāliko	zaz Ayatana viSezaH / sa tAdRSaH paraMpara AgataH anAdi kAlikaH 
   dharmatāpratilabdhaḥ / tatra samudānītaṃ gotraṃ	DarmatA pratilabDaH / tatra samudAnItam gotram
   yatpūrvakuśalamūlābhyāsātpratilabdham / tadasminnarthe	yad pUrva kuSala mUla aByAsAt pratilabDam / tat asmin= arTe
   dvividhamapyabhipretam / tatpunargotraṃ bījamityapyucyate / dhātuḥ	dviviDam api aBipretam / tat punar gotram bIjam iti api ucyate / DAtuH
   prakṛtirityapi / tatpunarasamudāgataphalaṃ sūkṣmaṃ vinā phalena /	prakRtiH iti api / tad punar asamudAgata Palam sUkzmam vinA Palena /
   samudāgataphalamaudārikaṃ saha phalena /	samudAgata Palam OdArikam saha Palena /
