   oṃ	om
   sāmavedīyā	sAmavedIyA
   chāndogyopaniṣat	CAnda ugya upanizad 
   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   āpyāyantu mamāṅgāni vākprāṇaścakṣuḥ śrotramatho balamindriyāṇi ca sarvāṇi,	ApyAyantu mama aFgAni vAc prANaH cakzuH Srotram aTo balam indriyANi ca sarvANi,
   sarvaṃ brahmaupaniṣadaṃ māhaṃ brahma nirākuryāṃ mā mā brahma	sarvam brahma Opanizadam mA aham brahma nirAkuryAm mA mA brahma
   nirākarodanirākaraṇamastvanirākaraṇaṃ me 'stu, tadātmani nirate ya	nirAkara uda nirAkaraNam astu anirAkaraNam me astu, tad Atmani nirate ya
   upaniṣatsu dharmāste mayi santu te mayi santu //	upanizatsu DarmAH te mayi santu te mayi santu //
   oṃ śāntiḥ śāntiḥ śāntiḥ	om SAntiH SAntiH SAntiH
   śrīmacchaṅkarabhagavatpādācāryaviracitaṃ bhāṣyam upodghātaḥ 	SrImat SaFkara Bagavat pAda AcArya viracitam BAzyam upodGAtaH 
   "omityetadakṣaram" ityādyaṣṭādhyāyī chāndogyopaniṣat /	"om iti etat akzaram" ityAdi azwa aDyAyI CAnda ugya upanizad /
   tasyāḥ saṃkṣepator'thajijñāsubhya	tasyAH saMkzepator aTa jijQAsuByaH 
   ṛjuvivaraṇamalpagranthaśrīmannarendrapurīyatīndraviracitaṃ	Rju vivaraNam alpa granTa SrImat narendra purIya ti indraviracitam
   chāndogyopaniṣadbhāṣyaṭippaṇamidamārabhyate /	CAndogya upanizad BAzya wippaNam idam AraByate /
   tatra sambandhaḥ  samastaṃ karmādhigataṃ	tatra sambanDaH samastam karma aDigatam
   prāṇādidevatāvijñānasahitamarcirādimārgeṇa brahmalokapratipattikāraṇam /	prANa Adi devatA vijQAna sahitam arciH Adi mArgeNa brahma loka pratipatti kAraNam /
   kevalaṃ ca dhūmādimārgeṇa candralokapratipattikāraṇam /	kevalam ca DUma Adi mArgeNa candra loka pratipatti kAraNam /
   svabhāvapravṛttānāṃ ca mārgadvayaparibhraṣṭānāṃ kaṣṭādhogatiruktā /	svaBAva pravRttAnAm ca mArga dvaya pariBrazwAnAm kazwa aDas gatiH uktAH /
   na cobhayormārgayoranyatarasminnapi mārge ātyantikī	na ca uBayoH mArgayoH anyatarasmin= api mArge AtyantikI
   puruṣārthasiddhirityataḥ karmanirapekṣamadvaitātmavijñānaṃ	puruza arTa sidDiH iti atas karma nirapekzam advEta Atma vijQAnam
   saṃsāragatitrayahetūpamardena vaktavyamityupaniṣadārabhyate /	saMsAra gati traya hetu upamardena vaktavyam iti upanizad A AraByate /
   na cādvaitātmavijñānādanyatrā'tyantikī niḥśreyasaprāptiḥ /	na ca advEta Atma vijQAnAt anyatrA atyantikI niHSreyasa prAptiH /
   vakṣyati hi "atha ye 'myathāto viduranyarājānaste kṣayyalokā bhavanti" /	vakzyati hi "aTa ye ami aTa atas viduH anya rAjAnaH te kzayya lokAH Bavanti" /
   viparyaye ca"sa svarāḍbhavati"iti /	viparyaye ca"sa svarAj Bavati" iti /
   tathā dvaitaviṣayānṛtābhisandhasya bandhanaṃ taskarasyeva	taTA dvEta vizaya anRta aBisanDasya banDanam taskarasya iva
   taptaparaśugrahaṇe bandhadāhabhāvaḥ,	tapta paraSu grahaNe banDa dAha BAvaH,
   saṃsāraduḥkhaprāptiścetyuktvādvaitātmasatyābhisandhasyātaskarasyeva	saMsAra duHKa prAptiH ca iti uktvA dvEta Atma satya aBisanDasya ataskarasya iva
   taptaparaśugrahaṇe bandhadāhābhāvaḥ saṃsāraduḥkhanivṛttirmokṣaśceti /	tapta paraSu grahaNe banDa dAha aBAvaH saMsAra duHKa nivRttiH mokzaH ca iti /
   ata eva na karmasahabhāv.dvaitātmadarśanam /	atas eva na karma sahaBAv. dvEta Atma darSanam /
   kriyākārakaphalabhedopamardena"sadekamevādvitīyam" "ātmaivedaṃ sarvam"	kriyA kAraka Pala Beda upamardena"sat ekam eva advitIyam" "AtmA eva idam sarvam"
   ityevamādivākyajanitasya bādhakapratyayānupapatteḥ /	iti evamAdi vAkya janitasya bADaka pratyaya anupapatteH /
   karmavidhipratyaya iti cet /	karma viDi pratyayaH iti ced /
   na /	na /
   kartṛbhoktṛsvabhāvavijñānavatastajjanitakarmaphalarāgadveṣādidoṣavataśca	kartR BoktR svaBAva vijQAnavataH tad janita karma Pala rAga dveza Adi dozavataH ca
   karmavidhānāt /	karma viDAnAt /
   adhigatasakalavedārthasya karmavidhānādadvaitajñānavato 'pi karmeti cet /	aDigata sakala veda arTasya karma viDAnAt advEta jQAnavataH api karma iti ced /
   na /	na /
   karmādhikṛtaviṣayasya kartṛbhoktrādijñānasya	karma aDikRta vizayasya kartR Boktra Adi jQAnasya
   svābhāvikasya"sadekamevādvitīyam""ātmaivedaṃ sarvam" ityanenopamarditatvāt	svABAvikasya"sat ekam eva advitIyam ""AtmA eva idam sarvam" iti anena upamardita tvAt
   tasmādavidyādidoṣavata eva karmāṇi vidhīyante /	tasmAt avidyA Adi dozavataH eva karmANi viDIyante /
   nādvaitajñānavataḥ /	na advEta jQAnavataH /
   ata eva hi vakṣyati "sarva ete puṇyalokā bhavanti /	atas eva hi vakzyati "sarve ete puNya lokAH Bavanti /
   brahmasastho 'mṛtatvameti"iti /	brahma sasTaH amRta tvam eti"iti /
   tatraitasminnadvaitavidyāprakaraṇe 'bhyudayasādhanānyupāsanānyucyante	tatra etasmin= advEta vidyA prakaraNe aByudaya sADanAni upAsanAni ucyante
   kaivalyasannikṛṣṭaphalāni /	kEvalya sannikRzwa PalAni /
   cādvaitādīṣadvīkṛtabrahmaviṣayāṇi ityādīni karmasamṛddhiphalāni ca	ca advEtAdIza dvIkRta brahma vizayANi ityAdIni karma samRdDi PalAni ca
   karmāṅgasambandhīni /	karma aFga sambanDIni /
   rahasyasāmānyānmanovṛttisāmānyācca yathādvaitajñānaṃ manovṛttimātraṃ	rahasya sAmAnyAt manaH vRtti sAmAnyAt ca yaTA dvEta jQAnam manaH vRtti mAtram
   tathānyānyapyupāsanāni manovṛttirūpāṇītyasti hi sāmānyam /	taTA anyAni api upAsanAni manaH vRtti rUpANi iti asti hi sAmAnyam /
   kastarhyadvaitajñānasyopāsanānāṃ ca viśeṣaḥ /	kaH tarhi advEta jQAnasya upAsanAnAm ca viSezaH /
   ucyate /	ucyate /
   svābhāvikasyā'tmanyakriye 'dhyāropitasya	svABAvikasya Aatmani akriye aDyAropitasya
   kartrādikārakakriyāphalabhedavijñānasya nivartakamadvaitavijñānam /	kartR Adi kAraka kriyA Pala Beda vijQAnasya nivartakam advEta vijQAnam /
   rajjvādāviva sarpādyadhyāropalakṣaṇajñānasya rajjvādisvarūpaniścayaḥ	rajju AdO= iva sarpa Adi aDyAra upalakzaNa jQAnasya rajju Adi svarUpa niScayaH
   prakāśanimittaḥ /	prakASa nimittaH /
   upāsanaṃ tu yathāśāstrasamarpitaṃ kiñcidālambanamupādāya	upAsanam tu yaTASAstra samarpitam kiQcid Alambanam upAdAya
   tasminsamānacittavṛttisantānakaraṇaṃ tadvilakṣaṇapratyayānantaritamiti	tasmin samAna citta vRtti santAna karaNam tad vilakzaNa pratyaya anantaritam iti
   viśeṣaḥ /	viSezaH /
   tānyetānyupāsanāni sattvaśuddhikaratvena	tAni etAni upAsanAni sattva SudDi kara tvena
   vastutattvāvabhāsakatvādadvaitajñānopakārakāṇyālambanaviṣayatvāt	vastu tattva avaBAsaka tvAt advEta jQAna upakAra kANi Alambana vizaya tvAt
   susādhyāni ceti pūrvamupanyasyante /	su sADyAni ca iti pUrvam upanyasyante /
   tatra karmābhyāsasya dṛḍhīkṛtatvātkarmaparityāgenopāsana eva duḥkhaṃ cetaḥ	tatra karma aByAsasya dRXIkRta tvAt karma parityAgena upAsanaH eva duHKam cetaH
   samarpaṇaṃ kartṛmiti karmāṅgaviṣayameva tāvadādāvupāsanamupanyasyate /	samarpaNam kartRm iti karma aFga vizayam eva tAvat AdO= upAsanam upanyasyate /
   START ChUp 1,1.1	START ShUp 1,1.1
   om ity etad akṣaram udgītham upāsīta |	om iti etat akzaram udgITam upAsIta |
   om iti hy udgāyati |	om iti hi udgAyati |
   tasyopavyākhyānam || ChUp_1,1.1 ||	tasya upavyAKyAnam || ShUp_1,1.1 ||
   ChUpBh_1,1.1 ityupodghātabhāṣyam  omityetadakṣaramudgīthamupāsīta /	ChUpBh_1,1.1 iti upodGAta BAzyam om iti etat akzara mudgITam upAsIta /
   omityetadakṣaraṃ paramātmano 'bhidhānaṃ nediṣṭham /	om iti etat akzaram paramAtmanaH aBiDAnam nedizWam /
   tasminhi prayujyamāne sa prasīdati priyanāmagrahaṇa iva lokaḥ /	tasmin hi prayujyamAne sa prasIdati priya nAma grahaNaH iva lokaH /
   tadihetiparaṃ prayuktamabhidhāyakatvādvyāvartitaṃ śabdasvarūpamātraṃ	tat iheti param prayuktam aBiDAyaka tvAt vyAvartitam Sabda svarUpa mAtram
   pratīyate /	pratIyate /
   tathā cārcādivatparasyā'tmanaḥ pratīkaṃ sampadyate /	taTA ca arca Adi vat parasyA atmanaH pratIkam sampadyate /
   evaṃ nāmatvena pratīkatvena ca paramātmopāsanasādhanaṃ śreṣṭhamiti	evam nAma tvena pratIka tvena ca paramAtma upAsana sADanam SrezWam iti
   sarvavedānteṣvagatam /	sarva vedAntezu agatam /
   japakarmasvādhyāyādyanteṣu ca bahuśaḥ prayogātprasiddhamasya śraiṣṭhyam /	japa karmasu ADyAya Adi antezu ca bahuSas prayogAt prasidDam asya SrEzWyam /
   atastadetakṣaraṃ	atas tat etakzaram
   varṇātmakamudgīthabhaktyavayavatvādudgīthaśabdavācyamupāsīta /	varNa Atmaka mudgITa Bakti avayava tvAt udgITa Sabda vAcyam upAsIta /
   karmāṅgāvayavabhūta oṅkāre paramātmapratīke dṛḍhāmaikāgryalakṣaṇāṃ matiṃ	karma aFga avayava BUtaH oFkAre paramAtma pratIke dRXAma ekAgrya lakzaNAm matim
   santanuyāt /	santanuyAt /
   svayameva śrutiroṅkārasyodgīthaśabdavācyatve hetumāha omiti hyudgāyati /	svayam eva Sruti roFkArasya udgITa Sabda vAcya tve hetum Aha om iti hi udgAyati /
