   govardhanācārya-viracitā	govarDana-AcArya--viracitA
   āryā-saptaśatī	AryA-saptaSatI
   || śrīḥ ||	|| SrIH ||
   granthārambha-vrajyā	granTa-AramBa-vrajyA
   pāṇi-grahe pulakitaṃ vapur aiśaṃ bhūti-bhūṣitaṃ jayati |	pANi-grahe pulakitam vapuH ESam BUti-BUzitam jayati |
   aṅkurita iva mano-bhūr yasmin bhasmāvaśeṣo 'pi ||GAss_*1||	aFkuritaH iva mano-BUH yasmin Basma-avaSezaH api ||GAsH-_*1||
   mā vama saṃvṛṇu viṣam idam iti sātaṅkaṃ pitāmahenoktaḥ |	mA vama saMvRNu vizam idam iti sAtaFkam pitAmahena-uktaH |
   prātar jayati salajjaḥ kajjala-malinādharaḥ śambhuḥ ||GAss_*2||	prAtar jayati sa-lajjaH kajjala--malina-aDaraH SamBuH ||GAsH-_*2||
   jayati priyā-padānte garala-graiveyakaḥ smarārātiḥ |	jayati priyA--pada-ante garala-grEveyakaH smarArAtiH |
   viṣama-viśikhe viśann iva śaraṇaṃ gala-baddha-karavālaḥ ||GAss_*3||	vizama--viSiKe viSan iva SaraNam gala-badDa-karavAlaH ||GAsH-_*3||
   jayati lalāṭa-kaṭākṣaḥ śaśi-mauleḥ pakṣmalaḥ priyāgraṇatau |	jayati lalAwa--kawAkzaH SaSi-mOleH pakzmalaH priya-agraNatO |
   dhanuṣi smareṇa nihitaḥ sa-kaṇṭakaḥ ketakeṣur iva ||GAss_*4||	Danuzi smareNa nihitaH sa-kaNwakaH ketaka-izuH iva ||GAsH-_*4||
   jayati jaṭā-kiñjalkaṃ gaṅgā-madhu muṇḍa-valaya-bījam ayam |	jayati jawA-kiQjalkam gaFgA-a-maDu muNxa-valaya--bIjam ayam |
   gala-garala-paṅka-sambhavam abhoruham ānanaṃ śambhoḥ ||GAss_*5||	gala-garala--paFka-samBavam aBoruham Ananam SamBoH ||GAsH-_*5||
   sandhyā-salilāñjalim api kaṅkaṇa-phaṇi-pīyamānam avijānan |	sanDyA--salila-aQjalim api kaFkaNa-PaNi-pIyamAnam avijAnan |
   gaurī-mukhārpita-manā vijayā-hasitaḥ śivo jayati ||GAss_*6||	gOrI--muKa-arpita-manAH vijayA-hasitaH SivaH jayati ||GAsH-_*6||
   pratibimbita-gaurī-mukha-vilokanotkampa-śithila-kara-galitaḥ |	pratibimbita-gOrI--muKa--vilokana-utkampa-SiTila--kara--galitaH |
   sveda-bhara-pūryamāṇaḥ śambhoḥ salilāj jalir jayati ||GAss_*7||	sveda--Bara--pUryamANaH SamBoH salilAt jaliH jayati ||GAsH-_*7||
   praṇaya-kupita-priyā-pada-lākṣā-sandhyānubandha-madhurenduḥ |	praNaya--kupita-priya-a-pada-lAkzA--sanDyA-anubanDa---maDura-induH |
   tad-valaya-kanaka-nikaṣa-grāva-grīvaḥ śivo jayati ||GAss_*8||	tad--valaya-kanaka-nikaza--grAva-grIvaH SivaH jayati ||GAsH-_*8||
   pūrṇa-nakhendur dviguṇita-mañjīrā prema-śṛṅkhalā jayati |	pUrNa-naKa-induH dvi-guNita-maQjIrA prema--SRFKalA jayati |
   hara-śaśi-lekhā gaurī-caraṇāṅguli-madhya-gulpheṣu ||GAss_*9||	hara--SaSi--leKAH gOrI--caraNa-aFguli--maDya--gulPezu ||GAsH-_*9||
   śrī-kara-pihitaṃ cakṣuḥ sukhayatu vaḥ puṇḍarīka-nayanasya |	SrI--kara--pihitam cakzuH suKayatu vaH puNxarIka--nayanasya |
   jaghanam ivekṣitum āgatam abja-nibhaṃ nābhi-suṣireṇa ||GAss_*10||	jaGanam iva-Ikzitum Agatam ap-ja--niBam nABi-suzireNa ||GAsH-_*10||
   śyāmaṃ śrī-kuca-kuṅkuma-piñjaritam uro muradviṣo jayati |	SyAmam SrI--kuca-kuFkuma-piQjaritam uraH muradvizaH jayati |
   dina-mukha-nabha iva kaustubha-vibhākaro yad vibhūṣayati ||GAss_*11||	dina--muKa-naBaH iva kOstuBa-viBAkaraH yat viBUzayati ||GAsH-_*11||
   pratibimbita-priyā-tanu sa-kaustubhaṃ jayati madhubhido vakṣaḥ |	pratibimbita--priyA--tanu sa-kOstuBam jayati maDuBidaH vakzaH |
   puruṣāyitam abhyasyati lakṣmīr yad vīkṣya mukuram iva ||GAss_*12||	puruzAyitam aByasyati lakzmIH yat vIkzya mukuram iva ||GAsH-_*12||
   keli-calāṅguli-lambhita-lakṣmī-nābhir muradviṣaś caraṇaḥ |	keli-cala-aFguli--lamBita--lakzmI--nABiH muradvizaH caraNaH |
   sa jayati yena kṛtā śrīr anurūpā padmanābhasya ||GAss_*13||	sa jayati yena kRtA SrIH anurUpA padmanABasya ||GAsH-_*13||
   romāvalī murāreḥ śrīvatsa-niṣevitāgra-bhāgā vaḥ |	roma-AvalI murAreH SrIvatsa--nizevita-agra-BAgAH vaH |
   unnāla-nābhi-nalina-cchāyevottāpam apaharatu ||GAss_*14||	unnAla--nABi--nalina--=-CAyA-iva-uttApam apaharatu ||GAsH-_*14||
   ādāya sapta-tantrocitāṃ vipañcīm iva trayīṃ gāyan |	AdAya sapta-tantra-ucitAm vipaQcIm iva trayIm gAyan |
   madhuraṃ turaṅga-vadanocitaṃ harir jayati haya-mūrdhā ||GAss_*15||	maDuram turaFga-vadana-ucitam hariH jayati haya-mUrDAH ||GAsH-_*15||
   sa jayati mahābāho jala-nidhi-jaṭhare ciraṃ nimagnāpi |	sa jayati mahA-bAho jala-niDi-jaWare ciram nimagnA-api |
   yenāntrair iva saha phaṇi-gaṇair balād uddhṛtā dharaṇī ||GAss_*16||	yena-antrEH iva saha PaNi--gaNEH balAt udDRtA DaraNI ||GAsH-_*16||
   brahmāṇḍa-kumbhakāraṃ bhujagākāraṃ janārdanaṃ naumi |	brahmANxa--kumBa-kAram Bujaga-AkAram janArdanam nOmi |
   sphāre yat-phaṇa-cakre dharā śarāva-śriyaṃ vahati ||GAss_*17||	sPAre yat--PaNa--cakre DarA SarAva--Sriyam vahati ||GAsH-_*17||
   caṇḍī-jaṅghā-kāṇḍaḥ śirasā caraṇa-spṛśi priye jayati |	caNxI-jaFGA--kANxaH SirasA caraNa--spRSi priye jayati |
