   oṃ namo vighnavināyakāya |	om namaH viGna-vinAyakAya |
   praṇamāmi jagatsṛṣṭisthitisaṃhārakāraṇam /	praNamAmi jagat-sRzwi-sTiti-saMhAra-kAraNam /
   viśveśvaraṃ viśvadharaṃ viśvaṃ ca viśvahetukam // Valc_1.1 //	viSveSvaram viSvaDaram viSvam ca viSva-hetukam // Valt-_1.1 //
   jagadvījaṃ satyarūpaṃ sarvasākṣiṇamavyayam /	jagadvIjam satya-rUpam sarva-sAkziNam-avyayam /
   sarvvajñaṃ sarvabhūtasthaṃ sarvaśaktidharaṃ vibhum // Valc_1.2 //	sarvu-ajQam sarva-BUta-sTam sarva-Sakti-Daram viBum // Valt-_1.2 //
   brāhmaṇebhyo namaskṛtya navadvīpanṛpājñayā /	brAhmaNeByaH namaskRtya nava-dvIpa-nRpa-AjQayA /
   brāhmaṇānāṃ samutpattitadbhedādisamanvitam /	brAhmaNAnAm samutpatti-tad-Beda-Adi-samanvitam /
   rāḍhīyānāṃ varendrāṇāṃ gotragāñīsamanvitam /	rAXIyAnAm vara-indrANAm gotra-gAQI-samanvitam /
   vallālacaritākhyaṃ tadrājacaritamucyate // Valc_1.3 //	vallAlacarita-AKyam tat-rAja-caritam-ucyate // Valt-_1.3 //
   sisṛkṣorbrahmaṇo jātaḥ pulaho vāmakarṇataḥ /	sisRkzoH-brahmaNaH jAtaH pulahaH vAma-karNataH /
   aṅgirā nāsikārandhradajāyata mukhādruciḥ // Valc_1.4 //	aFgirAH nAsikA-ranDrada-jAyata muKAt-ruciH // Valt-_1.4 //
   marīciḥ skandhadeśācca pracetā adharoṣṭhataḥ /	marIciH skanDa-deSAt-ca pracetAH aDara-uzWataH /
   ekādaśa caiva rudrā lalāṭāt krodhasambhavāḥ // Valc_1.5 //	ekAdaSa ca-eva rudrAH lalAwAt kroDa-samBavAH // Valt-_1.5 //
   pulahasya suto vātsyaḥ śāṇḍilyaśca ruceḥ sutaḥ /	pulahasya sutaH vAtsyaH SANxilyaH-ca ruceH sutaH /
   bṛhaspaterāṅgiraso bharadvājaḥ sutaḥ smṛtaḥ // Valc_1.6 //	bRhaspateH-AFgirasaH BaradvAjaH sutaH smRtaH // Valt-_1.6 //
   marīcermanaso jātaḥ kaśyapaśca prajāpatiḥ /	marIceH-manasaH jAtaH kaSyapaH-ca prajApatiH /
   pracetasopi manaso gautamo bhagavānṛṣiḥ // Valc_1.7 //	pracetasA-upi manasaH gOtamaH BagavAn-RziH // Valt-_1.7 //
   sāvarṇirgautamājjajñe munipravara eva saḥ /	sAvarNiH-gOtamAt-jajQe muni-pravaraH eva saH /
   babhūvuḥ pañcagotrāṇi caiteṣāṃ pravarā bhave // Valc_1.8 //	baBUvuH paQca-gotrANi ca-etezAm pravarA Bave // Valt-_1.8 //
   babhūvurbrahmaṇo vaktrādanyā brāhmaṇajātayaḥ /	baBUvuH-brahmaNaH vaktrAt-anyAH brAhmaNa-jAtayaH /
   tāḥ sthitāḥ deśabhedena gotraśūnyāśca bhūpate // Valc_1.9 //	tAH sTitAH deSa-Bedena gotra-SUnyAH-ca BUpate // Valt-_1.9 //
   adityāṃ dvādaśādityān janayāmāsa kaśyapaḥ /	adityAm dvAdaSa-AdityAn janayAmAsa kaSyapaH /
   atrernetramalāccandraḥ kṣīrode ca babhūva ha // Valc_1.10 //	atreH-netra-malAt-candraH kzIrode ca baBUva ha // Valt-_1.10 //
   candrādityamanūnāñca pravarāḥ kṣatriyāḥ smṛtāḥ /	candra-Adityam-anUnAQca pravarAH kzatriyAH smRtAH /
   brahmaṇo vāhudeśāccaivānyāḥ kṣatriyajātayaḥ /	brahmaNaH vAhu-deSAt-ca-eva-anyAH kzatriya-jAtayaH /
   ūrudeśācca vaiśyāśca pādataḥ śūdrajātayaḥ // Valc_1.11 //	Uru-deSAt-ca vESyAH-ca pAdataH SUdra-jAtayaH // Valt-_1.11 //
   janmanā jāyate śūdraḥ saṃskārairdvija ucyate /	janmanA jAyate SUdraH saMskArEH-dvijaH ucyate /
   vedapāṭhādbhavedvipro brāhmaṇo brahmavidyayā // Valc_1.12 //	veda-pAWAt-Bavet-vipraH brAhmaNaH brahma-vidyayA // Valt-_1.12 //
   sārasvatāḥ kānyakubjā gauḍā maithilakolkalāḥ /	sArasvatAH kAnyakubjAH gOxAH mETila-kolkalAH /
   pañcagauḍāḥ samākṣyātāḥ vindhyasyottaravāsinaḥ // Valc_1.13 //	paQca-gOxAH samAkzyAtAH vinDyasya-uttara-vAsinaH // Valt-_1.13 //
   karṇāṭāścaiva tailaṅgāḥ gurjjarā rāṣṭravāsinaḥ /	karNAwAH-ca-eva tElaFgAH gurjjarAH rAzwra-vAsinaH /
   andhrāśca draviḍāḥ pañca vindhyadakṣiṇavāsinaḥ // Valc_1.14 //	anDrAH-ca dravixAH paQca vinDya-dakziNa-vAsinaH // Valt-_1.14 //
   sarvve dvijāḥ kānyakujāḥ māthuraṃ māgadhaṃ vinā /	sarvve dvijAH kAnyakujAH mATuram mAgaDam vinA /
   māgadho brahmaṇā parvvūṃ kalpito dvija eva ca /	mAgaDaH brahmaNA parvvUm kalpitaH dvijaH eva ca /
   varāhasya ca gharmmeṇa māthuro jāyate tathā // Valc_1.15 /	varAhasya ca GarmmeNa mATuraH jAyate taTA // Valt-_1.15 /
   vedavāṇāṅkaśaki tu gauḍe viprāḥ samāgatāḥ /	veda-vANa-aFkaSaki tu gOxe viprAH samAgatAH /
   hayayānaṃ samāruhya sarvaśāstraviśāradāḥ // Valc_1.16 //	haya-yAnam samAruhya sarva-SAstra-viSAradAH // Valt-_1.16 //
   medhātithiḥ kṣitīśaśca vītarāgasuṣeṇakau /	meDAtiTiH kzitISaH-ca vIta-rAga-suzeNakO /
   saubhariratnagarbhau ca tathā vipraḥ sudhānidhiḥ // Valc_1.17 //	sOBari-ratna-garBO ca taTA vipraH suDA-niDiH // Valt-_1.17 //
   tairūḍhā nṛpatervvākyāt sapta saptaśatātmajāḥ /	tEH-UXA nRpateH-vvAkyAt sapta sapta-Sata-AtmajAH /
   taddevavaśato jātāstāsu sapta sutā varāḥ /	tat-deva-vaSataH jAtAH-tAsu sapta sutAH varAH /
   varandaraṃ gatāḥ pañca kaniṣṭho rāḍhasaṃsthitau // Valc_1.18 //	varandaram gatAH paQca kanizWaH rAXa-saMsTitO // Valt-_1.18 //
   nṛpendrenādiśūreṇa cānītaṃ viprapañcakam /	nRpa-indrena-Adi-SUreNa ca-AnItam viprapaQcakam /
   pañcagotrānvitaṃ teṣāṃ nāma gotrañca kathyate // Valc_1.19 //	paQca-gotra-anvitam tezAm nAma gotraQca kaTyate // Valt-_1.19 //
   śrīharṣasya bharadvājo dakṣasya kāśyapaḥ smṛtaḥ /	SrI-harzasya BaradvAjaH dakzasya kASyapaH smRtaH /
   vedagarbhasya sāvarṇo vātsyaśca chāndaḍasya ca /	veda-garBasya sAvarNaH vAtsyaH-ca CAndaxasya ca /
   śāṇḍilyagotraḥ kathito bhaṭṭanārāyaṇasya ca // Valc_1.20 //	SANxilya-gotraH kaTitaH Bawwa-nArAyaNasya ca // Valt-_1.20 //
   bhaṭṭataḥ ṣoḍaśodbhūtā dakṣataścāpi ṣoḍaśa /	BawwataH zoxaSa-udBUtAH dakzataH-ca-api zoxaSa /
   catvāraḥ śrīharṣajātā bharadvājakulodvahāḥ /	catvAraH SrI-harza-jAtAH BaradvAja-kula-udvahAH /
   dvādaśa vedagarbhācca tathaikādatha chāndaḍāt // Valc_1.21 //	dvAdaSa veda-garBAt-ca taTA-ekAt-aTa CAndaxAt // Valt-_1.21 //
   kecidviprā āgatāśca vaidikā vedapāragāḥ /	kecid-viprAH AgatAH-ca vEdikAH vedapAragAH /
