   maṅgalācaraṇam	maFgala-AcaraNam
   siddhiḥ sādhye satām astu prasādāt tasya dhūrjaṭeḥ |	sidDiH sADye satAm astu prasAdAt tasya DUrjaweH |
   jāhnavī-phena-lekheva yan-mūrdhni śaśinaḥ kalā // Hit_0.1 //	jAhnavI--Pena--leKA-iva yan-mUrDni SaSinaH kalA // Hit-_0.1 //
   śruto hitopadeśo 'yaṃ pāṭavaṃ saṃskṛtoktiṣu |	SrutaH hita-upadeSaH ayam pAwavam saMskRta-uktizu |
   vācāṃ sarvatra vaicitryaṃ nīti-vidyāṃ dadāti ca // Hit_0.2 //	vAcAm sarvatra vEcitryam nIti--vidyAm dadAti ca // Hit-_0.2 //
   vidyā-praśaṃsā	vidyA--praSaMsA
   ajarāmaravat prājño vidyāmarthaṃ ca cintayet |	ajara-amara-vat prAjQaH vidyAm-arTam ca cintayet |
   gṛhīta iva keśeṣu mṛtyunā dharmamācaret // Hit_0.3 //	gRhItaH iva keSezu mRtyunA Darmam-Acaret // Hit-_0.3 //
   sarva-dravyeṣu vidyaiva dravyam āhur anuttamam |	sarva--dravyezu vidyA-eva dravyam AhuH anuttamam |
   ahāryatvād anarghatvād akṣayatvāc ca sarvadā // Hit_0.4 //	ahArya-tvAt anarGa-tvAt akzaya-tvAt ca sarvadA // Hid-_0.4 //
   saṃyojayati vidyaiva nīcagāpi naraṃ sarit |	saMyojayati vidyA-eva nIcagA-api naram sarit |
   samudram iva durgharṣaṃ nṛpaṃ bhāgyam ataḥ param // Hit_0.5 //	samudram iva durGarzam nRpam BAgyam atas param // Hit-_0.5 //
   vidyā dadāti vinayaṃ vinayād yāti pātratām |	vidyA dadAti vinayam vinayAt yAti pAtra-tAm |
   pātratvāt dhanam āpnoti dhanād dharmaṃ tataḥ sukham // Hit_0.6 //	pAtra-tvAt Danam Apnoti DanAt Darmam tatas suKam // Hit-_0.6 //
   vidyā śastraṃ ca śāstraṃ ca dve vidye pratipattaye |	vidyA Sastram ca SAstram ca dve vidye pratipattaye |
