   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   Ratnaguṇasaṃcayagāthā /	Ratna-guNa-saMcaya-gATAH /
   om namo bhagavatyai āryaprajñāpāramitāratnaguṇasaṃcayagāthāyai /	om namaH BagavatyE Arya-prajQApAramitA-ratna-guNa-saMcaya-gATAyE /
   namo āryamañjuśriye /	namaH Arya-maQju-Sriye /
   1 atha khalu bhagavāṃstāsāṃ catasṛṇāṃ parṣadāṃ saṃpraharṣaṇārthaṃ	1 aTa Kalu BagavAn=-tAsAm catasRNAm parzadAm saMpraharzaNa-arTam
   punarapīmāṃ prajñāpāramitāṃ paridīpayamānastasyāṃ velāyāmimā gāthā	punar-api-imAm prajQApAramitAm paridIpayamAnaH-tasyAm velAyAm-imAH gATA
   abhāṣata -	aBAzata -
   para prema gaurava prasāda upasthapitvā $ prajahitva āvaraṇa	para prema gOrava prasAdaH upasTapitvA $ prajahitvaH AvaraNa
   kleśamalātikrāntāḥ &	kleSa-mala-atikrAntAH &
   śṛṇutā jagārthamabhiprasthita sura(vra?)tānāṃ % prajñāya pāramita yatra	SRNutA jagArTam-aBiprasTita sura-(vra?)tAnAm % prajQAya pAramita yatra
   caranti śūrāḥ // Rgs_1.1 //	caranti SUrAH // RgH-_1.1 //
   yāvanti nadya pravahantiha jambudvīpe $ phala puṣpa auṣadhā(dhi) vanaspati	yAvanti nadya pravahantiha jambudvIpe $ Pala puzpaH OzaDa-a(Di) vanaspati
   rohayanti &	rohayanti &
   bhūja(ta) gajendranāgapatiniśrayanovata(na)sya(?) % tasyānubhāvaśriya	BUja(ta) gaja-indra-nAga-pati-niSrayanovata(na)sya(?) % tasya-anuBAva-Sriya
   sābhu jagādhipasya // Rgs_1.2 //	sABu jagADipasya // RgH-_1.2 //
   yāvanti dharma jinaśrāvaka deśayanti $ bhāṣanti yuktisahitāṃśca udīrayanti	yAvanti Darma jinaSrAvaka deSayanti $ BAzanti yukti-sahitAn=-ca udIrayanti
   paramārthasaukhyakriya tatphalaprāptitā ca % sarvo ayaṃ puruṣakāru	parama-arTa-sOKya-kriya tad-Pala-prApti-tA ca % sarvaH ayam puruzakAru
   tathāgatasya // Rgs_1.3 //	taTAgatasya // RgH-_1.3 //
   kiṃ kāraṇaṃ ya jina bhāṣati dharmanetrīṃ $ tatrābhiśikṣita	kim kAraNam yaH jina BAzati DarmanetrIm $ tatra-aBiSikzita
   nararṣabhaśiṣyabhūtāḥ &	nara-RzaBa-Sizya-BUtAH &
   sākṣātkaritva yatha śikṣita deśayanti % buddhānubhāva puna ātmabalānubhāvā	sAkzAtkaritva yaTa Sikzita deSayanti % budDa-anuBAva pune Atma-bala-anuBAvA
   // Rgs_1.4 //	// RgH-_1.4 //
   yasminna prajñavarapāramitopalabdhiḥ $ na ca bodhisattvaupalabdhi na	yasmin-na prajQavara-pAramitA-upalabDiH $ na ca boDisattva-OpalabDi na
   cittabodheḥ &	citta-boDeH &
   evaṃ śruṇitva na ca muhyati nāsti trāso % so bodhi(sa)ttva carate sugatāna	evam SruNi-tva na ca muhyati na-asti trAsaH % saH boDi(-sa)ttva carate sugatAna
   prajñām // Rgs_1.5 //	prajQAm // RgH-_1.5 //
   na ca rupa vedana na saṃjña na cetanā ca $ vijñāna sthānu aṇumātra na	na ca rupa vedana na saMjQa na cetanA ca $ vijQAna sTAnu aNumA-atra na
   bhonti tasya &	Bonti tasya &
   so sarvadharmaasthito aniketacārī % aparī(ri)gṛhīta labhate sugatāna	saH sarva-Darmaa-sTitaH aniketa-cArI % aparI(ri)-gRhIta laBate sugatAna
   bodhim // Rgs_1.6 //	boDim // RgH-_1.6 //
   atha śreṇikasya abhutī parivrājakasya $ jñānopalambhu na hi	aTa SreNikasya aButI parivrAjakasya $ jQAna-upalamBu na hi
   skandhavibhāvanā ca &	skanDa-viBAvanA ca &
   yo bodhisattva parijānati eva dharmāṃ % na ca nirvṛtiṃ spṛśati so viharāti	yaH boDisattva parijAnati eva DarmAm % na ca nirvRtim spRSati saH viharAti
   prajñām // Rgs_1.7 //	prajQAm // RgH-_1.7 //
   vyuparīkṣate punarayaṃ katareṣu prajñā $ kasmātkuto va imi śūnyaka sarva	vyuparIkzate punar-ayam katarezu prajQA $ kasmAt-kutas vaH imi SUnyaka sarva
   dharmāḥ &	DarmAH &
   vyuparīkṣamāṇu na ca līyati nāsti trāso % āsannu so bhavati bodhayi	vyuparIkzam-ANu na ca lIyati na-asti trAsaH % Asannu saH Bavati boDayi
   bodhisattvo // Rgs_1.8 //	boDisattvaH // RgH-_1.8 //
   saci rupa saṃjña api vedana cetanā ca $ vijñāna skandha caratī	saci rupa saMjQa api vedana cetanA ca $ vijQAna skanDa caratI
   aprajānamāno &	aprajAnamAnaH &
   imi skandha śūnya parikalpayi bodhisattvo % caratī nimittaanupādapade	imi skanDa SUnya parikalpayi boDisattvaH % caratI nimittaanupAdapade
   asakto // Rgs_1.9 //	asaktaH // RgH-_1.9 //
   na ca rupa vedana na saṃjña na cetanāyā $ vijñāni yo na caratī aniketacārī	na ca rupa vedana na saMjQa na cetanAyAH $ vijQAni yaH na caratI aniketa-cArI
   caratīti so na upagacchati prajñadhārī % anupādadhī spṛśati śānti samādhi	carati-iti saH naH upagacCati prajQa-DArI % anupAdaDI spRSati SAnti samADi
   śreṣṭhām // Rgs_1.10 //	SrezWAm // RgH-_1.10 //
   evātmaśānti viharanniha bodhisattvo $ so vyākṛto puramakehi tathāgatehi &	eva-Atma-SAnti viharan=-iha boDisattvaH $ saH vyAkRtaH puramakehi taTAgatehi &
   na ca manyate ahu samādhitu vyutthito vā % kasmārtha dharmaprakṛtiṃ	na ca manyate ahu samADitu vyutTitaH vA % kasma-arTa Darma-prakRtim
   parijānayitvā // Rgs_1.11 //	parijAnayitvA // RgH-_1.11 //
   evaṃ carantu caratī sugatāna prajñāṃ $ no cāpi so labhati yatra carāti	evam carantu caratI sugatAna prajQAm $ no ca-api saH laBati yatra carAti
   dharmam &	Darmam &
   caraṇaṃ ca so 'caraṇaṃ ca prajānayitvā % eṣā sa prajñavarapāramitāya caryā	caraNam ca saH acaraNam ca prajAnayitvA % ezA sa prajQavara-pAramitAya caryA
   // Rgs_1.12 //	// RgH-_1.12 //
   yo 'sau na vidyati sa eṣa avidyamāno $ tāṃ bālu kalpayi avidya karoti	yaH asO na vidyati saH eza avidyamAnaH $ tAm bAlu kalpayi avidya karoti
   vidyām &	vidyAm &
   vidyā avidya ubhi eti asanta dharmā % niryāti yo iti prajānati bodhisattvo	vidyA avidyaH uBi eti asanta DarmAH % niryAti yaH iti prajAnati boDisattvaH-
   // Rgs_1.13 //	// RgH-_1.13 //
   māyopamāṃ ya iha jānati pañca skandhāṃ $ na ca māya anya na ca skandha	mAyA-upamAm ye iha jAnati paQca skanDAm $ na ca mAya anya na ca skanDa
   karoti anyān &	karoti anyAn &
   nānātvasaṃjñavigato upaśāntacārī % eṣā sa prajñavarapāramitāya caryā //	nAnAtva-saMjQa-vigataH upaSAnta-cArI % ezA sa prajQavara-pAramitAya caryA //
   Rgs_1.14 //	RgH-_1.14 //
   kalyāṇamitrasahitasya vipaśyakasya $ trāso na bheṣyati śruṇitva jināna	kalyANa-mitra-sahitasya vipaSyakasya $ trAsaH na Bezyati SruNitva jinAna
   mātrām &	mAtrAm &
   yo pāpamitrasahito ca parapraṇeyo % so āmabhājana yathodakaspṛṣṭa bhinno	yaH pApa-mitra-sahitaH ca para-praNeyaH % saH Ama-BAjana yaTA-udaka-spRzwa Binno
   // Rgs_1.15 //	// RgH-_1.15 //
   kiṃ kāraṇaṃ ayu pravucyati bodhisattvo $ sarvatra saṅgakriya icchati	kim kAraNam ayu pravucyati boDisattvaH $ sarvatra saFga-kriyaH icCati
   saṅgachedī &	saFga-CedI &
