   cittaparikarma dvādaśaḥ paricchedaḥ ||	citta-parikarma dvAdaSaH paricCedaH ||
   tad evam araṇye vasan samādhānāya yujyate ||	tat evam araNye vasan samADAnAya yujyate ||
   uktaṃ hi bhagavatyāṃ |	uktam hi BagavatyAm |
   sa teṣām eva satvānām arthāya dhyānapāramitāyāṃ carann avikṣiptacitto	sa tezAm eva satvAnAm arTAya DyAna-pAramitAyAm caran avikzipta-cittaH-
   bhavati |	Bavati |
   tat kasya hetoḥ |	tat kasya hetoH |
   [ Cambridge MS f94b ---> ]	[ Cambridge M f94B ---> ]
   tathā hy asyâivaṃ bhavati |	taTA hi asi-âivam Bavati |
   laukikī dhyānôpapattir api tāvad vikṣiptacittasya durlabhā |	lOkikI DyAnôpapattiH api tAvat vikzipta-cittasya durlaBA |
   kaḥ punar vādo 'nuttarā samyaksaṃbodhiḥ |	kaH punar vAdaH anuttarA samyaksaMboDiH |
   tasmān mayâvikṣiptacittena bhavitavyam |	tasmAt mayâ-vikzipta-cittena Bavitavyam |
   yāvann anuttarāṃ samyaksaṃbodhim abhisaṃbuddheyam iti ||punar asyām uktaṃ	yAvan anuttarAm samyaksaMboDim aBisaMbudDA-iyam iti ||punar asyAm uktam
   punar aparaṃ subhūte bodhisatvo mahāsatvaḥ prathamacittôtpādam upādāya	punar aparam suBUte boDisatvaH mahAsatvaH praTama-cittôt-pAdam upAdAya
   dhyānapāramitāyāṃ caran sarvâkārajñatāpratisaṃyuktair manasikārair dhyānaṃ	DyAna-pAramitAyAm caran sarvâ-kAra-jQa-tA-pratisaMyuktEH manasikArEH DyAnam
   samāpadyate |	samApadyate |
   sa cakṣuṣā rūpāṇi dṛṣṭvā na nimittagrāhī bhavati nânuvyañjanagrāhī |	sa cakzuzA rUpANi dRzwvA na nimitta-grAhI Bavati nânuvyaQjana-grAhI |
   yato 'dhikaraṇam asya cakṣurindriyeṇâsaṃvarasaṃvṛtasya viharato	yatas aDikaraNam asya cakzuH-indriyeNâ-saMvara-saMvRtasya viharataH-
   'bhidhyādaurmanasye 'nye vā pāpakâkuśalā dharmāś cittam anuprāpnuyuḥ |	aBiDyA-dOrmanasye anye vA pApakâ-kuSalAH DarmAH cittam anuprApnuyuH |
   teṣāṃ saṃvarāya pratipadyate |	tezAm saMvarAya pratipadyate |
   rakṣati cakṣurindriyam |	rakzati cakzuH-indriyam |
   evaṃ śrotreṇa śabdān śrutvā |	evam SrotreNa SabdAn SrutvA |
   ghrāṇena gandhān ghrātvā |	GrANena ganDAn GrAtvA |
   jihvayā rasān āsvādya |	jihvayA rasAn AsvAdya |
   kāyena spraṣṭavyāni spṛṣṭvā |	kAyena sprazwavyAni spRzwvA |
   manasā dharmān vijñāya na nimittagrāhī bhavati |	manasA DarmAn vijQAya na nimitta-grAhI Bavati |
   nânuvyañjanagrāhī |	nânu-vyaQjana-grAhI |
   yato 'dhikaraṇam asya manêndriyeṇâsaṃvarasaṃvṛtasya pāpakāś cittam	yatas aDikaraNam asya manêndriyeNâ-saMvara-saMvRtasya pApakAH cittam
   anuprāpnuyuḥ |	anuprApnuyuH |
   teṣāṃ saṃvarāya pratipadyate |	tezAm saMvarAya pratipadyate |
   rakṣati manêndriyaṃ |	rakzati manêndriyam |
   sa gacchann api tiṣṭhann api niṣaṇṇo 'pi śayāno 'pi bhāṣamāṇo 'pi	sa gacCan api tizWan api nizaNNaH api SayAnaH api BAzamANaH api
   samāhitâvasthām asamāhitâvasthāṃ na vijahāti |	samAhitâ-vasTAm asamAhitâ-vasTAm na vijahAti |
   sa bhavaty ahastalolaḥ |	sa Bavati ahasta-lolaH |
   apādalolo 'mukhalolo 'prakīrṇavāk |	apAda-lolaH amuKa-lolaH aprakIrNa-vAc |
   avikṣiptêndriyo 'nuddhato 'nunnato 'capalo 'nalaso 'saṃbhrāntakāyo	avikziptêndriyaH anudDataH anunnataH acapalaH analasaH asaMBrAntakAyaH-
   'saṃbhrāntacittaḥ |	asaMBrAnta-cittaH |
   śāntakāyaḥ śāntavāk śāntacittaḥ |	SAnta-kAyaH SAnta-vAc SAnta-cittaH |
   rahasy arahasi vā kalpitêryāpathaḥ saṃtuṣṭaḥ ||	rahasi arahasi vA kalpitêryApaTaH saMtuzwaH ||
   pe ||	pe ||
   subharaḥ supoṣaḥ |	suBaraH su-pozaH |
   sûpāsyaḥ kalyāṇâcāragocaraḥ |	sûpAsyaH kalyANâcAra-gocaraH |
   saṃgaṇikayâpi vivekagocaraḥ |	saMgaNikayâpi viveka-gocaraH |
   lābhe 'lābhe ca samo nirvikāraḥ |	lABe alABe ca samaH nirvikAraH |
   [ Bendall ed p203 ---> ]	[ Bet-dalt ed p203 ---> ]
   anunnato 'navanataḥ |	anunnataH anavanataH |
   evaṃ sukhe duṣkhe |	evam suKe duzKe |
   stutau nindāyāṃ |	stutO nindAyAm |
   yaśasy ayaśasi |	yaSasi ayaSasi |
   jīvite maraṇe ca samo nirvikāro 'nunnato 'navanataḥ |	jIvite maraNe ca samaH nirvikAraH anunnataH anavanataH |
   evaṃ śatrau mitre ca |	evam SatrO mitre ca |
   manâpavartini ... |	manâpavartini ... |
   āryeṣv anāryeṣu |	Aryezu anAryezu |
   śabdeṣu saṃkīrṇeṣv asaṃkīrṇeṣu |	Sabdezu saMkIrNezu asaMkIrNezu |
   priyâpriyeṣu ca rūpeṣu samo nirvikāraḥ |	priyâ-priyezu ca rUpezu samaH nirvikAraH |
   anunnato 'navanataḥ |	anunnataH anavanataH |
   anurodhavirodhâpagataḥ |	anuroDa-viroDâpagataH |
   tat kasya hetoḥ |	tat kasya hetoH |
   tathā	taTA
   [ Cambridge MS f95a ---> ]	[ Cambridge M f95aH ---> ]
   hi sa svalakṣaṇaśūnyān asaṃbhūtān aniṣpannān anabhinirvṛttān sarvadharmān	hi sa sva-lakzaNa-SUnyAn asaMBUtAn anizpannAn anaBinirvRttAn sarva-DarmAn
   paśyatîti vistaraḥ ||	paSyatîti vistaraH ||
   tatra līne manasi muditā bhāvanayôttejanaṃ kuryāt |	tatra lIne manasi muditAH BAva-nayôt-tejanam kuryAt |
   uddhate tv anityatāmanasikāraiḥ praśamaḥ ||	udDate tu anitya-tA-manasikArEH praSamaH ||
   ubhayapratipakṣârthaṃ câryarāṣṭrapālôktāṃ gāthāṃ smaret |	uBaya-pratipakzârTam cârya-rAzwra-pAlôktAm gATAm smaret |
   bahu kalpakoṭībhi kadāci buddho utpadyate lokahito maharṣi |	bahu kalpa-kowIBi kadAci budDaH utpadyate loka-hitaH mahA-Rzi |
