   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   namaḥ paramadevāya $ traiguṇyāvijitātmane &	namaH parama-devAya $ trEguNya-avijita-Atmane &
   sarvato yogarūpāya % saṃsārābhāvahetave // SkP_1.1 //	sarvatas yoga-rUpAya % saMsAra-aBAva-hetave // Sku-_1.1 //
   sthitisaṃrodhasargāṇāṃ $ hetave 'ntaḥprasāriṇe &	sTiti-saMroDa-sargANAm $ hetave antar-prasAriNe &
   ṣaḍviṃśāya pradhānāya % mahādevāya dhīmate // SkP_1.2 //	zaxviMSAya praDAnAya % mahAdevAya DImate // Sku-_1.2 //
   prajāpatermahākṣetre $ gaṅgākālindisaṃgame &	prajApateH-mahA-kzetre $ gaFgA-kAlindi-saMgame &
   prayāge parame puṇye % brahmaṇo lokavartmani // SkP_1.3 //	prayAge parame puNye % brahmaNaH loka-vartmani // Sku-_1.3 //
   munayaḥ saṃśitātmānas $ tapasā kṣīṇakalmaṣāḥ &	munayaH saMSita-AtmAnaH $ tapasA kzINa-kalmazAH &
   tīrthasaṃplavanārthāya % paurṇamāsyāṃ kṛtāhnikāḥ // SkP_1.4 //	tIrTa-saMplavana-arTAya % pOrNamAsyAm kRta-AhnikAH // Sku-_1.4 //
   paurāṇikamapaśyanta $ sūtaṃ satyaparāyaṇam &	pOrANikam-apaSyanta $ sUtam satya-parAyaNam &
   snātvā tasminmahātīrthe % praṇāmārthamupāgatam // SkP_1.5 //	snAtvA tasmin-mahA-tIrTe % praNAma-arTam-upAgatam // Sku-_1.5 //
   dṛṣṭvā te sūtamāyāntam $ ṛṣayo hṛṣṭamānasāḥ &	dRzwvA te sUtam-AyAntam $ RzayaH hRzwa-mAnasAH &
   āśāsyāsanasaṃveśaṃ % tadyogyaṃ samakalpayan // SkP_1.6 //	ASAsya-Asana-saMveSam % tad-yogyam samakalpayan // Sku-_1.6 //
   sa praṇamya ca tānsarvān $ sūtastānmunipuṃgavān &	sa praNamya ca tAn-sarvAn $ sUtaH-tAn-muni-puMgavAn &
   pradattamāsanaṃ bheje % sarvadharmasamanvitaḥ // SkP_1.7 //	pradattam-Asanam Beje % sarva-Darma-samanvitaH // Sku-_1.7 //
   tamāsīnamapṛcchanta $ munayastapasaidhitāḥ &	tam-AsInam-apRcCanta $ munayaH-tapasA-eDitAH &
   brahmasattre purā sādho % naimiśāraṇyavāsinām // SkP_1.8 //	brahma-sattre purA sADo % nEmi-Sa-araNya-vAsinAm // Sku-_1.8 //
   kathitaṃ bhāratākhyānaṃ $ purāṇaṃ ca paraṃ tvayā &	kaTitam BArata-AKyAnam $ purANam ca param tvayA &
   tena naḥ pratibhāsi tvaṃ % sākṣātsatyavatīsutaḥ // SkP_1.9 //	tena naH pratiBAsi tvam % sAkzAt-satyavatI-sutaH // Sku-_1.9 //
   sarvāgamaparārthajñaḥ $ satyadharmaparāyaṇaḥ &	sarva-Agama-para-arTa-jQaH $ satya-Darma-parAyaNaH &
   dvijapūjārato nityaṃ % tena pṛcchāṃ tvamarhasi // SkP_1.10 //	dvija-pUjA-rataH nityam % tena pRcCAm tvam-arhasi // Sku-_1.10 //
   bhāratākhyānasadṛśaṃ $ purāṇādyadviśiṣyate &	BArata-AKyAna-sadRSam $ purANAt-yat-viSizyate &
   tattvā pṛcchāma vai janma % kārttikeyasya dhīmataḥ // SkP_1.11 //	tat-tvA pRcCAma vE janma % kArttikeyasya DImataH // Sku-_1.11 //
   ime hi munayaḥ sarve $ tvadupāstiparāyaṇāḥ &	ime hi munayaH sarve $ tvad-upAsti-parAyaNAH &
   skandasaṃbhavaśuśrūṣā- % saṃjātautsukyamānasāḥ // SkP_1.12 //	skanda-saMBava-SuSrUzA % saMjAta-Otsukya-mAnasAH // Sku-_1.12 //
   evamuktastadā sūtaḥ $ saṃsiddhairmunipuṃgavaiḥ &	evam-uktaH-tadA sUtaH $ saMsidDEH-muni-puMgavEH &
   provācedaṃ munīnsarvān % vaco bhūtārthavācakam // SkP_1.13 //	provAca-idam munIn-sarvAn % vacaH BUta-arTa-vAcakam // Sku-_1.13 //
   śṛṇudhvaṃ munayaḥ sarve $ kārttikeyasya sambhavam &	SRNuDvam munayaH sarve $ kArttikeyasya samBavam &
   brahmaṇyatvaṃ samāhātmyaṃ % vīryaṃ ca tridaśādhikam // SkP_1.14 //	brahmaNya-tvam sa-mAhAtmyam % vIryam ca tridaSa-aDikam // Sku-_1.14 //
   mumukṣayā paraṃ sthānaṃ $ yāte śukamahātmani &	mumukzayA param sTAnam $ yAte Suka-mahAtmani &
   sutaśokābhisaṃtapto % vyāsastryambakamaikṣata // SkP_1.15 //	suta-Soka-aBisaMtaptaH % vyAsaH-tryambakam-Ekzata // Sku-_1.15 //
   dṛṣṭvaiva sa maheśānaṃ $ vyāso 'bhūdvigatavyathaḥ &	dRzwvA-eva sa maheSAnam $ vyAsaH aBUt-vigata-vyaTaH &
   vicaransa tadā lokān % muniḥ satyavatīsutaḥ // SkP_1.16 //	vicaran-sa tadA lokAn % muniH satyavatI-sutaH // Sku-_1.16 //
   meruśṛṅge 'tha dadṛśe $ brahmaṇaḥ sutamagrajam &	meru-SRFge aTa dadRSe $ brahmaNaH sutam-agrajam &
   sanatkumāraṃ varadaṃ % yogaiśvaryasamanvitam // SkP_1.17 //	sanatkumAram vara-dam % yoga-ESvarya-samanvitam // Sku-_1.17 //
   vimāne ravisaṃkāśe $ tiṣṭhantamanalaprabham &	vimAne ravi-saMkASe $ tizWantam-anala-praBam &
   munibhiryogasaṃsiddhais % tapoyuktairmahātmabhiḥ // SkP_1.18 //	muniBiH-yoga-saMsidDEH % tapaH-yuktEH-mahAtmaBiH // Sku-_1.18 //
   vedavedāṅgatattvajñaiḥ $ sarvadharmāgamānvitaiḥ &	veda-vedAFga-tattva-jQEH $ sarva-Darma-Agama-anvitEH &
   sakalāvāptavidyaistu % caturvaktramivāvṛtam // SkP_1.19 //	sakala-avApta-vidyEH-tu % catur-vaktram-iva-AvRtam // Sku-_1.19 //
   dṛṣṭvā taṃ sumahātmānaṃ $ vyāso munimathāsthitam &	dRzwvA tam su-mahAtmAnam $ vyAsaH munim-aTa-AsTitam &
   vavande parayā bhaktyā % sākṣādiva pitāmaham // SkP_1.20 //	vavande parayA BaktyA % sAkzAt-iva pitAmaham // Sku-_1.20 //
   brahmasūnuratha vyāsaṃ $ samāyātaṃ mahaujasam &	brahma-sUnuH-aTa vyAsam $ samAyAtam mahA-ojasam &
   pariṣvajya paraṃ premṇā % provāca vacanaṃ śubham // SkP_1.21 //	parizvajya param premNA % provAca vacanam SuBam // Sku-_1.21 //
   diṣṭyā tvamasi dharmajña $ prasādātpārameśvarāt &	dizwyA tvam-asi Darma-jQa $ prasAdAt-pArameSvarAt &
   apetaśokaḥ samprāptaḥ % pṛcchasva pravadāmyaham // SkP_1.22 //	apeta-SokaH samprAptaH % pRcCasva pravadAmi-aham // Sku-_1.22 //
   śrutvātha vacanaṃ sūnor $ brahmaṇo munipuṃgavaḥ &	SrutvA-aTa vacanam sUnoH $ brahmaNaH muni-puMgavaH &
   idamāha vaco viprāś % ciraṃ yaddhṛdaye sthitam // SkP_1.23 //	idam-Aha vacaH viprAH % ciram yat-hRdaye sTitam // Sku-_1.23 //
   kumārasya kathaṃ janma $ kārttikeyasya dhīmataḥ &	kumArasya kaTam janma $ kArttikeyasya DImataH &
   kiṃnimittaṃ kuto vāsya % icchāmyetaddhi veditum // SkP_1.24 //	kiMnimittam kutas vA-asya % icCAmi-etat-hi veditum // Sku-_1.24 //
   kathaṃ rudrasutaścāsau $ vahnigaṅgāsutaḥ katham &	kaTam rudra-sutaH-ca-asO $ vahnigaFgA-sutaH kaTam &
   umāyāstanayaścaiva % svāhāyāśca kathaṃ punaḥ \	umAyAH-tanayaH-ca-eva % svAhAyAH-ca kaTam punar \
