   samāsasūtra -	samAsa-sUtra -
   sarvopakāriṇī ṭīkā /	sarva-upakAriNI wIkA /
   yadvāgvibhūtiramalākhilatattvajātānnānādya tattvamamalaṃ paribodhayantī /	yat-vAc-viBUtiH-amala-aKila-tattva-jAtAn-nAnA-adya tattvam-amalam pariboDayantI /
   śreyaḥ karoti jagatāṃ bhagavantamādyaṃ taṃ śrīmaharṣikapilaṃ prabhumānato	SreyaH karoti jagatAm Bagavantam-Adyam tam SrI-mahA-Rzi-kapilam praBu-mAnataH-
   'smi // 1 //	asmi // 1 //
   uddidhīrṣustadunnītasūtratattvārthabuddhaye /	uddiDIrzuH-tad-unnIta-sUtra-tattva-arTa-budDaye /
   sarvopakāriṇīṃ kurve ṭīkāṃ guṇavaśaṃvadaḥ // 2 //	sarva-upakAriNIm kurve wIkAm guNa-vaSaMvadaH // 2 //
        athātrānādikleśakarmavāsanāsamudranipatitānanāthadīnānuddidhīrṣuḥ	aTa-atra-anAdi-kleSa-karma-vAsanA-samudra-nipatitAn-anATa-dInAn-uddiDIrzuH
   paramakṛpāluḥ svataḥsiddhatattvajñāno maharṣirbhagavān kapilo	parama-kRpAluH svatas-sidDa-tattva-jQAnaH mahA-RziH-BagavAn kapilaH-
   dvāviṃśatisūtrāṇyupādikṣat /	dvAviMSati-sUtrANi-upAdikzat /
   sūcanāt sūtramiti hi vyutpattiḥ /	sUcanAt sUtram-iti hi vyutpattiH /
   tata etaiḥ samastatattvānāṃ sakalaṣaṣṭitantrārthānāṃ ca sūcanaṃ bhavati /	tatas etEH samasta-tattvAnAm sakala-zazwi-tantra-arTAnAm ca sUcanam Bavati /
   itaścedaṃ sakalasāṃkhyatīrthamūlabhūtaṃ tīrthāntarāṇi	itas-ca-idam sakala-sAMKya-tIrTa-mUla-BUtam tIrTa-antarANi
   caitatprapañcabhūtānyeva /	ca-etad-prapaQca-BUtAni-eva /
   sūtraṣaḍadhyāyī tu vaiśvānarāvatāramaharṣibhagavatkapilapraṇītā iyaṃ tu	sUtra-zaz-a-DyAyI tu vESvAnara-avatAra-mahA-Rzi-Bagavat-kapila-praNItAH iyam tu
   dvāviṃśatisūtrī tasyā api bījabhūtā	dvAviMSati-sUtrI tasyAH api bIja-BUtAH-
   nārāyaṇāvatāramaharṣibhagavatkapilapraṇīteti vṛddhāḥ /	nArAyaNa-avatAra-mahA-Rzi-Bagavat-kapila-praNItA-iti vRdDAH /
   tatrādau prathamasūtratrayeṇa sakalaprapañcamūlabhūtāni	tatra-AdO praTama-sUtra-trayeNa sakala-prapaQca-mUla-BUtAni
   pañcaviṃśatitattvāni sūcayati /	paQcaviMSati-tattvAni sUcayati /
   aṣṭau prakṛtayaḥ // Tats_1 //	azwO prakRtayaH // Tats_1 //
   ṣoḍaśa vikārāḥ // Tats_2 //	zoxaSa vikArAH // Tats_2 //
   puruṣaḥ // Tats_3 //	puruzaH // Tats_3 //
   ayamarthaḥ sāṃkhyasiddhānte pañcaviṃśatistattvāni /	ayam-arTaH sAMKya-sidDAnte paQcaviMSatiH-tattvAni /
   tatra mūlaprakṛtiḥ mahattattvam ahaṅkāraḥ śabdatanmātrā sparśatanmātrā	tatra mUlaprakRtiH mahat-tattvam ahaFkAraH Sabda-tanmAtrA sparSa-tanmAtrA
