   Yāmunācāryaḥ: Saṃvitsiddhiḥ	YAmunA-AcAryaH: SaMvid-sidDiH
   ekam evādvitīyaṃ tad brahmety upaniṣadvacaḥ // YSvs_1 //	ekam eva-advitIyam tat brahma-iti upanizad-vacaH // YSvH-_1 //
   brahmaṇo 'nyasya sadbhāvaṃ nanu tat pratiṣedhati // YSvs_2 //	brahmaNaH anyasya sadBAvam nanu tat pratizeDati // YSvH-_2 //
   atra brūmo 'dvitīyoktau samāsaḥ ko vivakṣitaḥ // YSvs_3 //	atra brUmaH advitIya-uktO samAsaH kaH vivakzitaH // YSvH-_3 //
   kiṃsvit tatpuruṣaḥ kiṃ vā bahuvrīhir athocyatām // YSvs_4 //	kiMsvid tatpuruzaH kim vA bahuvrIhiH aTa-ucyatAm // YSvH-_4 //
   pūrvasminn uttaras tāvat prādhānyena vivakṣyate // YSvs_5 //	pUrvasmin uttaraH tAvat prADAnyena vivakzyate // YSvH-_5 //
   padārthas tatra tad brahma tato 'nyat sadṛśaṃ tu vā // YSvs_6 //	padArTaH tatra tat brahma tatas anyat sadRSam tu vA // YSvH-_6 //
   tadviruddham atho vā syāt triṣv apy anyan na bādhate // YSvs_7 //	tad-virudDam aTo vA syAt trizu api anyat na bADate // YSvH-_7 //
   anyatve sadṛśatve vā dvitīyaṃ siddhyati dhruvam // YSvs_8 //	anya-tve sadRSa-tve vA dvitIyam sidDyati Druvam // YSvH-_8 //
   viruddhatve dvitīyena tṛtīyaṃ prathamaṃ tu vā // YSvs_9 //	virudDa-tve dvitIyena tRtIyam praTamam tu vA // YSvH-_9 //
   brahma prāpnoti yasmāt tad dvitīyena virudhyate // YSvs_10 //	brahma prApnoti yasmAt tat dvitIyena viruDyate // YSvH-_10 //
   ataḥ saprathamāḥ sarve tṛtīyādyartharāśayaḥ // YSvs_11 //	atas sa-praTamAH sarve tRtIya-Adi-arTa-rASayaH // YSvH-_11 //
   dvitīyena tathā spṛṣṭvā svasthās tiṣṭhanty abādhitāḥ // YSvs_12 //	dvitIyena taTA spRzwvA svasTAH tizWanti abADitAH // YSvH-_12 //
   nanu nañ brahmaṇo 'nyasya sarvasyaiva niṣedhakam // YSvs_13 //	nanu nan brahmaNaH anyasya sarvasya-eva nizeDakam // YSvH-_13 //
   dvitīyagrahaṇaṃ yasmāt sarvasyaivopalakṣaṇam // YSvs_14 //	dvitIya-grahaNam yasmAt sarvasya-eva-upalakzaNam // YSvH-_14 //
   naivaṃ niṣedho na hy asmād dvitīyasyāvagamyate // YSvs_15 //	na-evam nizeDaH na hi asmAt dvitIyasya-avagamyate // YSvH-_15 //
   tato 'nyat tadviruddhaṃ vā sadṛśaṃ vātra vakti saḥ // YSvs_16 //	tatas anyat tad-virudDam vA sadRSam vA-atra vakti saH // YSvH-_16 //
   dvitīyaṃ yasya naivāsti tad brahmeti vivakṣite // YSvs_17 //	dvitIyam yasya na-eva-asti tat brahma-iti vivakzite // YSvH-_17 //
   satyādilakṣaṇoktīnām apalakṣaṇatā bhavet // YSvs_18 //	satya-Adi-lakzaNa-uktInAm apalakzaNa-tA Bavet // YSvH-_18 //
   advitīye dvitīyārtha- nāstitāmātragocare // YSvs_19 //	advitIye dvitIya-arTa na-astitA-mAtra-gocare // YSvH-_19 //
   svaniṣṭhatvān nañarthasya na syād brahmapadānvayaḥ // YSvs_20 //	sva-nizWa-tvAt naQarTasya na syAt brahma-pada-anvayaH // YSvH-_20 //
   dvitīyaśūnyatā tatra brahmaṇo na viśeṣaṇam // YSvs_21 //	dvitIya-SUnyatA tatra brahmaNaH na viSezaNam // YSvH-_21 //
   viśeṣaṇe vā tad brahma tṛtīyaṃ prathamaṃ tu vā // YSvs_22 //	viSezaNe vA tat brahma tRtIyam praTamam tu vA // YSvH-_22 //
   prasaktaṃ pūrvavat sarvaṃ bahuvrīhau samasyati // YSvs_23 //	prasaktam pUrvavat sarvam bahuvrIhO samasyati // YSvH-_23 //
   brahmaṇaḥ prathamā ye ca tṛtīyādyā jagattraye // YSvs_24 //	brahmaNaH praTamAH ye ca tRtIya-AdyAH jagattraye // YSvH-_24 //
   brahma praty advitīyatvāt svasthās tiṣṭhanty abādhitāḥ // YSvs_25 //	brahma prati advitIya-tvAt svasTAH tizWanti abADitAH // YSvH-_25 //
   kiṃca tatra bahuvrīhau samāse saṃśrite sati // YSvs_26 //	kiMca tatra bahuvrIhO samAse saMSrite sati // YSvH-_26 //
   vṛttyarthasya nañarthasya na padārthāntarānvayaḥ // YSvs_27 //	vRtti-arTasya naQarTasya na padArTa-antara-anvayaH // YSvH-_27 //
   saty arthāntarasambandhe ṣaṣṭhī yasyeti yujyate // YSvs_28 //	sati arTa-antara-sambanDe zazWI yasya-iti yujyate // YSvH-_28 //
   dvitīyavastunāstitvaṃ na brahma na viśeṣaṇam // YSvs_29 //	dvitIya-vastu-nA-astitvam na brahma na viSezaNam // YSvH-_29 //
