   Kṣemarāja: Bodhavilāsa	Kzema-rAja: BoDa-vilAsa
   oṃ namo netrāya //	om namaH netrAya //
   namaḥ śivāya satataṃ pañcakṛtyavidhāyine /	namaH SivAya satatam paQca-kRtya-viDAyine /
   cidānandaghanasvātmaparamārthāvabhāsine // 1 //	cit-Ananda-Gana-sva-Atma-parama-arTa-avaBAsine // 1 //
   citiḥ svatantrā viśvasya hetur ity abhidhīyate /	citiH svatantrA viSvasya hetuH iti aBiDIyate /
   svātantryarūpā jñātā ca siddhīr vā saṃprayacchate // 2 //	svAtantrya-rUpA jQAtA ca sidDIH vA saMprayacCate // 2 //
   sā svabhittau svecchayaiva viśvasyonmīlanāya ca /	sA sva-BittO sva-icCayA-eva viSvasya-unmIlanAya ca /
   nānānurūpavaicitryād grāhyagrāhakabhedataḥ // 3 //	nAnA-anurUpa-vEcitryAt grAhya-grAhaka-BedataH // 3 //
   viśvasya tasya vaicitryaṃ grāhyabhedena saṃsthitam /	viSvasya tasya vEcitryam grAhya-Bedena saMsTitam /
   nānāvaicitryayogena cottamādhamasaṅkhyayā // 4 //	nAnA-vEcitrya-yogena ca-uttama-aDama-saFKyayA // 4 //
   citisaṅkocanāc cittaṃ cetano 'pi maheśvaraḥ /	citi-saFkocanAt cittam cetanaH api maheSvaraH /
   vaṭadhanikāvat tatra viśvarūpaṃ ca tad viduḥ // 5 //	vawa-DanikA-vat tatra viSva-rUpam ca tat viduH // 5 //
   caitanyam ātmano rūpaṃ śuddham atyantanirmalam /	cEtanyam AtmanaH rUpam SudDam atyanta-nirmalam /
   tad eva niyamāsaktaṃ cittaṃ cid abhidhīyate // 6 //	tat eva niyama-Asaktam cittam cit aBiDIyate // 6 //
   arthonmukhatayā saṃvic citte viśrāntim āgatā /	arTa-unmuKa-tayA saMvid citte viSrAntim AgatAH /
   saṅkocātmapradhānatvāc citiś cittaṃ vidur budhāḥ // 7 //	saFkoca-Atma-praDAna-tvAt citiH cittam viduH buDAH // 7 //
   māyāpramātā cidrūpas tanmayatvena dehinām /	mAyA-pramAtA cit-rUpaH tad-maya-tvena dehinAm /
   vartate viṣayāsaktaḥ sadvivekavivarjitaḥ // 8 //	vartate vizaya-AsaktaH sat-viveka-vivarjitaH // 8 //
   sadaikaḥ pratithaś cittaṃ kalāsattvaguṇādibhiḥ /	sadA-ekaH pratiTaH cittam kalA-sattva-guNa-AdiBiH /
   saptapramatṛkatvena ṣaṭtriṃśattattvasaṅkhyayā // 9 //	sapta-pramatRka-tvena zawtriMSat-tattva-saFKyayA // 9 //
   ekaḥ sarvagataḥ śuddhaḥ sambodhātmā maheśvaraḥ /	ekaH sarva-gataH SudDaH samboDa-AtmA maheSvaraH /
   saivāhantāparijñānān muktiḥ karatale sthitā // 10 //	sA-eva-AhantA-parijQAnAt muktiH kara-tale sTitAH // 10 //
   pramātṛsaptakatvena ṣaṭtriṃśattattvasaṅkhyayā /	pramAtR-saptaka-tvena zawtriMSat-tattva-saFKyayA /
   bhāvitaḥ sa maheśāno mokṣalakṣmīḥ pravartate // 11 //	BAvitaH sa maheSAnaH mokza-lakzmIH pravartate // 11 //
   tadbhūmikā darśanādyās sarvā eva na saṃśayaḥ /	tad-BUmikAH darSana-AdyAH sarvAH eva na saMSayaH /
   bhūmikāḥ kṛtrimā yadvan naṭo gṛhṇāti svecchayā // 12 //	BUmikAH kRtrimA yadvat nawaH gRhNAti sva-icCayA // 12 //
   tadvad eva cidānandasvecchocchalitabṛṃhitaḥ /	tadvat eva cit-Ananda-sva-icCA-ucCalita-bRMhitaH /
   ātmā gṛhṇāti vipulā darśanādyā vibhūtayaḥ // 12 //	AtmA gRhNAti vipulAH darSana-AdyAH viBUtayaH // 12 //
   cidānandasamullāsollasitātmā virājate /	cit-Ananda-samullAsa-ullasita-AtmA virAjate /
   cidvatsvaśaktisaṅkocāt saṃsāre malināyate // 13 //	cidvat-su-a-Sakti-saFkocAt saMsAre malinAyate // 13 //
   apūrṇo 'smīti vividhair malaiḥ sa malinīkṛtaḥ /	apUrNaH asmi-iti viviDEH malEH sa malinIkRtaH /
   māyīyāṇavakārmākhyair vyāpako 'pi jagadvibhuḥ // 15 //	mAyIyANava-kArma-AKyEH vyApakaH api jagat-viBuH // 15 //
   vyāpī yadvan mahādevaḥ kroti pañcakṛtyatām /	vyApI yadvat mahAdevaH kroti paQca-kRtyatAm /
   tadvad evāyam ātmāpi kurute śaktimohitaḥ // 16 //	tadvat eva-ayam AtmA-api kurute Sakti-mohitaH // 16 //
   śakto vikāsāc chaktīśo gīyate tattvavādibhiḥ /	SaktaH vikAsAt Sakti-ISaH gIyate tattva-vAdiBiH /
   saṅkocanāt saṅkocitaḥ saṃsārīty abhidhīyate // 17 //	saFkocanAt saFkocitaH saMsArI-iti aBiDIyate // 17 //
   māyā rūpaṃ hi yat kiṃcid ālokayitum udyatā /	mAyA rUpam hi yat kiMcid Alokayitum udyatA /
   sādhyasṛṣṭiṃ vijānīyād anyā śaktiḥ sthitir matā // 18 //	sADya-sRzwim vijAnIyAt anyA SaktiH sTitiH matA // 18 //
   saṃhārāt saṃhṛtā devī cidaikye 'nugraho mataḥ /	saMhArAt saMhRtA devI cit-Ekye anugrahaH mataH /
   tadekasārāprathanāt tirodhānābhidhīyate // 19 //	tad-eka-sAra-apraTanAt tiroDAna-aBiDIyate // 19 //
   itthaṃ sadā saṃnihitaḥ pañcavāhavidhiḥ kramāt /	itTam sadA saMnihitaH paQcavAha-viDiH kramAt /
   jñātaś cintāmaṇir asāv ajñānāt kāṣṭaloṣṭavat // 20 //	jQAtaH cintAmaNiH asO ajQAnAt kAzwa-lozwa-vat // 20 //
   sadvimarśabalenaivaṃ nityaṃ yaḥ pariśīlate /	sat-vimarSa-balena-evam nityam yaH pariSIlate /
   sa muktaḥ sarvabandhebhyo nityānandamayo bhavet // 21 //	sa muktaH sarva-banDeByaH nitya-Ananda-mayaH Bavet // 21 //
   cidvahnir grasate so 'yaṃ suprabuddho 'sty asau yadā /	cit-vahniH grasate saH ayam su-prabudDaH asti asO yadA /
   tadāsau vimalo jñeyaś cidvahniḥ sarvabhakṣakaḥ // 22 //	tadA-asO vimalaH jQeyaH cit-vahniH sarva-BakzakaH // 22 //
   etadbalena saṃyukto yogī nirvāṇalakṣaṇaḥ /	etat-balena saMyuktaH yogI nirvANa-lakzaNaH /
   padaṃ prāpnoti vimalaṃ so 'cirān nātra saṃśayaḥ // 23 //	padam prApnoti vimalam saH acirAt na-atra saMSayaH // 23 //
   cidvahnir balalābhe 'pi viśvam ābhāti cinmayam /	cit-vahniH bala-lABe api viSvam ABAti cit-mayam /
   svānandāmṛtakallolam etad ucchalitaṃ bahiḥ // 24 //	sva-Ananda-amRta-kallolam etat ucCalitam bahis // 24 //
   tad eva śyānatāṃ yātaṃ bhāvarūpair vibhāvyate /	tat eva SyAna-tAm yAtam BAva-rUpEH viBAvyate /
   svātmā maheśvaro devaḥ krīḍate parameśvaraḥ // 25 //	sva-AtmA maheSvaraH devaH krIxate parameSvaraH // 25 //
   iti yaḥ satataṃ vetti sa mukto mocayaty api /	iti yaH satatam vetti sa muktaH mocayati api /
   sattvavrātaṃ kṣaṇenaiva ghorāt saṃsārabandhanāt // 26 //	sattva-vrAtam kzaNena-eva GorAt saMsAra-banDanAt // 26 //
   yaḥ kaścit ānandabalaḥ sa svarūpapadasthitaḥ /	yaH kaScid Ananda-balaH sa sva-rUpa-pada-sTitaH /
   iti yasya samullāsollāsitodayaśālinaḥ // 27 //	iti yasya samullAsa-ullAsita-udaya-SAlinaH // 27 //
   tasya svarūpaniṣṭhasya vyutthāne 'pi tad arthyate /	tasya sva-rUpa-nizWasya vyutTAne api tat arTyate /
   etat prayatnasāmārthyāj janair evādhigamyate // 28 //	etat prayatna-sAmArTyAt janEH eva-aDigamyate // 28 //
   madhyadhāmavikāsāc ca cidānandāt prakāśate /	maDya-DAma-vikAsAt ca cit-AnandAt prakASate /
   tatprakāśād divyadṛṣṭir jñānarūpā vibhāvyate // 29 //	tad-prakASAt divya-dRzwiH jQAna-rUpA viBAvyate // 29 //
   nirmalā suprabhā śuddhā nityānandamayī parā /	nirmalA supraBA SudDA nitya-Ananda-mayI parA /
   nirdehacchedajālāpi jñānadṛṣṭir vijṛmbhate // 30 //	nirdeha=-Ceda-jAlA-api jQAna-dRzwiH vijRmBate // 30 //
   madhyadhāmavikāse tu upāyo balavatsthitiḥ /	maDya-DAma-vikAse tu upAyaH balavat-sTitiH /
   vikalpakṣayasaṅkocavikāsādyā anekaśaḥ // 31 //	vikalpa-kzaya-saFkoca-vikAsa-AdyAH anekaSas // 31 //
   akiñciccintanād eva vikalpānāṃ kṣayo bhavet /	akiQcit-cintanAt eva vikalpAnAm kzayaH Bavet /
   cidbodhād vilasacchaktī raktāsau bhāvamaṇḍale // 32 //	cit-boDAt vilasat-SaktiH rakta-asO BAva-maNxale // 32 //
   tatrānuraktā divyaughaṃ paśyate vimalātmakam /	tatra-anuraktA divya-oGam paSyate vimala-Atmakam /
   śaktisaṅkocam etad dhi procyate brahmavādibhiḥ // 33 //	Sakti-saFkocam etat Di procyate brahma-vAdiBiH // 33 //
   ādyantakoṭiviśrāmabindunādalayās tathā /	Adi-anta-kowi-viSrAma-bindu-nAda-layAH taTA /
   aśaṅkitabhayakrodhabībhatsādiparigrahāḥ // 34 //	aSaFkita-Baya-kroDa-bIBatsa-Adi-parigrahAH // 34 //
   ity etat kathitaṃ devi madhyadhāmavikāsakam /	iti etat kaTitam devi maDya-DAma-vikAsakam /
   tatra śakto dinair evaṃ prapnoti parasampadam // 35 //	tatra SaktaH dinEH evam prapnoti para-sampadam // 35 //
   yo 'ntaḥsamādhisaṃskāraṃ bhramate vimalatviṣām /	yaH antar-samADi-saMskAram Bramate vimala-tvizAm /
   sa visargabalād eva vimṛśya ca punaḥ punaḥ // 36 //	sa visarga-balAt eva vimRSya ca punar punar // 36 //
   vyutthāne 'pi yatas tasya svarūpaṃ samprakāśate /	vyutTAne api yatas tasya svarUpam samprakASate /
   yogino bodhaniṣṭhasya nityānandarasasya ca // 37 //	yoginaH boDa-nizWasya nitya-Ananda-rasasya ca // 37 //
   tat prakāśānandamayī mantravīryopabṛṃhitā /	tat prakASa-Ananda-mayI mantra-vIrya-upabRMhitA /
   pūṛnāhantācid ity antaḥsamullāsābhiyoginaḥ // 38 //	pURnAhantAcit iti antar-samullAsa-aBiyoginaH // 38 //
   tatrāsau vilasan yogī mantreśvarapade sthitaḥ /	tatra-asO vilasan yogI mantreSvara-pade sTitaH /
   tatra śakto vibhur yadvat krīḍate śaktibṛṃhitaḥ // 39 //	tatra SaktaH viBuH yadvat krIxate Sakti-bRMhitaH // 39 //
   evaṃ svatantratā tasya vyāpakasya jagadvibhoḥ /	evam svatantra-tA tasya vyApakasya jagat-viBoH /
   nānābhedajuṣaś citrapadasthitasyākhaṇḍitā // 40 //	nAnA-Beda-juzaH citra-pada-sTitasya-aKaNxitAH // 40 //
   etad advayam ity uktaṃ jñānāmṛtam anuttamam /	etat advayam iti uktam jQAna-amRtam anuttamam /
   yaḥ pibec chāmyate tasya saṃsāraviṣamūrchanam // 41 //	yaH pibet SAmyate tasya saMsAra-viza-mUrCanam // 41 //
   bodhollāsavidhāneyaṃ śivaprāpyai mahātmanām /	boDa-ullAsa-viDAnA-iyam Siva-prApyE mahAtmanAm /
   rājñaḥ kṣemābhidhānasya śāstram atyantanirmalam // 42 //	rAjQaH kzema-aBiDAnasya SAstram atyanta-nirmalam // 42 //
   iti śrīkṣemarājakṛtaṃ bodhavilāsākhyaṃ yogaśāstram //	iti SrI-kzemarAja-kRtam boDavilAsa-AKyam yoga-SAstram //
