   Ajitasenavyākaraṇam	Ajita-sena-vyAkaraNam
   // om namaḥ sarvajñāya //	// om namaH sarvajQAya //
   evaṃ mayā śrutamekasmin samaye bhagavān śrāvastyāṃ viharati sma jetavane	evam mayA Srutam-ekasmin samaye BagavAn SrAvastyAm viharati sma jetavane
   anāthapiṇḍadasyārāme mahātā bhikṣusaṅghena	anATapiNxadasya-ArAme mahAtA Bikzu-saFGena
   sārdhamardhatrayodaśabhirbhikṣusahasraiḥ / tadyathā āyuṣmatā	sArDam-arDa-trayodaSaBiH-Bikzu-sahasrEH / tat-yaTA AyuzmatA
   cājñātakauṇḍinyena āyuṣmatā ca mahānāmnā āyuṣmatā ca revatena āyuṣmatā ca	ca-ajQAta-kONxinyena AyuzmatA ca mahAnAmnA AyuzmatA ca revatena AyuzmatA ca
   vakkulena āyuṣmatā ca śāriputreṇa āyuṣmatā ca pūrṇena maitrāyaṇīputreṇa ca	vakkulena AyuzmatA ca SAriputreNa AyuzmatA ca pUrNena mEtrAyaNI-putreNa ca
   śrāvakaniyutaiḥ / te sarve yena bhagavān yena ca jetavanaṃ vihāraṃ	SrAvaka-niyutEH / te sarve yena BagavAn yena ca jetavanam vihAram
   tenopasaṅkrāntā bhagavataḥ pādau śirasābhivandya bhagavataḥ	tena-upasaFkrAntAH BagavataH pAdO SirasA-aBivandya BagavataH
   puratastasthurdvātriṃśatā bodhisattvasahasraiḥ / tadyathā	puratas-tasTuH-dvAtriMSatA boDisattva-sahasrEH / tat-yaTA
   sahacittotpādadharmacakrapravartanena ca bodhisattvena mahāsattvena	saha-citta-utpAda-Darma-cakra-pravartanena ca boDisattvena mahAsattvena
   anikṣiptadhureṇa ca bodhisattvena mahāsattvena maitreyeṇa ca bodhisattvena	anikzipta-DureNa ca boDisattvena mahAsattvena mEtreyeNa ca boDisattvena
   mahāsattvena avalokiteśvareṇa ca bodhisattvena mahāsattvena	mahAsattvena avalokita-ISvareNa ca boDisattvena mahAsattvena
   mahāsthāmaprāptena ca bodhisattvena mahāsattvena /	mahA-sTAma-prAptena ca boDisattvena mahAsattvena /
   evampramukhairdātriṃśatā bodhisattvasahasraiḥ / te sarve yena bhagavān	evampramuKEH-dAtriMSatA boDisattva-sahasrEH / te sarve yena BagavAn
   yena ca jetavanaṃ vihāraṃ tenopasaṅkrāntā bhagavataḥ pādau śirasābhivandya	yena ca jetavanam vihAram tena-upasaFkrAntAH BagavataH pAdO SirasA-aBivandya
