   śikṣāsamuccayaḥ |	SikzAsamuccayaH |
   dānapāramitā nāma prathamaḥ paricchedaḥ ||	dAnapAramitA nAma praTamaH paricCedaH ||
   namaḥ sarvabuddhabodhisatvebhyaḥ ||	namaH sarva-budDa-boDisatveByaH ||
   yasyâśraveṇa narakâdi mahāprapātadāhâdiduṣkham	yasyâSraveNa narakâdi mahA-prapAta-dAhâ-diduzKam
   anubhūtam abhūd bhavadbhiḥ |	anuBUtam aBUt BavadBiH |
   tīvraṃ punaḥ punar anantam aśāntacittais tac chrotum ādaram udārataraṃ	tIvram punar punar anantam aSAnta-cittEH tat Srotum Adaram udArataram
   bhajadhvam ||	BajaDvam ||
   śrutvā ... pāpaṃ anuddhatâtmā pūrvârjitaṃ ca vipulaṃ kṣapayaty aśeṣam |	SrutvA ... pApam anudDatâtmA pUrvârjitam ca vipulam kzapayati aSezam |
   aprāptapūrvam api saukhyam avāpnuvanti hāniṃ sukhāc ca na kadācid api	aprApta-pUrvam api sOKyam avApnuvanti hAnim suKAt ca na kadAcid api
   prayānti ||	prayAnti ||
   sambodhisatvasukham uttamam akṣaya ... apy asamasaṃpadam āpnuvanti |	samboDisatva-suKam uttamam akzayaH ... api asama-saMpadam Apnuvanti |
   tad dharmaratnam atidurlabham apy alabdhaṃ labdhakṣaṇāḥ	tat Darma-ratnam ati-durlaBam api alabDam labDa-kzaNAH
   śṛṇvata sâdaram ucyamānam ||	SRNvata sâdaram ucyamAnam ||
   āyāntu ca tribhuvanâikahitasya vākyaṃ śrotuṃ prasannamanasaḥ	AyAntu ca triBuvan-âika-hitasya vAkyam Srotum prasanna-manasaH
   suranāgasatvāḥ |	sura-nAga-satvAH |
   gandharvayakṣagaruḍâsurakinnarêndrāḥ pretâdayaḥ	ganDarva-yakza-garuxâ-sura-kinnarêndrAH pretâ-dayaH
   śravaṇajātatṛṣaḥ saharṣāḥ ||	SravaNa-jAta-tRzaH sa-harzAH ||
   sugatān sasutān sadharmakāyān praṇipatyâdarato 'khilāṃś ca vandyān |	sugatAn sa-sutAn sa-Darma-kAyAn praNipatyâdarataH aKilAn ca vandyAn |
   sugatâtmajasamvarâvatāraṃ kathayiṣyāmi	sugatâtmaja-samvarâvatAram kaTayizyAmi
   samuccitârthavākyaiḥ ||	samuccitârTa-vAkyEH ||
   na ca kiñcid apūrvam atra vācyaṃ na ca saṃgranthanakauśalaṃ mamâsti |	na ca kiQcid apUrvam atra vAcyam na ca saMgranTana-kOSalam mamâsti |
   atâiva na me parârthayatnaḥ svamano bhāvayituṃ mamêdam	atâiva na me parârTa-yatnaH sva-manaH BAvayitum mamêdam
   iṣṭam ||	izwam ||
   mama tāvad anena yāti vṛddhiṃ kuśalaṃ bhāvayituṃ prasādavegaḥ |	mama tAvat anena yAti vRdDim kuSalam BAvayitum prasAda-vegaH |
   yadi matsamadhātur eva paśyed aparo 'py enam ato 'pi sârthako 'yam ||	yadi mad-sama-DAtuH eva paSyet aparaH api enam atas api sârTakaH ayam ||
   [ Bendall ed p2 ---> ]	[ Bet-dalt ed p2 ---> ]
   kṣaṇasampad iyaṃ sudurlabhā pratilabdhā puruṣârthasādhanī |	kzaNa-sampad iyam su-durlaBA pratilabDA puruzârTa-sADanI |
