   kāmaśūtrasya viṣayānukramaḥ	kAmaSUtrasya vizaya-anukramaH
   1. sādhāraṇam	1. sADAraNam
   1. 1. (1) śāstra^saṃgrahaḥ	1. 1. (1) SAstra^saMgrahaH
   1. 2. (2) trivargapratipattiḥ	1. 2. (2) trivarga-pratipattiH
   1. 3. (3) vidyāsamuddeśaḥ	1. 3. (3) vidyA-samuddeSaH
   1. 4. (4) nāgarakavṛttam	1. 4. (4) nAgaraka-vRttam
   1. 5. (5) nāyakasahāyadūtīkarmavimarśaḥ	1. 5. (5) nAyaka-sahAya-dUtI-karma-vimarSaH
   2. sāṃprayogikaṃ	2. sAMprayogikam
   2. 1. (6) pramāṇa^kāla^bhāvebhyo rata^avasthāpanam	2. 1. (6) pramANa^kAla^BAveByaH rataH-^avasTApanam
   2. 2. (7) āliṅganavicārā	2. 2. (7) AliFgana-vicArA
   2. 3. (8) cumbana^vikalpās	2. 3. (8) cumbana^vikalpA-as
   2. 4. (9) nakharadanajātayaḥ	2. 4. (9) naKa-radana-jAtayaH
   2. 5.(10) daśana^cchedyavihayo	2. 5.(10) daSana^cCedya-vihayaH-
   2. 6.(11) saṃveśanaprakārāś citraratāni	2. 6.(11) saMveSana-prakArAH citra-ratAni
   2. 7.(12) prahaṇanaprayogās tadyuktāś ca sītkṛta^upakramāḥ	2. 7.(12) prahaNana-prayogAH tad-yuktAH ca sItkRtaH-^upakramAH
   2. 8.(13) puruṣopasṛptāni puruṣāyitaṃ	2. 8.(13) puruza-upasRptAni puruzAyitam
   2. 9.(14) aupariṣṭakaṃ	2. 9.(14) Oparizwakam
   2.10.(15) rata^arambha^avasānikaṃ rata^viśeṣāḥ praṇayakalahaś ca	2.10.(15) rata^aramBa^avasAnikam rata^viSezAH praNaya-kalahaH ca
   3. kanyāsaṃprayuktakaṃ	3. kanyA-saMprayuktakam
   3. 1.() varaṇasaṃvidhānam saṃbandhaniścayaḥ ca	3. 1.() varaNa-saMviDAnam saMbanDa-niScayaH ca
   3. 2.() kanyāvisrambhaṇam	3. 2.() kanyA-visramBaNam
   3. 3.() bālāyām upakramāḥ iṅgitākārasūcanam ca	3. 3.() bAlAyAm upakramAH iFgita-AkAra-sUcanam ca
   3. 4.() ekapuruṣābhiyogāḥ	3. 4.() eka-puruza-aBiyogAH
   3. 5.() vivāhayoga	3. 5.() vivAha-yoga
   4. bhāryādhikārikaṃ	4. BAryA-ADikArikam
   4.1.()ekacāriṇīvṛttaṃ pravāsacaryā ca	4.1.()ekacAriNI-vRttam pravAsa-caryA ca
   4.2.()jyeṣṭhādivṛtta	4.2.()jyezWa-Adi-vRtta
   5. pāradārikaṃ	5. pAradArikam
   5.2.() paricayakāraṇāny abhiyogā	5.2.() paricaya-kAraNAni aBiyogA
   5.3.() bhāvaparīkṣā	5.3.() BAva-parIkzA
   5.4.() dūtīkarmāṇi	5.4.() dUtI-karmANi
   5.5.() īśvarakāmitaṃ	5.5.() ISvara-kAmitam
   5.6.() āntaḥpurikaṃ dārarakṣitakaṃ	5.6.() AntaHpurikam dAra-rakzitakam
   6. vaiśikaṃ	6. vESikam
   6.2.() kāntānuvṛttaṃ	6.2.() kAntA-anuvRttam
   6.3.() arthāgamopāyā viraktaliṅgāni viraktapratipattir niṣkāsanakramās	6.3.() arTa-Agama-upAyAH virakta-liFgAni virakta-pratipattiH nizkAsana-krama-as
   6.4.() viśīrṇapratisaṃdhānaṃ	6.4.() viSIrNa-pratisaMDAnam
   6.5.() lābhaviśeṣāḥ	6.5.() lABa-viSezAH
   6.6.() arthānarthanubandhasaṃśayavicārā veśyāviśeṣāś ca	6.6.() arTa-anarTa-nubanDa-saMSaya-vicArAH veSyA-viSezAH ca
   7. aupaniṣadikaṃ	7. Opanizadikam
   7.1.() subhagaṃkaraṇaṃ vaśīkaraṇaṃ vṛṣyāś ca yogāḥ	7.1.() suBagaMkaraNam vaSIkaraNam vRzyAH ca yogAH
   7.2.() naṣṭarāgapratyānayanaṃ vṛddhividhayaś citrāś ca yogā	7.2.() nazwa-rAga-pratyAnayanam vRdDi-viDayaH citrAH ca yogA
   1. sādhāraṇam	1. sADAraNam
   1.1.(1) śāstra^saṃgrahaḥ	1.1.(1) SAstra^saMgrahaH
   1.1.1/.dharma^artha^kāmebhyo namaḥ//(p.2)	1.1.1/.Darma^arTa^kAmeByaH namaH//(p.2)
   1.1.2/.śāstre prakṛtatvāt//(p.2)	1.1.2/.SAstre prakRta-tvAt//(p.2)
   1.1.3/.tat^samaya^avabodhakebhyaś ca^ācāryebhyaḥ//(p.3)	1.1.3/.tat^samayaH-^avaboDakeByaH ca^AcAryeByaH//(p.3)
   1.1.4/.tat^saṃbandhāt//(p.3)	1.1.4/.tat^saMbanDAt//(p.3)
   1.1.5/.prajāpatir hi prajāḥ sṛṣṭvā tāṣāṃ sthiti^nibandhanaṃ trivargasya	1.1.5/.prajApatiH hi prajAH sRzwvA tAzAm sTiti^nibanDanam trivargasya
   sādhanam adhyāyānāṃ śatasahasreṇa^agre provāca//(p.3)	sADanam aDyAyAnAm Sata-sahasreNa^agre provAca/-/(p.3)
   1.1.6/.tasya^ekadeśikaṃ manuḥ svāyaṃbhuvo dharma^adhikārikaṃ pṛthak	1.1.6/.tasya^eka-deSikam manuH svAyaMBuvaH DarmaH-^aDikArikam pRTak-
   cakāra//(p.4)	cakAra//(p.4)
   1.1.7/.bṛhaspatir artha^adhikārikam//(p.4)	1.1.7/.bRhaspatiH arTaH-^aDikArikam-//(p.4)
   1.1.8/.mahādeva^anucaraś ca nandī sahasreṇa^adhyāyānāṃ pṛthak kāmasūtraṃ	1.1.8/.-mahAdeva^anucaraH ca nandI sahasreNa^aDyAyAnAm pRTak kAmasUtram
   provāca//(p.4)	provAca/-/(p.4)
   1.1.9/.tad eva tu pañcabhir adhyāyaśatair auddālakiḥ śvetaketuḥ	1.1.9/.tat eva tu paQcaBiH aDyAya-SatEH OddAlakiH SvetaketuH
   saṃcikṣepa//(p.4)	saMcikzepa//(p.4)
   1.1.10/.tad eva tu punar adhyardhena^adhyāyaśatena	1.1.10/.tat eva tu punar aDyarDena^aDyAya-Satena
   sādhāraṇa^sāṃprayogika^kanyā^saṃprayuktaka^bhāryā^adhikārika^pāradārika^vaiśi	sADAraNa^sAMprayogika^kanyA^saMprayukta-ka^BAryA^aDikArika^pAradArika^vESi
   ka^aupaniṣadikaḥ saptabhir adhikaraṇair bābhravyaḥ pāñcālaḥ	kaH-^OpanizadikaH saptaBiH aDikaraNEH bABravyaH pAQcAlaH
   saṃcikṣepa//(p.5)	saMcikzepa//(p.5)
   1.1.11/.tasya ṣaṣṭhaṃ vaiśikam adhikaraṇaṃ pāṭaliputrikāṇāṃ gaṇikānāṃ	1.1.11/.tasya zazWam vESikam aDikaraNam pAwaliputrikANAm gaNikAnAm
   niyogād dattakaḥ pṛthak cakāra//(p.5)	niyogAt dattakaH pRTak cakAra//(p.5)
   1.1.12/.tat^prasaṅgāc cārāyaṇaḥ sādhāraṇam adhikaraṇaṃ pṛthak provāca/	1.1.12/.tat-^prasaFgAt cArAyaNaH sADAraNam aDikaraNam pRTak provAca/
   suvarṇanābhaḥ sāṃprayogikam/ ghoṭakamukhaḥ kanyā^saṃprayuktakam/ gonardīyo	suvarNanABaH sAMprayogi-kam/ GowakamuKaH kanyA^saMprayukta-kam/ gonardIyaH-
