   śrīlaṅkeśvaraviracitā śivastutiḥ /	SrI-laFkeSvara-viracitA Siva-stutiH /
   gale kalitakālima prakaṭitendu bhālasthale vināṭitajaṭotkaraṃ	gale kalita-kAlima prakawita-indu BAla-sTale vinAwita-jawA-utkaram
   rucirapāṇipāthoruhe /	rucira-pANi-pAToruhe /
   udañcitakapālakaṃ jaghanasīmni saṃdarśitadvipājinamanukṣaṇaṃ kimapi dhāma	udaQcita-kapAlakam jaGana-sImni saMdarSita-dvipa-ajinam-anukzaNam kim-api DAma
   vandāmahe // LSiv_1 //	vandAmahe // LSiu-_1 //
   vṛṣopariparisphuraddhavaladhāma	vRza-upari-parisPurat-havala-DAma
   dhāmaśriyākuberagirigaurimaprabhavagarvanirvāsi tat /	DAma-SriyA-kubera-giri-gOrima-praBava-garva-nirvAsi tat /
   rucirapunarumākucopacitakuṅkumai rañjitaṃ gajājinavirājitaṃ	rucira-punarumA-kuca-upacita-kuFkumEH raQjitam gaja-ajina-virAjitam
   vṛjinabhaṅgabījaṃ bhaje // LSiv_2 //	vRjina-BaFga-bIjam Baje // LSiu-_2 //
   uditvaravilocanatrayavisṛtvarajyotiṣā kalākarakalākaravyatikareṇa	uditvara-vilocana-traya-visRtvA-rajyotizA kalA-Akara-kalA-kara-vyatikareNa
   cāharniśam /	ca-aharniSam /
   vikāsitajaṭāṭavīviharaṇotsavaprollasattarāmarataraṅgiṇītaralacūḍamīḍe	vikAsita-jawA-awavI-viharaNa-utsava-prollasattara-amara-taraFgiNI-tarala-cUxa-mIxe
   mṛḍam // LSiv_3 //	mRxam // LSiv_3 //
   vihāya kamalālayāvilasitāni vidyunnaṭīviḍambanapaṭūni me viharaṇaṃ	vihAya kamala-Alaya-Avila-sitAni vidyut-nawI-vixambana-pawUni me viharaNam
   vidhattāṃ manaḥ /	viDattAm manaH /
   kapardini kumudvatīramaṇakhaṇḍacūḍāmaṇau kaṭītaṭapaṭībhavatkaraṭicarmaṇi	kapardini kumudva-tIra-maNa-KaNxa-cUxAmaNO kawI-tawa-pawI-Bavat-karawi-carmaNi
   brahmaṇi // LSiv_4 //	brahmaNi // LSiu-_4 //
   bhavadbhavanadehalīvikaṭātuṇḍadaṇḍāhatitruṭanmukuṭakoṭibhirmaghavadādibhirbhūyate	Bavat-Bavana-dehalI-vikawA-tuNxa-daNxa-Ahati-truwat-mukuwa-kowiBiH-maGavat-AdiBiH-BUyate
   vrajema bhavadantikaṃ prakṛtimetya paiśācikīṃ kimityamarasaṃpadaḥ	vrajema Bavat-antikam prakRtim-etya pESAcikIm kim-iti-amara-saMpadaH
   pramathanātha nāthāma he // LSiv_5 //	pramaTanATa nATAma he // LSiu-_5 //
   tvadarcanaparāyaṇapramathakanyakāluṇṭhitaprasūnasaphaladrumaṃ kamapi	tvad-arcana-parAyaNa-pramaTa-kanyakA-luNWita-prasUna-saPala-drumam kam-api
   śailamāśāsmahe /	SElam-ASAsmahe /
   alaṃ taṭavitardikāśayitasiddhasīmantinīprakīrṇasumanomanoranameruṇā meruṇā	alam tawa-vitardikA-Sayita-sidDa-sImantinI-prakIrNa-sumanaH-manora-nameruNA meruNA
   // LSiv_6 //	// LSiv_6 //
   na jātu hara yātu me viṣayadurvilāsaṃ mano manobhavakathāstu me na ca	na jAtu hara yAtu me vizaya-durvilAsam manaH manoBava-kaTA-astu me na ca
   manorathātithyabhūḥ /	manoraTa-AtiTyaBUH /
   sphuratsurataraṅgiṇītaṭakuṭīrakoṭau vasannaye śiva devāniśaṃ tava bhavāni	sPurat-sura-taraFgiNI-tawa-kuwIra-kowO vasannaye Siva deva-aniSam tava BavAni
   pūjāparaḥ // LSiv_7 //	pUjA-paraH // LSiu-_7 //
   vibhūṣaṇasurāpagāśucitarālavālāvalīvaladbahalasīkaraprakarasekasaṃvardhitā	viBUzaNa-surApaga-aSuci-tarAla-vAla-avalI-valat-bahala-sIkara-prakara-seka-saMvarDitA
   maheśvarasuradrumasphuritasajjaṭāmañjarī namajjanaphalapradā mama nu hanta	maheSvara-suradruma-sPurita-sajjawA-maQjarI namat-jana-Pala-pradA mama nu hanta
   bhūyādiyam // LSiv_8 //	BUyAt-iyam // LSiv_8 //
   bahirviṣayasaṃgatipratinivartitākṣāvaleḥ samādhikalitātmanaḥ	bahis-vizaya-saMgati-pratinivartita-akza-AvaleH samADi-kalita-AtmanaH
   paśupateraśeṣātmanaḥ /	paSupateH-aSeza-AtmanaH /
   śiraḥsurasarittaṭīkuṭilakalpakalpadrumaṃ niśākarakalāmahaṃ	SiraH-surasarit-tawI-kuwila-kalpa-kalpadrumam niSAkara-kalAmaham
   vaṭuvimṛṣyamāṇāṃ bhaje // LSiv_9 //	vawu-vimRzyamANAm Baje // LSiu-_9 //
   tvadīyasuravāhinīvimalavāridhārāvalajjaṭāgahanagāhinī matiriyaṃ	tvadIya-sura-vAhinI-vimala-vAri-DAra-avalat-jawA-gahana-gAhinI matiH-iyam
   mamākrāmatu /	mama-AkrAmatu /
   upottamasarittaṭīviṭapitāṭavīprollasattapasvipariṣattulāmamalamallikābha	upottam-asarit-tawI-viwa-pita-awavI-prolla-sat-tapasvi-parizad-tulAm-amala-mallikA-ABa
   prabho // LSiv_10 //	praBo // LSiu-_10 //
   iti śrīlaṅkeśvaraviracitā śivastutiḥ samāptā /	iti SrI-laFkeSvara-viracitA Siva-stutiH samAptAH /
