   akaṇṭakā vasumatī MvyK_8a	akaNwakA vasumatI MvyK_8a
   akṛṣṭotpadyate śāli- MvyK_9a	akRzwa-utpadyate SAli MvyK_9a
   akhilāś chinnasaṃcayāḥ MvyC_94b	aKilAH Cinna-saMcayAH MvyS_94b
   akhilāś chinnasaṃśayāḥ MvyK_92b	aKilAH Cinna-saMSayAH MvyK_92b
   aguruṃ candanaṃ cāpi MvyG_85c	agurum candanam ca-api Mu-yu-_85c
   aguruṃ candanaṃ caiva MvyC_84c	agurum candanam ca-eva MvyS_84c
   aguruṃ candanaṃ caiva MvyK_81c	agurum candanam ca-eva MvyK_81c
   ajātarūparajatā MvyG_99c	ajAtarUpa-rajatA Mu-yu-_99c
   ajātarūparajatā MvyC_95c	ajAtarUpa-rajatA MvyS_95c
   ajātarūparajatā MvyK_93c	ajAtarUpa-rajatA MvyK_93c
   atikṛṣṇābhijātikaḥ MvyC_101d	ati-kRzNa-aBijAtikaH MvyS_101d
   atha prītas sahasrākṣo MvyC_35a	aTa prItaH sahasrAkzaH MvyS_35a
   atha śaṅkho narapatiḥ MvyG_48a	aTa SaFKaH narapatiH Mu-yu-_48a
   athainam avadac chāstā MvyK_4a	aTa-enam avadat SAstA MvyK_4a
   adaṇḍā anupadravāḥ MvyK_7b	adaNxAH anupadravAH MvyK_7b
   adaṇḍena vasundharām MvyK_23b	adaNxena vasunDarAm MvyK_23b
   adhyāpako mantradharaḥ MvyC_28a	aDyApakaH mantra-DaraH MvyS_28a
   adhyāpako mantradharaḥ MvyK_28a	aDyApakaH mantra-DaraH MvyK_28a
   anādānā nirutsakāḥ MvyG_98d	anAdAnAH nirutsakAH Mu-yG_98d
   aniketā asaṃbhavāḥ MvyK_93d	aniketAH asaMBavAH MvyK_93d
   aniketā asaṃstavāḥ MvyG_99d	aniketAH asaMstavAH Mu-yG_99d
   aniketā asaṃstavāḥ MvyC_95d	aniketAH asaMstavAH MvyS_95d
   anukampasva janatāṃ MvyG_92c	anukampasva janatAm Mu-yu-_92c
   anukampasva janatāṃ MvyC_89c	anukampasva janatAm MvyS_89c
   anukampasva janatāṃ MvyK_86c	anukampasva janatAm MvyK_86c
   anuttarāṃ ca saṃbodhiṃ MvyC_58c	anuttarAm ca saMboDim MvyS_58c
   anuttarāṃ ca saṃbodhiṃ MvyK_55c	anuttarAm ca saMboDim MvyK_55c
   anuttarāṃ śivāṃ bodhiṃ MvyG_55c	anuttarAm SivAm boDim Mvyu-_55c
   anenaiva pramāṇena MvyG_63a	anena-eva pramANena Mu-yu-_63a
   api kṛṣṇābhijātikaḥ MvyK_99d	api kRzNa-aBijAtikaH MvyK_99d
   api kṛṣṇāsu jātiṣu MvyG_107d	api kRzNAsu jAtizu Mu-yu-_107d
   abhirūpā yaśasvinī MvyC_29d	aBirUpA yaSasvinI MvyS_29d
   abhirūpā yaśasvinī MvyK_29d	aBirUpA yaSasvinI MvyK_29d
   abhrakūṭād yathā sūryo MvyC_33c	aBra-kUwAt yaTA sUryaH MvyS_33c
   abhrakūṭād yathā sūryo MvyK_33c	aBra-kUwAt yaTA sUryaH MvyK_33c
   amamā aparigrahāḥ MvyG_99b	amamAH aparigrahAH Mu-yG_99b
   amamā aparigrahāḥ MvyC_95b	amamAH aparigrahAH MvyS_95b
   amamā aparigrahāḥ MvyK_93b	amamAH aparigrahAH MvyK_93b
   arcayiṣyanti mānuṣāḥ MvyG_90b	arcayizyanti mAnuzAH Mu-yG_90b
   arthato lokanāthena MvyG_69c	arTataH lokanATena Mu-yu-_69c
   arthato lokanāthena MvyC_70c	arTataH lokanATena MvyS_70c
   arthato lokanāthena MvyK_67c	arTataH lokanATena MvyK_67c
   arhadbhiś ca bhaviṣyati MvyG_96b	arhadBiH ca Bavizyati Mu-yG_96b
   arhadbhiś ca bhaviṣyati MvyC_92b	arhadBiH ca Bavizyati MvyS_92b
   arhadbhiś ca bhaviṣyati MvyK_90b	arhadBiH ca Bavizyati MvyK_90b
   alipto garbhapaṅkena MvyG_33a	aliptaH garBa-paFkena Mu-yu-_33a
   alipto garbhapaṅkena MvyC_34a	aliptaH garBa-paFkena MvyS_34a
   alipto garbhapaṅkena MvyK_34c	aliptaH garBa-paFkena MvyK_34c
   aśītibhiś caturbhiś ca MvyG_47a	aSItiBiH caturBiH ca Mu-yu-_47a
   aśītibhiś caturbhiś ca MvyG_62a	aSItiBiH caturBiH ca Mu-yu-_62a
   aśītibhiś caturbhiś ca MvyG_65c	aSItiBiH caturBiH ca Mu-yu-_65c
   aśītibhiś caturbhiś ca MvyC_50a	aSItiBiH caturBiH ca MvyS_50a
   aśītibhiś caturbhiś ca MvyC_56a	aSItiBiH caturBiH ca MvyS_56a
   aśītibhiś caturbhiś ca MvyC_64a	aSItiBiH caturBiH ca MvyS_64a
   aśītibhiś caturbhiś ca MvyC_67c	aSItiBiH caturBiH ca MvyS_67c
   aśītibhiś caturbhiś ca MvyK_47a	aSItiBiH caturBiH ca MvyK_47a
