   Mahāpratisarāvidyāvidhi	Maha-apratisara-avidyA-viDi
   namo bhagavatyai āryamahāpratisarāyai //	namaH BagavatyE Arya-mahA-pratisarAyE //
   natvā pratisarāṃ bhaktyā sarvabuddhābhinanditām /	natvA pratisarAm BaktyA sarva-budDa-aBinanditAm /
   vibhūtyai sarvasattvānāṃ taccakraṃ likhyate mayā //	viBUtyE sarva-sattvAnAm tat-cakram liKyate mayA //
   śuciḥ samāhitaḥ san balyādikaṃ dattvā nirmuṣṭihastapramāṇāṃ bhūrjatvacaṃ	SuciH samAhitaH san balyAdikam dattvA nirmuzwi-hasta-pramANAm BUrja-tvacam
   vastraṃ vā samādāya prathamaṃ tāvac caturaṅgulapramāṇaṃ puṭam ekaṃ likhet	vastram vA samAdAya praTamam tAvat catur-aFgula-pramANam puwam ekam liKet-
   // tanmadhye 'rdhendubindubhūṣitaṃ hūṃkārāṣṭakaveṣṭitaṃ praiṃkāram /	// tad-maDye arDa-indu-bindu-BUzitam hUMkAra-azwaka-vezwitam prEMkAram /
   tanmadhye mantram /	tad-maDye mantram /
   oṃ maṇidhari vajriṇi mahāpratisare dhārakasya rakṣaṃ śāntipuṣṭiṃ kuru hūṃ	om maNiDari vajriNi mahA-pratisare DArakasya rakzam SAnti-puzwim kuru hUm
   2 phaṭ 2 svāhā //	2 Paw 2 svAhA //
   tato bāhye 'rdhāṅgulapuṭadvayam // tatra prathame puṭe mantram oṃ	tatas bAhye arDa-aFgula-puwa-dvayam // tatra praTame puwe mantram om
   maṇītipūrvakam eva / dvitīye tathaiva dvidhā / tato bāhye tryaṅgulapuṭam	maNIti-pUrvakam eva / dvitIye taTA-eva dviDA / tatas bAhye tri-aFgula-puwam
   ekam / tatra caturdikṣu catuḥpadmadale rekhādvitaya saṃdhau	ekam / tatra catur-dikzu catur-padma-dale reKA-dvitaya saMDO
   pūrvādidikkrameṇa mantraṃ likhet //	pUrva-Adi-diS-krameNa mantram liKet //
   oṃ vimale vipule jayavare amṛte dhārakasya rakṣāṃ kuru hūṃ 2 phaṭ 2 svāhā	om vimale vipule jaya-vare amRte DArakasya rakzAm kuru hUm 2 Paw 2 svAhA
   dakṣiṇe //	dakziNe //
   oṃ amṛtavilokini garbhasaṃrakṣaṇi ākarṣaṇi dhārakasya rakṣāṃ śāntipuṣṭiṃ	om amRta-vilokini garBa-saMrakzaNi AkarzaNi DArakasya rakzAm SAnti-puzwim
   kuru hūṃ 2 phaṭ 2 svāhā /	kuru hUm 2 Paw 2 svAhA /
   [Mpvv, Page 477]	[Mpvv, Page 477]
   paścime //	paScime //
   oṃ bhara 2 saṃbhara 2 indriyabalaviśodhani dhārakasya rakṣāṃ kuru hūṃ 2	om Bara 2 saMBaraH 2 indriya-bala-viSoDani DArakasya rakzAm kuru hUm 2
   phaṭ 2 ruru cale svāhā //	Paw 2 ruru cale svAhA //
   uttare //	uttare //
   oṃ amṛtavare vara vara pravaraviśuddhe dhārakasya rakṣāṃ śāntipuṣṭiṃ kuru	om amRta-vare vara vara pravara-viSudDe DArakasya rakzAm SAnti-puzwim kuru
   hūṃ 2 phaṭ 2 svāhā //	hUm 2 Paw 2 svAhA //
   dalānāṃ madhye hūṃkārāṣṭakaveṣṭitapraiṃkāramadhye maṇidharītyādi mantraṃ	dalAnAm maDye hUMkAra-azwaka-vezwita-prEMkAra-maDye maNiDarI-ityAdi mantram
   likhet // caturvidikṣu catustriśūkavajrārdhagarbhe āgneyādikoṇakrameṇa	liKet // catur-vidikzu catur-triSUka-vajra-arDa-garBe Agneya-Adi-koNa-krameNa
   mantraṃ likhet //	mantram liKet //
   oṃ visphoṭavajriṇi dhārakasya rakṣāṃ kuru hūṃ 2 phaṭ 2 svāhā //	om visPowa-vajriNi DArakasya rakzAm kuru hUm 2 Paw 2 svAhA //
   nairṛtye //	nErRtye //
   oṃ amṛtavare dhārakasya rakṣāṃ kuru hūṃ 2 phaṭ 2 svāhā //	om amRta-vare DArakasya rakzAm kuru hUm 2 Paw 2 svAhA //
   vāyavye /	vAyavye /
   oṃ vimale dhārakasya rakṣāṃ kuru hūṃ 2 phaṭ 2 svāhā //	om vimale DArakasya rakzAm kuru hUm 2 Paw 2 svAhA //
   aiśāne /	ESAne /
   oṃ jayavare dhārakasya rakṣāṃ kuru hūṃ 2 phaṭ 2 svāhā //	om jaya-vare DArakasya rakzAm kuru hUm 2 Paw 2 svAhA //
   padmadalatriśūkavajrārdhayor aṣṭasaṃdhiṣu āgneyādidikkrameṇa /	padma-dala-triSUka-vajra-arDayoH azwa-saMDizu Agneya-Adi-diS-krameNa /
   oṃ niśumbhavajriṇi dhārakasya rakṣāṃ kuru hūṃ 2 phaṭ 2 svāhā // oṃ	om niSumBa-vajriNi DArakasya rakzAm kuru hUm 2 Paw 2 svAhA // om
   śumbhavajriṇi dhārakasya rakṣāṃ kuru hūṃ 2 phaṭ 2 svāhā //	SumBa-vajriNi DArakasya rakzAm kuru hUm 2 Paw 2 svAhA //
   iti mantradvayam ekāntaritaṃ likhet // tato bāhye	iti mantra-dvayam eka-antaritam liKet // tatas bAhye
   'rdhāṅgulapramāṇapuṭacatuṣṭayaṃ kuryāt / tataḥ prathame puṭe	arDa-aFgula-pramANa-puwa-catuzwayam kuryAt / tatas praTame puwe
   hrīḥkārapaṅktim ekāṃ likhet // //	hrIHkAra-paFktim ekAm liKet // //
   dvitīye /	dvitIye /
   [Mpvv, Page 478]	[Mpvv, Page 478]
   oṃ aparājite mahādevi traṭ / oṃ kālakarṇi kṛt / oṃ padmakuṇḍali paṃ / oṃ	om aparAjite mahAdevi traw / om kAla-karNi kRt / om padma-kuNxali pam / om
   puṣpadantini hūṃ // oṃ maṇyaṅkuśi hūṃ // oṃ vajraśṛṅkhale phuṃ / oṃ śvete	puzpadantini hUm // om maNi-aFkuSi hUm // om vajra-SRFKale Pum / om Svete
   vaṃ / oṃ mahāśvete phaṃ / oṃ mahākāli hrīḥ / oṃ vajrarati kṛt / oṃ	vam / om mahA-Svete Pam / om mahAkAli hrIH / om vajrarati kRt / om
   vajrakāli hrīḥ / oṃ vajrapāśi pheḥ / oṃ vajrapāśi bhṛt // oṃ vajrapāṇi	vajra-kAli hrIH / om vajrapASi PeH / om vajra-pASi BRt // om vajrapANi
   mahābale dhīḥ / oṃ vajramāle māṃ / oṃ amṛtakuṇḍali svāhā / oṃ jvala 2 hūṃ	mahA-bale DIH / om vajra-mAle mAm / om amRta-kuNxali svAhA / om jvala 2 hUm
   phaṭ svaḥ / oṃ ṭakki hūm jaḥ svāhā // //	Paw svar / om wakki hUm jaH svAhA // //
   tṛtīye /	tRtIye /
   oṃ cūḍe hrīḥ / oṃ suvarṇakeśi kṛt // oṃ piṅgale laṃ // oṃ vidyunmālini jaḥ	om cUxe hrIH / om suvarNa-keSi kRt // om piFgale lam // om vidyunmAlini jaH
   hūṃ / oṃ śāntikari hūṃ / oṃ puṣṭibalavardhani haḥ / oṃ śumbhakari hūṃ / oṃ	hUm / om SAnti-kari hUm / om puzwi-bala-varDani haH / om SumBa-kari hUm / om
   maṇidhari hūṃ // oṃ ratnamakuṭamālādhari hrīḥ / oṃ mahāpratisare praṃ / oṃ	maNiDari hUm // om ratna-makuwa-mAlA-Dari hrIH / om mahA-pratisare pram / om
   dhuru 2 muru 2 huru 2 meru 2 hūṃ 2 / oṃ balavardhani hoḥ / oṃ ruru cale	Duru 2 muru 2 huru 2 meru 2 hUm 2 / om bala-varDani hoH / om ruru cale
   hūṃ 2 phaṭ 2 svāhā / oṃ maṇidhari mahāpratisare dhārakasya rakṣāṃ śāntiṃ	hUm 2 Paw 2 svAhA / om maNiDari mahA-pratisare DArakasya rakzAm SAntim
   puṣṭiṃ kuru hūṃ 2 phaṭ 2 svāhā // //	puzwim kuru hUm 2 Paw 2 svAhA // //
   caturthe /	caturTe /
   oṃ tāre tām aḥ / oṃ muḥ / oṃ āḥ rākṣasy ekajaṭe jnāṃ // oṃ buddhe kṣitike	om tAre tAm aH / om muH / om AH rAkzasI eka-jawe jnAm // om budDe kzitike
   he hūṃ // oṃ kāpālini hūṃ // oṃ laṅkeśvari khaṃ // oṃ dhanye laṃ // oṃ	he hUm // om kApAlini hUm // om laFkeSvari Kam // om Danye lam // om
   keśini aṃ / oṃ laṅkeśvari muḥ / oṃ hārīti hāṃ hrīṃ // oṃ pāñcike keṃ // oṃ	keSini am / om laFkeSvari muH / om hArI-iti hAm hrIm // om pAQcike kem // om
   śaṅkhini saṃ kaṭ // oṃ kūṭadantini kaṭ // oṃ śriyādevi śrīḥ / oṃ sarasvati	SaFKini sam kaw // om kUwadantini kaw // om SriyAdevi SrIH / om sarasvati
   baṃ / oṃ rakṣa 2 dhārakaṃ [Mpvv, Page 479] sarvabhayebhyaḥ dhīḥ / oṃ devi	bam / om rakza 2 DArakam [Mpvv, Page 479] sarva-BayeByaH DIH / om devi
   śrīḥ / oṃ padme paṃ / oṃ maṇidhari vajriṇi hūṃ // oṃ locane lāṃ / oṃ	SrIH / om padme pam / om maNiDari vajriNi hUm // om locane lAm / om
   māmaki māṃ / oṃ pāṇḍare pāṃ / oṃ vasudhāre vaṃ // oṃ kurukulle hrīḥ / oṃ	mAmaki mAm / om pANxare pAm / om vasu-DAre vam // om kuru-kulle hrIH / om
