   Navaślokī	NavaSlokI
   āryāṣṭasāhaśrikāyāḥ prajñāpāramitāyāḥ piṇḍārthaḥ	Arya-azwa-sAhaSrikAyAH prajQApAramitAyAH piNxa-arTaH
   prajñāpāramitāmbodhau śubharatnākare svayam /	prajQApAramitA-amboDO SuBa-ratnAkare svayam /
   sarvā pāramitās tatra tādātmyena vyavasthitāḥ // Nś_1 //	sarvA pAramitAH tatra tAdAtmyena vyavasTitAH // NH-_1 //
   niṣprapañcā nirābhāsā nirvikalpā nirālayā /	nizprapaQcA nirABAsA nirvikalpA nirAlayA /
   niḥsvabhāvā parā sūkṣmā bindunādavivarjitā // Nś_2 //	niHsvaBAvA parA sUkzmA bindu-nAda-vivarjitAH // NH-_2 //
   prajñāpāramitā mātā sarvabuddhodayā parā /	prajQApAramitA mAtA sarva-budDa-udayA parA /
   trayānupalabdhirūpā sarvajñajñānagocarā // Nś_3 //	traya-anupalabDi-rUpA sarvajQa-jQAna-gocarAH // NH-_3 //
   prajñāpāramitāṃ saṃyag yo bhāvayitum icchati /	prajQApAramitAm saMyak yaH BAvayitum icCati /
   tenārthato navaślokāś cintanīyāḥ samāsataḥ // Nś_4 //	tena-arTataH navaSlokAH cintanIyAH samAsatas // NH-_4 //
   karmaprabhāvasaṃbhūtaṃ ṣaḍāyatanalakṣaṇam /	karma-praBAva-saMBUtam zaz-Ayatana-lakzaNam /
   punarbhavam iti khyātaṃ pratibhāsopamaṃ hi tat // Nś_5_[1] //	punarBavam iti KyAtam pratiBAsa-upamam hi tat // NH-_5_[1] //
   nirmitaṃ nagaraṃ yadvad vilokayati nirmitaḥ /	nirmitam nagaram yadvat vilokayati nirmitaH /
   tadvat paśyati rūpāṇi karmabhir nirmitaṃ jagat // Nś_6_[2] //	tadvat paSyati rUpANi karmaBiH nirmitam jagat // NH-_6_[2] //
   dharmaṃ deśayataḥ śabdā ye kecit śrutigocarāḥ /	Darmam deSayataH SabdAH ye kecid Sruti-gocarAH /
   pratiśrutkopamāḥ sarve prodbhūtaśrutinaḥ śrutāḥ // Nś_7_[3] //	pratiSrutka-upamAH sarve prodBUta-SrutinaH SrutAH // NH-_7_[3] //
   āghrataṃ svāditaṃ tathā spraṣṭaṃ viṣayalālāsaiḥ /	AGratam svAditam taTA sprazwam vizaya-lAlAsEH /
   svapnatulyam idaṃ sarvam upalabdhaṃ na vidyate // Nś_8_[4] //	svapna-tulyam idam sarvam upalabDam na vidyate // NH-_8_[4] //
   māyāyantro naro yadvad bhinnāṃ ceṣṭāṃ karoti vai /	mAyA-yantraH naraH yadvat BinnAm cezwAm karoti vE /
   tadvad ceṣṭāṃ karoty eva dehayantro nirātmakaḥ // Nś_9_[5] //	tadvat cezwAm karoti eva dehayantraH nirAtmakaH // NH-_9_[5] //
   nānopalabdhayo yāś ca pratikṣaṇasamudbhavāḥ /	nAnA-upalabDayaH yAH ca pratikzaNa-samudBavAH /
   marīcisadṛśāś caite dṛṣṭanaṣṭāḥ vilakṣaṇāḥ // Nś_10_[6] //	marIci-sadRSAH ca-ete dRzwa-nazwAH vilakzaNAH // NH-_10_[6] //
   pratibimbanibhaṃ grāhyam anādicittasaṃbhavam /	pratibimba-niBam grAhyam anAdi-citta-saMBavam /
   tadākāraṃ ca vijñānam anyonyapratibimbavat // Nś_11_[7] //	tad-AkAram ca vijQAnam anyonya-pratibimba-vat // NH-_11_[7] //
   dhyāyināṃ svacchasaṃtāne yaj jnanendusamudbhavam /	DyAyinAm svacCa-saMtAne yat jnana-indu-samudBavam /
   udakacandropamaṃ tad dhi pratyakṣaṃ na vidyate // Nś_12_[8] //	udaka-candra-upamam tat Di pratyakzam na vidyate // NH-_12_[8] //
   yoginām api yaj jñānaṃ tad apy ākāśalakṣaṇam /	yoginAm api yat jQAnam tat api AkASa-lakzaNam /
   tasmāj jñānaṃ ca jñeyaṃ ca sarvam ākāśalakṣaṇam // Nś_13_[9] //	tasmAt jQAnam ca jQeyam ca sarvam AkASa-lakzaNam // NH-_13_[9] //
   iti cintayataḥ tattvaṃ sarvabhāveṣv anāśritam /	iti cintayataH tattvam sarva-BAvezu anASritam /
   bodhipraṇidhicittena jñānaṃ agraṃ bhaviṣyati // Nś_14 //	boDi-praNiDi-cittena jQAnam agram Bavizyati // NH-_14 //
   āryāṣṭasāhasrikāyāḥ prajñāpāramitāyāḥ piṇḍārthaḥ samāptaḥ	Arya-azwa-sAhasrikAyAH prajQApAramitAyAH piNxa-arTaH samAptaH
   kṛtir iyaṃ śrīkambalāmbarapādanām	kRtiH iyam SrI-kambala-ambara-pAdanAm
