   Gaṇakārikā, 1	GaNa-kArikA, 1
   pañcakās tv aṣṭa vijñeyā gaṇaś caikas trikātmakaḥ /	paQcakAH tu azwa vijQeyAH gaNaH ca-ekaH trika-AtmakaH /
   * pañcapañcasaṃkhyāvacchinnāḥ samudāyāḥ pañcakā lābhādayas teṣāṃ	* paQca-paQca-saMKyA-avacCinnAH samudAyAH paQcakAH lABa-AdayaH tezAm
   nyūnādhikavyavacchedena aṣṭa iti saṃkhyām āha // GkT_1.1ab:1	nyUna-aDika-vyavacCedena azwaH iti saMKyAm Aha // GkT_1.1ab:1
   * tuśabdaḥ saṃkṣepavistāraparijñānayoḥ tulyaphalatvam avadhārayati	* tuSabdaH saMkzepa-vistAra-parijQAnayoH tulya-Pala-tvam avaDArayati
   śiṣyajijñāsānurodhena bhāṣyārambho 'py arthavān iti // GkT_1.1ab:2	Sizya-jijQAsA-anuroDena BAzya-AramBaH api arTavAn iti // GkT_1.1ab:2
   * vijñeyā viśeṣeṇa jñātavyāḥ punaḥ punar abhyāsena dṛḍhīkartavyā yena	* vijQeyAH viSezeNa jQAtavyAH punar punar aByAsena dRXIkartavyAH yena
   sarvadā śāstrārthe cittasthe kṛte sati granthavismaraṇe 'pi brahmodyadoṣo	sarvadA SAstra-arTe citta-sTe kRte sati granTa-vismaraNe api brahma-udya-dozaH-
   na bhavet // GkT_1.1ab:3	na Bavet // GkT_1.1ab:3
   * anuṣṭhānāśaktasyānyathā hi surāpānasamaṃ pātakaṃ syād iti // GkT_1.1ab:4	* anuzWAna-aSaktasya-anyaTA hi surA-pAna-samam pAtakam syAt iti // GkT_1.1ab:4
   * gaṇaśabdaḥ samuccayavācī // GkT_1.1ab:5	* gaNa-SabdaH samuccaya-vAcI // GkT_1.1ab:5
   * caśabdaḥ samuccayena kevalam aṣṭa pañcakā vijñeyā gaṇaś caikas	* caSabdaH samuccayena kevalam azwa paQcakAH vijQeyAH gaNaH ca-ekas
   trikātmako vijñeya iti // GkT_1.1ab:6	trika-AtmakaH vijQeyaH iti // GkT_1.1ab:6
   * eka ity anantaroktāṣṭasaṃkhyāśaṅkānirākaraṇārtham // GkT_1.1ab:7	* ekaH iti anantara-ukta-azwa-saMKyA-SaFkA-nirAkaraNa-arTam // GkT_1.1ab:7
   * trisaṃkhyāvacchinnaḥ samudāyaḥ trikaḥ // GkT_1.1ab:8	* tri-saMKyA-avacCinnaH samudAyaH trikaH // GkT_1.1ab:8
   * sa eva ātmā svabhāvo yasya bhaikṣādivṛttigaṇasya sa tathoktaḥ	* saH eva AtmA svaBAvaH yasya BEkza-Adi-vRtti-gaNasya sa taTA-uktaH
   vṛttyantaraniṣedhārtham // GkT_1.1ab:9	vRtti-antara-nizeDa-arTam // GkT_1.1ab:9
   * evam ete nava gaṇā jñeyatvonoddiṣṭāḥ // GkT_1.1ab:10	* evam ete nava gaNAH jQeyatva-Una-uddizwAH // GkT_1.1ab:10
   * yas tān samyag avadhārayati so 'vaśyaṃ duḥkhāntaṃ yāsyaty anyeṣāṃ	* yaH tAn samyak avaDArayati saH avaSyam duHKAntam yAsyati anyezAm
   cānugrahakaraṇasamartho bhavatīti // GkT_1.1ab:11	ca-anugraha-karaNa-samarTaH Bavati-iti // GkT_1.1ab:11
   * kutaḥ punar etan niścīyata iti // GkT_1.1ab:12	* kutas punar etat niScIyate iti // GkT_1.1ab:12
   * niścīyate yasmāt sarvair eva paramayogibhiḥ vettā navagaṇasyāsya	* niScIyate yasmAt sarvEH eva parama-yogiBiH vettA nava-gaNasya-asya
   saṃskartā gurur ucyate // GkT_1.1ab:13	saMskartA guruH ucyate // GkT_1.1ab:13
   * vida jñāne // GkT_1.1ab:14	* vida jQAne // GkT_1.1ab:14
   * tasya vediteti prāpte chandobhaṅgaparihārārthaṃ chāndasaḥ prayogo vettā	* tasya veditA-iti prApte CandaH-BaFga-parihAra-arTam CAndasaH prayogaH vettA
   iti kṛtaḥ // GkT_1.1ab:15	iti kRtaH // GkT_1.1ab:15
   * athavā vicāraṇe tasya vetteti bhavati // GkT_1.1ab:16	* aTavA vicAraNe tasya vettA-iti Bavati // GkT_1.1ab:16
   * vettā vicārayitā // GkT_1.1ab:17	* vettA vicArayitA // GkT_1.1ab:17
   * navagaṇānām iti bahuvacane prāpte chandobhaṅgaparihārārthaṃ	* nava-gaNAnAm iti bahuvacane prApte CandaH-BaFga-parihAra-arTam
   tatparijñānasya bhinnaphalatvajñāpanārthaṃ vā navagaṇasya ity uktam //	tad-parijQAnasya Binna-Pala-tva-jQApana-arTam vA nava-gaNasya iti uktam //
   GkT_1.1ab:18	GkT_1.1ab:18
   * nandimahākālādiṣv api gaṇaśabdo dṛṣṭaḥ tadāśaṅkānirākaraṇārtham asyety	* nandi-mahAkAla-Adizu api gaNa-SabdaH dRzwaH tad-ASaFkA-nirAkaraNa-arTam asya-iti-
   uktam // GkT_1.1ab:19	uktam // GkT_1.1ab:19
   * asya anantaroddiṣṭasya lābhādikasyety arthaḥ // GkT_1.1ab:20	* asya anantara-uddizwasya lABa-Adikasya-iti arTaH // GkT_1.1ab:20
   * suparīkṣitaṃ brāhmaṇaṃ dīkṣāviśeṣeṇa pañcārthajñānaviśeṣeṇa ca śiṣyaṃ	* su-parIkzitam brAhmaNam dIkzA-viSezeNa paQcArTa-jQAna-viSezeNa ca Sizyam
   saṃskurvan saṃskartā ity ucyate // GkT_1.1ab:21	saMskurvan saMskartA iti ucyate // GkT_1.1ab:21
   * sa ca tajjñair mukhyata eva gurur ucyate // GkT_1.1ab:22	* sa ca tad-jQEH muKyatas eva guruH ucyate // GkT_1.1ab:22
