   vaiśeṣikasūtram	vESezika-sUtram
   athāto dharmaṃ vyākhyāsyāmaḥ | KVs_1,1.1 |	aTa-atas Darmam vyAKyAsyAmaH | KVH-_1,1.1 |
   yato 'bhyudayaniḥśreyasasiddhiḥ sa dharmaḥ | KVs_1,1.2 |	yatas aByudaya-niHSreyasa-sidDiH sa DarmaH | KVH-_1,1.2 |
   tadvacanād āmnāyaprāmāṇyam (U,V,BhV āmnāyasya prāmāṇyam) | KVs_1,1.3 |	tad-vacanAt AmnAya-prAmANyam (U,V,BhV AmnAyasya prAmANyam) | KVH-_1,1.3 |
   pṛthivy āpas tejo vāyur ākāśaṃ kālo dig ātmā mana iti dravyāṇi | KVs_1,1.4	pRTivI ApaH tejaH vAyuH AkASam kAlaH diS AtmA manaH iti dravyANi | KVH-_1,1.4
   rūparasagandhasparśāḥ saṃkhyāḥ parimāṇāni pṛthaktvaṃ saṃyogavibhāgau	rUpa-rasa-ganDa-sparSAH saMKyAH parimANAni pRTaktvam saMyoga-viBAgO
   paratvāparatve buddhayaḥ sukhaduḥkhe icchādveṣau prayatnaś ca guṇāḥ |	paratva-aparatve budDayaH suKa-duHKe icCA-dvezO prayatnaH ca guNAH |
   KVs_1,1.5 |	KVH-_1,1.5 |
   utkṣepaṇam avakṣepaṇam ākuñcanaṃ prasāraṇaṃ gamanam iti karmāṇi |	utkzepaNam avakzepaNam AkuQcanam prasAraNam gamanam iti karmANi |
   KVs_1,1.6 |	KVH-_1,1.6 |
   sad anityaṃ dravyavat kāryaṃ kāraṇaṃ sāmānyaviśeṣavad iti	sat anityam dravya-vat kAryam kAraNam sAmAnya-viSeza-vat iti
   dravyaguṇakarmaṇām aviśeṣaḥ | KVs_1,1.7 |	dravya-guNa-karmaNAm aviSezaH | KVH-_1,1.7 |
   dravyāṇi dravyāntaram ārabhante | KVs_1,1.8 |	dravyANi dravya-antaram AraBante | KVH-_1,1.8 |
   guṇāś ca guṇāntaram | KVs_1,1.9 |	guNAH ca guNa-antaram | KVH-_1,1.9 |
   karma karmasādhyaṃ na vidyate | KVs_1,1.10 |	karma karma-sADyam na vidyate | KVH-_1,1.10 |
   kāryāvirodhi dravyaṃ kāraṇāvirodhi ca | KVs_1,1.11 |	kArya-aviroDi dravyam kAraNa-aviroDi ca | KVH-_1,1.11 |
   ubhaytathā guṇaḥ | KVs_1,1.12 |	uBaytaTA guNaH | KVH-_1,1.12 |
   kāryavirodhi karma | KVs_1,1.13 |	kArya-viroDi karma | KVH-_1,1.13 |
   kriyāvad guṇavat samavāyikāraṇam iti dravyalakṣaṇam | KVs_1,1.14 |	kriyAvat guNavat samavAyi-kAraNam iti dravya-lakzaNam | KVH-_1,1.14 |
   dravyāśrayy aguṇavān saṃyogavibhāgeṣv akāraṇam anapekṣa iti guṇalakṣaṇam |	dravya-ASrayI aguNavAn saMyoga-viBAgezu akAraNam anapekzaH iti guNa-lakzaNam |
   KVs_1,1.15 |	KVH-_1,1.15 |
   ekadravyam aguṇaṃ saṃyogavibhāgeṣv anapekṣaṃ kāraṇam iti karmalakṣaṇam |	eka-dravyam aguNam saMyoga-viBAgezu anapekzam kAraNam iti karma-lakzaNam |
   KVs_1,1.16 |	KVH-_1,1.16 |
   dravyaguṇakarmaṇāṃ dravyaṃ kāraṇaṃ sāmānyam | KVs_1,1.17 |	dravya-guNa-karmaNAm dravyam kAraNam sAmAnyam | KVH-_1,1.17 |
