   BhG 1.1	Bhu 1.1
   dhṛtarāṣṭra uvāca	DRtarAzwraH uvAca
   dharma kṣetre kuru kṣetre samavetā yuyutsavaḥ |	Darma kzetre kuru kzetre samavetAH yuyutsavaH |
   māmakāḥ pāṇḍavāś caiva kim akurvata saṃjaya ||1||	mAmakAH pANxavAH ca eva kim akurvata saMjaya ||1||
   Śrīdharaḥ  	ŚrIDaraH  
   śeṣāśeṣa mukha vyākhyā cāturyaṃ tv eka vaktrataḥ |	Seza aSeza  muKa  vyAKyA  cAturyam tu eka vaktrataH |
   dadhānam adbhutaṃ vande paramānanda mādhavam ||	daDAnam adButam vande parama Ananda  mADavam ||
   śrī mādhavaṃ praṇamyo mādhavaṃ viśveśam ādarāt |	SrI  mADavam praNamyaH mADavam viSveSam AdarAt |
   tad bhakti yantritaḥ kurve gītā vyākhyāṃ subodhinīm ||	tad  Bakti yantritaH kurve gItA  vyAKyAm su boDinIm ||
   bhāṣya kāra mataṃ samyak tad vyākhyātṛ giras tathā |	BAzya kAra matam samyak tat  vyAKyAtR giraH taTA |
   yathāmati samālocya gītā vyākhyāṃ samārabhe ||	yaTAmati samAlocya gItA  vyAKyAm samAraBe ||
   gītā vyākhyāyate yasyāḥ pāṭha mātra prayatnataḥ |	gItA vyAKyAyate yasyAH pAWa  mAtra  prayatnataH |
   seyaṃ subodhinī ṭīkā sadā dhyeyā manīṣibhiḥ ||	sA iyam su boDinI wIkA sadA DyeyAH manIziBiH ||
   iha khalu sakala loka hitāvatāraḥ parama kāruṇiko bhagavān devakī nandanas	iha Kalu sakala  loka  hita avatAraH parama kAruNikaH BagavAn devakI nandana s
   tattvājñāna vijṛmbhita śoka moha bhraṃśita vivekatayā	tattva ajQAna  vijRmBita  Soka  moha  BraMSita viveka tayA
   nija dharma parityāga pūrvaka para dharmābhisandhinam arjunaṃ	nija  Darma  parityAga  pUrvaka para  Darma aBisanDinam arjunam
   dharma jñāna rahasyopadeśa plavena tasmāc choka moha sāgarād uddadhāra |	Darma  jQAna  rahasya upadeSa  plavena tasmAt Soka moha  sAgarAt uddaDAra |
   tam eva bhagavad upadiṣṭam arthaṃ kṛṣṇa dvaipāyanaḥ saptabhiḥ śloka śatair	tam eva Bagavat  upadizwam arTam kRzNa dvEpAyanaH saptaBiH Sloka SatEH 
   upanibabandha | tatra ca prāyaśaḥ śrī kṛṣṇa mukhād viniḥsṛtān eva ślokān	upanibabanDa | tatra ca prAyaSas SrI kRzNa  muKAt viniHsRtAn eva SlokAn
   alikhat | kāṃścit tat saṅgataye svayaṃ ca vyaracayat | yathoktaṃ	aliKat | kAMScid tat saFgataye svayam ca vyaracayat | yaTA uktam
   gītā māhātmye  	gItA  mAhAtmye  
   gītā sugītā kartavyā kim anyaiḥ śāstra vistaraiḥ |	gItA sugItA kartavyA kim anyEH SAstra  vistarEH |
   yā svayaṃ padmanābhasya mukha padmād viniḥsṛtā || iti |	yA svayam padmanABasya muKa  padmAt viniHsRtAH || iti |
   tatra tāvad dharmakṣetre ity ādinā | viṣīdann idam abravīd ity antena	tatra tAvat Darma kzetre iti AdinA | vizIdan idam abravIt iti antena
   granthena śrī kṛṣṇārjuna saṃvāda prastāvāya kathā nirūpyate | tataḥ param	granTena SrI  kRzNa arjuna  saMvAda  prastAvAya kaTA nirUpyate | tatas param
   āsamāptes tayor dharma jñānārthe saṃvādaḥ | tatra dharma kṣetra ity ādinā	AsamApteH tayoH Darma jQAna arTe saMvAdaH | tatra Darma kzetraH iti AdinA
   ślokena dhṛtarāṣṭrena hastināpura sthitaṃ sva sārathiṃ samīpasthaṃ	Slokena DRtarAzwrena hastinApura sTitam sva sAraTim samIpa sTam
   sañjayaṃ prati kurukṣetra vṛttānte pṛṣṭhe sañjayo hastināpurasthito 'pi	saQjayam prati kurukzetra  vRttAnte pRzWe saQjayaH hastinApura sTitaH api
   vyāsa prasāda labdha divya cakṣuḥ kurukṣetra vṛttāntaṃ sākṣāt paśyann iva	vyAsa  prasAda  labDa  divya cakzuH kurukzetra vRttAntam sAkzAt paSyan iva
   dhṛtarāṣṭrāya nivedayāmāsa | dṛṣṭvā tu pāṇḍavānīkam ity ādinā |	DRtarAzwrAya nivedayAmAsa | dRzwvA tu pANxava anIkam iti AdinA |
   dhṛtarāṣṭra uvāceti | dharmakṣetra iti | bhoḥ sañjaya | dharmakṣete	DRtarAzwraH uvAca iti | Darma kzetraH iti | BoH saQjaya | Darma kzete
   dharma bhūmau kurukṣetre | dharma kṣetra iti kurukṣetra viśeṣaṇam | eṣām	Darma BUmO kurukzetre | Darma kzetraH iti kurukzetra  viSezaNam | ezAm
