   Carmavastu	Carma-vastu
   (80v6 = GBM 6.742; MSV IV 159) uddānam /	(80v6  GBm 6.742; MSV IV 159) uddAnam /
   pañcabhir upasaṃpadā śayanāsana + + + /	paQcaBiH upasaMpadA Sayana-Asana + + + /
   buddho {Cf. Divy 1-24} bhagavāñ chrāvastyāṃ viharati sma jetavane	budDaH {Cf. DivI 1-24} BagavAn CrAvastyAm viharati sma jetavane
   'nāthapiṇḍadasyārāme / tasmin samaye 'śmakanagarāntake vāsavagrāmake	anATapiNxadasya-ArAme / tasmin samaye aSmaka-nagara-antake vAsavagrAmake
   balaseno nāma gṛhapatiḥ prativasaty āḍhyo mahādhano mahābhoge	balasenaH nAma gRhapatiH prativasati AXyaH mahADanaH mahA-Boge
   vistīrṇaviśālaparigraho vaiśravaṇadhanapratispardhī / tena sadṛśāt kulāt	vistIrNa-viSAla-parigrahaH vESravaNa-Dana-pratisparDI / tena sadRSAt kulAt-
   kalatram ānītam* / sa tayā sārdhaṃ krīḍati ramate paricārayati / tasya	kalatram AnItam* / sa tayA sArDam krIxati ramate paricArayati / tasya
   krīḍato ramamāṇasya paricārayato na putro na duhitā / so 'putraḥ	krIxataH ramamANasya paricArayataH na putraH na duhitA / saH aputraH
   putrābhinandī śivavaruṇakuberaśakrabrahmādīn āyācate / ārāmadevatāṃ	putra-aBinandI Siva-varuNa-kubera-Sakra-brahma-AdIn AyAcate / ArAma-devatAm
   vanadevatāṃ śṛṅgāṭakadevatāṃ balipratigrāhikāṃ devatāṃ sahajāṃ	vana-devatAm SRFgAwaka-devatAm bali-pratigrAhikAm devatAm sahajAm
   sahadharmikāṃ nityānubaddhām api devatām āyācate / asti caiṣa lokapravādo	sahaDarmikAm nitya-anubadDAm api devatAm AyAcate / asti ca-eza loka-pravAdaH-
   yadāyācanahetoḥ putrā jāyante duhitaraś ceti / tac ca naivam* / yady evam	yadA-AyAcana-hetoH putrAH jAyante duhitaraH ca-iti / tat ca na-evam* / yadi evam
   abhaviṣyad ekaikasya putrasahasram abhaviṣyat tadyathā rājñaś	aBavizyat ekEkasya putra-sahasram aBavizyat tat-yaTA rAjQaH-
   cakravartinaḥ / api tu trayāṇāṃ sthānānāṃ saṃmukhībhāvāt putrā jāyante	cakravartinaH / api tu trayANAm sTAnAnAm saMmuKIBAvAt putrAH jAyante
   duhitaraś ca / katameṣāṃ trayāṇām* / mātāpitarau raktau bhavataḥ	duhitaraH ca / katamezAm trayANAm* / mAtA-pitarO raktO BavataH
   saṃnipatitau (81r = GBM 6.744) mātā kalyā bhavati ṛtumatī gandharvaś ca	saMnipatitO (81H  GBm 6.744) mAtA kalyA Bavati RtumatI ganDarvaH ca
   pratyupasthito bhavati / eṣāṃ trayāṇāṃ sthānānāṃ saṃmukhībhāvāt putrā	pratyupasTitaH Bavati / ezAm trayANAm sTAnAnAm saMmuKIBAvAt putrA
