   Guru kriyā kramaḥ	Guru kriyA kramaH
   sarvabuddhabodhisattvebhyo namaḥ	sarva budDa boDisattveByaH namaH
   prathamaṃ prāmāṇika ācāryaḥ śiṣye prasāda sampratyayābhilāṣātmikāṃ	praTamam prAmANikaH AcAryaH Sizye prasAda  sampratyaya aBilAza AtmikAm
   śraddhāṃ janayet / tato bodhicittānuśaṃsām uktvā utsāhaṃ janayet / tataḥ	SradDAm janayet / tatas boDi citta anuSaMsAm uktvA utsAham janayet / tatas 
   paraṃ viśiṣṭavihāre viśiṣṭapūjopakaraṇaṃ sthāpayet / āryasaṃghān āmantrya,	param viSizwa vihAre viSizwa pUjA upakaraNam sTApayet / Arya saMGAn Amantrya,
   praṇamya, pādau prakṣālya, āsanaṃ pradāya, uttarānuttarapūjopakaraṇaiḥ	praNamya, pAdO prakzAlya, Asanam pradAya, uttara anuttara pUjA upakaraNEH
   sampūjya pūjāmeghamantrānapi triruccaret /	sampUjya pUjA meGa mantrAn api tris uccaret /
   stotā sugataviśiṣṭaguṇasmaraṇadvārā sādaraṃ stutvā tattadvṛddhikarāṇyapi	stotA sugata viSizwa guNa smaraNa dvArA sa Adaram stutvA tad tad vRdDi karANi api
   padāni uccaret / tataśca	padAni uccaret / tatas ca
   deśanā anumodanā adhyeṣaṇā prārthanā pariṇāmanādayaḥ karaṇīyāḥ / tataḥ	deSanA  anumodana a aDyezaNA  prArTanA  pariNAmana AdayaH karaNIyAH / tatas 
   śraddhāvān śiṣya ācārya praṇamet / adhyeṣaṇādibhirdvividhaṃ bodhicittaṃ	SradDAvAn SizyaH AcArya praNamet / aDyezaNa AdiBiH dviviDam boDi cittam
   samutpādya teṣāṃ svasvabhāvaṃ bhedaṃ vaiśiṣṭyañcāpi khyāpayet /	samutpAdya tezAm sva svaBAvam Bedam vESizwyaQcA api KyApayet /
   tataḥ bodhicaryā (ṇāṃ_) ṣaṭpāramitānāṃ, catuḥsaṃgrahavastūnāṃ	tatas boDi caryA (NAm_) zaz pAramitAnAM, catur saMgraha vastUnAm
   caturapramāṇādīnāṃ ca lakṣaṇaṃ, hetuṃ, phalaṃ, śikṣākramaṃ,	catura pramANa AdInAm ca lakzaNan, hetuM, Palan, SikzA kramaM,
   cyutyacyutidoṣaguṇān yathāvidhiśikṣādikamapi vistareṇa nirdiśet / sā ca	cyuti acyuti doza guNAn yaTAviDi SikzA Adikam api vistareNa nirdiSet / sA ca
   apramādena samprajanyena smṛtyā ca grahaṇīyeti śikṣeta /	apramAdena samprajanyena smRtyA ca grahaNIyA iti Sikzeta /
   teṣāṃ lakṣaṇaṃ kramaṃ cyutyacyutidoṣaguṇādīnapi śikṣeta / tadanuṣṭhānāyāpi	tezAm lakzaNam kramam cyuti acyuti doza guNa AdIn api Sikzeta / tad anuzWAnAya api
   tīvravīryamutpādya nidhyānaduḥkhādhivāsanākṣāntim avikṣipta samādhiṃ	tIvra vIryam utpAdya niDyAna duHKa aDivAsana akzAntim avikzipta  samADim
   prajñāniḥsvabhāvatāṃ ca jñātvā triśikṣāṃ trividhaprajñāṃ vā samādhāya	prajQA niHsvaBAva tAm ca jQAtvA triSikzAm triviDa prajQAm vA samADAya
   caryāpathavidhinā śikṣeta iti nirdiśet / ante praṇidhānena parisamāpayed	caryA paTa viDinA Sikzeta iti nirdiSet / ante praNiDAnena parisamApayet 
   ityapi vadet /	iti api vadet /
   ayaṃ hi ācāryadeśanākriyākramaḥ / śiṣyo 'pi yathāvidhirupadiṣṭaḥ tathā	ayam hi AcArya deSanA kriyA kramaH / SizyaH api yaTAviDiH upadizwaH taTA
   śikṣeta / ayaṃ tu lākṣaṇikamahāyānacittotpāda śikṣā deśanā vidhiḥ kramo vā	Sikzeta / ayam tu lAkzaNika mahAyAna citta utpAda  SikzA  deSanA  viDiH kramaH vA
   audārikatayā darśitaḥ / vistareṇa tu parato jñātavyam /	OdArika tayA darSitaH / vistareNa tu paratas jQAtavyam /
   saṃkṣiptagurukriyākramaḥ mahāpaṇḍitācāryadīpaṅkaraśrījñānaviracitaḥ	saMkzipta guru kriyA kramaH mahA paNxita AcArya dIpaFkara SrI jQAna viracitaH
   samāptaḥ //	samAptaH //
