   śrīrastu	SrIH astu
   satyasiddhiśāstram	satya sidDi SAstram
   śrīmadācāryaharivarmaṇaḥ kṛtiḥ	SrImat AcArya harivarmaNaH kRtiH
   1 prasthānaskandhe buddharatnādhikāre ādyasampadvarga	1 prasTAna skanDe budDa ratna aDikAre Adya sampad varga
   1. abhivandyābhivandyaṃ prāk samyak sambuddhamātmanā |	1. aBivandya aBivandyam prAk samyak sambudDam AtmanA |
   sarvajñamarhacchāstāraṃ mahāntaṃ lokasaṃhitam ||	sarvajQam arha= CAstAram mahAntam loka saMhitam ||
   2. suviśuddhañca saddharmaṃ āryaśrāvakamaṇḍalam |	2. su viSudDaQca sadDarmam Arya SrAvaka maNxalam |
   vyācikīrṣāmi lokānāṃ hitāya jinabhāṣaṇam ||	vyAcikIrzAmi lokAnAm hitAya jina BAzaNam ||
   3. śāstraṃ sūtrānvitaṃ samyak dharmatāpravilomakam |	3. SAstram sUtra anvitam samyak DarmatA pravilomakam |
   śamopagāmi vai samyak jñānaśāstramitīryate ||	Sama upagAmi vE samyak jQAna SAstram iti Iryate ||
   4. na dṛṣṭau candrasūryau ca prakṛtyātiprabhāsvarau |	4. na dRzwO candra sUryO ca prakRtyA atipraBAsvarO |
   dhūmābhradhūlīmihikāmukhaiḥ vyomni yathāvṛttau ||	DUma aBra DUlI mihikA muKEH vyomni yaTA vRttO ||
   (SSS_2)	(H SS_2)
   5. mithyāśāstraparītaḥ satsūtrārtho na prakāśate |	5. miTyASAstra parItaH sat sUtra arTaH na prakASate |
   sadarthasyāsphuṭībhāvāt kujñānasyoddhāṭitaṃ mukham ||	sat arTasya asPuwIBAvAt ku jQAnasya udDAwitam muKam ||
   6. āpattiduryaśaścittakaukṛtyakkamathādayaḥ |	6. Apatti duryaSaH citta kOkRtyakkam aTa AdayaH |
   cittaṃvikṣepakāyāsāḥ kujñānoddhāṭitā ime ||	cittaMvikzepaka AyAsAH ku jQAna udDAwitAH ime ||
   7. āpattimukhyānāyāsān yo 'pohitumicchati |	7. Apatti muKya an AyAsAn yaH apohitum icCati |
   samyak śāstrecchayā gacchet gabhīrajñāninaṃ sa ca ||	samyak SAstra icCayA gacCet gaBIra jQAninam sa ca ||
   8. niṣevaṇañca tasyaiva samyak chāstrasya mūlakam |	8. nizevaNaQca tasya eva samyak CAstrasya mUlakam |
   sacchāstrahetorutkṛṣṭapuṇyādyāḥ prabhavanti hi ||	sat SAstra hetoH utkRzwa puNya AdyAH praBavanti hi ||
   9. śatasāhasraduḥśāstreṣvadhītī tīkṣṇadhīrapi |	9. Sata sAhasra duHSAstrezu aDItI tIkzNa DIH api |
   pratibhānañca kīrtiñca lābhānnāpnoti saṃsadi ||	pratiBAnaQca kIrtiQca lABAt na Apnoti saMsadi ||
   10. buddhadharmavaraṃ jñātvā bhāṣaṇaṃ sukhavāhi ca |	10. budDa Darma varam jQAtvA BAzaNam suKa vAhi ca |
   cirakālañca dharmasya sthitaye na tu kīrtaye ||	cirakAlaQca Darmasya sTitaye na tu kIrtaye ||
   11. niṣevya bhinnavādāṃśca prajñayā vibudhāśayān |	11. nizevya Binna vAdAn= ca prajQayA vibuDa ASayAn |
   tattvaśāstraṃ cikīrṣāmi sarvajñajñānamātrakam ||	tattva SAstram cikIrzAmi sarvajQa jQAna mAtrakam ||
   12. aśrauṣītsarvaśo buddho bhinnavādāṃśca bhikṣukān |	12. aSrOzIt sarvaSas budDaH Binna vAdAn= ca BikzukAn |
   atastripiṭakasyārthaṃ samīkartuṃ samārabhe ||	atas tripiwakasya arTam samIkartum samAraBe ||
   atra vicāryate | (pṛ) nanu bhavatā satyasiddhiśāstraṃ vakṣyata iti	atra vicAryate | (pR) nanu BavatA satya sidDi SAstram vakzyate iti
