   (Vaidya 340)	(VEdyaH 340)
   Mañjuśrīparivartāparaparyāyā Saptaśatikā prajñāpāramitā |	MaQju-SrI-parivartA-para-paryAyA Sapta-SatikA prajQApAramitA |
   om namo bhagavatyai āryaprajñāpāramitāyai |	om namaH BagavatyE Arya-prajQApAramitAyE |
   evaṃ mayā śrutam | ekasmin samaye bhagavān śrāvastyāṃ viharati sma	evam mayA Srutam | ekasmin samaye BagavAn SrAvastyAm viharati sma
   jetavane 'nāthapiṇḍadasyārāme mahatā bhikṣusaṃghena sārdhaṃ paripūrṇena	jetavane anATapiNxadasya-ArAme mahatA Bikzu-saMGena sArDam paripUrNena
   arhadbhikṣusahasreṇa, bodhisattvānāṃ ca mahāsattvānāṃ	arhat-Bikzu-sahasreNa, boDisattvAnAm ca mahAsattvAnAm
   mahāsaṃnāhasaṃnaddhānāṃ paripūrṇairdaśabhirbodhisattvaśatasahasraiḥ	mahA-saMnAha-saMnadDAnAm paripUrNEH-daSaBiH-boDisattva-Sata-sahasrEH
   sārdhaṃ sarvairavinivartanīyairanuttarāyāḥ samyaksaṃbodheḥ | tadyathā -	sArDam sarvEH-avinivartanIyEH-anuttarAyAH samyaksaMboDeH | tat-yaTA -
   mañjuśriyā ca kumārabhūtena, maitreyeṇa ca, asaṅgapratibhānena ca,	maQju-SriyA ca kumAra-BUtena, mEtreyeNa ca, asaFga-pratiBAnena ca,
   anikṣiptadhureṇa ca, evaṃpramukhairdaśabhirbodhisattvaśatasahasraiḥ ||	anikzipta-DureNa ca, evaMpramuKEH-daSaBiH-boDisattva-Sata-sahasrEH ||
   atha khalu mañjuśrīḥ kumārabhūto 'ruṇodgatakālasamaye	aTa Kalu maQjuSrIH kumAra-BUtaH aruNa-udgata-kAla-samaye
   svakādvihārānniṣkramya yena tathāgatavihārastenopasaṃkrāmat | upasaṃkramya	svakAt-vihArAt-nizkramya yena taTAgata-vihAraH-tena-upasaMkrAmat | upasaMkramya
   vihārasya bahirdvāre sthito 'bhūttathāgatasya darśanāya vandanāya	vihArasya bahis-dvAre sTitaH aBUt-taTAgatasya darSanAya vandanAya
   paryupāsanāya | athāyuṣmānapi śāradvatīputraḥ svakādvihārānniṣkramya yena	paryupAsanAya | aTa-AyuzmAn-api SAradvatI-putraH svakAt-vihArAt-nizkramya yena
   tathāgatavihārastenopasaṃkrāmadbhagavato darśanāya vandanāya paryupāsanāya	taTAgata-vihAraH-tena-upasaMkrAmat-BagavataH darSanAya vandanAya paryupAsanAya
   | athāyuṣmānapi pūrṇo maitrāyaṇīputraḥ, āyuṣmānapi mahāmaudgalyāyanaḥ,	| aTa-AyuzmAn-api pUrNaH mEtrAyaNI-putraH, AyuzmAn-api mahAmOdgalyAyanaH,
   āyuṣmānapi mahākāśyapaḥ, āyuṣmānapi mahākātyāyanaḥ, āyuṣmānapi	AyuzmAn-api mahAkASyapaH, AyuzmAn-api mahAkAtyAyanaH, AyuzmAn-api
   mahākauṣṭhilaḥ, anye ca mahāśrāvakāḥ svakasvakebhyo vihārebhyo niṣkramya	mahAkOzWilaH, anye ca mahA-SrAvakAH sva-ka-svakeByaH vihAreByaH nizkramya
   yena bhagavato vihārastenopasaṃkrāntāḥ, upasaṃkramya ekānte tasthuḥ ||	yena BagavataH vihAraH-tena-upasaMkrAntAH, upasaMkramya ekAnte tasTuH ||
   atha khalu bhagavānabhikrāntābhikrāntaṃ mahāśrāvakasaṃnipātaṃ viditvā	aTa Kalu BagavAn-aBikrAnta-aBikrAntam mahA-SrAvaka-saMnipAtam viditvA
   svakādvihārānniṣkramya bahirdvārasyaikānte prajñapta evāsane nyaṣīdat |	svakAt-vihArAt-nizkramya bahis-dvArasya-ekAnte prajQapte eva-Asane nyazIdat |
   niṣadya ca bhagavān jānanneva āyuṣmantaṃ śāradvatīputramāmantrayate sma -	nizadya ca BagavAn jAnan=-eva Ayuzmantam SAradvatI-putram-Amantrayate sma -
   kutastvaṃ śāradvatīputra kalyamevāgatya tathāgatavihāradvāre sthitaḥ?	kutas-tvam SAradvatI-putra kalyam-eva-Agatya taTAgata-vihAra-dvAre sTitaH?
   evamukte āyuṣmān śāradvatīputro bhagavantametadavocat - sarvaprathamataraṃ	evam-ukte AyuzmAn SAradvatI-putraH Bagavantam-etat-avocat  sarva-praTama-taram
   bhagavan mañjuśrīḥ kumārabhūtastathāgatavihāradvāre sthitaḥ, paścādvayaṃ	Bagavat maQjuSrIH kumAra-BUtaH-taTAgata-vihAra-dvAre sTitaH, paScAdvayam
   bhagavantaṃ draṣṭukāmāḥ ||	Bagavantam drazwu-kAmAH ||
   atha khalu bhagavān jānanneva mañjuśriyaṃ kumārabhūtamāmantrayate sma -	aTa Kalu BagavAn jAnan=-eva maQju-Sriyam kumAra-BUtam-Amantrayate sma -
   satyaṃ kila tvaṃ mañjuśrīḥ sarvaprathamataraṃ tathāgatavihāradvāre	satyam kila tvam maQjuSrIH sarva-praTamataram taTAgata-vihAra-dvAre
   sthitastathāgatasya darśanāya vandanāya paryupāsanāya ca? evamukte	sTitaH-taTAgatasya darSanAya vandanAya paryupAsanAya ca? evam-ukte
   mañjuśrīḥ kumārabhūto bhagavantametadavocat - evametat bhagavan, evametat	maQjuSrIH kumAra-BUtaH Bagavantam-etat-avocat  evam-etat Bagavan, evam-etat-
   sugata, prathamataramasmyāgataḥ svakādvihārānniṣkramya yena	sugata, praTamataram-asmi-AgataH svakAt-vihArAt-nizkramya yena
   tathāgatavihārastenopasaṃkrāntaḥ, upasaṃkramya ekānte sthito bhagavato	taTAgata-vihAraH-tena-upasaMkrAntaH, upasaMkramya ekAnte sTitaH BagavataH-
