   BhG 15.1	Bhu 15.1
   śrī-bhagavān uvāca	SrI--BagavAn uvAca
   ūrdhva-mūlam adhaḥ-śākham aśvatthaṃ prāhur avyayam |	UrDva--mUlam aDas--SAKam aSvatTam prAhuH avyayam |
   chandāṃsi yasya parṇāni yas taṃ veda sa veda-vit ||1||	CandAMsi yasya parNAni yaH tam veda sa veda--vid ||1||
   śrīdharaḥ :	SrIDaraH :
   vairāgyeṇa vinā jñānaṃ na ca bhaktir ataḥ sphuṭam |	vErAgyeNa vinA jQAnam na ca BaktiH atas sPuwam |
   vairāgyopaskṛtaṃ jñānam īśaḥ pañcadaśe 'diśat ||	vErAgya-upaskRtam jQAnam ISaH paQcadaSe adiSat ||
   pūrvādhyānte māṃ ca yo 'vyabhicāreṇa bhakti-yogena sevate [Gītā 14.26] ity	pUrva-aDyAnte mAm ca yaH avyaBicAreNa Bakti-yogena sevate [GItAH 14.26] iti-
   ādinā parameśvaram ekānta-bhaktyā bhajatas tat-prasāda-labdha-jñānena	AdinA parameSvaram ekAnta--BaktyA BajataH tat--prasAda--labDa--jQAnena
   brahma-bhāvo bhavatīty uktam | na caikānta-bhaktiḥ jñānaṃ cāviraktasya	brahma-BAvaH Bavati-iti uktam | na ca-ekAnta--BaktiH jQAnam ca-aviraktasya
   sambhavatīti vairāgya-pūrvakaṃ jñānam upadeṣṭu-kāmaḥ prathamaṃ tāvat	samBavati-iti vErAgya--pUrvakam jQAnam upadezwu--kAmaH praTamam tAvat-
   sārdha-ślokābhyāṃ saṃsāra-svarūpaṃ vṛkṣa-rūpakālaṅkāreṇa varṇayan bhagavān	sArDa--SlokAByAm saMsAra--svarUpam vRkza--rUpaka-alaFkAreNa varNayan BagavAn
   uvāca ūrdhva-mūlam iti | ūrdhvam uttamaḥ kṣarākṣarābhyām utkṛṣṭaḥ	uvAca UrDva--mUlam iti | UrDvam uttamaH kzara-akzarAByAm utkRzwaH
   puruṣottamo mūlaṃ yasya tam | adha iti tato 'rvācīnāṃ kāryopādhayo	puruzottamaH mUlam yasya tam | aDas iti tatas arvAcInAm kArya-upADayaH-
   hiraṇyagarbhādayo gṛhyante | te tu śākhā iva śākhā yasya tam |	hiraNyagarBa-AdayaH gRhyante | te tu SAKAH iva SAKAH yasya tam |
   vinaśvaratvena śvaḥ prabhāta-paryantam api na sthāsyatīti viśvāsānarhatvād	vinaSvara-tvena Svas praBAta--paryantam api na sTAsyati-iti viSvAsAn-arha-tvAt-
   aśvatthaṃ prāhuḥ | pravāha-rūpeṇāvicchedād avyayaṃ ca prāhuḥ | ūrdhva-mūlo	aSvatTam prAhuH | pravAha--rUpeNa-avicCedAt avyayam ca prAhuH | UrDva-mUlaH-
   'vāk-śākha eṣo 'śvatthaḥ sanātana [KaṭhU 2.3.1] ity ādyāḥ śrutayaḥ |	avAk-SAKaH ezaH aSvatTaH sanAtanaH [KaWU 2.3.1] iti AdyAH SrutayaH |
   chandāṃsi vedā yasya parṇāni dharmādharma-pratipādana-dvāreṇa	CandAMsi vedAH yasya parNAni Darma-aDarma--pratipAdana--dvAreNa
   cchāyā-sthānīyaiḥ karma-phalaiḥ saṃsāra-vṛkṣasya	cCAyA--sTAnIyEH karma-PalEH saMsAra-vRkzasya
   sarva-jīvāśrayaṇīyatva-pratipādanāt parṇa-sthānīyā vedāḥ | yas tam	sarva-jIva-ASrayaNIya-tva--pratipAdanAt parNa--sTAnIyAH vedAH | yaH tam
   evambhūtam aśvatthaṃ veda sa eva vedārtha-vit | saṃsāra-prapañca-vṛkṣasya	evamBUtam aSvatTam veda saH eva veda-arTa-vid | saMsAra--prapaQca--vRkzasya
   mūlam īśvaraḥ | brahmādayas tad-aṃśāḥ śākhā-sthānīyāḥ | sa ca	mUlam ISvaraH | brahma-AdayaH tad--aMSAH SAKA--sTAnIyAH | sa ca
   saṃsāra-vṛkso vinaśvaraḥ | pravāha-rūpeṇa nityaś ca | vedoktaiḥ karmabhiḥ	saMsAra-vRksaH vinaSvaraH | pravAha--rUpeNa nityaH ca | veda-uktEH karmaBiH
   sevyatām āpāditaś ca ity etāvān eva hi vedārthaḥ | ata evaṃ vidvān vedavid	sevyatAm ApAditaH ca iti etAvAn eva hi veda-arTaH | atas evam vidvAn veda-vid
   iti stūyate ||1||	iti stUyate ||1||
   madhusūdanaḥ : pūrvādhyāye bhagavtā saṃsāra-bandha-hetūn guṇān vyākhyāya	maDusUdanaH : pUrva-aDyAye BagavtA saMsAra-banDa--hetUn guNAn vyAKyAya
   teṣām atyayena brahma-bhāvo mokṣo mad-bhajanena labhyata ity uktam --	tezAm atyayena brahma-BAvaH mokzaH mad-Bajanena laByate iti uktam --
   māṃ ca yo 'vyabhicāreṇa bhakti-yogena sevate |	mAm ca yaH avyaBicAreNa Bakti-yogena sevate |
   sa guṇān samatītyaitān brahma-bhūyāya kalpate || [Gītā 14.26] iti |	sa guNAn samatItya-etAn brahma-BUyAya kalpate || [GItAH 14.26] iti |
   tatra manuṣyasya tava bhakti-yogena kathaṃ brahma-bhāva ity āśaṅkāyāṃ	tatra manuzyasya tava Bakti-yogena kaTam brahma-BAvaH iti ASaFkAyAm
   svasya brahma-rūpatā-jñāpanāya sūtra-bhūto 'yaṃ śloko bhagavatoktaḥ -	svasya brahma-rUpa-tA--jQApanAya sUtra-BUtaH ayam SlokaH BagavatA-uktaH -
   brahmaṇo hi pratiṣṭhāham amṛtasyāvyayasya ca |	brahmaNaH hi pratizWA-aham amRtasya-avyayasya ca |
   śāśvatasya ca dharmasya sukhasyaikāntikasya ca ||[Gītā 14.27] iti |	SASvatasya ca Darmasya suKasya-EkAntikasya ca ||[GItA 14.27] iti |
   asya sūtrasya vṛtti-sthānīyo 'yaṃ pañcadaśo 'dhyāya ārabhyate | bhagavataḥ	asya sUtrasya vRtti-sTAnIyaH ayam paQcadaSaH aDyAyaH AraByate | BagavataH
