   Mahāpratisarā vidyārājñī	MahA-pratisarA vidyA-rAjQI
   namo bhagavatyai āryamahāpratisarāyai / namaḥ samyaksaṃbudhebhyaḥ //	namaH BagavatyE Arya-mahA-pratisarAyE / namaH samyaksaMbuDeByaH //
   evaṃ mayā śrutam ekasmin samaye bhagavān vajrameruśikharakuṭāgāre viharati	evam mayA Srutam ekasmin samaye BagavAn vajrameru-SiKara-kuwa-AgAre viharati
   sma / mahāvajrasamādhibhūmipratisthāne mahāvajrakalpavṛkṣasamalaṃkṛte /	sma / mahA-vajra-samADi-BUmi-pratisTAne mahA-vajra-kalpavRkza-samalaMkRte /
   mahāvajrapuṣkiriṇīratnapadmaprabhodbhāsite /	mahA-vajra-puzkiriNI-ratna-padma-praBA-udBAsite /
   mahāvajravālikāsaṃskṛtabhūmibhāge / mahāvajrādhiṣṭhāne /	mahAvajra-vAlikA-saMskRta-BUmi-BAge / mahA-vajra-aDizWAne /
   mahāvajramaṇḍalamāḍe / śakrasya devānām indrasya bhavane /	mahA-vajra-maNxalam-Axe / Sakrasya devAnAm indrasya Bavane /
   mahāvajrasiṃhāsanakoṭīniyutaśatasahasravirājite /	mahA-vajra-siMhAsana-kowI-niyuta-Sata-sahasra-virAjite /
   dharmadeśanāpratibhānaprātihāryasamanvāgate /	Darma-deSanA-pratiBAna-prAtihArya-samanvAgate /
   sarvabuddhādhiṣṭhānādhiṣṭhite sarvadharmasamatāpraveśe sarvajñatāniryāte /	sarva-budDa-aDizWAna-aDizWite sarva-Darma-sama-tA-praveSe sarvajQa-tA-niryAte /
   caturaśītibhir bodhisatvakoṭīniyutaśatasahasraiḥ sārdham / sarvair	caturaSItiBiH boDisatva-kowI-niyuta-Sata-sahasrEH sArDam / sarvEH-
   ekajātibhir avaivartikair anuttarāyāṃ samyaksaṃbodhau mahāsthāmaprāptair	eka-jAtiBiH avEvartikEH anuttarAyAm samyaksaMboDO mahA-sTAma-prAptEH-
   mahāvajravimokṣasamādhibuddhakṣetravikurvaṇamahāprātihāryasaṃdarśakaiḥ /	mahA-vajra-vimokza-samADi-budDa-kzetra-vikurvaNa-mahA-prAtihArya-saMdarSakEH /
   ekacitrakṣaṇabhavamuhūrtasarvasatvacittacaritānupraveśavicitramadhurodāragambhīradharmadeśanāpratibhānaprātihāryasaṃdarśakair	eka-citra-kzaNa-Bava-muhUrta-sarva-satva-citta-carita-anupraveSa-vicitra-maDura-udAra-gamBIra-Darma-deSanA-pratiBAna-prAtihArya-saMdarSakEH-
   anekabuddhakṣetratathāgatamahāpūjameghārcanāvimokṣamukhadhāraṇīsamādhivaśitābhijñāvaeṇikabodhyaṅgamārgabhūmipāramitopāyakauśalyasaṃgrahavastramahāmaitrīkaruṇāmuditopekṣāmaitrībalaviviktaparyavadātacittasaṃtānaiḥ	aneka-budDa-kzetra-taTA-gata-mahA-pUja-meGa-arcanA-vimokza-muKa-DAraNI-samADi-vaSitA-aBijQA-vaeNika-boDi-aFga-mArga-BUmi-pAramitA-upAya-kOSalya-saMgraha-v
   tadyathā / vajragarbheṇa ca bodhisatvena mahāsatvena / vajranetreṇa ca /	tat-yaTA / vajra-garBeNa ca boDisatvena mahAsatvena / vajra-netreNa ca /
   vajragātreṇa ca / vajramatinā ca / vajrahastena ca / vajrasaṃhatena ca /	vajra-gAtreNa ca / vajra-matinA ca / vajra-hastena ca / vajra-saMhatena ca /
   vajranārāyaṇena ca / vajravikurvitena ca / vajrakūtena ca / vajrarāśinā ca	vajra-nArAyaNena ca / vajra-vikurvitena ca / vajra-kUtena ca / vajra-rASinA ca
   / vajrāṅkuśena ca / suvajreṇa ca / vajrasenena ca / vajraketunā ca	/ vajra-aFkuSena ca / su-vajreNa ca / vajrasenena ca / vajraketunA ca
   bodhisatvena mahāsatvena //	boDisatvena mahAsatvena //
   evaṃ pramukhair bodhisatvakoṭīniyutaśatasahasraiḥ sārdhaṃ saṃbahulaiś ca	evam pramuKEH boDisatva-kowI-niyuta-Sata-sahasrEH sArDam saMbahulEH ca
   mahāśrāvakaiḥ sarvair arhadbhir kṣīṇāsravair ucchinnabhavasaṃyojanaiḥ	mahA-SrAvakEH sarvEH arhadBiH kzINa-AsravEH ucCinna-Bava-saMyojanEH
   (Mp_2) samyagājñāsuvimuktacittaiḥ suvimuktaprajñair	(Mp_2) samyak-AjQA-su-vimukta-cittEH su-vimukta-prajQEH-
   acintyasamādhibalaprātihāryavikurvaṇamahāsthāmaprāptair	acintya-samADi-bala-prAtihArya-vikurvaNa-mahA-sTAma-prAptEH-
   asaṅgajñānadarśibhiḥ / sarvair vigatamalair nidagdhasaṃkleśavāsanābījaiḥ	asaFga-jQAna-darSiBiH / sarvEH vigata-malEH nidagDa-saMkleSa-vAsanA-bIjEH
   yadutāyuṣmatā ca śāradvatīputreṇa / āyuṣmatā ca pūrṇamaitrāyaṇīputreṇa /	yat-uta-AyuzmatA ca SAradvatI-putreNa / AyuzmatA ca pUrNa-mEtrAyaNI-putreNa /
   āyuṣmatā ca kaphinena / āyuṣmatā ca subhūtinā / āyuṣmatā ca revatena /	AyuzmatA ca kaPinena / AyuzmatA ca suBUtinA / AyuzmatA ca revatena /
   āyuṣmatā ca mahāmaudgalyāyanena / āyuṣmatā ca cundena / āyuṣmatā ca	AyuzmatA ca mahAmOdgalyAyanena / AyuzmatA ca cundena / AyuzmatA ca
   nandena / āyuṣmatā ca sunandena / āyuṣmatā ca kāśyapena / āyuṣmatā ca	nandena / AyuzmatA ca sunandena / AyuzmatA ca kASyapena / AyuzmatA ca
   mahākāśyapena / āyuṣmatā ca nandīkāśyapena / āyuṣmatā coruvilvākāśyapena /	mahAkASyapena / AyuzmatA ca nandIkASyapena / AyuzmatA ca-Uru-vilvAkASyapena /
   āyuṣmatā ca gayākāśyapena //	AyuzmatA ca gayA-kASyapena //
   evaṃ pramukhaiḥ saṃbahulair mahāśrāvakaiḥ sārdhaṃ	evam pramuKEH saMbahulEH mahA-SrAvakEH sArDam
   maheśvaradevaputrapramukhaiś cāsaṃkhyeyair aparimāṇair	maheSvara-deva-putra-pramuKEH ca-asaMKyeyEH aparimANEH-
   anabhilāṣyānabhilāṣyaiḥ śuddhāvāsakayikair devaputraiḥ //	anaBilAzya-anaBilAzyEH SudDAvAsa-kayikEH deva-putrEH //
   brahmaṇā ca sahāpatinā / brahmakāyikadevaputrapramukhair devaputraiḥ /	brahmaNA ca sahApatinA / brahmakAyika-deva-putra-pramuKEH deva-putrEH /
   suyāmena ca devaputreṇa / suyāmakāyikadevaputraparivāreṇa / saṃtuṣitena ca	suyAmena ca deva-putreNa / suyAma-kAyika-deva-putra-parivAreNa / saMtuzitena ca
   devaputraparivāreṇa / nirmāṇaratinā ca / paranirmitavaśavartinā ca /	deva-putra-parivAreNa / nirmANa-ratinA ca / paranirmitavaSavartinA ca /
   śakreṇa ca devānām indreṇa / sarvadevaputraparivāreṇa //	SakreNa ca devAnAm indreNa / sarva-deva-putra-parivAreNa //
