   Muktā-caritram	MuktA--caritram
   namaḥ śrī-gāndharvikā-giridharābhyām	namaH SrI-gAnDarvikA--giri-DarAByAm
   kandarpa-koṭi-ramyāya sphurad-indīvara-tviṣe |	kandarpa--kowi--ramyAya sPurat--indIvara-tvize |
   jagan-mohana-līlāya namo gopendra-sūnave ||	jagan--moha-na--lIlAya namaH gopendra--sUnave ||
   kraya-vikraya-khelābdau muktānāṃ majjitātmanoḥ |	kraya--vikraya--Kela-abdO muktAnAm majjita-AtmanoH |
   mitho jayārthinor vande rādhā-mādhavayor yugam ||	miTas jaya-arTinoH vande rADA--mADavayoH yugam ||
   nijām ujjvalitāṃ bhakti-sudhām arpayituṃ kṣitau |	nijAm ujjvalitAm Bakti-suDAm arpayitum kzitO |
   uditaṃ taṃ śacī-garbha-vyomni pūrṇaṃ vidhuṃ bhaje ||	uditam tam SacI--garBa--vyomni pUrNam viDum Baje ||
   nāma-śreṣṭhaṃ manum api śacīputram atra svarūpaṃ	nAma--SrezWam manum api SacIputram atra svarUpam
   śrī-rūpaṃ tasyāgrajam uru-purīṃ māthurīṃ goṣṭhavāṭīm |	SrI--rUpam tasya-agrajam uru-purIm mATurIm gozWa-vAwIm |
   rādhā-kuṇḍaṃ girivaram aho rādhikā-mādhavāśāṃ	rADA--kuNxam giri-varam aho rADikA--mADava-ASAm
   prāpto yasya prathita-kṛpayā śrī-guruṃ taṃ nato'smi ||	prAptaH yasya praTita-kRpayA SrI--gurum tam nataH-asmi ||
   hari-caritāmṛta-laharīṃ vṛndā-vipināmbu-rāśimbhūtām |	hari-caritAmRta-laharIm vRndA--vipina-ambu-rASimBUtAm |
   rasavad vṛndāraka-gaṇa-paramānandāya santanumaḥ ||	rasavat vRndAraka-gaNa--param-a-AnandAya santanumaH ||
   ekadā kiñcin-mātra-śruta-pūrva-vṛttāntayā satyabhāmayā kṛṣṇaḥ sākūtaṃ	ekadA kiQcin--mAtra--Sruta--pUrva--vRttAntayA satyaBAmayA kRzNaH sa-AkUtam
   pṛṣṭaḥ |	pRzwaH |
   latās tā madhurāḥ kasmin jāyante dhanyanivṛti |	latAH tAH maDurAH kasmin jAyante Danya-nivRti |
   nātha mat-kaṅkaṇa-nyastaṃ yāsāṃ muktāphalaṃ phalam ||	nATa mat--kaFkaNa-nyastam yAsAm muktAPalam Palam ||
   [* This verse is quoted in UN 11.66 as an example of maugdhya. There the	[* ThiH verse iH quotet id UN 11.66 aH an example of mOgDya. There Te
   first line	first line
   reads:	reads:
   kās tā latāḥ kva vā santi kena vā kila ropitāḥ]	kAH tAH latAH kva vA santi kena vA kila ropitAH]
   tatas tad-vṛttānta-smaraṇāt kṛṣṇaḥ svāntar-glānir bahir vihasyāha |	tatas tad--vRttAnta--smaraNAt kRzNaH sva-antar--glAniH bahis vihasya-Aha |
   gataḥ sa kālo yatrāsīt muktānāṃ janma valliṣu |	gataH sa kAlaH yatra-AsIt muktAnAm janma vallizu |
   vartante sāmprataṃ tāsāṃ hetavaḥ śukti-sampuṭāḥ ||	vartante sAmpratam tAsAm hetavaH Sukti--sampuwAH ||
   tatas tad apūrvaṃ śrutvā sa-viśeṣa-śravaṇotkaṇṭhitayā tayā bāḍham	tatas tat apUrvam SrutvA sa-viSeza--SravaNa-utkaNWitayA tayA bAXam
   āmreḍitaḥ	AmrexitaH
   kṛṣṇaḥ punar āha | ekadā kārttike māsi gokule govardhana-girau	kRzNaH punar Aha | ekadA kArttike mAsi gokule govarDana-girO
   dīpa-mālikā-mahotsava āsīt | tatra sarvo jano vicitra-nepathya-sāmagrīṇāṃ	dIpa-mAlikA--mahA-utsavaH AsIt | tatra sarvaH janaH vicitra--nepaTya--sAmagrINAm
   saṃskārāya sādhanāya ca paramāśakto babhūva | gopās tu svaṃ svaṃ	saMskArAya sADanAya ca parama-aSaktaH baBUva | gopAH tu svam svam
   bhūṣayanto'pi	BUzayantaH-api
   viśeṣataḥ gavādi-paśūnāṃ prasādhanārtham udyuktā āsan | gopyaḥ kila	viSezataH gavA-Adi--paSUnAm prasADana-arTam udyuktAH Asan | gopyaH kila
   prasādhita-sadanā ātmanāṃ bhūṣaṇārthaṃ nānālaṅkāra-saṃskāra-sādhana-parā	prasADita--sadanA AtmanAm BUzaNa-arTam nAnA-alaFkAra--saMskAra--sADana-parA
   babhūvuḥ | rādhā tu	baBUvuH | rADA tu
   mālya-haraṇākhya-saras-tīropānta-mādhavī-catuḥ-śālikāyāṃ	mAlya--haraNa-AKya--saras--tIra-upAnta--mADavI--catuH-SAlikAyAm
   sva-sakhī-samudayena paramottama-muktābhir vividha-bhūṣaṇāni racayitum	sva-saKI--samudayena parama-uttama--muktABiH viviDa-BUzaNAni racayitum
   ārebhe |	AreBe |
   mayā ca vicakṣaṇa iti yathārtha-nāma-kīra-kumāra-mukhatas tan niśamya	mayA ca vicakzaNaH iti yaTArTa-nAma--kIra--kumAra--muKatas tat niSamya
