   (PSP_5:1)	(PSu _5:1)
   pañcaviṃśatisāhasrikā prajñāpāramitā V	paQcaviMSati sAhasrikA prajQApAramitA V
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ sacet svapnāntaragato 'pi	punar aparam suBUte boDisattvaH mahAsattvaH saced svapna antara gataH api
   svapnopamāṃś caiva sarvadharmān vyavalokayati, pratiśrutkopamān	svapna upamAn ca eva sarva DarmAn vyavalokayati, pratiSrutka upamAn
   marīcyupamān pratibhāsopamān nirmitakopamān gandharvanagaropamāṃś ca	marIci upamAn pratiBAsA upamAn nirmitaka upamAn ganDarvanagara upamAn ca
   sarvadharmān vyavalokayati na ca sākṣātkaroti, idaṃ subhūte bodhisattvasya	sarva DarmAn vyavalokayati na ca sAkzAtkaroti, idam suBUte boDisattvasya
   mahāsattvasyāvinivartanīyalakṣaṇaṃ veditavyam. iti prathamaṃ liṅgam	mahAsattvasya avinivartanIya lakzaNam veditavyam. iti praTamam liFgam
   punar aparaṃ subhūte svapnāntaragato 'pi bodhisattvo mahāsattvaḥ	punar aparam suBUte svapna antara gataH api boDisattvaH mahAsattvaH
   śrāvakabhūmau vā pratyekabuddhabhūmau vā traidhātuke vā na spṛhayati na	SrAvaka BUmO vA pratyekabudDa BUmO vA trEDAtuke vA na spRhayati na
   cittam utpādayati nānuśaṃsayati, idam api subhūte 'vinivartanīyasya	cittam utpAdayati na anuSaMsayati, idam api suBUte avinivartanIyasya
   bodhisattvasya mahāsattvasyāvinivartanīyalakṣaṇaṃ veditavyam. iti dvitīyam	boDisattvasya mahAsattvasya avinivartanIya lakzaNam veditavyam. iti dvitIyam
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ sacet svapnāntaragatas	punar aparam suBUte boDisattvaH mahAsattvaH saced svapna antara gata s
   tathāgatam anekaśataparivāram anekasahasraparivāram	taTAgatam aneka Sata parivAram aneka sahasra parivAram
   anekaśatasahasraparivāram anekakoṭīniyutaśatasahasraparivāraṃ	aneka Sata sahasra parivAram aneka kowI niyuta Sata sahasra parivAram
   bhikṣubhikṣuṇībhir upāsakopāsikābhir	BikzuBi kzuNIBiH upAsa kopAsikABiH 
   devanāgayakṣagandharvāsuragaruḍakiṃnaramahoragaiḥ parivṛtaṃ puraskṛtaṃ	deva nAga yakza ganDarva asura garuxa kiMnara mahA uragEH parivRtam puraskRtam
   tathāgatam arhantaṃ samyaksaṃbuddhaṃ dharmaṃ deśayantaṃ paśyati, sa taṃ	taTAgatam arhantam samyaksaMbudDam Darmam deSayantam paSyati, sa tam
   dharmaṃ śrutvā tasya dharmasyārtham ājanāti dharmānudharmapratipanno	Darmam SrutvA tasya Darmasya arTam AjanAti Darma anuDarma pratipannaH 
   viharati samayapratipanno 'nudharmacārī, idam api subhūte	viharati samaya pratipannaH anuDarma cArI, idam api suBUte
   'vinivartanīyasya bodhisattvasya mahāsattvasyāvinivartanīyalakṣaṇaṃ	avinivartanIyasya boDisattvasya mahAsattvasya avinivartanIya lakzaNam
   veditavyam. iti tṛtīyam	veditavyam. iti tRtIyam
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ svapnāntaragataḥ sacet	punar aparam suBUte boDisattvaH mahAsattvaH svapna antara gataH saced 
   tathāgataṃ paśyed vaihāyasam atyudgamya bhikṣusaṃghasya dharmaṃ deśayantaṃ	taTAgatam paSyet vEhAyasam ati udgamya Bikzu saMGasya Darmam deSayantam
   dvātriṃśadbhir mahāpuruṣalakṣaṇaiḥ samalaṃkṛtaṃ vyāmaprabham	dvAtriMSadBiH mahApuruza lakzaNEH samalaMkRtam vyAma praBam
   ṛddhiprātihāryañ ca nidarśayantan nirmitāṃś ca nirmiṇvantan tāṃś caiva	RdDi prAtihAryan ca nidarSayan tan nirmitAn ca nirmiNvantan tAn ca eva
   nirmitān anyeṣu lokadhātuṣu buddhakṛtyaṃ kurvataḥ, idam api subhūte	nirmitAn anyezu lokaDAtuzu budDa kRtyam kurvataH, idam api suBUte
   'vinivartanīyasya bodhisattvasya mahāsattvasyāvinivartanīyasya lakṣaṇaṃ	avinivartanIyasya boDisattvasya mahAsattvasya avinivartanIyasya lakzaNam
   veditavyam. iti caturtham	veditavyam. iti caturTam
   (PSP_5:2)	(PSu _5:2)
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ svapnāntaragato 'pi	punar aparam suBUte boDisattvaH mahAsattvaH svapna antara gataH api
   nottrasyati na saṃtrasyati na saṃtrāsam āpadyate grāmaghāte vartamāne	na uttrasyati na saMtrasyati na saMtrAsam Apadyate grAma GAte vartamAne
   nagaraghāte vartamāne 'gnidāhe vartamāne, vyāḍamṛgān vā dṛṣṭvā tadanyān vā	nagara GAte vartamAne agni dAhe vartamAne, vyAxa mRgAn vA dRzwvA tad anyAn vA
   caṇḍamṛgajātīr dṛṣṭvā pipāsitān dṛṣṭvā bubhuksitān dṛṣṭvā mātāpitṛmaraṇaṃ	caNxa mRga jAtIH dRzwvA pipAsitAn dRzwvA buBuj sitAn dRzwvA mAtA pitR maraNam
   vā dṛṣṭvā bhrātṛbhaginīmaraṇaṃ vā dṛṣṭvā putraduhitṛmaraṇaṃ vā dṛṣṭvā	vA dRzwvA BrAtR BaginI maraNam vA dRzwvA putra duhitR maraNam vA dRzwvA
   mitrāmātyajñātisālohitamaraṇaṃ vā dṛṣṭvā na śokabhayabhairavasaṃtrāsam	mitra amAtya jQAti sAlohita maraNam vA dRzwvA na Soka Baya BErava saMtrAsam
   utpādayati, tataś ca svapnāt samanantaravibuddhasya samānasyaivaṃ bhavati,	utpAdayati, tatas ca svapnAt samanantara vibudDasya samAnasya evam Bavati,
   svapnopamaṃ sarvam idaṃ traidhātukaṃ, mayāpy anuttarāṃ samyaksaṃbodhim	svapna upamam sarvam idam trEDAtukaM, mayA api anuttarAm samyaksaMboDim
   abhisaṃbuddhya svapnopamaṃ sarvatraidhātukam iti dharmo deśayitavyaḥ, idam	aBisaMbudDya svapna upamam sarva tra eDAtukam iti DarmaH deSayitavyaH, idam
   api subhūte 'vinivartanīyasya bodhisattvasya	api suBUte avinivartanIyasya boDisattvasya
   mahāsattvasyāvinivartanīyalakṣaṇaṃ veditavyam. iti pañcamam	mahAsattvasya avinivartanIya lakzaNam veditavyam. iti paQcamam
   punar aparaṃ subhūte kathaṃ vijñāyate yathāvinivartanīyasya bodhisattvasya	punar aparam suBUte kaTam vijQAyate yaTA vinivartanIyasya boDisattvasya
   mahāsattvasyānuttarāṃ samyaksaṃbodhim abhisaṃbuddhasya tatra buddhakṣetre	mahAsattvasya anuttarAm samyaksaMboDim aBisaMbudDasya tatra budDa kzetre
   sarveṇa sarvaṃ sarvathā sarvaṃ trayo 'pāyā na bhaviṣyantiti? sacet subhūte	sarveNa sarvam sarvaTA sarvam trayaH apAyAH na Bavizyantiti? saced suBUte
   bodhisattvo mahāsattvaḥ svapnāntaragato nārakaṃ vā sattvaṃ dṛṣṭvā	boDisattvaH mahAsattvaH svapna antara gataH nArakam vA sattvam dRzwvA
