   Mārīcīnāmadhāraṇī	MArIcInAmaDAraNI
   oṃ namo bhagavatyai āryamārīcīdevatāyai /	om namaH BagavatyE Arya-mArIcI-devatAyE /
   evaṃ mayā śrutam ekasmin samaye bhagavān śrāvastyāṃ viharati sma /	evam mayA Srutam ekasmin samaye BagavAn SrAvastyAm viharati sma /
   jetavane 'nāthapiṇḍadasyārāme mahatā bhikṣusaṃghena	jetavane anATapiNxadasya-ArAme mahatA Bikzu-saMGena
   sārdhatrayodaśabhikṣuśataiḥ saṃbahulaiś ca	sArDa-trayodaSa-Bikzu-SatEH saMbahulEH ca
   mahāśrāvakabodhisatvamahāsatvaiḥ / tatra khalu bhagavān bhikṣūn	mahA-SrAvaka-boDisatva-mahA-satvEH / tatra Kalu BagavAn BikzUn
   āmantrayate sma / asti bhikṣavo mārīcī nāma devatā sā sūryacandramāsoḥ	Amantrayate sma / asti BikzavaH mArIcI nAma devatA sA sUrya-candra-mAsoH
   purato 'nūpagacchati / sā na dṛśyate na gṛhyate na badhyate na nirudhyate	puratas anUpa-gacCati / sA na dRSyate na gRhyate na baDyate na niruDyate
   na virudhyate na muṣyate na muhyate na daṇḍyate na muṇḍyate na dahyate na	na viruDyate na muzyate na muhyate na daNxyate na muNxyate na dahyate na
   śatror anūpagacchati / yo 'pi tasya bhikṣavo mārīcīnāmadevatāyā nāma	SatroH anUpa-gacCati / yaH api tasya BikzavaH mArIcInAm-adevatAyAH nAma
   jānāti so 'pi na dṛśyate na gṛhyate na badhyate na nirudhyate na	jAnAti saH api na dRSyate na gRhyate na baDyate na niruDyate na
   virudhyate na muṣyate na muhyate na daṇḍyate na muṇḍyate na dahyate na	viruDyate na muzyate na muhyate na daNxyate na muNxyate na dahyate na
   śatror anūpagacchati / so 'haṃ bhikṣavo mārīcīnāmadevatāyā nāma jānāmi /	SatroH anUpa-gacCati / saH aham BikzavaH mArIcInAm-adevatAyAH nAma jAnAmi /
   aham api @ayam api@@ na dṛśyate na badhyate na nirudhyate na virudhyate na	aham api @ayam api@@ na dRSyate na baDyate na niruDyate na viruDyate na
   muhyate na daṇḍyate na muṇḍyate na dahyate na śatror anūpagacchati / imāni	muhyate na daNxyate na muNxyate na dahyate na SatroH anUpa-gacCati / imAni
   mantrapadāni bhavanti / tadyathā ḥ oṃ padākramasi parākramasi udayamasi	mantra-padAni Bavanti / tat-yaTA H om pada-Akramasi parAkramasi udayam-asi
   nairamasi arkamasi markamasi urmasi vanamasi gulmamasi cīvaramasi	nEramasi arkam-asi markam-asi urmasi vanam-asi gulmam-asi cIvaram-asi
   mahācīvaramasi antardhānamasi svāhā /	mahA-cIvaram-asi antarDAnam-asi svAhA /
   oṃ mārīcīdevatā pathe māṃ gopaya / utpathe māṃ gopaya / puruṣabhayato māṃ	om mArIcI-devatA paTe mAm gopaya / utpaTe mAm gopaya / puruza-BayataH mAm
   gopaya / rājabhayato māṃ gopaya / hastibhayato māṃ gopaya / caurabhayato	gopaya / rAja-BayataH mAm gopaya / hasti-Bayatas mAm gopaya / cOra-BayataH-
   māṃ gopaya / nāgabhayato māṃ gopaya / siṃhabhayato māṃ gopaya /	mAm gopaya / nAga-Bayatas mAm gopaya / siMha-BayataH mAm gopaya /
   vyāghrabhayato māṃ gopaya / aśvabhayato māṃ gopaya / (Mādh 158)	vyAGra-BayataH mAm gopaya / aSva-BayataH mAm gopaya / (MAD 158)
   agnibhayato māṃ gopaya / udakabhayato māṃ gopaya / sarpabhayato māṃ gopaya	agni-Bayatas mAm gopaya / udaka-BayataH mAm gopaya / sarpa-BayataH mAm gopaya
   / viṣabhayato māṃ gopaya / sarvapratyarthikapratyamitrabhayato māṃ gopaya	/ viza-BayataH mAm gopaya / sarva-pratyarTika-pratyamitra-BayataH mAm gopaya
   / ākuleṣu māṃ gopaya / anākuleṣu māṃ gopaya / mūrcchiteṣu māṃ gopaya /	/ Akulezu mAm gopaya / anAkulezu mAm gopaya / mUrcCitezu mAm gopaya /
