   śrī-jayadeva-gosvāmi-viracitaṃ	SrI-jayadeva--go-svAmi-viracitam
   gīta-govinda-kāvyam	gIta-govinda-kAvyam
   śrī-gīta-govinda-kāvyam	SrI--gIta--govinda-kAvyam
   prathamaḥ sargaḥ	praTamaH sargaH
   sāmoda-dāmodaraḥ	sAma-uda-dAmodaraH
   meghair meduraṃ ambaraṃ vana-bhuvaḥ śyāmās tamāla-drumair naktaṃ bhīrur	meGEH meduram ambaram vana--BuvaH SyAmAH tamAla-drumEH naktam BIruH-
   ayaṃ tvam eva tad imaṃ rādhe gṛhaṃ prāpaya |	ayam tvam eva tat imam rADe gRham prApaya |
   itthaṃ nanda-nideśataś calitayoḥ praty-adhva-kuñja-drumaṃ rādhā-mādhavayor	itTam nanda--nideSataH calitayoH praty-aDva-kuQja--drumam rADA--mADavayoH-
   jayanti yamunā-kūle rahaḥ-kelayaḥ || GG_1.1 ||	jayanti yamunA--kUle rahaH--kelayaH || Gu-_1.1 ||
   vāg-devatā-carita-citrita-citta-sadmā padmāvatī-caraṇa-cāraṇa-cakravartī |	vAc--devatA--carita--citrita-citta-sadmA padmAvatI--caraNa--cAraNa--cakravartI |
   śrī-vāsudeva-rati-keli-kathā-sametaṃ etaṃ karoti jayadeva-kaviḥ prabandhaṃ	SrI-vAsudeva-rati--keli--kaTA--sametam etam karoti jayadeva--kaviH prabanDam
   || GG_1.2 ||	|| Gu-_1.2 ||
   yadi hari-smaraṇe sarasaṃ mano yadi vilāsa-kalāsu kutūhalaṃ |	yadi hari-smaraNe sarasam manaH yadi vilAsa-kalAsu kutUhalam |
   madhura-komala-kānta-padāvalīṃ śṛṇu tadā jayadeva-sarasvatīm || GG_1.3 ||	maDura--komala--kAnta-pada-AvalIm SRNu tadA jayadeva--sarasvatIm || Gu-_1.3 ||
   vacaḥ pallavayaty umāpatidharaḥ sandarbha-śuddhiṃ girāṃ jānītejayadeva eva	vacaH pallavayati umApati-DaraH sandarBa--SudDim girAm jAnItejayadevaH eva
   śaraṇaḥ ślāghyo durūha-druteḥ |	SaraNaH SlAGyaH durUha--druteH |
   NOTE: {durūhādbhuteḥ iti ni-pāthāntaraḥ | }	NOTE: {durUhA-adButeH iti ni-pATa-antaraH | }
   śṛṅgārottara-sat-prameya-racanair ācārya-govardhana-spardhī ko'pi na	SRFgAra-uttara--sat--prameya---racanEH AcArya--govarDana-sparDI kaH-api na
   viśrutaḥ srutidharo dhoyī kavi-kṣmāpatiḥ || GG_1.4 ||	viSrutaH sruti-DaraH DoyI kavi--kzmApatiH || Gu-_1.4 ||
   || prathama-prabandhaḥ ||	|| praTama--prabanDaH ||
   mālava-gauḍa-rāgeṇa rūpaka-talena giyate | aṣṭāpadī |	mAlava--gOxa--rAgeNa rUpaka-talena giyate | azwApadI |
   pralaya-payodhijale dhṛtavān asi vedaṃ vihita-vahitra-caritram akhedam |	pralaya--payoDi-jale DRtavAn asi vedam vihita--vahitra--caritram aKedam |
   keśava dhṛta-mīna-śarīra jaya jagadīśa hare [dhruva-padam] || GG_1.5 ||	keSava DRta-mIna--SarIra jaya jagadISa hare [Druva-padam] || Gu-_1.5 ||
   kṣitir ativipulatare tava tiṣṭhati pṛṣṭhe	kzitiH ati-vipulatare tava tizWati pRzWe
   dharaṇī-dharaṇa-kiṇa-cakra-gariṣṭhe |	DaraNI-DaraNa-kiNa--cakra--garizWe |
   keśava dhṛta-kacchapa-rūpa jaya jagadīśa hare || GG_1.6 || (1.2)	keSava DRta--kacCapa--rUpa jaya jagadISa hare || Gu-_1.6 || (1.2)
   vasati daśana-śikhare dharaṇī tava lagnā śaśini kalaṅka-kaleva nimagnā |	vasati daSana-SiKare DaraNI tava lagnA SaSini kalaFka-kalA-iva nimagnAH |
   keśava dhṛta-sūkara-rūpa jaya jagadīśa hare || GG_1.7 || (1.3)	keSava DRta--sUkara--rUpa jaya jagadISa hare || Gu-_1.7 || (1.3)
   tava kara-kamala-vare nakhaṃ adbhuta-śṛṅgaṃ	tava kara--kamala--vare naKam adButa--SRFgam
   dalita-hiraṇyakaśipu-tanu-bhṛṅgaṃ |	dalita-hiraNyakaSipu--tanu--BRFgam |
   keśava dhṛta-nara-hari-rūpa jaya jagad-īśa hare || GG_1.8 || (1.4)	keSava DRta--nara--hari--rUpa jaya jagat--ISa hare || Gu-_1.8 || (1.4)
   chalayasi vikramaṇe balim adbhuta-vāmana	Calayasi vikramaNe balim adButa-vAmana
   pada-nakha-nīra-janita-jana-pāvana |	pada-naKa--nIra--janita--jana--pAvane |
   keśava dhṛta-vāmana-rupa jaya jagad-īśa hare || GG_1.9 || (1.5)	keSava DRta-vAmana-rupa jaya jagat--ISa hare || Gu-_1.9 || (1.5)
   kṣatrīya-rudhira-maye jagad apagata-pāpaṃ snapayasi payasi	kzatrIya--ruDira--maye jagat apagata-pApam snapayasi payasi
   śamita-bhava-tāpam |	Samita-Bava--tApam |
   keśava dhṛta-bhṛgu-pati-rūpa jaya jagad-īśa hare || GG_1.10 || (1.6)	keSava DRta--BRgu-pati--rUpa jaya jagat--ISa hare || Gu-_1.10 || (1.6)
   vitarasi dikṣu raṇe dik-pati-kamanīyaṃ daśa-mukha-mauli-bali ramaṇīyam |	vitarasi dikzu raNe dik-pati--kamanIyam daSa--muKa--mOli--bali ramaNIyam |
   keśava dhṛta-rāma-śarīra jaya jagad-īśa hare || GG_1.11 || (1.7)	keSava DRta--rAma--SarIra jaya jagat--ISa hare || Gu-_1.11 || (1.7)
   NOTE: {raghupati-rūpaṃ iti ha-saṃskaraṇa-pāṭhaḥ.}	NOTE: {raGupati-rUpam iti ha-saMskaraNa-pAWaH.}
   vahasi vapuṣi viśade vasanaṃ jaladābhaṃ hala-hati-bhīti-milita-yamunābham	vahasi vapuzi viSade vasanam jalada-ABam hala-hati--BIti--milita--yamunA-ABam
   keśava dhṛta-hala-dhara-rūpa jaya jagad-īśa hare || GG_1.12 || (1.8)	keSava DRta-hala-Dara--rUpa jaya jagat--ISa hare || Gu-_1.12 || (1.8)
   nindasi yajña-vidher ahaha śruti-jātam sadaya-hṛdaya darśita-paśu-ghātam |	nindasi yajQa-viDeH ahaha Sruti-jAtam sadaya--hRdaya darSita-paSu--GAtam |
   keśava dhṛta-buddha-śarīra jaya jagad-īśa hare || GG_1.13 || (1.9)	keSava DRta--budDa--SarIra jaya jagat--ISa hare || Gu-_1.13 || (1.9)
   mleccha-nivaha-nidhane kalayasi karavālaṃ dhūma-ketum iva kim api karālam	mlecCa--nivaha--niDane kalayasi karavAlam DUma-ketum iva kim api karAlam
