   Śrāvakabhūmiḥ	ŚrAvaka BUmiH
   (Śbh_Sh: 5)	(ŚB_Sh: 5)
   I. gotrabhūmiḥ	I. gotra BUmiH
   // [|] indriyairavikalatā, āyatanagataḥ prasādaḥ, aparivṛttakarmāntatā [|]	// [|] indriyEH avika latA, Ayatana gataH prasAdaH, aparivRtta karmAnta tA [|]
   tatra manuṣyatvaṃ katamat | yathāpīhaikatyo manuṣyāṇāṃ sabhāgatāyāṃ	tatra manuzya tvam katamat | yaTA api iha ekatyaH manuzyANAm saBA gatAyAm
   pratyājāto bhavati | puruṣaśca puruṣendriyeṇa [samanvāgato bhavati |	pratyAjAtaH Bavati | puruzaH ca puruza indriyeNa [samanvAgataH Bavati |
   idamucyate manuṣyatvaṃ [|]	idam ucyate manuzya tvam [|]
   āryā[ya]tane pratyājātiḥ katamā [|] yathāpīhai] katyo madhyeṣu	AryA[ya]tane pratyAjAtiH katamA [|] yaTA api ihE] katyaH maDyezu
   [ja]napadeṣu pratyājāto bhavati pūrvavadyāvadyatra gatiḥ	[ja]na padezu pratyAjAtaH Bavati pUrvavat yAvat yatra gatiH
   satpuruṣāṇāmiyamucyate āryāyatane pratyājātiḥ [|]	sat puruzANAm iyam ucyate Arya Ayatane pratyAjAtiH [|]
   (Śbh_Sh: 6)	(ŚB_Sh: 6)
   indriyairavikalatā katamā [|] yathāpīhaikatyaḥ ajāto bhavatyaneḍaka iti	indriyEH avikala tA katamA [|] yaTA api iha ekatyaH ajAtaH Bavati anexakaH iti
   vistaraḥ [|] aṃgapratyaṃgāvikalo vā yadrūpeṇāṃpratyaṃgāvaikalyena	vistaraH [|] aMga pratyaMga avikalaH vA yad rUpeNa aMpratyaMgA vEkalyena
   śrotrāvaikalyādikena bhavyaḥ kuśalapakṣasamudāgamāya [|] idamucyate	Srotra avEkalya Adikena BavyaH kuSala pakza samudAgamAya [|] idam ucyate
   indriyā vaikalyaṃ [|]	indriyAH vEkalyam [|]
   āyatanagataḥ prasādaḥ katamaḥ [|] yathāpīhaikatyena tathāgatapravedite	Ayatana gataH prasAdaH katamaH [|] yaTA api iha ekatyena taTAgata pravedite
