   uparivibhāgaḥ	upari viBAgaH
   ṛṣaya ūcuḥ	RzayaH UcuH
   bhavatā kathitaḥ samyak sargaḥ svāyaṃbhuvastataḥ /	BavatA kaTitaH samyak sargaH svAyaMBuvaH tatas /
   brahmāṇḍasyāsya vistāro manvantaraviniścayaḥ // KūrmP_2,1.1 //	brahmANxasya asya vistAraH manvantara viniScayaH // KUrmP_2,1.1 //
   tatreśvareśvaro devo varṇibhirdharmatatparaiḥ /	tatra ISvara ISvaraH devaH varNiBiH Darma tatparEH /
   jñānayogaratairnityamārādhyaḥ kathitastvayā // KūrmP_2,1.2 //	jQAna yoga ratEH nityam ArADyaH kaTitaH tvayA // KUrmP_2,1.2 //
   tadvadāśeṣasaṃsāraduḥ khanāśamanuttamam /	tadvada aSeza saMsAra duH Ka nASam anuttamam /
   jñānaṃ brahmaikaviṣayaṃ yena paśyema tatparam // KūrmP_2,1.3 //	jQAnam brahma eka vizayam yena paSyema tad param // KUrmP_2,1.3 //
   tvaṃ hi nārāyaṇātsākṣāt kṛṣṇadvaipāyanāt prabho /	tvam hi nArAyaNAt sAkzAt kRzNadvEpAyanAt praBo /
   avāptākhilavijñānastattvāṃ pṛcchāmahe punaḥ // KūrmP_2,1.4 //	avApta aKila vijQAnaH tattvAm pRcCAmahe punar // KUrmP_2,1.4 //
   śrutvā munīnāṃ tad vākyaṃ kṛṣṇadvaipāyanaṃ prabhum /	SrutvA munInAm tat vAkyam kRzNadvEpAyanam praBum /
   sūtaḥ paurāṇikaḥ smṛtvā bhāṣituṃ hyupacakrame // KūrmP_2,1.5 //	sUtaH pOrANikaH smRtvA BAzitum hi upacakrame // KUrmP_2,1.5 //
   athāsminnantare vyāsaḥ kṛṣṇadvaipāyanaḥ svayam /	aTa asmin= antare vyAsaH kRzNadvEpAyanaH svayam /
   ājagāma muniśreṣṭhā yatra satraṃ samāsate // KūrmP_2,1.6 //	AjagAma muni SrezWAH yatra satram samAsate // KUrmP_2,1.6 //
