   āmaraughaśāsana	Amara-oGa-SAsana
   ūrdhvaśaktinipātaḥ kandacatuṣṭayena jñāyate // 1	UrDva-Sakti-nipAtaH kanda-catuzwayena jQAyate // 1
   * yac candraprabhavaṃ varāmbaragataṃ yal liṅgasaṃjñaṃ jalaṃ sa prāṇas	* yat candra-praBavam vara-ambara-gatam yat liFga-saMjQam jalam sa prANa-s
   tadadhaḥ sthiraṃ ca kamalaṃ dhatte mukhordhvaṃ hṛdi || 1.1	tad-aDas sTiram ca kamalam Datte muKa-UrDvam hRdi || 1.1
   * baddhvā kumbhakam ātmagāḍharacitaṃ tad brahmanāḍīgataṃ hy ānetuṃ vadane	* badDvA kumBakam Atma-gAXa-racitam tat brahma-nAxI-gatam hi Anetum vadane
   ṣaḍadhvagakalā saivaṃvidhā sāraṇā || 1.2]	zaxaDvaga-kalA sA-evaMviDA sAraNA || 1.2]
   ṣaḍadhvagā kathyate // 2	zaxaDva-gA kaTyate // 2
   * ghaṇṭākoṭikapolakoṭarakuṭījihvāgramadhyāśrayāc	* GaNwA-kowi-kapola-kowara-kuwI-jihvA-agram-aDya-ASrayAt-
   chaṅkhinyāgatarājadantavivaraṃ prāntordhvavaktreṇa yat || 2.1	CaFKinI-Agata-rAja-danta-vivaram prAnta-UrDva-vaktreNa yat || 2.1
   * saṃprāptaṃ hanurandhramūlavidhinā yac candratoyaṃ mukhe tat sarvaṃ	* saMprAptam hanu-ranDra-mUla-viDinA yat candratoyam muKe tat sarvam
   ravikālarūpasadane rakṣet parā sāraṇā || 2.2]	ravi-kAla-rUpa-sadane rakzet parA sAraNA || 2.2]
   karmāntareṇa parā sāraṇā kathyate // 3	karma-antareNa parA sAraNA kaTyate // 3
   * nṛtyan nityordhvajihvo yadi pibati pumān vaktradhārāmṛtaughaṃ susvādaṃ	* nRtyan nitya-UrDva-jihvaH yadi pibati pumAn vaktra-DArA-amRta-oGam su-svAdam
   śītalāṅgaṃ duritabhayaharaṃ kṣutpipāsāvināśi || 3.1	SItala-aFgam durita-Baya-haram kzuD-pipAsA-vinASi || 3.1
   * piṇḍasthairyaṃ yad asmād bhavati bata mahāmṛtyurogā dravante daurbhāgyaṃ	* piNxa-sTEryam yat asmAt Bavati bata mahA-mRtyu-rogAH dravante dOrBAgyam
   yāti nāśaṃ harati viṣajarāṃ yāti kāle bhramitvā || 3.2]	yAti nASam harati viza-jarAm yAti kAle BramitvA || 3.2]
   sāraṇānantaraṃ sāraṇā kathyate // 4	sAraNA-anantaram sAraNA kaTyate // 4
   * jihvāgraṃ tv atha rājadantavivaraṃ nītvā tato ghaṇṭikāṃ saṃsthāpya	* jihvA-agram tu aTa rAja-danta-vivaram nItvA tatas GaNwikAm saMsTApya
   pratijihvaparva śaśino mārge kalāṃ ca kṣipet || 4.1	pratijihva-parva SaSinaH mArge kalAm ca kzipet || 4.1
   * evaṃsāraṇike patanti ca sudhādhārāḥ punaḥ ṣaṇmukhagāndhārāpy atha	* evaMsAraNike patanti ca suDA-DArAH punar zaNmuKa-gAnDArA-api aTa
   tatkalāpamathanaṃ nāḍīmukhojjṛmbhaṇam || 4.2]	tad-kalApa-maTanam nAxI-muKa-ujjRmBaNam || 4.2]
   sāraṇānantaraṃ pratisāraṇā kathyate // 5	sAraNA-anantaram pratisAraNA kaTyate // 5
   * prāṇavātena nītvordhvaṃ koṭare candrajāṃ kalām || 5.1	* prANa-vAtena nItvA-UrDvam koware candrajAm kalAm || 5.1
   * manthitāṃ divyajātāṃ ca tena gāndhārakarmaṇā || 5.2]	* manTitAm divya-jAtAm ca tena gAnDAra-karmaNA || 5.2]
   gāndhārānantaraṃ pratisāraṇā kathyate // 6	gAnDAra-anantaram pratisAraNA kaTyate // 6
   * nāsāpaścimamārgavāhapavanāt prāṇe 'tidīrghīkṛte candrāmbu pratisāraṇāṃ	* nAsA-apaScima-mArga-vAha-pavanAt prANe ati-dIrGIkRte candra-ambu pratisAraNAm
   sukṛtinaḥ prāgghaṇṭikāyāḥ pathaḥ || 6.1	sukRtinaH prAc-GaNwikAyAH paTaH || 6.1
   * siñcan kālaviśālavahnivaśagaṃ bhūtvā sa nāḍīśataṃ tat kāryaṃ kurute	* siQcan kAla-viSAla-vahni-vaSa-gam BUtvA sa nAxI-Satam tat kAryam kurute
   punar navatanuṃ jīrṇadrumaskandhavat || 6.2]	punar nava-tanum jIrNa-druma-skanDa-vat || 6.2]
   pratisāraṇānantaraṃ śaṅkhasāraṇā kathyate // 7	pratisAraNa-anantaram SaFKasAraNA kaTyate // 7
   * protkṣiptaṃ vṛṣaṇasya golakayugaṃ madhye dhvajaṃ proddhvajaṃ nityordhve	* protkziptam vRzaNasya golaka-yugam maDye Dvajam prodDvajam nitya-UrDve
   bata śaṅkhasāraṇavidhau vaktraṃ vidheyaṃ nijam || 7.1	bata SaFKa-sAraNa-viDO vaktram viDeyam nijam || 7.1
   * sarvasthānaśarīrabandhanavaśāt skandhoddhṛtānāṃ yathā nāḍīnāṃ mukhataḥ	* sarva-sTAna-SarIra-banDana-vaSAt skanDa-udDRtAnAm yaTA nAxInAm muKataH
   sudhānidhijalaṃ siñcann adho gacchati || 7.2]	suDA-niDi-jalam siQcan aDas gacCati || 7.2]
   karmāntareṇa śaṅkhasāraṇā kathyate // 8	karma-antareNa SaFKasAraNA kaTyate // 8
   * vṛṣaṇākarṣaṇaṃ kāryam athavā śaṅkhasāraṇā || 8.1	* vRzaNa-AkarzaNam kAryam aTavA SaFKa-sAraNAH || 8.1
   * bodhanaṃ caiva kuṇḍalyās tiṣṭhec caivotkaṭāsanam || 8.2]	* boDanam ca-eva kuNxalyAH tizWet ca-eva-utkawAsanam || 8.2]
   śaṅkhasāraṇānantaraṃ mahāsāraṇā kathyate // 9	SaFKa-sAraNa-anantaram mahAsAraNA kaTyate // 9
   * paścād āsanaśuddhavātanikarān ādāya kaṇṭhavraṇāt saṃsthāpyā ravimaṇḍale	* paScAt Asana-SudDa-vAta-nikarAn AdAya kaNWa-vraNAt saMsTApyAH ravi-maNxale
   tu bhujagī saṃbhūtanāḍītrayāt || 9.1	tu BujagI saMBUta-nAxI-trayAt || 9.1
   * devī madhyapathoditā prakurute kampaṃ tato mūrchanāṃ dūrakarṣaṇadarśanaṃ	* devI maDya-paTa-uditA prakurute kampam tatas mUrCanAm dUra-karzaNa-darSanam
   śrutigaṇāṃś cānyā mahāsāraṇā || 9.2]	Sruti-gaNAn ca-anyAH mahAsAraNAH || 9.2]
   karmāntareṇa mahāsāraṇā kathyate // 10	karma-antareNa mahAsAraNA kaTyate // 10
   * ādhārāmbujakośakandabhujagī saṃbhūya nāḍītrayāt	* ADAra-ambuja-koSa-kanda-BujagI saMBUya nAxI-trayAt-
   candrārkodbhavanāḍikordhvayugalaṃ cādvaitapathyāgatam || 10.1	candra-arka-udBava-nAxikA-UrDva-yugalam ca-advEta-paTyA-gatam || 10.1
   * tatraivāṅgulibhir nipīḍya kramaśaḥ śāntiṃ mano mārutaṃ candro yāti raviṃ	* tatra-eva-aFguliBiH nipIxya kramaSas SAntim manaH mArutam candraH yAti ravim
   tataś ca bhuvane tulyā mahāsāraṇā || 10.2	tatas ca Buvane tulyAH mahAsAraNAH || 10.2
   * sūryāntaḥ śaśivīcidantavadanaprāntaplavaughoragī saṃprāpte	* sUrya-antar SaSi-vIci-danta-vadana-prAnta-plava-oGa-uragI saMprApte
   pavanātisaṅgaharaṇe kṣipraṃ tato dhāvitā || 10.3	pavana-atisaFga-haraNe kzipram tatas DAvitAH || 10.3
   * śrīmanmadhyapathāntato vidadhatī kampādi kopānvitā tasyaivāśrayayāyino	* SrImat-maDya-paTa-antataH vidaDatI kampa-Adi kopa-anvitA tasya-eva-ASraya-yAyinaH-
   'pi śaśino dattā sudhā saṃmatā || 10.4	api SaSinaH dattA suDA saMmatAH || 10.4
   * ādau śoṣaṇiko 'tra sāraṇam ataḥ kāryaṃ mahāsāraṇaṃ kartavyaṃ	* AdO SozaNikaH atra sAraNam atas kAryam mahA-sAraNam kartavyam
   pratisāraṇaṃ ca guruṇā nirdiṣṭamārgaṃ kramāt || 10.5	pratisAraNam ca guruNA nirdizwa-mArgam kramAt || 10.5
   * paścād eva ca śaṅkhasāraṇavidhau kāryaṃ mahāsāraṇaṃ sammūrchā	* paScAt eva ca SaFKa-sAraNa-viDO kAryam mahA-sAraNam sammUrCA
   vitatākṛtiḥ pratidinaṃ velātrayaṃ dīyatām || 10.6	vitata-AkRtiH pratidinam velA-trayam dIyatAm || 10.6
   * ākuñcyāgajakāmarūpam acalaṃ bandhatvajātaṃ tanau nātyūrdhve	* AkuQcya-agaja-kAma-rUpam acalam banDa-tva-jAtam tanO na-ati-UrDve
   caturaṅgulāgravidite sthāne hṛdā prāṇite || 10.7	catur-aFgula-agra-vidite sTAne hRdA prANite || 10.7
   * dantair bandhurite ca vātayugale praśleṣaṇāśleṣaṇāt	* dantEH banDurite ca vAta-yugale praSlezaNa-ASlezaNAt-
   nābhigranthivimokṣapātasahaje mārge manaḥsiddhayaḥ || 10.8	nABi-granTi-vimokza-pAta-sahaje mArge manaH-sidDayaH || 10.8
   * dūrākāravisarpite ca pavane nābheś ca mārgasthite bandheṣu triṣu satsu	* dUra-AkAra-visarpite ca pavane nABeH ca mArga-sTite banDezu trizu satsu
   so 'pi śithile madhyaprabodhe sati || 10.9	saH api SiTile maDya-praboDe sati || 10.9
   * kṣipraṃ ca dhriyate dvipīṭhamaruto 'py ūrdhvakramākarṣaṇe saṃyukto	* kzipram ca Driyate dvi-pIWa-marutaH api UrDva-krama-AkarzaNe saMyuktaH-
   gaticittaśoṣaṇam ataḥ prāpye 'nile tiṣṭhati || 10.10	gati-citta-SozaNam atas prApye anile tizWati || 10.10
   * mūle mūlordhvacakre vṛṣaṇakulatale vahnimātaṅgakūle	* mUle mUla-UrDva-cakre vRzaNa-kula-tale vahni-mAtaFga-kUle
   kampakṣobhabhramāḍhye dhvanitaparicayaṃ gharmapātordhvaroma || 10.11	kampa-kzoBa-Brama-AXye Dvanita-paricayam Garma-pAta-UrDva-roma || 10.11
   * bhūmityāgaṃ kavitvaṃ parapuraviśanaṃ vaśyam ākarṣaṇaṃ ca hy evaṃ vā	* BUmi-tyAgam kavi-tvam para-pura-viSanam vaSyam AkarzaNam ca hi evam vA
   cetanāptā prabhavati nikhilā khecaratvapratiṣṭhā || 10.12	cetanAptA praBavati niKilA Kecara-tva-pratizWA || 10.12
   * dve brahmaṇī veditavye śabdabrahma paraṃ ca tat || 10.13	* dve brahmaNI veditavye Sabdabrahma param ca tat || 10.13
   * hṛdaye parame dhāmni madhye tu ravicandramāḥ || 10.14	* hRdaye parame DAmni maDye tu ravi-candramAH || 10.14
   * nādaṃ tu taṃ gṛhītvā ca caitanyaṃ tatra yojayet || 10.15	* nAdam tu tam gRhItvA ca cEtanyam tatra yojayet || 10.15
   * dve brahmaṇī veditavye śabdabrahma paraṃ ca tat || 10.16	* dve brahmaNI veditavye Sabdabrahma param ca tat || 10.16
   * śabdabrahmaṇi niṣṇātaḥ paraṃ brahmādhigacchati || 10.17	* SabdabrahmaNi nizNAtaH param brahma-aDigacCati || 10.17
   * anyat sarvaṃ parityajya śabdabrahma sadābhyaset || 10.18	* anyat sarvam parityajya Sabdabrahma sadA-aByaset || 10.18
   * svasaṃvedyam asaṃvedyaṃ śabdabrahma dvidhā sthitam || 10.19	* sva-saMvedyam asaMvedyam Sabdabrahma dviDA sTitam || 10.19
   * cinoti prathamaḥ śabdaś ciñcinoti dvitīyakaḥ || 10.20	* cinoti praTamaH SabdaH ciQcinoti dvitIyakaH || 10.20
   * vivaraś ca tṛtīyaḥ syāc chaṅkhaśabdaś caturthakaḥ || 10.21	* vivaraH ca tRtIyaH syAt SaFKa-SabdaH caturTakaH || 10.21
   * pañcamo meghanirghoṣaḥ ṣaṣṭham etad udīraṇam || 10.22	* paQcamaH meGa-nirGozaH zazWam etat udIraNam || 10.22
   * saptamaṃ kāṃsyatālākhyaṃ meghaśabdas tathāṣṭamam || 10.23	* saptamam kAMsyatAla-AKyam meGa-SabdaH taTA-azwamam || 10.23
   * navamo 'py agnidāhaś ca daśamo dundubhisvanaḥ || 10.24	* navamaH api agni-dAhaH ca daSamaH dunduBi-svanaH || 10.24
   * anāhataninādo 'yaṃ pavanāntavinirgataḥ || 10.25	* anAhata-ninAdaH ayam pavana-anta-vinirgataH || 10.25
   * dhvanitena vinā yas tu nādaś caivam apaṇḍitaḥ || 10.26	* Dvanitena vinA yaH tu nAdaH ca-evam apaNxitaH || 10.26
   * cinoti rasam uddhṛtya ciñcinoti bhagāśritam || 10.27	* cinoti rasam udDRtya ciQcinoti Baga-ASritam || 10.27
   * virasāṃśena saṃprāptaṃ meghaśabdena cāviśet || 10.28	* virasa-aMSena saMprAptam meGa-Sabdena ca-AviSet || 10.28
   * majjāṃ patati nirghoṣaḥ saṃsthitodadhibhīṣaṇaḥ || 10.29	* majjAm patati nirGozaH saMsTita-udaDi-BIzaNaH || 10.29
   * kāṃsyatāle nabhaḥśabdaḥ prāṇameghadhvaniḥ kramāt || 10.30	* kAMsyatAle naBaH-SabdaH prANa-meGa-DvaniH kramAt || 10.30
   * jīvaś caivāgnidāhaḥ syān mokṣaḥ samaraso bhavet || 10.31	* jIvaH ca-eva-agni-dAhaH syAt mokzaH samarasaH Bavet || 10.31
   * viśuddham ittham ātmānaṃ paśyeta cātmanātmani || 10.32	* viSudDam itTam AtmAnam paSyeta ca-AtmanA-Atmani || 10.32
