   // śrīḥ// 8 6 2001.	// SrIH// 8 6 2001.
   tarkatāṇḍavam	tarka tANxavam
   tṛtīyaparicchedaḥ	tRtIya paricCedaH
   vyāptivādaḥ// 1 //	vyAptivAdaH// 1 //
   atha svamate vyāptinirūpaṇam // 1 //	aTa sva mate vyApti nirUpaNam // 1 //
   atha 1"tanmukhyaṃ jñānaśabdayo"rityanupramāṇeṣu 	aTa 1"tad muKyam jQAna Sabdayo"H iti anupramANa izu 
   nyādīpākhyā vyakhyā	nyAdIpa AKyA vyaKyA
   vyāptivādaḥ // 1 //	vyAptivAdaH // 1 //
   atha svamate vyāptinirūpaṇam // 1 //	aTa sva mate vyApti nirUpaNam // 1 //
   sattarkasahitā vedāḥ prāhuryaṃ pūrṇasadguṇam/	sat tarka sahitAH vedAH prAhuH yam pUrNa sat guNam/
   dharmārādhyaṃ devateḍyaṃ vande taṃ kamalāpatim//	Darma ArADyam devatA ixyam vande tam kamalApatim//
   pūrveṇa saṅgatiṃ darśayannuttarārthamāha   atheti// saparikara 2	pUrveNa saFgatim darSayan= uttara arTam Aha  aTa iti// sa parikara 2
   śabdapramāṇasvarūpanirūpaṇānantaramanumānapramāṇaṃ saparikaraṃ	Sabda pramANa svarUpa nirUpaNa anantaram anumAna pramANam sa parikaram
   asminparicchede kathyate/	asmin paricCede kaTyate/
   1.evamityadhikam   ka. 2.raṃ śa ṭa.ṭha.ḍa.	1.evam iti aDikam  ka. 2.ram Sa wa.Wa.xa.
   pu 2 nyāyadīpayutatarkatāṇḍavam (tṛtīyaparicchedaḥ	pu 2 nyAya dIpa yuta tarka tANxavam (tRtIya paricCedaH
   vedarūpa 1 śabdaḥ pradhānamityuktatvāttadanugrāhakamanumānamucyate//	veda rUpaH 1 SabdaH praDAnam iti ukta tvAt tad anugrAhakam anumAnam ucyate//
   nirdeṣopapattiranumānam / upapattirvyāpyam/	nirdeza upapattiH anumAnam / upapattiH vyApyam/
   kiṃ kāraṇam/ tadanugrāhakam  hetugarbhamidam/	kim kAraNam/ tad anugrAha kam hetu garBam idam/
   śabdapramāṇānumānugrāhakatvāducyata	Sabda pramANa anumA anugrAhaka tvAt ucyata
   ityarthaḥ/ tadanantaram kutaḥ/ vedarūpaḥ śabdaḥ 2 pramāṇamityuktatvāt/	iti arTaH/ tad anantaram kutaH/ veda rUpaH SabdaH 2 pramANam iti ukta tvAt/
   pradhānoktyanantaramevānugrāhakokteravasarādityarthaḥ/ yadvā	praDAna ukti anantaram eva anugrAhaka ukteH avasarAt iti arTaH/ yat vA
   pramāṇāntarānugrāhaka 3 manuktvā vedānugrāhakoktiḥ kuta ityato vedarūpaḥ	pramANa antara anugrAhaka 3 manuktvA veda anugrAhaka uktiH kutas iti atas veda rUpaH
   śabdaḥ pradhānamityuktatvāditi/"yāthārthameva mānatvaṃ tanmukhyaṃ	SabdaH praDAnam iti ukta tvAt iti/"yATa arTam eva mAna tvam tat muKyam
   jñānaśabdayoḥ"iti yuktipādīyānuvyākhyāne"yāthārthyameva prāmāṇyaṃ	jQAna SabdayoH"iti yukti pAdIya anuvyAKyAne"yATArTyam eva prAmANyam
   tanmukhyaṃ jñānaśabdayoḥ"iti brahmatarke ca/ tadyāyārthyaṃ jñāne	tat muKyam jQAna SabdayoH"iti brahmatarke ca/ tat yAyArTyam jQAne
   kevalapramāṇe vedarūpapramāṇe ca mukhyamityasya tātparyaṃ  	kevala pramANe veda rUpa pramANe ca muKyam iti asya tAtparyam  
   pradhānamityuktatvāditi // vedānugrāhakatvaṃ ca   vede āropitāni yāni	praDAnam iti ukta tvAt iti // veda anugrAhaka tvam ca  vede AropitAni yAni
   aprāmāṇyakāraṇāni	aprAmANya kAraNAni
   anṛtavyāghātapunaruktyaśakyārthābhidhāyitvagurūpāyabodhakatvārthabodhopāyaśūnyatvādīni	anRta vyAGAta punarukti aSakya arTa aBiDAyitva guru upAya boDaka tva arTa boDa upAya SUnya tva AdIni
   tatsarvanirāsena prāmāṇyasthirīkaraṇaṃ, tathā vedabodhyer'the	tat sarva nirAsena prAmANya sTirIkaraNaM, taTA veda boDyer aTe
   āropitānyathākāraśaṅkānirīsena	AropitAni aTa AkAra SaFkA nirIsena
   tadbādhyadharmadevabrahmasvarūpasthirūkaraṇam//	tad bADya Darma deva brahma svarUpa sTirUkaraNam//
   anumānasāmānyalakṣaṇaṃ pramāṇalakṣaṇe bhagavatpādoktamevāhaḥ   nirdeṣeti//	anumAna sAmAnya lakzaNam pramANa lakzaNe Bagavat pAda uktam eva ahaH  nirdeza iti//
   anumetyanumānamucyate/ niṣkrāntā doṣebhyaḥ nirdeṣā sā ca sā upapattiśca	anumA iti anumAnam ucyate/ nizkrAntA dozeByaH nirdezA sA ca sA upapattiH ca
   nirdeṣopapattiḥ/ upapattidoṣāśca svamate anumānadoṣoktivāde vyaktāḥ/	nirdeza upapattiH/ upapatti dozAH ca sva mate anumAna doza ukti vAde vyaktAH/
   atropapattipadaṃ arthavādopapattī cetyādāviva hetvābhāsaviviktayuktiparaṃ	atra upapatti padam arTavAda upapattI ca ityAdO= iva hetvABAsa vivikta yukti param
   cet nirdeṣeti vyarthamityata āha   	ced nirdeza iti vyarTam iti atas Aha   
   upapattirvyāpyamiti//	upapattiH vyApyam iti//
   1.paḥ śa ka.ga.ṭa.rā. 2.pradhanami ṭha.ḍa. 3.'tva' iti pūritam ḍa.	1.paH Sa ka.ga.wa.rA. 2. praDanam i Wa.xa. 3. atva a iti pUritam  xa.
   svate vyāni rūṇam) vyāptivādaḥ pu   3.	svate vyAni rUNam) vyAptivAdaH pu  3.
   nirdeṣatvena viśeṣaṇānnāsiddhādāvativyāptiḥ/ uktiṃ hi	nirdeza tvena viSezaNAt na asidDa AdO= ati vyAptiH/ uktim hi
   paddhatau"upapattiryuktirliṅgvyāpyamiti paryāya1"iti/	padDatO" upapattiH yuktiH liFgvyApyam iti paryAya 1"iti/
   atropapattirvyāpyamityetāvataiva pūrtāvapi yuktiliṅgagrahaṇaṃ	atra upapattiH vyApyam iti etAvatA eva pUrtO= api yukti liFga grahaNam
   bhagavatpādaiḥ"ranumā yuktirevokte"ti"liṅgaṃ heturi"ti coktatvena 2	Bagavat pAdEH"ranumA yuktiH eva ukte"ti"liFgam hetuH i"ti ca ukta tvena 2
   tadvirodha iti śaṅkānirāsāya/ pramāṇalakṣaṇaṭīkāyāntu   	tad viroDaH iti SaFkA nirAsAya/ pramANa lakzaNa wIkA yAntu   
   sāhacaryeṇārthagamakaṃ liṅgamiti sāhacaryaniyamarūpavyāptau	sAhacaryeNa arTa gamakam liFgam iti sAhacarya niyama rUpa vyAptO
   niyamāṃśatyāgena sāhacaryamātramuktam/ tadāvaśyakanirdeṣagrahaṇādeva	niyama aMSa tyAgena sAhacarya mAtram uktam/ tad AvaSyaka nirdeza grahaNAt eva
   sādhāraṇādau nātivyāptirityabhipretya//	sADAraNa AdO na ati vyAptiH iti aBipretya//
   nanu    lakṣaṇaṭīkāyāmupapattirliṅgamityuktam/ atratūcyate vyāptamiti/	nanu   lakzaNawI kAyAm upapattiH liFgam iti uktam/ atratUcyate vyAptam iti/
   tatkathamityataḥ paryāyatvānna doṣa iti bhāvenāha   uktaṃ hīti// caturṇāṃ	tat kaTam iti atas paryAya tvAt na dozaH iti BAvena Aha  uktam hi iti// caturNAm
   śabdānāmukteḥ kṛtyamāha  atreti// pūrtāviti// tāvataiva	SabdAnAm ukteH kRtyam Aha atra iti// pUrtO= iti// tAvatA eva
   nirdeṣapatasārthakyasya 3 lakṣaṇoktervā saṃbhavāditi	nirdeza patasa arTakyasya 3 lakzaNa ukteH vA saMBavAt iti
   bhāvaḥ/"anumāyuktireveti"yuktipādīyānuvyākhyāne,"liṅgaṃ	BAvaH/"anumAyuktiH eva iti"yukti pAdIya anuvyAKyAne," liFgam
   heturiti"mithyātvānumānakhaṇḍane coktatvādityarthaḥ//	hetuH iti"miTyAtvA anumAna KaNxane ca ukta tvAt iti arTaH//
   nanu    vyāpyaṃ nāma vyāpteḥ karma/ vyāptiścasāhacaryaniyama iti vācyam/	nanu   vyApyam nAma vyApteH karma/ vyAptiH ca sAhacarya niyamaH iti vAcyam/
   tathā ca lakṣaṇaṭīkāvirodha eva/ tatropapattirliṅgamityuktvā	taTA ca lakzaNa wIkA viroDaH eva/ tatra upapattiH liFgam iti uktvA
   sāhacaryeṇārthagamakaṃ liṅgamityevokterityato niyamāṃśobhipreta eva	sAhacaryeNa arTa gamakam liFgam iti eva ukteH iti atas niyama aMSa uBipretaH eva
   tatphalasya viśeṣaṇāntaralabhyatvāttadanuktiritibhāvena virodhaṃ nirāha  	tad Palasya viSezaNa antara laBya tvAt tad anuktiH iti BAvena viroDam nirAha  
   pramāṇalakṣaṇaṭīkāyāṃ tviti// sādhāraṇeti//	pramANa lakzaNa wIkAyAm tu iti// sADAraNa iti//
   sādhāraṇānaikāntikahetvābhāsādāvityarthaḥ//	sADAraNa anEkAntika hetvABAsA AdO= iti arTaH//
   1. yā i  ka.ṭa. 2.tvātta  ga.ṭa.rā. 3.kyasaṃbhavā ṭa.ṭha.ḍa.	1. yA i ka.wa. 2.tvAtta  ga.wa.rA. 3.kya saMBavA wa.Wa.xa.
   pu  4 nyāyadīpayutarkatāṇḍavam (tṛ.paricchedaḥ	pu  4 nyAya dIpa yutarka tANxavam (tR. paricCedaH
   avinābhāvo vyāptiḥ//	avinA aBAvaH vyAptiH//
   nanvavinābhāvaḥ  sādhyena vinā sādhanasyābhāvo vā; sādhyenāvinā	nanu avinABAvaH sADyena vinA sADanasya aBAvaH vA; sADyena AvinA
   sādhyasāhityena sādhanasya bhāvo vā/ nādyaḥ/ kevalānvayini sādhyā 1	sADya sAhityena sADanasya BAvaH vA/ na AdyaH/ kevala anvayini sADyAH 1
   bhāvāprasiddhyāvyāpteḥ/ asya vyatirekavyāptitvena	BAva aprasidDyA avyApteH/ asya vyatireka vyApti tvena
