   akṛtvā vapanaṃ teṣāṃ YS99v_56c	akRtvA vapanam tezAm YS99u-_56c
   agamyāgamane vipro YS99v_30a	agamyA-gamane vipraH YS99u-_30a
   agniṃ praviśya śudhyanti YS99v_31c	agnim praviSya SuDyanti YS99u-_31c
   aghamarṣaṇasūktaṃ vā YS99v_32c	aGa-marzaNa-sUktam vA YS99u-_32c
   aṅgapratyaṅgasaṃpūrṇe YS99v_44a	aFga-pratyaFga-saMpUrNe YS99u-_44a
   aṅguṣṭhamātrasthūlas tu YS99v_41a	aFguzWa-mAtra-sTUlaH tu YS99u-_41a
   ajñānād avicakṣaṇaḥ YS99v_65b	ajQAnAt avicakzaNaH YS99u-_65b
   ajñānād aindavadvayam YS99v_28d	ajQAnAt Endava-dvayam YS99u-_28d
   ajñānād aindavadvayam YS99v_29d	ajQAnAt Endava-dvayam YS99u-_29d
   ajñānād aindavadvayam YS99v_34d	ajQAnAt Endava-dvayam YS99u-_34d
   ajñānād brāhmaṇo bhuktvā YS99v_26a	ajQAnAt brAhmaNaH BuktvA YS99u-_26a
   atha vased yadā rātrāv YS99v_65a	aTa vaset yadA rAtrO YS99u-_65a
   adaivaṃ bhojayec chrāddhaṃ YS99v_81c	adEvam Bojayet SrAdDam YS99u-_81c
   anucchiṣṭena saṃspṛṣṭe YS99v_15a	anucCizwena saMspRzwe YS99u-_15a
   anūḍhā na pṛthak kanyā YS99v_84a	anUXA na pRTak kanyA YS99u-_84a
   anṛtau tu striyaṃ gatvā YS99v_16c	anRtO tu striyam gatvA YS99u-_16c
   anyāsu pitṛgotrāsu YS99v_37a	anyAsu pitR-gotrAsu YS99u-_37a
   anyonyaṃ spṛśate(taḥ) kvacit YS99v_13b	anyonyam spRSata-i(taH) kvacid YS99u-_13b
   amedhyena sadā śuci YS99v_97b	ameDyena sadA Suci YS99u-_97b
   aśitvā caiva tat sarvaṃ YS99v_8c	aSitvA ca-eva tat sarvam YS99u-_8c
   aśucir brāhmaṇaḥ kvacit YS99v_7b	aSuciH brAhmaNaH kvacid YS99u-_7b
   aśnataś ced virekaḥ syād YS99v_9a	aSnataH ced virekaH syAt YS99u-_9a
   aśrautasmārtavihitaṃ YS99v_59a	aSrOta-smArta-vihitam YS99u-_59a
   asaṃskṛtapramītānāṃ YS99v_98c	asaMskRta-pramItAnAm YS99u-_98c
   asthi saṃcayanaṃ kāryaṃ YS99v_87c	asTi saMcayanam kAryam YS99u-_87c
   asthisaṃcayanaṃ proktaṃ YS99v_88c	asTisaMcayanam proktam YS99u-_88c
   asvasthas triśataṃ japet YS99v_9b	asvasTaH tri-Satam japet YS99u-_9b
   ahorātroṣito bhūtvā YS99v_5c	ahorAtra-uzitaH BUtvA YS99u-_5c
   ahorātroṣito bhūtvā YS99v_6c	ahorAtra-uzitaH BUtvA YS99u-_6c
   ākāśe ca kṣiped vāri YS99v_94a	AkASe ca kzipet vAri YS99u-_94a
   āgacchantu me pitaro YS99v_92c	AgacCantu me pitaraH YS99u-_92c
   ātmānaṃ ghātayed yas tu YS99v_20a	AtmAnam GAtayet yaH tu YS99u-_20a
   āpaḥ pitṛgaṇās tathā YS99v_95b	ApaH pitR-gaNAH taTA YS99u-_95b
   āpo devagaṇāḥ proktā YS99v_95a	ApaH deva-gaNAH proktAH YS99u-_95a
   ārāmaś ca viśeṣeṇa YS99v_69c	ArAmaH ca viSezeNa YS99u-_69c
   āhṛtya praṇavenaiva hy YS99v_73a	AhRtya praNavena-eva hi YS99u-_73a
   iti dharmo vyavasthitaḥ YS99v_99d	iti DarmaH vyavasTitaH YS99u-_99d
   iti śātātapo 'bravīt YS99v_11d	iti SAtAtapaH abravIt YS99u-_11d
   iṣṭāpūrtaṃ tu kartavyaṃ YS99v_68a	izwApUrtam tu kartavyam YS99u-_68a
   iṣṭena labhate svargaṃ YS99v_68c	izwena laBate svargam YS99u-_68c
   ucchiṣṭatve 'śucitve ca YS99v_4c	ucCizwa-tve aSuci-tve ca YS99u-_4c
   ucchiṣṭena ca saṃspṛṣṭā YS99v_14a	ucCizwena ca saMspRzwAH YS99u-_14a
   utthāpya praṇavena ca YS99v_73b	utTApya praNavena ca YS99u-_73b
   utthāya ṣaṭpadaṃ gacchet YS99v_46c	utTAya zawpadam gacCet YS99u-_46c
   udake snānam ācaret YS99v_66d	udake snAnam Acaret YS99u-_66d
   udakyāṃ sūtikāṃ vāpi YS99v_11a	udakyAm sUtikAm vA-api YS99u-_11a
   udgacchanti hi nakṣatrāṇy YS99v_66a	udgacCanti hi nakzatrANi YS99u-_66a
   upariṣṭāc ca ye grahāḥ YS99v_66b	uparizwAt ca ye grahAH YS99u-_66b
   upavāsena śudhyati YS99v_8b	upavAsena SuDyati YS99u-_8b
   ubhayāvasitaḥ pāpaḥ YS99v_24a	uBaya-avasitaH pApaH YS99u-_24a
   ubhābhyāṃ tarpaṇe dadyād YS99v_99c	uBAByAm tarpaNe dadyAt YS99u-_99c
   ubhāv apy aśucī syātāṃ YS99v_17a	uBO api aSucI syAtAm YS99u-_17a
   ṛtau tu garbhaśaṅkitvāt YS99v_16a	RtO tu garBa-SaFki-tvAt YS99u-_16a
   ekatvaṃ sā vrajed bhartuḥ YS99v_86c	eka-tvam sA vrajet BartuH YS99u-_86c
   ekam eva mṛte 'hani YS99v_83d	ekam eva mRte ahani YS99u-_83d
   ekādaśāhe pretasya YS99v_89a	ekAdaSa-ahe pretasya YS99u-_89a
   ekaikaśaś caret kṛcchram YS99v_44c	ekEkaSas caret kRcCram YS99u-_44c
   ekaikaśaś caret kṛcchraṃ YS99v_42c	ekEkaSas caret kRcCram YS99u-_42c
   evam eva hi nārīṇāṃ YS99v_54c	evam eva hi nArINAm YS99u-_54c
   evaṃ dātā na muhyati YS99v_79d	evam dAtA na muhyati YS99u-_79d
   eṣā goghnasya niṣkṛtiḥ YS99v_44d	ezA go-Gnasya nizkRtiH YS99u-_44d
   auṣadhaṃ sneham āhāraṃ YS99v_50a	OzaDam sneham AhAram YS99u-_50a
   kathañcit kāmamohitaḥ YS99v_60b	kaTaQcid kAma-mohitaH YS99u-_60b
   kadācit strī rajasvalā YS99v_14b	kadAcid strI rajasvalA YS99u-_14b
   kadācit sravate gudam YS99v_4b	kadAcid sravate gudam YS99u-_4b
   kapilāyā ghṛtaṃ grāhyaṃ YS99v_72a	kapilAyAH GRtam grAhyam YS99u-_72a
   kāpālikānnabhoktṝṇāṃ YS99v_29a	kApAlika-anna-BoktLNAm YS99u-_29a
   kālasnānena śudhyati YS99v_12d	kAla-snAnena SuDyati YS99u-_12d
   kāṣṭhaloṣṭāśmabhir gāvaḥ YS99v_48a	kAzWa-lozwa-aSmaBiH gAvaH YS99u-_48a
   kāṣṭhe sāṃtapanaṃ kuryāt YS99v_49a	kAzWe sAMtapanam kuryAt YS99u-_49a
   kuḍyāntarjalavalmīka- YS99v_67a	kuxya-antar-jala-valmIka YS99u-_67a
   kuryād brāhmaṇabhojanam YS99v_61b	kuryAt brAhmaNa-Bojanam YS99u-_61b
   kuśair dravyaṃ pṛthak pṛthak YS99v_72d	kuSEH dravyam pRTak pRTak YS99u-_72d
   kṛcchradvayaṃ prakurvīta YS99v_36c	kRcCra-dvayam prakurvIta YS99u-_36c
   kṛcchram ekaṃ cared dvijaḥ YS99v_27d	kRcCram ekam caret dvijaH YS99u-_27d
   kṛcchraṃ sāṃtapanaṃ caret YS99v_37d	kRcCram sAMtapanam caret YS99u-_37d
   kṛcchrābdam ācarej jñānād YS99v_28c	kRcCra-abdam Acaret jQAnAt YS99u-_28c
   kṛcchrābdam ācarej jñānād YS99v_29c	kRcCra-abdam Acaret jQAnAt YS99u-_29c
   kṛcchrābdam ācarej jñānād YS99v_34c	kRcCra-abdam Acaret jQAnAt YS99u-_34c
   kṛcchrārdhaṃ saṃprakurvīta YS99v_62c	kRcCra-arDam saMprakurvIta YS99u-_62c
