   Pariccheda 2	Pari=-CedaH 2
   kāvyaśobhākarān dharmān alaṃkārān pracakṣate /	kAvya-SoBA-karAn DarmAn alaMkArAn pracakzate /
   te cādyāpi vikalpyante kas tān kārtsnyena vakṣyati // 2.1 //	te ca-adya-api vikalpyante kaH tAn kArtsnyena vakzyati // 2.1 //
   kiṃtu bījaṃ vikalpānāṃ pūrvācāryaiḥ pradarsitam /	kiMtu bIjam vikalpAnAm pUrva-AcAryEH pradarsitam /
   tad eva pratisaṃskartum ayam asmatpariśramaḥ // 2.2 //	tat eva pratisaMskartum ayam asmad-pariSramaH // 2.2 //
   kāścin mārgavibhāgārtham uktāḥ prāg apy alaṃkriyāḥ /	kAScid mArga-viBAga-arTam uktAH prAk api alaMkriyAH /
   sādhāraṇam alaṃkāra- jātam anyat pradarśyate // 2.3 //	sADAraNam alaMkAra jAtam anyat pradarSyate // 2.3 //
   svabhāvākhyānam upamā rūpakaṃ dīpakāvṛttiḥ /	svaBAva-AKyAnam upamA rUpakam dIpaka-AvRttiH /
   ākṣepo 'rthāntaranyāso vyatireko vibhāvanā // 2.4 //	AkzepaH arTa-antaranyAsaH vyatirekaH viBAvanA // 2.4 //
   samāsātiśayotprekṣā hetuḥ sūkṣmo lavaḥ kramaḥ /	samAsa-atiSaya-utprekzAH hetuH sUkzmaH lavaH kramaH /
   preyo rasavad ūrjasvi paryāyoktaṃ samāhitam // 2.5 //	preyaH rasavat Urjasvi paryAya-uktam samAhitam // 2.5 //
   udāttāpahnutiśleṣa- viśeṣās tulyayogitā /	udAtta-apahnuti-Sleza viSezAH tulyayogitAH /
   virodhāprastutastotre vyājastutinidarśane // 2.6 //	viroDa-aprastuta-stotre vyAja-stuti-nidarSane // 2.6 //
   sahoktiḥ parivṛttyāśiḥ- saṃkīrṇam atha bhāvikam /	sahoktiH parivRtti-ASiH saMkIrNam aTa BAvikam /
   iti vācām alaṃkārā darśitāḥ pūrvasūribhiḥ // 2.7 //	iti vAcAm alaMkArAH darSitAH pUrva-sUriBiH // 2.7 //
   [svabhāvokti (= svabhāvākhyāna = jāti)]	[svaBAva-ukti ( svaBAva-AKyAnaH  jAti)]
   nānāvasthaṃ padārthānāṃ rūpaṃ sākṣād vivṛṇvatī /	nAnA-avasTam padArTAnAm rUpam sAkzAt vivRNvatI /
   svabhāvoktiś ca jātiś cety ādyā sālaṃkṛtir yathā // 2.8 //	svaBAva-uktiH ca jAtiH ca-iti AdyA sA-alaMkRtiH yaTA // 2.8 //
   [svabhāvokti: jāti]	[svaBAva-ukti: jAti]
   tuṇḍair ātāmrakuṭilaiḥ pakṣair haritakomalaiḥ /	tuNxEH AtAmra-kuwilEH pakzEH harita-komalEH /
   trivarṇarājibhiḥ kaṇṭhair ete mañjugiraḥ śukāḥ // 2.9 //	tri-varNa-rAjiBiH kaNWEH ete maQjugiraH SukAH // 2.9 //
   [- svabhāvokti: kriyā]	[ svaBAva-ukti: kriyA]
   kalakvaṇitagarbheṇa kaṇṭhenāghūrṇitekṣaṇaḥ /	kala-kvaNita-garBeNa kaNWena-AGUrNita-IkzaNaH /
   pārāvataḥ paribhramya riraṃsuś cumbati priyām // 2.10 //	pArAvataH pariBramya riraMsuH cumbati priyAm // 2.10 //
   [- svabhāvokti: guṇa]	[ svaBAva-ukti: guNa]
   badhnann aṅgeṣu romāñcam kurvan manasi nirvṛtim /	baDnan aFgezu romAQcam kurvan manasi nirvRtim /
   netre cāmīlayann eṣa priyāsparśaḥ pravartate // 2.11 //	netre ca-AmIlayan eza priyA-sparSaH pravartate // 2.11 //
   [- svabhāvokti: dravya]	[ svaBAva-ukti: dravya]
   kaṇṭhekālaḥ karasthena kapālenenduśekharaḥ /	kaNWekAlaH kara-sTena kapAlena-indu-SeKaraH /
   jaṭābhiḥ snigdhatāmrābhir āvirāsīd vṛṣadhvajaḥ // 2.12 //	jawABiH snigDa-tAmrABiH AvirAsIt vRzaDvajaH // 2.12 //
   jātikriyāguṇadravya- svabhāvākhyānam īdṛśam /	jAti-kriyA-guNa-dravya svaBAva-AKyAnam IdRSam /
   śāstreṣv asyaiva sāmrājyaṃ kāvyeṣv apy etad īpsitam // 2.13 //	SAstrezu asya-eva sAmrAjyam kAvyezu api etat Ipsitam // 2.13 //
   [upamā]	[upamA]
   yathā kathaṃcid sādṛśyaṃ yatrodbhūtaṃ pratīyate /	yaTA kaTaMcid sAdRSyam yatra-udBUtam pratIyate /
   upamā nāma sā tasyāḥ prapañco 'yaṃ nidarśyate // 2.14 //	upamA nAma sA tasyAH prapaQcaH ayam nidarSyate // 2.14 //
   [- dharmopamā]	[ Darma-upamA]
   ambhoruham ivātāmraṃ mugdhe karatalaṃ tava /	amBoruham iva-atAmram mugDe kara-talam tava /
   iti dharmopamā sākṣāt tulyadharmapradarśanāt // 2.15 //	iti Darma-upamA sAkzAt tulya-Darma-pradarSanAt // 2.15 //
   [- vastūpamā]	[ vastu-upamA]
   rājīvam iva te vaktraṃ netre nīlotpale iva /	rAjIvam iva te vaktram netre nIlotpale iva /
   iyaṃ pratīyamānaika- dharmā vastūpamaiva sā // 2.16 //	iyam pratIyamAna-eka DarmAH vastu-upamA-eva sA // 2.16 //
   [- viparyāsopamā]	[ viparyAsa-upamA]
   tavānanam ivonnidram aravindam abhūd iti /	tava-Ananam iva-unnidram aravindam aBUt iti /
   sā prasiddhiviparyāsād viparyāsopameṣyate // 2.17 //	sA prasidDi-viparyAsAt viparyAsopamA-izyate // 2.17 //
