   PADA INDEX	PADAH INDEX
   antarbhinnataraṅgadyotarucakajyotsnāni gṛhṇāti kaḥ Js_2d	antar-Binna-taraFga-dyota-rucaka-jyotsnAni gRhNAti kaH Js_2d
   ārūḍhaḥ sphuṭavisphuliṅgam analaṃ tenādhunāpi kṣitāv Js_10c	ArUXaH sPuwa-visPuliFgam analam tena-aDunA-api kzitO Js_10c
   ālokyāvyativartinā praṇihitā bodhau dhiyo yat tvayā Js_4b	Alokya-avyativartinA praNihitAH boDO DiyaH yat tvayA Js_4b
   āsīl lokahitodaye jina kṛpāviṣyandinī santatiḥ Js_3b	AsIt loka-hita-udaye jina kRpA-AvizyandinI santatiH Js_3b
   ity ātmārthanibandhinedam ṛṣivākyālaṃkṛtaṃ darśitaṃ Js_19a	iti Atma-arTa-nibanDinA-idam Rzi-vAkya-alaMkRtam darSitam Js_19a
   indor maṇḍalalāñchanaṃ śaśamayaṃ yuṣmadyaśo laksyate Js_10d	indoH maNxala-lAQCanam SaSa-mayam yuzmad-yaSaH laksyate Js_10d
   utpāṭyākṣatalocanadvayam adād viprāya niścakṣuṣe Js_18c	utpAwya-akzata-locana-dvayam adAt viprAya niScakzuze Js_18c
   uddāmadviradasya rāgavaśino vṛttiṃ puronmādinīm Js_4a	uddAma-dviradasya rAgavaSinaH vRttim pura-unmAdinIm Js_4a
   kalmāṣāntaśikhaṃ śikhāmaṇirucā dattaṃ dvijāyārthine Js_7b	kalmAza-anta-SiKam SiKA-maNi-rucA dattam dvijAya-arTine Js_7b
   kāntārāntaravartināṃ tanubhṛtām ucchittaye vyāpadām Js_6b	kAntAra-antara-vartinAm tanuBRtAm ucCittaye vyApadAm Js_6b
   kośākarṣaṇavāntabhūrirudhirakṣodāruṇais tena vaḥ Js_12c	koSa-AkarzaNa-vAnta-BUri-ruDi-rakzodAruNEH tena vaH Js_12c
   kvedaṃ dāśabalaṃ guṇair aśabalaṃ caryāvibhutvaṃ vibho Js_1a	kva-idam dASa-balam guNEH aSabalam caryA-viBu-tvam viBo Js_1a
   kṣudduḥkhaglapitodarīṃ giridarīrandhrāntarālasthitāṃ Js_5a	kzuD-duHKa-glapita-udarIm giri-darI-ranDra-antarAla-sTitAm Js_5a
   khaḍgotkṛttadalair vipāṭitaśirārandhrasravallohitaiḥ Js_15b	Kaxga-utkRtta-dalEH vipAwita-SirA-ranDra-sravat-lohitEH Js_15b
   cakre marmabhidāṃ rujāṃ svapiśitaiḥ prābandhakīnāṃ śamaṃ Js_17c	cakre marma-BidAm rujAm sva-piSitEH prAbanDakInAm Samam Js_17c
   cittālambanalaṅghinaḥ śamadṛśām āveṇikāḥ sadguṇā Js_2a	citta-AlambanalaFGinaH Sama-dRSAm AveNikAH sat-guNAH Js_2a
   janmasyandanikāvivartanajaḍaṃ cetaḥ kva cedaṃ mama Js_1b	janma-syandanikA-vivartana-jaxam cetaH kva ca-idam mama Js_1b
   jñeyābhogavisāriṇo gatamalāḥ prāg eva bodhau guṇāḥ Js_3d	jQeya-ABoga-visAriNaH gata-malAH prAk eva boDO guNAH Js_3d
   tatkarmātiśayena tena nikhilā lokāḥ kalatrīkrtāḥ Js_13d	tad-karma-atiSayena tena niKilAH lokAH kalatrIkrtAH Js_13d
   tatkālātithaye kṛpāparicayād ātithyam āvedayan Js_10b	tad-kAla-atiTaye kRpA-paricayAt AtiTyam Avedayan Js_10b
   tārābdhānavatāṃ jalaṃ jalapurām ākarṣatā vāridher Js_19c	tArAbDAnavatAm jalam jala-purAm AkarzatA vAriDeH Js_19c
   tena kleśaviṣacchidāṃ tava dhiyāṃ avyāhatāḥ śaktayaḥ Js_17d	tena kleSa-viza=-CidAm tava DiyAm avyAhatAH SaktayaH Js_17d
   tena stutyanubandhinā mukharatām ālambate bhāratī Js_1d	tena stuti-anubanDinA muKara-tAm Alambate BAratI Js_1d
   tenākampitakeśarāntam asṛjan puṣpopahāraṃ divaḥ Js_4d	tena-akampita-keSara-antam asRjan puzpa-upahAram divaH Js_4d
   tenājñānarujāṃ kirīṭakiraṇacchāyās padaṃ vo gatāḥ Js_9d	tena-ajQAna-rujAm kirIwa-kiraNa=-CAyAH padam vaH gatAH Js_9d
   tenātyantaparopakāranirataḥ svārthe 'pi mandādaro Js_20c	tena-atyanta-para-upakAra-nirataH sva-arTe api manda-AdaraH Js_20c
   tenāndhasya tamasvato 'sya jagatas tuṅgaikadīpo bhavān Js_18d	tena-anDasya tamasvataH asya jagataH tuFga-eka-dIpaH BavAn Js_18d
   tenaiṣāṃ jagatāṃ gato 'si gurutām usṇīṣavan mūrdhani Js_7d	tena-ezAm jagatAm gataH asi guru-tAm usNIza-vat mUrDani Js_7d
   trāṇaṃ tena bhavān bhavādrivivaravyāvartināṃ dehinām Js_5d	trANam tena BavAn Bava-adri-vivara-vyAvartinAm dehinAm Js_5d
   tvaccaryātiśayāṃśaleśaracanād yaḥ śreyasām udbhavaḥ Js_20a	tvad-caryA-atiSaya-aMSa-leSa-racanAt yaH SreyasAm udBavaH Js_20a
   tvattas tena samudbhavanti viduṣāṃ saddharmaratnāṅkurāḥ Js_14d	tvattaH tena samudBavanti viduzAm sat-Darma-ratna-aFkurAH Js_14d
   tvām āsīt kṣaṇam apy avikṣatadhiyaṃ tyaktukṣamā na kṣamā Js_11c	tvAm AsIt kzaNam api avikzata-Diyam tyaktu-kzamA na kzamA Js_11c
   digdhaṃ raktakaṇaiḥ sphuratkuvalayacchāyābhinīlāyitam Js_18b	digDam rakta-kaNEH sPurat-kuvalaya=-CAyA-aBinIlAyitam Js_18b
   dṛṣtvā śāvakaghālanaikarabhasāṃ vyāghrīṃ dayāghrātadhīḥ Js_5b	dRztvA SAvaka-GAla-na-eka-raBasAm vyAGrIm dayA-AGrAta-DIH Js_5b
   nālāl lūnam ivāravindam asinā vyutkṛttamūlaṃ śiras Js_7c	nAlAt lUnam iva-aravindam asinA vyutkRtta-mUlam SiraH Js_7c
   patyur yan makaracchaṭāvilulitāt paryastanaukā narāḥ Js_13b	patyuH yat makarat-SawA-vilulitAt paryasta-nOkAH narAH Js_13b
   paryastākṣacalacchikhaṇḍakabhṛto dārāṃs ca bhāvanugān Js_8b	paryasta-akza-calat-SiKaNxaka-BRtaH dArAn ca BAvanugAn Js_8b
   pātāle 'pi bhujaṃgamaiḥ ślathaphaṇair adyāpi daṃṣtrārcyate Js_12d	pAtAle api BujaMgamEH SlaTa-PaNEH adya-api daMztrA-arcyate Js_12d
   prādās tvaṃ jina tena nūnam ahhavan mārāṅganānāṃ mukhaṃ Js_8c	prAdAH tvam jina tena nUnam ahhavat mAra-aFganAnAm muKam Js_8c
   premṇā kāyamahāplavena bhavatā tīrāntam āpāditās Js_13c	premNA kAya-mahA-plavena BavatA tIra-antam ApAditAH Js_13c
   bālān bālasarojakomalatanūn yat putrakān arthine Js_8a	bAlAn bAla-saroja-komala-tanUn yat putrakAn arTine Js_8a
   bhinnāśeṣakale jagaty avikale jyāyaḥpathāśaṃsinā Js_9b	Binna-aSeza-kale jagati avikale jyAyaH-paTa-ASaMsinA Js_9b
   bhūyāt sarvavidāṃ parārthaviduṣāṃ yānaikatāno janaḥ Js_20d	BUyAt sarva-vidAm para-arTa-viduzAm yAna-ekatAnaH janaH Js_20d
   manye tena niraṅkuśāḥ smaraśarāḥ puṅkheṣu bhaṅgaṃ gatāḥ Js_11d	manye tena niraFkuSAH smara-SarAH puFKezu BaFgam gatAH Js_11d
