   bhaktivilāsākhyaṃ prathamaṃ stotram	BaktivilAsa-AKyam praTamam stotram
   oṃ	om
   na dhyāyato na japataḥ syād yasyāvidhipūrvakam &	na DyAyataH na japataH syAt yasya-aviDi-pUrvakam &
   evam eva śivabhāsas taṃ numo bhaktiśālinam // UtSst_1.1 //	evam eva Siva-BAsaH tam numaH Bakti-SAlinam // UtSst_1.1 //
   ātmā mama bhavadbhaktisudhāpānayuvāpi san &	AtmA mama Bavat-Bakti-suDA-pAna-yuvA-api san &
   lokayātrārajorāgāt palitair iva dhūsaraḥ // UtSst_1.2 //	lokayAtrA-rajaH-rAgAt palitEH iva DUsaraH // UtSst_1.2 //
   labdhatatsaṃpadāṃ bhaktimatāṃ tvatpuravāsinām &	labDa-tad-saMpadAm BaktimatAm tvad-pura-vAsinAm &
   saṃcāro lokamārge 'pi syāt tayaiva vijṛmbhayā // UtSst_1.3 //	saMcAraH loka-mArge api syAt tayA-eva vijRmBayA // UtSst_1.3 //
   sākṣādbhavanmaye nātha sarvasmin bhuvanāntare &	sAkzAt-Bavat-maye nATa sarvasmin Buvana-antare &
   kiṃ na bhaktimatāṃ kṣetram mantraḥ kvaiṣām na siddhyati // UtSst_1.4 //	kim na BaktimatAm kzetram mantraH kva-ezAm na sidDyati // UtSst_1.4 //
   jayanti bhaktipīyūṣarasāsavavaronmadāḥ &	jayanti Bakti-pIyUza-rasa-Asava-vara-unmadAH &
   advitīyā api sadā tvaddvitīyā api prabho // UtSst_1.5 //	advitIyAH api sadA tvad-dvitIyAH api praBo // UtSst-_1.5 //
   anantānandasindhos te nātha tattvaṃ vidanti te &	ananta-Ananda-sinDoH te nATa tattvam vidanti te &
   tādṛśa eva ye sāndrabhaktyānandarasāplutāḥ // UtSst_1.6 //	tAdRSaH eva ye sAndra-Bakti-Ananda-rasa-AplutAH // UtSst_1.6 //
   tvam evātmeśa sarvasya sarvaś cātmani rāgavān &	tvam eva-Atma-ISa sarvasya sarvaH ca-Atmani rAgavAn &
   iti svabhāvasiddhāṃs tvadbhaktiṃ jānañ jayej janaḥ // UtSst_1.7 //	iti svaBAva-sidDAn tvad-Baktim jAnan jayet janaH // UtSst_1.7 //
   nātha vedyakṣaye kena na dṛśyo 'syekakaḥ sthitaḥ &	nATa vedya-kzaye kena na dRSyaH asi-ekakaH sTitaH &
   vedyavedakasaṃkṣobhe 'py asi bhaktaiḥ sudarśanaḥ // UtSst_1.8 //	vedya-vedaka-saMkzoBe api asi BaktEH sudarSanaH // UtSst_1.8 //
   anantānandasarasī devī priyatamā yathā &	ananta-Ananda-sarasI devI priyatamA yaTA &
   aviyuktāsti te tadvad ekā tvadbhaktir astu me // UtSst_1.9 //	aviyuktA-asti te tadvat ekA tvad-BaktiH astu me // UtSst_1.9 //
   sarva eva bhavallābhahetur bhaktimatāṃ vibho &	sarve eva BavallABa-hetuH BaktimatAm viBo &
   saṃvinmārgo 'yam āhlādaduḥkhamohais tridhā sthitaḥ // UtSst_1.10 //	saMvid-mArgaH ayam AhlAda-duHKa-mohEH triDA sTitaH // UtSst_1.10 //
   bhavadbhaktyamṛtāsvādād bodhasya syāt parāpi yā &	Bavat-Bakti-amRta-AsvAdAt boDasya syAt parA-api yA &
