   namas tārāyai	namaH tArAyE
   (77.4) vyatirekātmikā vyāptir ākṣiptānvayarūpiṇī / vaidharmyavati dṛṣṭānte	(77.4) vyatireka-AtmikA vyAptiH Akzipta-anvaya-rUpiNI / vEDarmyavati dRzwAnte
   sattvahetor ihocyate /	sattva-hetoH iha-ucyate /
   (77.6) yat sat tat kṣaṇikam / yathā ghaṭaḥ / santaś cāmī vivādāspadībhūtāḥ	(77.6) yat sat tat kzaNikam / yaTA GawaH / santaH ca-amI vivAda-AspadIBUtAH
   padārthā iti svabhāvahetuḥ /	padArTAH iti svaBAva-hetuH /
   (77.8) na tāvad asyāsiddhiḥ sambhavati / yathāyogaṃ	(77.8) na tAvat asya-asidDiH samBavati / yaTAyogam
   pratyakṣānumānapramāṇapratīte dharmiṇi	pratyakza-anumAna-pramANa-pratIte DarmiNi
   sattvaśabdenābhipretasyārthakriyākāritvalakṣaṇasya sādhanasya	sattva-Sabdena-aBipretasya-arTa-kriyA-kAri-tva-lakzaNasya sADanasya
   pramāṇasamadhigatatvāt /	pramANa-samaDigata-tvAt /
   (77.10) na ca viruddhānaikāntikate / vyāpakānupalambhātmanā viparyaye	(77.10) na ca virudDa-anEkAntikate / vyApaka-anupalamBa-AtmanA viparyaye
   bādhakapramāṇena vyāpteḥ prasādhanāt /	bADaka-pramANena vyApteH prasADanAt /
   (77.11) yasya kramākramau na vidyete na tasyārthakriyāsāmarthyam / yathā	(77.11) yasya kramAkramO na vidyete na tasya-arTa-kriyA-sAmarTyam / yaTA
   śaśaviṣāṇasya / na vidyete cākṣaṇikasya kramākramāv iti vyāpakānupalambhaḥ	SaSa-vizANasya / na vidyete ca-akzaNikasya kramAkramO iti vyApaka-anupalamBaH
   (77.12) na tāvad ayam asiddho hetuḥ / akṣaṇike dharmiṇi	(77.12) na tAvat ayam asidDaH hetuH / akzaNike DarmiNi
   kramākramasadbhāvāyogāt / tathā hi prāptāparakālayor ekatve nityatvam /	krama-Akrama-sadBAva-ayogAt / taTA hi prApta-apara-kAlayoH eka-tve nitya-tvam /
   tasya kramākramayoge kṣaṇadvaye 'py avaśyaṃ bhedaḥ / bhedābhedayoś ca	tasya krama-Akrama-yoge kzaNa-dvaye api avaSyam BedaH / Beda-aBedayoH ca
   parasparavirodhāt kuto 'kṣaṇike kramākramasambhavaḥ / kṣaṇadvaye 'pi bhede	paraspara-viroDAt kutas akzaNike kramAkrama-samBavaH / kzaNa-dvaye api Bede
   kramākramayogaḥ / abhede hi prathama eva kṣaṇe śaktatvād / bhāvino 'pi	krama-akrama-yogaH / aBede hi praTamaH eva kzaNe Sakta-tvAt / BAvinaH api
   kāryasya karaṇaprasaṅge kathaṃ kāryāntarakaraṇe kramāntarāvakāśaḥ / na	kAryasya karaNa-prasaFge kaTam kArya-antara-karaNe krama-antara-avakASaH / na
   cākṣaṇikasyākrameṇaiva sakalasvakāryaṃ kṛtvā svāsthyam / kṣaṇāntare 'pi	ca-akzaNikasya-AkrameNa-eva sakala-sva-kAryam kRtvA svAsTyam / kzaNa-antare api
   śaktatvāt punas tatkāryakaraṇaprasaṅgāt /	Sakta-tvAt punar tad-kArya-karaNa-prasaFgAt /
   (77.18) tasmād akṣaṇikam iti pūrvāparakālayor abhedaḥ / kramākramayoga iti	(77.18) tasmAt akzaNikam iti pUrva-apara-kAlayoH aBedaH / krama-Akrama-yogaH iti
   pūrvāparakālayor bhedaḥ / anayoś ca parasparaparihārasthitilakṣaṇo	pUrva-apara-kAlayoH BedaH / anayoH ca paraspara-parihAra-sTiti-lakzaNaH-
   virodhaḥ /	viroDaH /
   (77.20) tad ayam akṣaṇike dharmiṇi kramākramābhāvalakṣaṇo hetur nāsiddho	(77.20) tat ayam akzaNike DarmiNi krama-akrama-aBAva-lakzaNaH hetuH na-asidDaH-
   vaktavyaḥ / kramākramayogitvākṣaṇikatvayor virodhād eva /	vaktavyaH / krama-Akrama-yogi-tva-akzaNika-tvayoH viroDAt eva /
   (78.1) nāpi viruddhaḥ / sapakṣe bhāvāt /	(78.1) na-api virudDaH / sa-pakze BAvAt /
   (78.2) na cānaikāntikaḥ / kramākramābhāvasyārthakriyāsāmarthyābhāvena	(78.2) na ca-anEkAntikaH / krama-akrama-aBAvasya-arTa-kriyA-sAmarTya-aBAvena
   vyāptatvāt /	vyApta-tvAt /
   (78.3) yenaiva hi pratyakṣātmanā pramāṇenāparaprakārābhāvād	(78.3) yena-eva hi pratyakza-AtmanA pramANena-apara-prakAra-aBAvAt-
   vidhibhūtābhyāṃ kramākramābhyāṃ vidhibhūtasyārthakriyāsāmarthyasya vyāptiḥ	viDi-BUtAByAm krama-AkramAByAm viDi-BUtasya-arTa-kriyA-sAmarTyasya vyAptiH
   prasādhitā, tenaivārthakriyāsāmarthyābhāvena kramākramābhāvasya vyāptiḥ	prasADitA, tena-eva-arTa-kriyA-sAmarTya-aBAvena krama-akrama-aBAvasya vyAptiH
   prasādhiteti svīkartavyam / na hi dahanādinā dhūmāder	prasADitA-iti svIkartavyam / na hi dahana-AdinA DUma-AdeH-
   vyāptisādhakapramāṇād aparaṃ dhūmādyabhāvena dahanādyabhāvasya	vyApti-sADaka-pramANAt aparam DUma-Adi-a-BAvena dahana-Adi-aBAvasya
   vyāptisādhakaṃ kiñcit pramāṇaṃ śaraṇabhūtam asti / tasmād vidhyor eva	vyApti-sADakam kiQcid pramANam SaraNa-BUtam asti / tasmAt viDyoH eva
   vyāptisādhakaṃ pramāṇam abhāvayor api vyāptisādhakam iti nyāyasya	vyApti-sADakam pramANam aBAvayoH api vyApti-sADakam iti nyAyasya
   duratikramatvāt sattvābhāvena kramākramābhāvo vyāpta eveti nānaikāntika	duratikrama-tvAt sattva-aBAvena krama-akrama-aBAvaH vyAptaH eva-iti na-anEkAntika
   ity anavadyo vyāpakānupalambhaḥ / tad ayam akṣaṇikād vinivartamāṇaḥ	iti anavadyaH vyApaka-anupalamBaH / tat ayam akzaNikAt vinivartamANaH
   svavyāpyaṃ sattvaṃ nivartya kṣaṇike viśrāmayatīti sattvahetoḥ	sva-vyApyam sattvam nivartya kzaNike viSrAmayati-iti sattva-hetoH
   kṣaṇabhaṅgasiddhir apy anavadyā. /	kzaNa-BaFga-sidDiH api anavadyA. /
   (78.10) nanu vyāpakānupalambhataḥ sattvasya kathaṃ	(78.10) nanu vyApaka-anupalamBataH sattvasya kaTam
   svasādhyapratibandhasiddhiḥ, asyāpy anekadoṣaduṣṭatvāt / tathā hi na tāvad	sva-sADya-pratibanDa-sidDiH, asya-api aneka-doza-duzwa-tvAt / taTA hi na tAvat-
   ayaṃ prasaṅga hetuḥ / sādhyadharmiṇi pramāṇasiddhatvāt,	ayam prasaFga hetuH / sADya-DarmiNi pramANa-sidDa-tvAt,
   parābhyupagamasiddhatvābhāvāt, viparyayaparyavasānābhāvāc ca / atha	para-aByupagama-sidDa-tva-aBAvAt, viparyaya-paryavasAna-aBAvAt ca / aTa
   svatantraḥ, tadāśrayāsiddhaḥ / akṣaṇikasyāśrayasyāsambhavāt / apratītatvād	svatantraH, tad-ASraya-asidDaH / akzaNikasya-ASrayasya-asamBavAt / apratIta-tvAt-
   vā / pratītir hi pratyakṣeṇānumānena vikalpamātreṇa vā syāt /	vA / pratItiH hi pratyakzeNa-anumAnena vikalpa-mAtreNa vA syAt /
   (79.1) prathamapakṣadvaye sākṣātpāramparyeṇa vā	(79.1) praTama-pakza-dvaye sAkzAt-pAramparyeNa vA
   svapratītilakṣaṇārthakāritve maulaḥ sādhāraṇo hetuḥ vyāpakānupalambhaś ca	sva-pratIti-lakzaNa-arTa-kAri-tve mOlaH sADAraNaH hetuH vyApaka-anupalamBaH ca
   svarūpāsiddhaḥ syāt / arthakriyākāritve kramākramayor	svarUpa-asidDaH syAt / arTa-kriyA-kAritve kramAkramayoH-
   anyatarasyāvaśyambhāvāt /	anyatarasya-avaSyamBAvAt /
   (79.4) antimapakṣe tu na kaścid dhetur anāśrayaḥ syāt /	(79.4) antima-pakze tu na kaScid DetuH anASrayaH syAt /
   vikalpamātrasiddhasya dharmiṇaḥ sarvatra sulabhatvāt /	vikalpa-mAtra-sidDasya DarmiNaH sarvatra sulaBa-tvAt /
   (79.6) api ca, tat kalpanājñānaṃ pratyakṣapṛṣṭhabhāvi vā syāt, liṅgajanma	(79.6) api ca, tat kalpanA-jQAnam pratyakza-pRzWa-BAvi vA syAt, liFga-janma
   vā, saṃskārajaṃ vā, sandigdhavastukaṃ vā, avastukaṃ vā /	vA, saMskAra-jam vA, sandigDa-vastukam vA, avastukam vA /
   (79.8) tatrādyapakṣadvaye 'kṣaṇikasya sattaivāvyāhatā / kathaṃ	(79.8) tatra-Adya-pakza-dvaye akzaNikasya sattA-eva-avyAhatA / kaTam
   bādhakāvatāraḥ /	bADaka-avatAraH /
   (79.9) tṛītye tu na sarvadā 'kṣaṇikasattāniṣedhaḥ / tadarpitasaṃskārābhāve	(79.9) tRItye tu na sarvadA akzaNika-sattA-nizeDaH / tad-arpita-saMskAra-aBAve
   tat smaraṇāyogāt /	tat smaraNa-ayogAt /
   (79.10) caturthe tu sandigdhāśrayatvaṃ hetudoṣaḥ /	(79.10) caturTe tu sandigDa-ASraya-tvam hetu-dozaH /
   (79.11) pañcame ca tadviṣayasyābhāvo na tāvad pratyakṣataḥ sidhyati /	(79.11) paQcame ca tad-vizayasya-aBAvaH na tAvat pratyakzataH siDyati /
   akṣaṇikātmanaḥ sarvadaiva tvanmate 'pratyakṣatvāt na cānumānatas	akzaNikA-AtmanaH sarvadA-eva tvad-mate apratyakza-tvAt na ca-anumAnatas
   tadabhāvas tatpratibaddhaliṅgān upalam bhādityāśrayāsiddhis tāvad uddhatā	tad-aBAvaH tad-pratibadDa-liFgAn upalam BAditi-ASraya-asidDiH tAvat udDatA
   / evaṃ dṛṣṭānto 'pi pratihantavyaḥ /	/ evam dRzwAntaH api pratihantavyaH /
   (79.14) svarūpāsiddho 'py ayaṃ hetūḥ / sthirasyāpi	(79.14) svarUpa-asidDaH api ayam hetUH / sTirasya-api
   kramākramisahakāryapekṣayā kramākramābhyām arthakriyopapatteḥ / nāpi	krama-Akrami-sahakArI-apekzayA krama-AkramAByAm arTa-kriyA-upapatteH / na-api
   kramayaugapadyapakṣoktadoṣaprasaṅgaḥ / tathā hi kramisahakāryapekṣayā	krama-yOgapadya-pakza-ukta-doza-prasaFgaH / taTA hi krami-sahakArI-apekzayA
   kramikāryakāritvan tāvad aviruddham /	krami-kArya-kAritvan tAvat avirudDam /
   (79.17) tathā ca śaṃkarasya saṃkṣipto 'yam abhiprāyaḥ / sahakārisākalyaṃ	(79.17) taTA ca SaMkarasya saMkziptaH ayam aBiprAyaH / sahakAri-sAkalyam
   hi sāmarthyam / tadvaikalyaṃ cāsāmarthyam / na ca tayor	hi sAmarTyam / tad-vEkalyam ca-asAmarTyam / na ca tayoH-
   āvirbhāvatirobhāvābhyān tadvataḥ kā cit kṣatiḥ / tasya tābhyām anyatvāt /	AvirBAva-tiroBAvAByAn tadvatas kA cit kzatiH / tasya tAByAm anya-tvAt /
   tat kathaṃ sahakāriṇo 'napekṣa kāryakaraṇaprasaṅga iti /	tat kaTam sahakAriNaH anapekza kArya-karaNa-prasaFgaH iti /
   (79.20) trilocanasyāpy ayaṃ saṃkṣiptārthaḥ / kāryam eva hi sahakāriṇam	(79.20) trilocanasya-api ayam saMkzipta-arTaH / kAryam eva hi sahakAriNam
   apekṣate / na ca kāryotpattihetuḥ / yasmād dvividhaṃ sāmarthyaṃ nijam	apekzate / na ca kArya-utpatti-hetuH / yasmAt dviviDam sAmarTyam nijam
   āgantukaṃ ca sahakāryantaram, tato 'kṣaṇikasyāpi kramavat sahakārinānātvād	Agantukam ca sahakAri-antaram, tatas akzaNikasya-api krama-vat sahakAri-nAnA-tvAt-
   api kramavat kāryanānātvopapatter aśakyaṃ bhāvānām pratikṣaṇam anyonyatvam	api krama-vat kArya-nAnA-tva-upapatteH aSakyam BAvAnAm pratikzaNam anyonya-tvam
   upapādayitum iti /	upapAdayitum iti /
