   oṃ	om
   bṛhadāraṇyakopaniṣad	bRhadAraNyaka-upanizad-
   oṃ pūrṇamadaḥ pūrṇamidaṃ pūrṇātpūrṇamadacyate /	om pUrNamadaH pUrNam-idam pUrNAt-pUrNam-adacyate /
   pūrṇasya pūrṇamādāya pūrṇamevāvaśiṣyate //	pUrNasya pUrNam-AdAya pUrNam-eva-avaSizyate //
   oṃ śāntiḥ ! śāntiḥ !! śāntiḥ !!!	om SAntiH ! SAntiH !! SAntiH !!!
   oṃ namo brahmādibhyo brahmavidyāsampradāyakartṛbhyo vaṃśaṛṣibhyo namo	om namaH brahma-AdiByaH brahma-vidyA-sampradAya-kartRByaH vaMSa-RziByaH namaH-
   gurubhyaḥ /	guruByaH /
   'uṣā vā aśvasya'ityevamādyā vājasaneyibrāhmaṇopaniṣat /	auzAH vE aSvasya-aiti-evamAdyA vAjasaneyi-brAhmaNa-upanizad /
   tasyā iyamalpagranthā vṛttirārabhyate saṃsāravyāvivṛtsubhyaḥ	tasyAH iyam-alpa-granTAH vRttiH-AraByate saMsAra-vyAvivRtsuByaH
   saṃsārahetunivṛttisādhanabrahmātmaikatvavidyāpratipattaye /	saMsAra-hetu-nivRtti-sADana-brahma-AtmA-eka-tva-vidyA-pratipattaye /
   seyaṃ brahmavidyā upaniṣacchabdhavācyātatparāṇāṃ sahetoḥ	sA-iyam brahma-vidyA upanizad-SabDa-vAcyA-tatparANAm sa-hetoH
   saṃsārasyātyantāvasādanāt /	saMsArasya-atyanta-avasAdanAt /
   upaniṣūvasyasadestadarthatvāt /	upanizUvasya-sadeH-tad-arTa-tvAt /
   tādarthyād grantho 'pyupaniṣad ucyate /	tAdarTyAt granTaH api-upanizad ucyate /
   seyaṃ ṣaḍadhyāyī araṇye 'nūcyamānatvādāraṇyakam,bṛhattvātparimāṇato	sA-iyam zaz-aDyAyI araNye anUcyamAna-tvAt-AraNyakam,bRhat-tvAt-parimANataH-
   bṛhadāraṇyakam /	bRhadAraNyakam /
   tasyāsya karmakāṇḍena sambandho 'bhidhīyate /	tasya-asya karma-kANxena sambanDaH aBiDIyate /
   sarvo 'pyayaṃ vedaḥ	sarvaH api-ayam vedaH
   pratyakṣānumānābhyāmanavagateṣṭāniṣṭaprāptiparihāropāya- prakāśanaparaḥ	pratyakza-anumAnAByAm-anavagata-izwa-anizwa-prApti-parihAra-upAya prakASana-paraH
   sarvapuruṣāṃ nisargata eva tatprāptiparihārayoriṣṭatvāt /	sarva-puruzAm nisargataH eva tad-prApti-parihArayoH-izwa-tvAt /
   dṛṣṭaviṣaye ceṣṭāniṣṭaṣṭaprāptiparihāropāya- jñānasya	dRzwa-vizaye ca-izwA-anizwazwa-prApti-parihAra-upAya jQAnasya
   pratyakṣānumānābhyāmeva siddatvānnāgamānveṣaṇā /	pratyakza-anumAnAByAm-eva sidda-tvA-at-na-Agama-anvezaNA /
   na cāsati janmāntarasambandhyātmāstitvavijñāne	na ca-asati janma-antara-sambanDyAtma-astitva-vijQAne
   janmāntarasambandhyātmāstitvavijñāne	janma-antara-sambanDyAtma-astitva-vijQAne
