   Pāṃśupradāna-avadāna	PAMSu-pradAna--avadAna
   GBM 1508-1513 (= Divy 351.9-353.21)	GBm 1508-1513 ( DivI 351.9-353.21)
   GBM 1514-1517 (= Divy 359.28-362.29)	GBm 1514-1517 ( DivI 359.28-362.29)
   GBM 1508.1 (cf. Divy 351.9f.) /// + + + + + (bha)vati <<\>> tac chrutvā	GBm 1508.1 (cf. DivI 351.9f.) /// + + + + + (Ba)vati <<\>> tat SrutvA
   gupto gāndhikaś cintayati ayyo ahaṃ tāvad gṛhāvāse pa	guptaH gAnDikaH cintayati ayyaH aham tAvat gRhAvAse pa
   GBM 1508.2 (cf. Divy 351.11f.) /// + + + (bha)[v](i)[ṣ]y(a)ti taṃ vayam	GBm 1508.2 (cf. DivI 351.11f.) /// + + + (Ba)[v](i)[z]y(a)ti tam vayam
   āryasya paścācchramaṇaṃ dāsyāmi \ @corrected from dasyāmaḥ@@ sthavira	Aryasya paScAcSramaNam dAsyAmi \ @corret-tet from dasyAmaH@@ sTavira
   uvāca <<\>> vatsa eva	uvAca <<\>> vatsaH eva
   GBM 1508.3 (Divy -) /// + + (rama)[t](e) paricārayati yāva sa	GBm 1508.3 (DivI -) /// + + (rama)[t](e) paricArayati yAva sa
   bhāryā-d-āpannasatvā saṃjātā <<\>> sā paripūrṇair navabhi	BAryA-d-Apanna-satvA saMjAtA <<\>> sA paripUrNEH navaBi
   GBM 1508.4 (cf. Divy 351.14) /// (prāsā)[di]kaḥ tasya vistareṇa jātimahaṃ	GBm 1508.4 (cf. DivI 351.14) /// (prAsA)[di]kaH tasya vistareNa jAti-maham
   kṛtvā aśvagupto nāma kṛta[ḥ] sadhātryā ucchada	kRtvA aSvaguptaH nAma kRta[H] sa-DAtryAH ucCada
   GBM 1508.5 (cf. Divy 351.14f.) /// + + ya mahaṃtībhūtaḥ tadānurūpe karmaṇi	GBm 1508.5 (cf. DivI 351.14f.) /// + + yaH mahaMtIBUtaH tadA-anurUpe karmaNi
   śikṣaṇāya dattaḥ atha sthaviraśāṇavā	SikzaNAya dattaH aTa sTavira-SANavA
   GBM 1508.6 (cf. Divy 351.16f.) /// .. putro bhaviṣyati taṃ vayam āryasya	GBm 1508.6 (cf. DivI 351.16f.) /// .. putraH Bavizyati tam vayam Aryasya
   paścācchramaṇa[ṃ] dāsyāmi \ @corrected from dasyāmaḥ@@ ayaṃ te putro jātaḥ	paScAcSramaNa[M] dAsyAmi \ @corret-tet from dasyAmaH@@ ayam te putraH jAtaH
   anu	anu
   GBM 1508.7 (cf. Divy 351.18f.) /// [k](a)m ekaputrakaḥ anyo yo 'smākaṃ	GBm 1508.7 (cf. DivI 351.18f.) /// [k](a)m eka-putrakaH anyaH yaH asmAkam
   dvitīyaḥ putro bhaviṣyati taṃ vayam āryasya paścācchra	dvitIyaH putraH Bavizyati tam vayam Aryasya paScAcSra
   GBM 1508.8 (cf. Divy 351.21f.) /// [p](a)śyati na : tata @for loss of	GBm 1508.8 (cf. DivI 351.21f.) /// [p](a)Syati na : tatas @foH losH of
   visarga cf. AIG I 287b@@ sthavira uvāca evam astv iti \ tasya yāva	visarga cf. AIu I 287b@@ sTaviraH uvAca evam astu iti \ tasya yAva
   dvitīyaḥ putro jātaḥ tasyā	dvitIyaH putraH jAtaH tasyAH-
   GBM 1509.1 (cf. Divy 351.23f.) /// sa(ṃ)vṛttaḥ tadā sthaviraśāṇavāsī	GBm 1509.1 (cf. DivI 351.23f.) /// sa(M)vRttaH tadA sTavira-SANa-vAsI
   guptaṃ gāṃdhikam abhigamyovāca \ tvayā pratijñātaṃ	guptam gAMDikam aBigamya-uvAca \ tvayA pratijQAtam
   GBM 1509.2 (cf. Divy 351.26f.) /// (d)āsyāmi \ @corrected from dasyāmaḥ@@	GBm 1509.2 (cf. DivI 351.26f.) /// (d)AsyAmi \ @corret-tet from dasyAmaH@@
   ayaṃ ca te dvitīyaḥ puttra utpannaḥ anujāna pravrājayiṣyāmīti gupto gāṃdhi	ayam ca te dvitIyaH puttraH utpannaH anujAna pravrAjayizyAmi-iti guptaH gAMDi
   GBM 1509.3 (cf. Divy 351.28f.) /// [yo] 'ntargṛhaṃ paripālayiṣyati api tu	GBm 1509.3 (cf. DivI 351.28f.) /// [yo] antargRham paripAlayizyati api tu
   yo 'smākaṃ tṛtīyaḥ putro bhaviṣyati sa ārya	yaH asmAkam tRtIyaH putraH Bavizyati saH Arya
   GBM 1509.4 (cf. Divy 351.30ff.) /// ..[ṃ] sa upaguptaḥ paśyati na :	GBm 1509.4 (cf. DivI 351.30ff.) /// ..[M] saH upaguptaH paSyati na :
   tenābhihitam evam astv iti \ yāva<d> guptasya tṛtīyaḥ pu	tena-aBihitam evam astu iti \ yAva<d> guptasya tRtIyaH pu
   GBM 1509.5 (cf. Divy 352.2f.) /// + + ḥ cchatrākāraśiraḥ vistīrṇalalāṭaḥ	GBm 1509.5 (cf. DivI 352.2f.) /// + + H cCatra-AkAra-SiraH vistIrNa-lalAwaH
   atikrānto mānuṣaṃ varṇam asaṃprāptaś ca	atikrAntaH mAnuzam varNam asaMprAptaH ca
   GBM 1509.6 (cf. Divy -) /// + + k[ṣ]īradadhinavanītakṣaudrādibhiḥ	GBm 1509.6 (cf. DivI -) /// + + k[z]Ira-daDi-navanIta-kzOdra-AdiBiH
   saṃvardhitaḥ yatra ca divase jātaḥ tataḥ prabhṛti	saMvarDitaH yatra ca divase jAtaH tatas praBRti
   GBM 1509.7 (cf. Divy 352.3f.) /// + + + [n]yaprabhṛtibhi[ś] ca bījajātair	GBm 1509.7 (cf. DivI 352.3f.) /// + + + [n]ya-praBRtiBi[-S] ca bIja-jAtEH-
   abhivardhituṃ pravṛttan* tasya vistareṇa jātima	aBivarDitum pravRttan* tasya vistareNa jAtima
   GBM 1509.8 (cf. Divy 352.5) /// + + + + [g](a)[ṇa]namu[d]rāyām upanyasto	GBm 1509.8 (cf. DivI 352.5) /// + + + + [g](a)[Na]namu[d]rAyAm upanyastaH-
   na cireṇa ca pāragaḥ saṃvṛttaḥ tato gāṃ/(dhik).	na cireNa ca pAragaH saMvRttaH tatas gAM/(Dik).
   GBM 1510.1 (cf. Divy 352.5f.) /// + + .. .. labhate yāva<t>	GBm 1510.1 (cf. DivI 352.5f.) /// + + .. .. laBate yAva<t>
   sthaviraśāṇavāsī gupta{s}sakāśam abhigamyovāca \	sTavira-SANa-vAsI gupta{s}-sakASam aBigamya-uvAca \
   GBM 1510.2 (cf. Divy 352.7f.) /// (āryas)[y](a) pradāsyāmi \ @corrected	GBm 1510.2 (cf. DivI 352.7f.) /// (Aryas)[y](a) pradAsyAmi \ @corret-tet-
   from dasyāmaḥ@@ paścācchramaṇārtham ayaṃ ca te tṛtīyaḥ puttro jātaḥ anujā	from dasyAmaH@@ paScAt-SramaNa-arTam ayam ca te tRtIyaH puttraH jAtaH anujA
   GBM 1510.3 (cf. Divy 352.9f.) /// + + sya lābhe na cch[e]do bhaviṣyati	GBm 1510.3 (cf. DivI 352.9f.) /// + + sya lABe na cC[e]daH Bavizyati
   tadā anujñāsyāmi <<\>> yadā ca tena samayaḥ kṛ	tadA anujQAsyAmi <<\>> yadA ca tena samayaH kR
   GBM 1510.4 (Divy -) /// + [n]otpadyatā saddharmmaśīkarai<ḥ> anekajanatā	GBm 1510.4 (DivI -) /// + [n]a-utpadyatA sadDarmma-SIkarE<H> aneka-janatA
   prahlādayitvā {s} sarvabhayātikrā	prahlAdayitvA {s} sarva-Baya-atikrA
   GBM 1510.5 (Divy -) /// .. [pr](a)vrajitaḥ hante sarvaviṣayaṃ	GBm 1510.5 (Di-vI -) /// .. [pr](a)vrajitaH hante sarva-vizayam
   śūnyīkariṣyati \ kim attredānīṃ prāptakālaṃ ta	SUnyIkarizyati \ kim attra-idAnIm prApta-kAlam ta
