   akalpā pariṣadyatra Ang_2,6.2a	akalpA parizadyatra Ank-_2,6.2a
   akāryakaraṇeṣveṣu Ang_1.171a	akArya-karaNezu-ezu Ank-_1.171a
   akālabhuktirāśauce Ang_1.47a	akAla-BuktiH-ASOce Ank-_1.47a
   akiṃcanairdurbalairvā Ang_1.633a	akiMcanEH-durbalEH-vA Ank-_1.633a
   akṛte tarpaṇe bhūyaḥ Ang_1.881a	akRte tarpaNe BUyas Ank-_1.881a
   akṛte pratyavāyo na Ang_1.843a	akRte pratyavAyaH naH Ank-_1.843a
   akṛtvā tu samīpe tu Ang_1.957a	akRtvA tu samIpe tu Ank-_1.957a
   akṛtvā nityakarmāṇi Ang_1.260a	akRtvA nitya-karmANi Ank-_1.260a
   akṛtvā pretasaṃskāraṃ Ang_1.142a	akRtvA preta-saMskAram Ank-_1.142a
   akṛtvaiva tadā śrāddhaṃ Ang_1.67a	akRtvA-eva tadA SrAdDam Ank-_1.67a
   akṛtvaiva nivṛttiṃ yaḥ Ang_2,8.9a	akRtvA-eva nivRttim yaH Ank-_2,8.9a
   akḷptaścettu yo bhavet Ang_1.636b	ak?ptaH-ced-tu yaH Bavet Ank-_1.636b
   akḷptā iti sūribhiḥ Ang_1.656b	ak?ptAH iti sUriBiH Ank-_1.656b
   akḷptānyeva kevalam Ang_1.657b	ak?ptAni-eva kevalam Ank-_1.657b
   akḷpto 'nyena cedbhavet Ang_1.635d	ak?ptaH anyena ced-Bavet Ank-_1.635d
   akrodhanaśca sumukho Ang_1.773c	akroDanaH-ca sumuKaH Ank-_1.773c
   akṣayodakamityapi Ang_1.887d	akzaya-udakam-iti-api Ank-_1.887d
   akṣāralavaṇaṃ rūkṣaṃ Ang_2,11.1c	akzAra-lavaNam rUkzam Ank-_2,11.1c
   akṣeṇa śaṣpairmantrairvā Ang_1.630c	akzeNa SazpEH-mantrEH-vA Ank-_1.630c
   aguruḥ kṣatriyāṇāṃ tu Ang_2,5.9a	aguruH kzatriyANAm tu Ank-_2,5.9a
   agnayeti ca tatparam Ang_1.810d	agnayA-iti ca tad-param Ank-_1.810d
   agnidhāmā dharānātho Ang_1.518a	agni-DAmA DarA-nATaH Ank-_1.518a
   agnihotrasvarūpiṇaḥ Ang_1.301b	agnihotra-svarUpiNaH Ank-_1.301b
   agnihotrī sa eva syād Ang_1.625a	agnihotrI saH eva syAt Ank-_1.625a
   agnermanve 'nuvākasya Ang_1.767c	agneH-manve anuvAkasya Ang_1.767c
   agnaukaraṇahome 'piṃ Ang_1.1075c	agnOkaraNa-home apim Ank-_1.1075c
   agnau kuryānna laukike Ang_1.399b	agnO kuryAt-na lOkike Ank-_1.399b
   agnyagāre gavāṃ goṣṭhe Ang_2,8.15c	agni-agAre gavAm gozWe Ank-_2,8.15c
   agnyādibhirbhojanena Ang_1.962c	agni-AdiBiH-Bojanena Ank-_1.962c
   agrāhyābhedyamūrtīnāṃ Ang_1.228a	agrAhya-aBedya-mUrtInAm Ank-_1.228a
   agrāhyābhedyamūrtīnāṃ Ang_1.231c	agrAhya-aBedya-mUrtInAm Ang_1.231c
   aghamarṣavidhānataḥ Ang_1.176d	aGamarza-viDAnataH Ank-_1.176d
   aṅgaviddharmapāṭhakaḥ Ang_2,5.1b	aFga-vid-Darma-pAWakaH Ank-_2,5.1b
   aṅgāni tattatkāleṣu Ang_1.103a	aFgAni tad-tad-kAlezu Ank-_1.103a
   aṅgāpakarṣaṇaṃ naiva Ang_1.102a	aFga-apakarzaNam na-eva Ank-_1.102a
