   Śayanāsanavastu	Śayana-Asana-vastu
   (Śay-v 3) (A 314a5) (MSV III 121)	(Śay-u 3) (A 314a5) (MSV III 121)
   uddānam	uddAnam
        śākyā paṃcanakādhaś ca sāṅghikaṃ paudgalikaṃ ca vastubhaṅgena /	SAkyA paMcanaka-aDas ca sa-aFGikam pOdgalikam ca vastu-BaFgena /
        kārayet pratisaṃstaraṇaṃ bhūmir araṇyaṃ ca tricīvaram /	kArayet pratisaMstaraNam BUmiH araNyam ca tri-cIvaram /
        ucchedyam araṇyaṃ bhikṣusthaviro lābhaṣaṭkair bhavati paścimam //	ucCedyam araNyam Bikzu-sTaviraH lABa-zawkEH Bavati paScimam //
   Old monks are entitled to veneration	Old mA-unkH are enti-tlet taH veneration
        buddho bhagavān śrāvastyāṃ viharati jetavane anāthapiṇḍadasyārāme;	budDaH BagavAn SrAvastyAm viharati jetavane anATapiNxadasya-ArAme;
   tena khalu samayena saṃbahulānāṃ upasthānaśālāyāṃ saṃniṣaṇṇānāṃ	tena Kalu samayena saMbahulAnAm upasTAna-SAlAyAm saMnizaNNAnAm
   saṃnipatitānām ayam evaṃrūpo 'bhūd antarākathāsamudāhāraḥ; ko 'smābhir	saMnipatitAnAm ayam evaMrUpaH aBUt antarAkaTA-samudAhAraH; kaH asmABiH-
   āyuṣmantaḥ satkartavyo gurukartavyo mānayaitavyaḥ pūjayitavyaḥ? kasya	AyuzmantaH satkartavyaH guru-kartavyaH mAnaya-etavyaH pUjayitavyaH? kasya
   cāsmābhir abhivādanavandanapratyutthānāṃjalisāmīcīkarma kartavyam? ko	ca-asmABiH aBivAdana-vandana-pratyutTAna-aMjali-sAmI-cIkarma kartavyam? kaH-
   'smākam arhati agrāsanam agrodakam agrapiṇḍapātaṃ paribhoktum iti?	asmAkam arhati agrAsanam agrodakam agra-piNxapAtam pariBoktum iti?
   tatraike evam āhuḥ śākyaḥ pravrajita iti; anye tv evam āhuḥ yo brāhmaṇaḥ	tatra-eke evam AhuH SAkyaH pravrajitaH iti; anye tu evam AhuH yaH brAhmaNaH
   pravrajita iti; apare yaḥ kṣatriyaḥ pravrajitaḥ; apare yo vaiśyaḥ	pravrajitaH iti; apare yaH kzatriyaH pravrajitaH; apare yaH vESyaH
   pravrajitaḥ; apare yaḥ śūdraḥ pravrajitaḥ; (MSV III 122) apare uccāt kulāt	pravrajitaH; apare yaH SUdraH pravrajitaH; (MSV III 122) apare uccAt kulAt-
   pravrajito 'nyūnāt; āḍhyāt kulāt pravrajito 'dīnāt; apare yo 'bhirūpo	pravrajitaH anyUna-at; AXyAt kulAt pravrajitaH adInAt; apare yaH aBirUpaH-
   darśanīyaḥ prāsādikaḥ kalyāṇavākyo vākkaraṇenopeto jñāto mahāpuṇyaḥ	darSanIyaH prAsAdikaH kalyANa-vAkyaH vAkkaraNena-upetaH jQAtaH mahA-puNyaH
   sūtradharo vinayadharo mātṛkādharo bahuśruto dhārmakathikaḥ sthaviro	sUtraDaraH vinaya-DaraH mAtRkA-DaraH bahu-SrutaH DArmakaTikaH sTaviraH-
   rājanyaḥ āraṇyakaḥ traicīvariko nāmatikaḥ pāṃsukulikaḥ piṇḍapātikaḥ	rAjanyaH AraNyakaH trEcIvarikaH nAmatikaH pAMsukulikaH piNxapAtikaH
   ekāsanikaḥ khalupaścādbhaktiko vṛkṣamūlikaḥ śmāśāniko 'bhyavakāśikaḥ	eka-AsanikaH Kalu-paScAt-BaktikaH vRkza-mUlikaH SmASAnikaH aByavakASikaH
   naiṣadiko yathāsaṃstariko yo lābhī anityasaṃjñāyāḥ pūrvavad yāvad yo	nEzadikaH yaTA-saMstarikaH yaH lABI anitya-saMjQAyAH pUrvavat yAvat yaH-
   'rhann aṣṭavimokṣadhyāyīti; apare evam āhuḥ sarveṣām asmākam āyuṣmanto na	arhan azwa-vimokza-DyAyIti; apare evam AhuH sarvezAm asmAkam AyuzmantaH na
   sameti yaduta nānāprajñaptyā; (A 314b) ete vayaṃ yena bhagavāṃs	sameti yat-uta nAnA-prajQaptyA; (A 314b) ete vayam yena BagavAn=-
   tenopasaṃkramāmaḥ; upasaṃkramya bhagavantam etam arthaṃ paripṛcchāmaḥ;	tena-upasaMkramAmaH; upasaMkramya Bagavantam etam arTam paripRcCAmaH;
   yathāsmākaṃ sa bhagavān vyākariṣyati tathainaṃ dhārayiṣyāma iti	yaTA-asmAkam sa BagavAn vyAkarizyati taTA-enam DArayizyAmaH iti
        atha saṃbahulā bhikṣavo yena bhagavāṃs tenopasaṃkrāntāḥ; upasaṃkramya	aTa saMbahulAH BikzavaH yena BagavAn tena-upasaMkrAntAH; upasaMkramya
   bhagavataḥ pādau śirasā vanditvā ekānte niṣaṇṇāḥ; ekāntaniṣaṇṇāḥ saṃbahulā	BagavataH pAdO SirasA vanditvA ekAnte nizaNNAH; ekAnta-nizaNNAH saMbahulA
   bhikṣavo bhagavantam idam avocan; ihāsmakaṃ (Śay-v 4) bhadanta	BikzavaH Bagavantam idam avocan; iha-asmakam (Śay-u 4) Badanta
