   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   [dvitīye avirodhākhyādhyāye prathamapāde sāṃkhyayogakāraṇādādismṛtibhiḥ	[dvitIye aviroDa AKyADyAye praTama pAde sAMKya yoga kAraNAt Adi smRtiBiH
   sāṃkhyādiprayuktatarkaiśca vedāntasamanvayavirodhaparihāraḥ]	sAMKya Adi prayukta tarkEH ca vedAnta samanvaya viroDa parihAraH]
   1 smṛtyadhikaraṇam / sū. 1 2	1 smRti aDikaraNam / sU. 1 2
   prathame 'dhyāye sarvajñaḥ sarveśvaraḥ jagata utpattikāraṇaṃ,	praTame aDyAye sarvajQaH sarva ISvaraH jagataH utpatti kAraNaM,
   mṛtsuvarṇādaya iva ghaṭarucakādīnām /	mRd suvarNa AdayaH iva Gawa rucaka AdInAm /
   utpannasya jagato niyantṛtvena stithikāraṇaṃ, māyāvīva māyāyāḥ /	utpannasya jagataH niyantR tvena stiTi kAraNaM, mAyAvi iva mAyAyAH /
   prasāritasya ca jagataḥ punaḥ svātmanyevopasaṃhārakāraṇaṃ, avaniriva	prasAritasya ca jagataH punar sva Atmani eva upasaMhAra kAraNaM, avaniH iva
   caturvidhasya bhūtagrāmasya /	caturviDasya BUta grAmasya /
   sa eva ca sarveṣāṃ na ātmetyetadvedāntavākyasamanvayapratipādanena	saH eva ca sarvezAm naH AtmA iti etat vedAnta vAkya samanvaya pratipAdanena
   pratipāditam /	pratipAditam /
   pradhānādikāraṇavādāścāśabdatvena nirākṛtāḥ /	praDAna Adi kAraNa vAdAH ca aSabda tvena nirAkRtAH /
   idānīṃ svapakṣe smṛtinyāyavirodhaparihāraḥ, pradhānādivādānāṃ ca	idAnIm sva pakze smRti nyAya viroDa parihAraH, praDAna Adi vAdAnAm ca
   nyāyābhāsopabṛṃhitatvaṃ, prativedāntaṃ ca sṛṣṭyādiprakriyāyā	nyAya aBAsa upabRMhita tvaM, prativeda antam ca sRzwi Adi prakriyAyAH 
   avigītatvamisyarthajātasya pratipādanāya dvitīyo 'dhyāya ārabhyate /	avigIta tvam isi arTa jAtasya pratipAdanAya dvitIyaH aDyAyaH AraByate /
   tatra prathamaṃ tāvatsmṛtivirodhamupanyasya pariharati 	tatra praTamam tAvat smRti viroDam upanyasya pariharati 
   smṛtyanavakāśadoṣaprasaṅga iti cen nānyasmṛtyanavakāśadoṣaprasaṅgāt |	smRti anavakASa doza prasaFgaH iti ced na anya smRti anavakASa doza prasaFgAt |
   BBs_2,1.1 |	BBH _2,1.1 |
   yaduktaṃ brahmaiva sarvajñaṃ jagataḥ kāraṇamiti, tadayuktam /	yat uktam brahma eva sarvajQam jagataH kAraNam iti, tat ayuktam /
   kutaḥ smṛtyanavakāśadoṣaprasaṅgāt /	kutas smRti anavakASa doza prasaFgAt /
