   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   śrīḥ	SrIH
   pīyuṣavarṣaśrījayadevakavikṛtaḥ	pIyuza-varza-SrI-jayadevaka-vi-kRtaH
   candrālokaḥ	candrAlokaH
   uccairasyati mandatāmarasatāṃ jāgratkalaṅkairava- $ dhvaṃsaṃ hastayate ca	uccEs-asyati manda-tAmarasatAm jAgrat-kalaFkErava $ DvaMsam hastayate ca
   yā sumanasām ullāsinī mānase &	yA sumanasAm ullAsinI mAnase &
   dhṛṣṭodyanmadanāśanārcir amalā lokatrayīdarśikā % sā netratritayīva	DRzwa-udyan-madana-aSanA-arciH amalA lokatrayI-darSikA % sA netra-tritayI-iva
   khaṇḍaparaśor vāgdevatā dīvyatu // JCand_1.1 //	KaNxa-paraSoH vAgdevatA dIvyatu // JCand-_1.1 //
   haṃ ho cinmayacittacandramaṇayaḥ saṃvardhayadhvaṃ rasān $ re re svairiṇi	ham ho cit-maya-citta-candra-maNayaH saMvarDayaDvam rasAn $ re re svEriNi
   nirvicārakavite māsmat prakāśībhava &	nirvicAra-kavite mA-asmat prakASIBava &
   ullāsāya vicāravīcinicayālaṅkāravārām nidheś % candrālokamayaṃ svayaṃ	ullAsAya vicAra-vIci-nicaya-alaFkAra-vArAm niDeH % candrAloka-mayam svayam
   vitanute pīyūṣavarṣaḥ kṛtī // JCand_1.2 //	vitanute pIyUza-varzaH kRtI // JCand-_1.2 //
   yuktyāsvādyalasadrasaikavasatiḥ sāhityasārasvata- $ kṣīrāmbhodhir	yukti-AsvAdi-alasat-rasa-eka-vasatiH sAhitya-sArasvata $ kzIra-amBoDiH-
   agādhatām upadadhat sevyaḥ samāśrīyatām &	agADatAm upadaDat sevyaH samASrIyatAm &
   śrīr asmād upadeśakauśalamayaṃ pīyūṣam asmājjagaj %	SrIH asmAt upadeSa-kOSala-mayam pIyUzam asmAt-jagat %
   jāgradbhāsurapadmakeśarayaśaḥśītāṃśur asmād budhāḥ // JCand_1.3 //	jAgrat-BAsura-padma-keSara-yaSaH-SItAMSuH asmAt buDAH // JCand-_1.3 //
   taṃ pūrvācāryasūryokti- $ jyotiḥ stomodgamaṃ stumaḥ &	tam pUrva-AcArya-sUrya-ukti $ jyotiH stoma-udgamam stumaH &
   yaṃ prastūya prakāśante % madguṇās trasareṇavaḥ // JCand_1.4 //	yam prastUya prakASante % mad-guNAH trasareNavaH // JCand-_1.4 //
   nāśaṅkanīyam eteṣāṃ $ matam etena dūṣyate &	na-aSaFkanIyam etezAm $ matam etena dUzyate &
   kiṃ tu cakṣur mṛgākṣīṇāṃ % kajjaleneva bhūṣyate // JCand_1.5 //	kim tu cakzuH mRga-akzINAm % kajjalena-iva BUzyate // JCand-_1.5 //
   pratibhaiva śrutābhyāsa- $ sahitā kavitāṃ prati &	pratiBA-eva Sruta-aByAsa $ sahitA kavi-tAm prati &
   hetur mṛdambusambaddhā % bījamālā latāmiva // JCand_1.6 //	hetuH mRd-ambu-sambadDA % bIjamAlA latAm-iva // JCand-_1.6 //
   nirdoṣā lakṣaṇavatī $ sarītir guṇabhūṣaṇā &	nirdozA lakzaNavatI $ sarItiH guNa-BUzaNAH &
   sālaṃkārarasāneka- % vṛttir vāk kāvyanāmabhāk // JCand_1.7 //	sa-alaMkAra-rasAn-eka % vRttiH vAc kAvya-nAma-BAj // JCand-_1.7 //
   aṅgīkaroti yaḥ kāvyaṃ $ śabdārthāv analaṃkṛtī &	aFgIkaroti yaH kAvyam $ Sabda-arTO analaMkRtI &
   asau na manyate kasmād % anuṣṇam analaṃ kṛtī // JCand_1.8 //	asO na manyate kasmAt % anuzNam analam kRtI // JCand-_1.8 //
   vibhaktyutpattaye yogyaḥ $ śāstrīyaḥ śabda iṣyate &	viBakti-utpattaye yogyaH $ SAstrIyaH SabdaH izyate &
   rūḍhayaugikatanmiśraiḥ % prabhedaiḥ sa punas tridhā // JCand_1.9 //	rUXa-yOgika-tad-miSrEH % praBedEH sa punar triDA // JCand-_1.9 //
   avyaktayoganiryoga- $ yogābhāsais tridhādimaḥ &	avyakta-yoga-niryoga $ yoga-ABAsEH triDA-AdimaH &
   te ca vṛkṣādibhūvādi- % maṇḍapādyā yathākramam // JCand_1.10 //	te ca vRkza-Adi-BUva-Adi % maNxapa-AdyAH yaTAkramam // JCand-_1.10 //
   śuddhatanmūlasaṃbhinna- $ prabhedair yaugikas tridhā &	SudDa-tad-mUla-saMBinna $ praBedEH yOgikaH triDA &
   te ca bhrāntisphuratkānti- % kaunteyādisvarūpiṇaḥ // JCand_1.11 //	te ca BrAnti-sPurat-kAnti % kOnteya-Adi-svarUpiNaH // JCand-_1.11 //
   tanmiśro 'nyonyasāmānya- $ viśeṣaparivartanāt &	tat-miSraH anyonya-sAmAnya $ viSeza-parivartanAt &
   nīradhiḥ paṅkajaṃ saudhaḥ % sāgaro bhūruhaḥ śaśī // JCand_1.12 //	nIraDiH paFkajam sODaH % sAgaraH BUruhaH SaSI // JCand-_1.12 //
   kṣīranīradhir ākāśa- $ paṅkajaṃ tena siddhayati &	kzIra-nIraDiH AkASa $ paFkajam tena sidDayati &
   vibhaktyantaṃ padaṃ vākyaṃ % tadvyūho 'rthasamāptitaḥ // JCand_1.13 //	viBakti-antam padam vAkyam % tat-vyUhaH arTa-samAptitaH // JCand-_1.13 //
   yuktārthatāṃ tāṃ ca vinā $ khaṇḍavākyaṃ sa iṣyate &	yukta-arTa-tAm tAm ca vinA $ KaNxa-vAkyam saH izyate &
   vākyaṃ ca khaṇḍavākyaṃ ca % padam ekam api kvacit // JCand_1.14 //	vAkyam ca KaNxa-vAkyam ca % padam ekam api kvacid // JCand-_1.14 //
   dhūmavattvād iti yathā $ devety āmantraṇaṃ yathā &	DUmavat-tvAt iti yaTA $ deva-iti AmantraNam yaTA &
   vākyāny ekārthaviśrāntāny % āhur vākyakadambakam // JCand_1.15 //	vAkyAni eka-arTa-viSrAntAni % AhuH vAkya-kadambakam // JCand-_1.15 //
   mahādevaḥ satrapramukhamakhavidyaikacaturaḥ $ sumitrā	mahAdevaH satra-pramuKa-maKa-vidyA-eka-caturaH $ sumitrA
   tadbhaktipraṇihitamatir yasya pitarau &	tad-Bakti-praNihita-matiH yasya pitarO &
   anenāsāv ādyaḥ sukavijayadevena racite % ciraṃ candrāloke sukhayatu	anena-asO AdyaH sukavi-jaya-devena racite % ciram candrAloke suKayatu
   mayūkhaḥ sumanasaḥ // JCand_1.16 //	mayUKaH sumanasaH // JCand-_1.16 //
   syāc ceto viśatā yena $ sakṣatā ramaṇīyatā &	syAt cetaH viSatA yena $ sakzatA ramaNIya-tA &
   śabde 'rthe ca kṛtonmeṣaṃ % doṣam udghoṣayanti tam // JCand_2.1 //	Sabde arTe ca kRta-unmezam % dozam udGozayanti tam // JCand-_2.1 //
   bhavec chrutikaṭur varṇaḥ $ śravaṇodvejane paṭuḥ &	Bavet SrutikawuH varNaH $ SravaNa-udvejane pawuH &
   saṃvidrate vyākaraṇa- % viruddhaṃ cyutasaṃskṛti // JCand_2.2 //	saMvid-rate vyAkaraNa % virudDam cyuta-saMskRti // JCand-_2.2 //
   aprayuktaṃ daivatādi- $ śabde puṃlliṅgatādikam &	aprayuktam dEvata-Adi $ Sabde puMlliFga-tA-Adikam &
   asamarthaṃ tu hantyādeḥ % prayogo gamanādiṣu // JCand_2.3 //	asamarTam tu hanti-AdeH % prayogaH gamana-Adizu // JCand-_2.3 //
   sa hanti hanta kāntāre $ kāntaḥ kuṭilakuntalaḥ &	sa hanti hanta kAntAre $ kAntaH kuwila-kuntalaH &
   nihatārthaṃ lohitādau % śoṇitādiprayogataḥ // JCand_2.4 //	nihata-arTam lohita-AdO % SoNita-Adi-prayogataH // JCand-_2.4 //
   vyanakty anucitārthaṃ yat $ padam āhus tadeva tat &	vyanakti anucita-arTam yat $ padam AhuH tat-eva tat &
