   (Vaidya 90)	(VEdyaH 90)
   naya - dvyardhaśatikā - ardhaśatikādyaparaparyāyā	naya  dvi-arDaSatikA  arDa-Satika-Adi-a-para-paryAyA
   Adhyardhaśatikā prajñāpāramitā |	ADyarDa-SatikA prajQApAramitA |
   om namo bhagavatyai prajñāpāramitāyai namaḥ |	om namaH BagavatyE prajQApAramitAyE namaH |
   evaṃ mayā śrutam | ekasmin samaye bhagavān* * * * * * * vajrapāṇinā	evam mayA Srutam | ekasmin samaye BagavAn* * * * * * * vajrapANinA
   bodhisattvena mahāsattvena, avalokiteśvareṇa ca bodhisattvena	boDisattvena mahAsattvena, avalokita-ISvareNa ca boDisattvena
   mahāsattvena, ākāśagarbheṇa ca, vajramuṣṭinā ca, mañjuśriyā, ca	mahAsattvena, AkASa-garBeNa ca, vajramuzwinA ca, maQju-SriyA, ca
   sacittotpādadharmacakrapravarta(rti)nā(?) ca, gaganagañjena ca,	sa-citta-utpAda-Darma-cakra-pravarta-(rti)nA(?) ca, gagana-gaQjena ca,
   sarvamārapramardinā ca bodhisattvena mahāsattvena |	sarva-mAra-pramardinA ca boDisattvena mahAsattvena |
   evaṃpramukhairaṣṭābhirbodhisattvakoṭibhiḥ* * * ādau kalyāṇaṃ madhye	evaMpramuKEH-azwABiH-boDisattva-kowiBiH* * * AdO kalyANam maDye
   kalyāṇaṃ paryavasāne kalyāṇaṃ sadarthaṃ supadākṣaraṃ paryavadātam,	kalyANam paryavasAne kalyANam sat-arTam su-pada-akzaram paryavadAtam,
   sarvadharmaviśuddhinirhāraṃ deśayati sma - kāmaviśuddhipadametat yaduta	sarva-Darma-viSudDi-nirhAram deSayati sma  kAma-viSudDi-padam-etat yat-uta
   bodhisattvapadam | dṛṣṭiviśuddhipadametat yaduta bodhisattvapadam |	boDisattva-padam | dRzwi-viSudDi-padam-etat yat-uta boDisattva-padam |
   rativiśuddhipadametat yaduta bodhisattvapadam | tṛṣṇāviśuddhipadametat	rati-viSudDi-padam-etat yat-uta boDisattva-padam | tRzNA-viSudDi-padam-etat-
   yaduta bodhisattvapadam | bhūṣaṇaviśuddhipadametat yaduta bodhisattvapadam	yat-uta boDisattva-padam | BUzaNa-viSudDi-padam-etat yat-uta boDisattva-padam
   | āhlādanaviśuddhipadametat yaduta bodhisattvapadam |	| AhlAdana-viSudDi-padam-etat yat-uta boDisattva-padam |
   ālokaviśuddhipadametat yaduta bodhisattvapadam |	Aloka-viSudDi-padam-etat yat-uta boDisattva-padam |
   kāyasukhaviśuddhipadematat yaduta bodhisattvapadam |[vāksukha]	kAya-suKa-viSudDi-padema-tat yat-uta boDisattva-padam |[vAc-suKa]
   viśuddhipadametat yaduta bodhisattvapadam | manoviśuddhipadametat yaduta	viSudDi-padam-etat yat-uta boDisattva-padam | manaH-viSudDi-padam-etat yat-uta
   bodhisattvapadam | śabdaviśuddhipadametat yaduta bodhisattvapadam |	boDisattva-padam | Sabda-viSudDi-padam-etat yat-uta boDisattva-padam |
   gandhaviśuddhipadametat yaduta bodhisattvapadam | rasaviśuddhipadametat	ganDa-viSudDi-padam-etat yat-uta boDisattva-padam | rasa-viSudDi-padam-etat-
   yaduta bodhisattvapadam | sparśaviśuddhipadametat yaduta bodhisattvapadam	yat-uta boDisattva-padam | sparSa-viSudDi-padam-etat yat-uta boDisattva-padam
   | tatkasya hetoḥ? tadyathā sarvadharmāḥ svabhāvaviśuddhāḥ | sarvadharmāḥ	| tat-kasya hetoH? tat-yaTA sarva-DarmAH svaBAva-viSudDAH | sarva-DarmAH
   [svabhāvaśūnyāḥ] | svabhāvaśūnyatayā prajñāpāramitāviśuddhirbhavati ||	[svaBAva-SUnyAH] | svaBAva-SUnyatayA prajQApAramitA-viSudDiH-Bavati ||
   atha bhagavān vairocanastathāgataḥ punarapīdaṃ prajñāpāramitānayaṃ	aTa BagavAn vErocanaH-taTAgataH punar-api-idam prajQApAramitA-anayam
   sarvatathāgataśāntadharmatābhisaṃbodhinirhāraṃ deśayati sma -	sarva-taTAgata-SAnta-DarmatA-aBisaMboDi-nirhAram deSayati sma -
   vajrasamatābhisaṃbodhi(dhau?) mahābodhivajradṛḍhatayā |	vajra-samatA-aBisaMboDi(-DO?) mahA-boDi-vajra-dRXa-tayA |
   arthasamatābhisaṃbodhau mahābodhirekārthatayā | dharmasamatābhisaṃbodhau	arTa-samatA-aBisaMboDO mahAboDiH-eka-arTa-tayA | Darma-samatA-aBi-saMboDO
   mahābodhiḥ svabhāvaśuddhatayā(?) | sarvasamatābhisaṃbodhau mahābodhiḥ	mahAboDiH svaBAva-SudDa-tayA(?) | sarva-samatA-aBisaMboDO mahA-boDiH
   sarvāvikalpanatayeti ||	sarva-avikalpana-tayA-iti ||
   atha bhagavān sarvaduṣṭavinayaśākyamunistathāgataḥ punarapi	aTa BagavAn sarva-duzwa-vinaya-SAkya-muniH-taTAgataH punar-api
   sarvadharmasamatāvijayasaṃgrahaṃ nāma prajñāpāramitānirhāraṃ deśayāmāsa -	sarvaDarmasamatAvijaya-saMgraham nAma prajQApAramitA-nirhAram deSayAmAsa -
   rāgāprapañcatayā* * * | dveṣāprapañcatayā* * * mohāprapañcatā,	rAgA-prapaQca-tayA* * * | dveza-aprapaQca-tayA* * * moha-aprapaQca-tA,
   mohāprapañcatayā sarvadharmāprapañcatā, sarvadharmāprapañcatayā	moha-aprapaQca-tayA sarva-Darma-aprapaQca-tA, sarva-Darma-aprapaQca-tayA
