   Prātimokṣasūtram*	PrAti-mokza-sUtram*
   namo bhagavate vītarāgāya /	namaH Bagavate vIta-rAgAya /
   narendradevendrasuvanditena trilokavighuṣṭaviśālakīrtinā /	narendra-deva-indra-suvanditena triloka-viGuzwa-viSAla-kIrtinA /
   buddhena lokārthacareṇa tāyinā sudeśitaṃ prātimokṣaṃ vidunā // 1 //	budDena loka-arTa-careNa tAyinA su-deSitam prAtimokzam vidunA // 1 //
   taṃ prātimokṣaṃ bhavaduḥkhamokṣaṃ śrutvāna dhīrāḥ sugatasya bhāṣitaṃ /	tam prAtimokzam Bava-duHKa-mokzam SrutvAnaH DIrAH sugatasya BAzitam /
   ṣaḍindriyasaṃvarasaṃvṛtatvāt karonti jātīmaraṇasya antaṃ // 2 //	zaz-indriya-saMvara-saMvRta-tvAt karonti jAtI-maraNasya antam // 2 //
   cirasya labdhvā ratanāni trīṇi buddhotpādaṃ mānuṣikāñ ca śraddhāṃ /	cirasya labDvA ratanAni trINi budDa-utpAdam mAnuzikAn ca SradDAm /
   dauḥśīlyavadyaṃ parivarjayitvā viśuddhaśīlā bhavathāpramattāḥ // 3 //	dOHSIlya-vadyam parivarjayitvA viSudDa-SIlAH BavaTa-apramattAH // 3 //
   śīlena yukto śramaṇo 'tiveti śīlena yukto brāhmaṇo 'tiveti /	SIlena yuktaH SramaNaH ativA-iti SIlena yuktaH brAhmaNaH ativA-iti /
   śīlena yukto naradevapūjyo śīlena yuktasya hi prātimokṣaṃ // 4 //	SIlena yuktaH naradeva-pUjyaH SIlena yuktasya hi prAtimokzam // 4 //
   anekabuddhānumataṃ viśuddhaṃ śīlaṃ pratiṣṭhā dharaṇīva sānuṃ /	aneka-budDa-anumatam viSudDam SIlam pratizWA DaraNI-iva sAnum /
   udāhariṣyāmy ahaṃ saṃghamadhye hitāya lokasya sadevakasya // 5 //	udAharizyAmi aham saMGa-maDye hitAya lokasya sa-devakasya // 5 //
   [iti] upodghātaḥ //	[iti] upodGAtaH //
   kiṃ jīvitena teṣāṃ yeṣām ihākuśalamūlajālāni /	kim jIvitena tezAm yezAm iha-akuSala-mUla-jAlAni /
   pracchādayanti hṛdayaṃ gaganam iva samunnatā meghāḥ //	pracCAdayanti hRdayam gaganam iva samunnatAH meGAH //
   atijīvitaṃ ca teṣāṃ yeṣām ihākuśalamūlajālāni /	ati-jIvitam ca tezAm yezAm iha-akuSala-mUla-jAlAni /
   vilayaṃ vrajanti kṣipraṃ divasakarahatāndhakāram iva // 6-7 //	vilayam vrajanti kzipram divasakara-hata-anDakAram iva // 6-7 //
   kiṃ poṣadhena teṣāṃ ye te sāvadyaśīlacaritrāḥ /	kim pozaDena tezAm ye te sa-avadya-SIla-caritrAH /
   jarāmaraṇapañjaragatā amaravitarkehi khādyanti //	jarA-maraNa-paQjara-gatAH amara-vitarkehi KAdyanti //
   kāryaṃ ca poṣadhena teṣāṃ ye te anavadyaśīlacāritrāḥ /	kAryam ca pozaDena tezAm ye te anavadya-SIla-cAritrAH /
   jarāmaraṇāntakarā mārabalapramardanā dhīrāḥ // 8-9 //	jarA-maraNa-anta-karAH mAra-bala-pramardanAH DIrAH // 8-9 //
   kiṃ poṣadhena teṣām alajjināṃ bhinnavṛttaśīlānāṃ /	kim pozaDena tezAm alajjinAm Binna-vRtta-SIlAnAm /
   mithyājīvaratānām asaraṇam iva carantānāṃ //	miTyA-jIva-ratAnAm asaraNam iva carantAnAm //
   kāryaṃ ca poṣadhena teṣāṃ lajjinām abhinnavṛttaśīlānāṃ /	kAryam ca pozaDena tezAm lajjinAm aBinna-vRtta-SIlAnAm /
   samyagjīvaratānām adhyāśayaśuddhaśīlānāṃ // 10-11 //	samyak-jIva-ratAnAm aDyASaya-SudDa-SIlAnAm // 10-11 //
   kiṃ poṣadhena teṣāṃ ye te duḥśīlapāpakarmāntāḥ /	kim pozaDena tezAm ye te duHSIla-pApa-karmAntAH /
   kuṇapam iva samudrato samutkṣiptāḥ śāstu prāvacanāt //	kuNapam iva samudrataH samutkziptAH SAstu prAvacanAt //
   kāryaṃ ca poṣadhena teṣāṃ ye te traidhātuke anupaliptāḥ /	kAryam ca pozaDena tezAm ye te trEDAtuke anupaliptAH /
   ākāśe viya pāṇi śuddhānāṃ vimuktacittānāṃ // 12-13 //	AkASe viya pANi SudDAnAm vimukta-cittAnAm // 12-13 //
   kiṃ poṣadhena teṣāṃ ṣaḍindriyaṃ yehi yehi surakṣitaṃ nityaṃ /	kim pozaDena tezAm zaz-indriyam yehi yehi su-rakzitam nityam /
   patitānāṃ māraviṣaye svagocaraṃ varjayantānāṃ //	patitAnAm mAra-vizaye sva-gocaram varjayantAnAm //
   kāryaṃ ca poṣadhena teṣāṃ ṣaḍindriyaṃ yehi surakṣitaṃ nityaṃ /	kAryam ca pozaDena tezAm zaz-indriyam yehi su-rakzitam nityam /
   yuktānāṃ śāstur vacane jinavacane śāsanaratānāṃ // 14-15 //	yuktAnAm SAstuH vacane jina-vacane SAsana-ratAnAm // 14-15 //
   kiṃ poṣadhena teṣām ātmaśīlehi ye hy upavadanti /	kim pozaDena tezAm Atma-SIla-ihi ye hi upavadanti /
   sabrahmacāriṇaś ca śastā devamanuṣyāś ca duḥśīlāḥ //	sabrahmacAriNaH ca SastAH deva-manuzyAH ca duHSIlAH //
   kāryaṃ ca poṣadhena teṣāṃ śīlehi nāsti gārhyaṃ /	kAryam ca pozaDena tezAm SIla-ihi na-asti gArhyam /
   sarvatra nopavadyā vijñānāṃ vai sadevake loke // 16-17 //	sarvatra na-upavadyA vijQAnAm vE sa-devake loke // 16-17 //
   kiṃ poṣadhena teṣāṃ virāgitaṃ śāstuḥ śāsanaṃ yehi /	kim pozaDena tezAm virAgitam SAstuH SAsanam yehi /
   āsevitā ca yehi vipattīyo pañca cāpattīḥ //	AsevitA ca yehi vipattIyaH paQca ca-apattIH //
   kāryaṃ ca poṣadhena teṣāṃ yuktānāṃ śāsane daśabalasya /	kAryam ca pozaDena tezAm yuktAnAm SAsane daSa-balasya /
   sarvajñasya sarvadarśino maitrīpadā yehi paricīrṇāḥ // 18-19 //	sarvajQasya sarva-darSinaH mEtrI-padA yehi paricIrNAH // 18-19 //
   yeṣāṃ ca vasati hṛdaye śāstā dharmo gaṇottamo /	yezAm ca vasati hRdaye SAstA DarmaH gaNa-uttamaH /
   śikṣā uddeśo saṃvāso saṃbhogo śāstuno vacanaṃ //	SikzA uddeSaH saMvAsaH saMBogaH SAstunaH vacanam //
   teṣām upoṣadho 'dya aparityaktāni yehi etāni /	tezAm upozaDaH adya aparityaktAni yehi etAni /
   paricarya dharmarājaṃ te yānti asaṃskṛtaṃ sthānaṃ // 20-21 //	paricarya DarmarAjam te yAnti asaMskRtam sTAnam // 20-21 //
   śuddhasya vai sadā phalguḥ sadā śuddhasya poṣadho /	SudDasya vE sadA PalguH sadA SudDasya pozaDaH /
   śuddhasya śucikarmasya sadā sampadyate vrataṃ // 22 //	SudDasya Suci-karmasya sadA sampadyate vratam // 22 //
   yāvat sūtrapratikṣepo gaṇamadhye na bheṣyati /	yAvat sUtra-pratikzepaH gaNa-maDye na Bezyati /
   tāvat sthāsyati saddharmo sāmagrī ca gaṇottame // 23 //	tAvat sTAsyati sadDarmaH sAmagrI ca gaNa-uttame // 23 //
   yāvac ca deśayitāraḥ pratipattāraś ca dharmaratnasya /	yAvat ca deSayitAraH pratipattAraH ca Darma-ratnasya /
   tāvat sthāsyati saddharmmo hitāya sarvalokasya // 24 //	tAvat sTAsyati sat-DarmmaH hitAya sarva-lokasya // 24 //
   tasmāt samagrāḥ sahitāḥ sagauravāḥ bhaviyā anyamanyaṃ paricaratha /	tasmAt samagrAH sahitAH sa-gOravAH BaviyAH anyam-anyam paricaraTa /
   dharmarājam adhigacchatha nirvāṇam atandritā acyutam padam aśokam iti //	DarmarAjam aDigacCaTa nirvANam atandritAH acyutam padam aSokam iti //
   (iti) vastu /	(iti) vastu /
   PrMoSū(Mā-L)Einl. abhikrāntāḥ suvihitāḥ śuddhā nipuṇā anusaṅgāyanto	PrMoSU(MA-L)Einl. aBikrAntAH su-vihitAH SudDAH nipuNAH anusaFgAyantaH-
   upaniṣaṇṇā, cāritāḥ śalākā, gaṇitā bhikḥū sīmāprāptā ettakā janāḥ /	upanizaNNA, cAritAH SalAkA, gaNitAH BikHU sImA-prAptAH ettakAH janAH /
   anāgatānām āyuḥmanto bhikḥūṇāṃ cchandapāriśuddhim ārocettha, ārocitaṃ ca	anAgatAnAm AyuHmantaH BikHUNAm cCanda-pAriSudDim Aroca-itTa, Arocitam ca
   prativedetha / ko bhikḥu bhikḥuṇīnāṃ cchandahārako? nāsti cātra kaścid	prativedeTa / kaH BikHu BikHuNInAm cCandahArako? na-asti ca-atra kaScid-
   anupasaṃpanno nāsti utkḥiptako / nāsti mātṛghātī, nāsti pitṛghātī / nāsti	anupasaMpannaH na-asti utkHiptakaH / na-asti mAtR-GAtI, na-asti pitR-GAtI / na-asti
   arhantaghātako, nāsti saṃghabhedako, nāsti tathāgatasya	arhanta-GAtako, na-asti saMGa-Bedako, na-asti taTAgatasya
   duḥṭacittarudhirotpādako / nāsti bhikḥuṇīdūḥako / nāsti stainyasaṃvāsiko,	duHwa-citta-ruDira-utpAdakaH / na-asti BikHuNI-dUHakaH / na-asti stEnya-saMvAsi-ko,
   nāsti nānāsaṃvāsiko, nāsti asaṃvāsiko / nāsti tīrthikāpakrāntako / nāsti	na-asti nAnA-saMvAsiko, na-asti asaMvAsikaH / na-asti tIrTikA-pakrAntakaH / na-asti
   svayaṃsannaddhako / tad evaṃ samanvāharantu bhagavato śrāvakāṇāṃ	svayaMsannadDakaH / tat evam samanvAharantu BagavataH SrAvakANAm
   nityaviśuddhānāṃ pariśuddhaśīlānāṃ /	nitya-viSudDAnAm pariSudDa-SIlAnAm /
   śṛṇotu me bhante saṃgho Ō adya saṃghasya cāturdaśiko vā sandhipoṣadho vā	SRNotu me Bante saMGaH Ō adya saMGasya cAturdaSikaH vA sanDi-pozaDaH vA
   viśuddhinakṣatraṃ / ettakaṃ ṛtusya nirgataṃ / etta[ka]m avaśiṣṭaṃ / kiṃ	viSudDi-nakzatram / ettakam Rtusya nirgatam / etta[ka]m avaSizwam / kim
   saṃghasya pūrvakṛtyaṃ? alpakṛtyo bhagavataḥ śrāvakasaṃgho so bhavati /	saMGasya pUrva-kRtyaM? alpa-kRtyaH BagavataH SrAvaka-saMGaH saH Bavati /
   śṛṇotu me bhante saṃgho Ō adya saṃghasya pāñcadaśiko poṣadho	SRNotu me Bante saMGaH Ō adya saMGasya pAQcadaSikaH pozaDaH-
   viśuddhinakṣatraṃ / yadi saṃghasya prāptakālaṃ saṃgho imasmin	viSudDi-nakzatram / yadi saMGasya prApta-kAlam saMGaH imasmin
   pṛthivīpradeśe yāvatakaṃ bhikṣusaṃghenābhigṛhītaṃ samantanavyāmamātraṃ	pRTivI-pradeSe yAvatakam Bikzu-saMGena-aBigRhItam samantana-vyAma-mAtram
   atrāntare pāñcadaśikaṃ poṣadhaṃ kuryāt prātimokṣaṃ ca sūtram uddiśeyyā /	atra-antare pAQcadaSikam pozaDam kuryAt prAtimokzam ca sUtram uddiSeyyAH /
   ovayikā eṣā jñaptiḥ /	ovayikA ezA jQaptiH /
   kariṣyati bhante saṃgho imasmin pṛthivīpradeśe yāvatakaṃ	karizyati Bante saMGaH imasmin pRTivI-pradeSe yAvatakam
