   Vāmanadatta: Svabodhodayamañjarī	VAmanadatta: Sva-boDa-udaya-maQjarI
   samyagbodhavicāreṇa bhāvanām asvabhāvataḥ /	samyak-boDa-vicAreNa BAvanAm asvaBAvataH /
   labdhabodhadayānandaṃ vande saṃsthānam ātmanaḥ // 1 //	labDa-boDa-dayA-Anandam vande saMsTAnam AtmanaH // 1 //
   rūpādipañcavargo 'yaṃ viśvam etāvad eva hi /	rUpa-Adi-paQcavargaH ayam viSvam etAvat eva hi /
   gṛhyate pañcabhis tac ca cakṣurādibhir indriyaiḥ // 2 //	gRhyate paQcaBiH tat ca cakzuH-AdiBiH indriyEH // 2 //
   cakṣuḥ sarvāsv avasthāsu dehināṃ manasi sthitam /	cakzuH sarvAsu avasTAsu dehinAm manasi sTitam /
   tat pralīnaṃ bhaved yasya tasya sarvaṃ pralīyate // 3 //	tat pralInam Bavet yasya tasya sarvam pralIyate // 3 //
   tasyaiva vilayopāyaḥ pradiṣṭo gurubhiḥ purā /	tasya-eva vilaya-upAyaH pradizwaH guruBiH purA /
   tadāgamaparibhraṃśabhayāt spaṣṭīkṛto mayā // 4 //	tad-Agama-pariBraMSa-BayAt spazwIkRtaH mayA // 4 //
   jātyādikalpanārūpavyavahāro manaḥsthitaḥ /	jAti-Adi-kalpanA-rUpa-vyavahAraH manaH-sTitaH /
   vastuto na tu tāḥ santi niścityaitac chamaṃ vrajet // 5 //	vastutas na tu tAH santi niScitya-etat Samam vrajet // 5 //
   śukraśonitasaṃśleṣakāle nāsti manaḥ kvacit /	Sukra-Sonita-saMSleza-kAle na-asti manaH kvacid /
   na budbude na peṣyāṃ vā na śarīre kvacit sthitam // 6 //	na budbude na pezyAm vA na SarIre kvacid sTitam // 6 //
   śarīraṃ garbhavāsāntaḥ kaumāre yauvane tathā /	SarIram garBa-vAsa-antar kOmAre yOvane taTA /
   kṣaṇakṣayi vināśāntaṃ tac ca naivopalabhyate // 7 //	kzaNa-kzayi vinASa-antam tat ca na-eva-upalaByate // 7 //
   pṛthag nāma pṛthag rūpaṃ lomādīnāṃ pṛthak sthitiḥ /	pRTak nAma pRTak rUpam loma-AdInAm pRTak sTitiH /
   pṛthak sarvaṃ yathā dṛṣṭaṃ kva śarīraṃ tadā sthitam // 8 //	pRTak sarvam yaTA dRzwam kva SarIram tadA sTitam // 8 //
   evam eva vicāryoktā jātis tathaiva bādhyate /	evam eva vicArya-uktA jAtiH taTA-eva bADyate /
   na ca sā vastuto yuktā kasyacid vāvabhāsate // 9 //	na ca sA vastutas yuktA kasyacid vA-avaBAsate // 9 //
   nāma pitrā kṛtaṃ mithyā kriyā na niyatā yataḥ /	nAma pitrA kRtam miTyA kriyA na niyatAH yatas /
   guṇī yadi bhavet kaścid bhavanti bahavo guṇāḥ // 10 //	guNI yadi Bavet kaScid Bavanti bahavaH guNAH // 10 //
   itthaṃ mithyāvikalpotthavāsanābhir abhiplutam /	itTam miTyA-vikalpa-utTa-vAsanABiH aBiplutam /
   cañcalaṃ manaso rūpaṃ niścityaitan nirodhayet // 11 //	caQcalam manasaH rUpam niScitya-etat niroDayet // 11 //
   pūrvair nirodho kathito vairāgyābhyāsaypogataḥ /	pUrvEH niroDaH kaTitaH vErAgya-aByAsaypogataH /
   ayatnena nirodho 'yam asmābhir upadiśyate // 12 //	ayatnena niroDaH ayam asmABiH upadiSyate // 12 //
   grāhyaṃ yac ca bhavet kiñcit tat tal līnaṃ tadā bhavet /	grAhyam yat ca Bavet kiQcid tat tat lInam tadA Bavet /
   anyasyāgrahaṇāc cittaṃ svātmany eva praśāmyati // 13 //	anyasya-agrahaNAt cittam sva-Atmani eva praSAmyati // 13 //
   yathā ghanasvane sāndre krameṇa vilayaṃ gate /	yaTA Gana-svane sAndre krameNa vilayam gate /
   tadāśrayavaśāc cittaṃ tasmin kṣīṇe praśāmyati // 14 //	tad-ASraya-vaSAt cittam tasmin kzINe praSAmyati // 14 //
   yad yan manoharaṃ kiṃcic chrutigocaram āgatam /	yat yat manoharam kiMcid Sruti-gocaram Agatam /
   ekāgraṃ bhāvayet tāvad yāval līnaṃ nirodhakṛt // 15 //	ekAgram BAvayet tAvat yAvat lInam niroDa-kRt // 15 //
   rūpādīnāṃ tathaivetthaṃ bhāvayed ramaṇīyatām /	rUpa-AdInAm taTA-eva-itTam BAvayet ramaNIyatAm /
   vilīnāni smaret paścād ātamabhāvopabṛṃhitaḥ // 16 //	vilInAni smaret paScAt Atam-aBAva-upabRMhitaH // 16 //
   evaṃ grāhyasamāveśān nirodhaḥ kathito mayā /	evam grAhya-samAveSAt niroDaH kaTitaH mayA /
   grahaṇād eva pūrvo 'yam idānīṃ sampradṛśyate // 17 //	grahaNAt eva pUrvaH ayam idAnIm sampradRSyate // 17 //
   grahaṇānīndriyāṇīha samānīti prabodhayet /	grahaNAni-indriyANi-iha samAni-iti praboDayet /
   samatvaṃ rāgahāneḥ syād dveṣasyopakṣayāt tathā // 18 //	sama-tvam rAga-hAneH syAt dvezasya-upakzayAt taTA // 18 //
   sarvarāgāt sahāniḥ syāt sarvadveṣāt tathaiva ca /	sarva-rAgAt sa-hAniH syAt sarva-dvezAt taTA-eva ca /
   baddhavat sarvarāgī syāt sarvadveṣṭā ca bhairavaḥ // 19 //	badDa-vat sarva-rAgI syAt sarva-dvezwA ca BEravaH // 19 //
   agrāhyam indriyaṃ śūnyaṃ svātmany eva pralīyate /	agrAhyam indriyam SUnyam sva-Atmani eva pralIyate /
   pralīnendriyavṛttes tu kaivalyābhyudayodayaḥ // 20 //	pralIna-indriya-vRtteH tu kEvalya-aByudaya-udayaH // 20 //
   tasmāc cittaṃ samādāya śūnye saṅkalpavarjite /	tasmAt cittam samAdAya SUnye saFkalpa-varjite /
   nistabdhendriyavṛttes tu nirodhaḥ samprajāyate // 21 //	nistabDa-indriya-vRtteH tu niroDaH samprajAyate // 21 //
   jṛmbhamānasya satataṃ kṣudhāviṣṭasya yoginaḥ /	jRmBamAnasya satatam kzuDA-Avizwasya yoginaH /
   dhyāyato vā kim apy antaḥ pratyante kevalaṃ bhavet // 22 //	DyAyataH vA kim api antar pratyante kevalam Bavet // 22 //
   apralīnamanovṛtter nidrām āśrayataḥ śanaiḥ /	apralIna-manaH-vRtteH nidrAm ASrayataH SanEs /
   viṣayāgrahaṇāt sarvanirodhaḥ samprajāyate // 23 //	vizaya-agrahaNAt sarva-niroDaH samprajAyate // 23 //
   dhāvataḥ padavikṣepaprayatnānavadhāraṇāt /	DAvataH pada-vikzepa-prayatna-an-avaDAraNAt /
   niḥsaṃkalpamanovṛtteḥ paramātmā prakāśate // 24 //	niHsaMkalpa-manaH-vRtteH paramAtmA prakASate // 24 //
   āsane 'py upaviṣṭasya kva me cittam avasthitam /	Asane api upavizwasya kva me cittam avasTitam /
   vicāryaivaṃ prayatnena nirādhāre praśāmyati // 25 //	vicArya-evam prayatnena nirADAre praSAmyati // 25 //
   vayunā spandanādīni śarīrasya karomy aham /	vayunA spandana-AdIni SarIrasya karomi aham /
   na ca citte sthito vāyur na vāyau cittam āsthitam // 26 //	na ca citte sTitaH vAyuH na vAyO cittam AsTitam // 26 //
   evaṃ vimṛśato bhāvān na kvacit saṃsthitaṃ manaḥ /	evam vimRSataH BAvAn na kvacid saMsTitam manaH /
   mithaiva vṛttayas tasya sarvathā kevalaṃ sthitam // 27 //	miTA-eva vRttayaH tasya sarvaTA kevalam sTitam // 27 //
   yatra yatra bhaved vāñchā bhojanādiṣu vastuṣu /	yatra yatra Bavet vAQCA Bojana-Adizu vastuzu /
   pūrayet tām yathāśakti bhavet pūrṇo nirāśrayaḥ // 28 //	pUrayet tAm yaTASakti Bavet pUrNaH nirASrayaH // 28 //
   vāñchitaṃ gaditaṃ kiñcid akasmād yadi vismṛtam /	vAQCitam gaditam kiQcid akasmAt yadi vismRtam /
   punas tasyānusandhānāt kṣaṇāt kaivalyam āpnuyāt // 29 //	punar tasya-anusanDAnAt kzaNAt kEvalyam ApnuyAt // 29 //
   sthānuḥ syāt puruṣo veti dūrād dṛśye vikalpite /	sTAnuH syAt puruzaH vA-iti dUrAt dRSye vikalpite /
   suniścitamateḥ kṣipraṃ nirodhaḥ samprajāyate // 30 //	su-niScita-mateH kzipram niroDaH samprajAyate // 30 //
   dṛśyaiḥ padārthair draṣṭāraṃ paśyed buddhyā yato dṛśaḥ /	dRSyEH padArTEH drazwAram paSyet budDyA yatas dRSaH /
   taṃ dṛṣṭvā mokṣam āpnoti yo na tadvat sa badhyate // 31 //	tam dRzwvA mokzam Apnoti yaH na tadvat sa baDyate // 31 //
   ālambya saṃvidaṃ yatnāt saṃvedyaṃ na svabhāvataḥ /	Alambya saMvidam yatnAt saMvedyam na svaBAvataH /
   tasmāt saṃviditaṃ sarvam iti saṃvinmayo bhavet // 32 //	tasmAt saMviditam sarvam iti saMvid-mayaH Bavet // 32 //
   punar viśed apānena hṛdayaṃ pravikāsayet /	punar viSet apAnena hRdayam pravikAsayet /
   tathaiva kṣīṇavṛttiḥ syād apāne vilayaṃ gate // 33 //	taTA-eva kzINa-vRttiH syAt apAne vilayam gate // 33 //
   suṣumṇāpatham āśritya prāsādadhvanibodhatah /	suzumNA-paTam ASritya prAsAda-Dvani-boDatah /
   binduṣaṭkaparityāgāc chāntabodhaḥ kṣaṇād bhavet // 34 //	bindu-zawka-parityAgAt SAnta-boDaH kzaNAt Bavet // 34 //
   vāmadakṣiṇasañcārabindudvayanigharṣaṇāt /	vAma-dakziNa-saQcAra-bindu-dvaya-niGarzaNAt /
   dvādaśānte mahāśāntiḥ siddhair uktā mukhāgame // 35 //	dvAdaSAnte mahA-SAntiH sidDEH uktA muKa-Agame // 35 //
   ūrdhvam ākramato vāyor udgatānte śamo bhavet /	UrDvam AkramataH vAyoH udgata-ante SamaH Bavet /
   puryaṣṭakavibhede 'pi tathaiva manaso layaḥ // 36 //	puryazwaka-viBede api taTA-eva manasaH layaH // 36 //
   vivāryāsyaṃ kṣaṇam sthitvā niḥsandigdham anākulam /	vivArya-Asyam kzaNam sTitvA niHsandigDam anAkulam /
   stambhitaprāṇavṛttes tu nirodhaḥ samprajāyate // 37 //	stamBita-prANa-vRtteH tu niroDaH samprajAyate // 37 //
   nābhimedhrāntare cittaṃ suratānte vinikṣipet /	nABi-meDra-antare cittam surata-ante vinikzipet /
   līyamāne ratānande nistaraṅgaḥ kṣaṇaṃ bhavet // 38 //	lIyamAne rata-Anande nistaraFgaH kzaNam Bavet // 38 //
   dūrāgatasuhṛdbandhupariṣvaṅganiṣevitam /	dUra-Agata-suhRd-banDu-parizvaFga-nizevitam /
   ānandanirbharaṃ cittaṃ nivṛttiṃ labhate kṣaṇāt // 39 //	Ananda-nirBaram cittam nivRttim laBate kzaNAt // 39 //
   dūrād uccarite śabde śabdārthānavadhāraṇāt /	dUrAt uccarite Sabde Sabda-arTAn-avaDAraNAt /
   sāvadhānasya tajjñānaṃ kṣīṇarodhaḥ prajāyate // 40 //	sa-avaDAnasya tat-jQAnam kzINa-roDaH prajAyate // 40 //
   pādābhyaṅgapariṣvaṅgāc cittarodhaḥ kṣaṇaṃ bhavet // 41 //	pAda-aByaFga-parizvaFgAt citta-roDaH kzaNam Bavet // 41 //
   rucyānāṃ ṣāḍavādīnāṃ svalolāgre sthitiṃ kuru /	rucyAnAm zAxava-AdInAm sva-lola-agre sTitim kuru /
   kṣiyamāṇe rasānande kaivalyam upajāyate // 42 //	kziyamANe rasa-Anande kEvalyam upajAyate // 42 //
   mālatyādiṣu gandhāṃś ca tathaiva paribhāvayet /	mAlati-Adizu ganDAn ca taTA-eva pariBAvayet /
   tadāśrayavaśāc cittaṃ teṣu līneṣu līyate // 43 //	tad-ASraya-vaSAt cittam tezu lInezu lIyate // 43 //
   itthaṃ pratikṣaṇaṃ yasya cittam ātmani līyate /	itTam pratikzaNam yasya cittam Atmani lIyate /
