   vīryapāramitā daśamaḥ paricchedaḥ ||	vIrya-pAramitA daSamaH paricCedaH ||
   evaṃ kṣāntipratisthitaḥ śrute vīryam ārabheta |	evam kzAnti-pratisTitaH Srute vIryam AraBeta |
   anyathā śrutam evâsya vināśāya saṃpadyate ||	anyaTA Srutam eva-asya vinASAya saMpadyate ||
   yathôktaṃ candrapradīpasūtre |	yaTôktam candra-pradIpa-sUtre |
   kiyadbahū dharmaparyāyuṇeyā [[DOUBT]] śīlaṃ na rakṣeta śrute namanta |	kiyat-bahU Darma-paryAyuNeyAH [[DOUBT]] SIlam na rakzeta Srute namanta |
   na bāhuśrutyena sa śakyu trāyituṃ duḥśīlayena vrajamāna durgatim ||	na bAhu-Srutyena sa Sakyu trAyitum duHSIlayena vrajamAna durgatim ||
   śrutânuśaṃsās tu nārāyaṇaparipṛcchāyām uktāḥ |	SrutânuSaMsAH tu nArAyaNa-paripRcCAyAm uktAH |
   tathā hi kulaputrāḥ śrutavataḥ prajñâgamo bhavati |	taTA hi kula-putrAH SrutavataH prajQâ-gamaH Bavati |
   prajñāvataḥ kleśapraśamo bhavati |	prajQAvataH kleSa-praSamaH Bavati |
   niḥkleśasya māro 'vatāraṃ na labhate ||	niHkleSasya mAraH avatAram na laBate ||
   atra ca maharṣer u-	atra ca mahA-RzeH u-
   [ Cambridge MS f89b ---> ]	[ Cambridge M f89B ---> ]
   ttarasya jātakaṃ vistareṇa kṛtvâha |	ttarasya jAtakam vistareNa kRtvA-iha |
   dharmakāmānāṃ hi |	Darma-kAmAnAm hi |
   vimalatejaḥ |	vimala-tejaH |
   bodhisatvānāṃ mahāsatvānāṃ sagauravāṇāṃ sapratīśānāṃ anyalokadhātusthitâpi	boDisatvAnAm mahAsatvAnAm sa-gOravANAm sa-pratISAnAm anya-loka-DAtu-sTitâpi
   buddhā bhagavanto mukham upadarśayanti dharmaṃ cânuśrāvayanti |	budDAH BagavantaH muKam upadarSayanti Darmam cânuSrAvayanti |
   dharmakāmānāṃ |	Darma-kAmAnAm |
   vimalatejaḥ |	vimala-tejaH |
   bodhisatvānāṃ mahāsatvānāṃ parvatakandaravṛkṣamadhyeṣu dharmanidhānāni	boDisatvAnAm mahAsatvAnAm parvata-kandara-vRkza-maDyezu Darma-niDAnAni
   nikṣiptāni |	nikziptAni |
   dharmamukhāny anantāni pustakagatāni karatalagatāni bhavanti |	Darma-muKAni anantAni pustaka-gatAni kara-tala-gatAni Bavanti |
   dharmakāmānāṃ vimalatejaḥ bodhisatvānāṃ pūrvabuddhadarśinyo devatā	Darma-kAmAnAm vimala-tejaH boDisatvAnAm pUrva-budDa-darSinyaH devatA
